Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean no2 (µg/m3)
NL,NO2,µg/m3,2015-01-01 00:00:00 +01:00,41.5
NL,NO2,µg/m3,2015-01-01 01:00:00 +01:00,42.93
NL,NO2,µg/m3,2015-01-01 02:00:00 +01:00,48.83909090909091
NL,NO2,µg/m3,2015-01-01 03:00:00 +01:00,47.041818181818186
NL,NO2,µg/m3,2015-01-01 04:00:00 +01:00,44.75
NL,NO2,µg/m3,2015-01-01 05:00:00 +01:00,38.74818181818182
NL,NO2,µg/m3,2015-01-01 06:00:00 +01:00,43.71727272727273
NL,NO2,µg/m3,2015-01-01 07:00:00 +01:00,35.311818181818175
NL,NO2,µg/m3,2015-01-01 08:00:00 +01:00,33.57909090909091
NL,NO2,µg/m3,2015-01-01 09:00:00 +01:00,35.21636363636364
NL,NO2,µg/m3,2015-01-01 10:00:00 +01:00,33.18181818181819
NL,NO2,µg/m3,2015-01-01 11:00:00 +01:00,30.297272727272727
NL,NO2,µg/m3,2015-01-01 12:00:00 +01:00,31.014545454545456
NL,NO2,µg/m3,2015-01-01 13:00:00 +01:00,31.138181818181817
NL,NO2,µg/m3,2015-01-01 14:00:00 +01:00,29.156363636363633
NL,NO2,µg/m3,2015-01-01 15:00:00 +01:00,35.888
NL,NO2,µg/m3,2015-01-01 16:00:00 +01:00,39.403636363636366
NL,NO2,µg/m3,2015-01-01 17:00:00 +01:00,36.736363636363635
NL,NO2,µg/m3,2015-01-01 18:00:00 +01:00,31.891818181818177
NL,NO2,µg/m3,2015-01-01 19:00:00 +01:00,32.164
NL,NO2,µg/m3,2015-01-01 20:00:00 +01:00,35.36181818181817
NL,NO2,µg/m3,2015-01-01 21:00:00 +01:00,38.83727272727273
NL,NO2,µg/m3,2015-01-01 22:00:00 +01:00,37.517272727272726
NL,NO2,µg/m3,2015-01-01 23:00:00 +01:00,27.767272727272726
NL,NO2,µg/m3,2015-01-02 00:00:00 +01:00,22.40636363636364
NL,NO2,µg/m3,2015-01-02 01:00:00 +01:00,18.30181818181818
NL,NO2,µg/m3,2015-01-02 02:00:00 +01:00,14.33
NL,NO2,µg/m3,2015-01-02 03:00:00 +01:00,12.83090909090909
NL,NO2,µg/m3,2015-01-02 04:00:00 +01:00,11.845454545454546
NL,NO2,µg/m3,2015-01-02 05:00:00 +01:00,13.4
NL,NO2,µg/m3,2015-01-02 06:00:00 +01:00,13.474545454545455
NL,NO2,µg/m3,2015-01-02 07:00:00 +01:00,14.056363636363637
NL,NO2,µg/m3,2015-01-02 08:00:00 +01:00,17.784545454545455
NL,NO2,µg/m3,2015-01-02 09:00:00 +01:00,16.882
NL,NO2,µg/m3,2015-01-02 10:00:00 +01:00,18.393636363636364
NL,NO2,µg/m3,2015-01-02 11:00:00 +01:00,16.937272727272727
NL,NO2,µg/m3,2015-01-02 12:00:00 +01:00,15.494545454545454
NL,NO2,µg/m3,2015-01-02 13:00:00 +01:00,16.38727272727273
NL,NO2,µg/m3,2015-01-02 14:00:00 +01:00,17.703636363636363
NL,NO2,µg/m3,2015-01-02 15:00:00 +01:00,18.15909090909091
NL,NO2,µg/m3,2015-01-02 16:00:00 +01:00,20.020000000000003
NL,NO2,µg/m3,2015-01-02 17:00:00 +01:00,20.015454545454546
NL,NO2,µg/m3,2015-01-02 18:00:00 +01:00,17.099999999999998
NL,NO2,µg/m3,2015-01-02 19:00:00 +01:00,17.38909090909091
NL,NO2,µg/m3,2015-01-02 20:00:00 +01:00,16.352727272727275
NL,NO2,µg/m3,2015-01-02 21:00:00 +01:00,15.111818181818183
NL,NO2,µg/m3,2015-01-02 22:00:00 +01:00,14.080909090909092
NL,NO2,µg/m3,2015-01-02 23:00:00 +01:00,13.167272727272728
NL,NO2,µg/m3,2015-01-03 00:00:00 +01:00,12.806363636363637
NL,NO2,µg/m3,2015-01-03 01:00:00 +01:00,11.588181818181818
NL,NO2,µg/m3,2015-01-03 02:00:00 +01:00,12.30818181818182
NL,NO2,µg/m3,2015-01-03 03:00:00 +01:00,12.399090909090908
NL,NO2,µg/m3,2015-01-03 04:00:00 +01:00,13.98
NL,NO2,µg/m3,2015-01-03 05:00:00 +01:00,19.73272727272727
NL,NO2,µg/m3,2015-01-03 06:00:00 +01:00,28.065454545454543
NL,NO2,µg/m3,2015-01-03 07:00:00 +01:00,36.86181818181819
NL,NO2,µg/m3,2015-01-03 08:00:00 +01:00,40.72181818181818
NL,NO2,µg/m3,2015-01-03 09:00:00 +01:00,19.508181818181818
NL,NO2,µg/m3,2015-01-03 10:00:00 +01:00,33.07090909090909
NL,NO2,µg/m3,2015-01-03 11:00:00 +01:00,44.418181818181814
NL,NO2,µg/m3,2015-01-03 12:00:00 +01:00,41.450909090909086
NL,NO2,µg/m3,2015-01-03 13:00:00 +01:00,39.40909090909091
NL,NO2,µg/m3,2015-01-03 14:00:00 +01:00,41.34090909090909
NL,NO2,µg/m3,2015-01-03 15:00:00 +01:00,49.688181818181825
NL,NO2,µg/m3,2015-01-03 16:00:00 +01:00,56.87727272727273
NL,NO2,µg/m3,2015-01-03 17:00:00 +01:00,59.842727272727274
NL,NO2,µg/m3,2015-01-03 18:00:00 +01:00,61.84181818181817
NL,NO2,µg/m3,2015-01-03 19:00:00 +01:00,57.7109090909091
NL,NO2,µg/m3,2015-01-03 20:00:00 +01:00,27.838181818181816
NL,NO2,µg/m3,2015-01-03 21:00:00 +01:00,23.450909090909093
NL,NO2,µg/m3,2015-01-03 22:00:00 +01:00,21.247272727272723
NL,NO2,µg/m3,2015-01-03 23:00:00 +01:00,20.818181818181817
NL,NO2,µg/m3,2015-01-04 00:00:00 +01:00,18.110909090909093
NL,NO2,µg/m3,2015-01-04 01:00:00 +01:00,16.781818181818178
NL,NO2,µg/m3,2015-01-04 02:00:00 +01:00,20.164545454545454
NL,NO2,µg/m3,2015-01-04 03:00:00 +01:00,12.47
NL,NO2,µg/m3,2015-01-04 04:00:00 +01:00,17.174545454545452
NL,NO2,µg/m3,2015-01-04 05:00:00 +01:00,16.834545454545452
NL,NO2,µg/m3,2015-01-04 06:00:00 +01:00,18.134545454545453
NL,NO2,µg/m3,2015-01-04 07:00:00 +01:00,21.220000000000002
NL,NO2,µg/m3,2015-01-04 08:00:00 +01:00,24.73818181818182
NL,NO2,µg/m3,2015-01-04 09:00:00 +01:00,30.409090909090903
NL,NO2,µg/m3,2015-01-04 10:00:00 +01:00,32.52272727272728
NL,NO2,µg/m3,2015-01-04 11:00:00 +01:00,25.845454545454547
NL,NO2,µg/m3,2015-01-04 12:00:00 +01:00,19.801818181818184
NL,NO2,µg/m3,2015-01-04 13:00:00 +01:00,19.72818181818182
NL,NO2,µg/m3,2015-01-04 14:00:00 +01:00,23.984545454545454
NL,NO2,µg/m3,2015-01-04 15:00:00 +01:00,27.234545454545454
NL,NO2,µg/m3,2015-01-04 16:00:00 +01:00,31.25
NL,NO2,µg/m3,2015-01-04 17:00:00 +01:00,37.692727272727275
NL,NO2,µg/m3,2015-01-04 18:00:00 +01:00,47.71636363636364
NL,NO2,µg/m3,2015-01-04 19:00:00 +01:00,52.59454545454546
NL,NO2,µg/m3,2015-01-04 20:00:00 +01:00,66.6990909090909
NL,NO2,µg/m3,2015-01-04 21:00:00 +01:00,70.67
NL,NO2,µg/m3,2015-01-04 22:00:00 +01:00,72.84636363636365
NL,NO2,µg/m3,2015-01-04 23:00:00 +01:00,68.88272727272728
NL,NO2,µg/m3,2015-01-05 00:00:00 +01:00,73.64636363636363
NL,NO2,µg/m3,2015-01-05 01:00:00 +01:00,62.55727272727274
NL,NO2,µg/m3,2015-01-05 02:00:00 +01:00,49.79454545454546
NL,NO2,µg/m3,2015-01-05 03:00:00 +01:00,45.46363636363636
NL,NO2,µg/m3,2015-01-05 04:00:00 +01:00,37.85636363636363
NL,NO2,µg/m3,2015-01-05 05:00:00 +01:00,39.85454545454545
NL,NO2,µg/m3,2015-01-05 06:00:00 +01:00,54.89000000000001
NL,NO2,µg/m3,2015-01-05 07:00:00 +01:00,62.67545454545454
NL,NO2,µg/m3,2015-01-05 08:00:00 +01:00,69.37
NL,NO2,µg/m3,2015-01-05 09:00:00 +01:00,63.84090909090908
NL,NO2,µg/m3,2015-01-05 10:00:00 +01:00,54.01818181818181
NL,NO2,µg/m3,2015-01-05 11:00:00 +01:00,55.81545454545456
NL,NO2,µg/m3,2015-01-05 12:00:00 +01:00,53.42
NL,NO2,µg/m3,2015-01-05 13:00:00 +01:00,57.857272727272736
NL,NO2,µg/m3,2015-01-05 14:00:00 +01:00,60.86000000000001
NL,NO2,µg/m3,2015-01-05 15:00:00 +01:00,69.18727272727273
NL,NO2,µg/m3,2015-01-05 16:00:00 +01:00,66.73636363636363
NL,NO2,µg/m3,2015-01-05 17:00:00 +01:00,65.4
NL,NO2,µg/m3,2015-01-05 18:00:00 +01:00,64.87454545454545
NL,NO2,µg/m3,2015-01-05 19:00:00 +01:00,63.40090909090909
NL,NO2,µg/m3,2015-01-05 20:00:00 +01:00,62.821000000000005
NL,NO2,µg/m3,2015-01-05 21:00:00 +01:00,61.77
NL,NO2,µg/m3,2015-01-05 22:00:00 +01:00,61.85545454545454
NL,NO2,µg/m3,2015-01-05 23:00:00 +01:00,60.95
NL,NO2,µg/m3,2015-01-06 00:00:00 +01:00,60.432727272727284
NL,NO2,µg/m3,2015-01-06 01:00:00 +01:00,59.73818181818182
NL,NO2,µg/m3,2015-01-06 02:00:00 +01:00,58.36545454545455
NL,NO2,µg/m3,2015-01-06 03:00:00 +01:00,57.76545454545454
NL,NO2,µg/m3,2015-01-06 04:00:00 +01:00,56.58545454545455
NL,NO2,µg/m3,2015-01-06 05:00:00 +01:00,57.72727272727273
