Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean o3 (µg/m3)
NL,O3,µg/m3,2017-01-01 00:00:00 +01:00,0.5333333333333333
NL,O3,µg/m3,2017-01-01 01:00:00 +01:00,0.8333333333333334
NL,O3,µg/m3,2017-01-01 02:00:00 +01:00,1.0666666666666667
NL,O3,µg/m3,2017-01-01 03:00:00 +01:00,0.5666666666666668
NL,O3,µg/m3,2017-01-01 04:00:00 +01:00,0.6000000000000001
NL,O3,µg/m3,2017-01-01 05:00:00 +01:00,1.3999999999999997
NL,O3,µg/m3,2017-01-01 06:00:00 +01:00,1.6999999966666666
NL,O3,µg/m3,2017-01-01 07:00:00 +01:00,5.333333323333334
NL,O3,µg/m3,2017-01-01 08:00:00 +01:00,7.9666666600000005
NL,O3,µg/m3,2017-01-01 09:00:00 +01:00,9.833333323333333
NL,O3,µg/m3,2017-01-01 10:00:00 +01:00,12.466666663333333
NL,O3,µg/m3,2017-01-01 11:00:00 +01:00,12.633333330000001
NL,O3,µg/m3,2017-01-01 12:00:00 +01:00,13.833333333333334
NL,O3,µg/m3,2017-01-01 13:00:00 +01:00,14.633333333333335
NL,O3,µg/m3,2017-01-01 14:00:00 +01:00,16.633333333333336
NL,O3,µg/m3,2017-01-01 15:00:00 +01:00,9.533333333333333
NL,O3,µg/m3,2017-01-01 16:00:00 +01:00,5.833333329999999
NL,O3,µg/m3,2017-01-01 17:00:00 +01:00,3.2999999966666667
NL,O3,µg/m3,2017-01-01 18:00:00 +01:00,0.5000000000000001
NL,O3,µg/m3,2017-01-01 19:00:00 +01:00,0.0
NL,O3,µg/m3,2017-01-01 20:00:00 +01:00,-0.033333333333333326
NL,O3,µg/m3,2017-01-01 21:00:00 +01:00,0.033333333333333326
NL,O3,µg/m3,2017-01-01 22:00:00 +01:00,0.20000000000000004
NL,O3,µg/m3,2017-01-01 23:00:00 +01:00,0.26666666666666666
NL,O3,µg/m3,2017-01-02 00:00:00 +01:00,0.13333333333333333
NL,O3,µg/m3,2017-01-02 01:00:00 +01:00,8.366666666666667
NL,O3,µg/m3,2017-01-02 02:00:00 +01:00,48.499999996666666
NL,O3,µg/m3,2017-01-02 03:00:00 +01:00,61.13333333333333
NL,O3,µg/m3,2017-01-02 04:00:00 +01:00,59.26666666666667
NL,O3,µg/m3,2017-01-02 05:00:00 +01:00,58.56666666
NL,O3,µg/m3,2017-01-02 06:00:00 +01:00,40.86666666333334
NL,O3,µg/m3,2017-01-02 07:00:00 +01:00,29.46666665666667
NL,O3,µg/m3,2017-01-02 08:00:00 +01:00,35.53333332333333
NL,O3,µg/m3,2017-01-02 09:00:00 +01:00,27.0
