Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean pm10 (µg/m3)
NL,PM10,µg/m3,2018-01-01 00:00:00 +01:00,225.21666666500002
NL,PM10,µg/m3,2018-01-01 01:00:00 +01:00,89.28333333166667
NL,PM10,µg/m3,2018-01-01 02:00:00 +01:00,28.214285712857144
NL,PM10,µg/m3,2018-01-01 03:00:00 +01:00,13.185714280000001
NL,PM10,µg/m3,2018-01-01 04:00:00 +01:00,9.58571428142857
NL,PM10,µg/m3,2018-01-01 05:00:00 +01:00,9.857142854285714
NL,PM10,µg/m3,2018-01-01 06:00:00 +01:00,13.071428569999998
NL,PM10,µg/m3,2018-01-01 07:00:00 +01:00,14.08571428142857
NL,PM10,µg/m3,2018-01-01 08:00:00 +01:00,13.371428568571428
NL,PM10,µg/m3,2018-01-01 09:00:00 +01:00,13.328571425714285
NL,PM10,µg/m3,2018-01-01 10:00:00 +01:00,14.657142857142857
NL,PM10,µg/m3,2018-01-01 11:00:00 +01:00,12.699999998571428
NL,PM10,µg/m3,2018-01-01 12:00:00 +01:00,14.457142852857144
NL,PM10,µg/m3,2018-01-01 13:00:00 +01:00,11.457142852857142
NL,PM10,µg/m3,2018-01-01 14:00:00 +01:00,12.633333333333335
NL,PM10,µg/m3,2018-01-01 15:00:00 +01:00,14.671428568571429
NL,PM10,µg/m3,2018-01-01 16:00:00 +01:00,18.957142852857146
NL,PM10,µg/m3,2018-01-01 17:00:00 +01:00,20.799999995714284
NL,PM10,µg/m3,2018-01-01 18:00:00 +01:00,18.22857142428571
NL,PM10,µg/m3,2018-01-01 19:00:00 +01:00,16.399999997142857
NL,PM10,µg/m3,2018-01-01 20:00:00 +01:00,15.314285707142856
NL,PM10,µg/m3,2018-01-01 21:00:00 +01:00,13.057142855714286
NL,PM10,µg/m3,2018-01-01 22:00:00 +01:00,13.58571428
NL,PM10,µg/m3,2018-01-01 23:00:00 +01:00,19.17142856857143
NL,PM10,µg/m3,2018-01-02 00:00:00 +01:00,17.39999999714286
NL,PM10,µg/m3,2018-01-02 01:00:00 +01:00,9.771428568571428
NL,PM10,µg/m3,2018-01-02 02:00:00 +01:00,10.428571422857143
NL,PM10,µg/m3,2018-01-02 03:00:00 +01:00,14.028571425714286
NL,PM10,µg/m3,2018-01-02 04:00:00 +01:00,12.642857140000002
NL,PM10,µg/m3,2018-01-02 05:00:00 +01:00,10.866666665000002
NL,PM10,µg/m3,2018-01-02 06:00:00 +01:00,12.357142855714287
NL,PM10,µg/m3,2018-01-02 07:00:00 +01:00,12.671428567142856
NL,PM10,µg/m3,2018-01-02 08:00:00 +01:00,12.328571425714285
NL,PM10,µg/m3,2018-01-02 09:00:00 +01:00,12.859999998000001
NL,PM10,µg/m3,2018-01-02 10:00:00 +01:00,16.859999994
NL,PM10,µg/m3,2018-01-02 11:00:00 +01:00,15.328571425714284
NL,PM10,µg/m3,2018-01-02 12:00:00 +01:00,16.799999997142855
NL,PM10,µg/m3,2018-01-02 13:00:00 +01:00,19.185714281428574
NL,PM10,µg/m3,2018-01-02 14:00:00 +01:00,25.233333331666667
NL,PM10,µg/m3,2018-01-02 15:00:00 +01:00,24.683333333333334
NL,PM10,µg/m3,2018-01-02 16:00:00 +01:00,22.983333329999997
NL,PM10,µg/m3,2018-01-02 17:00:00 +01:00,23.916666664999997
NL,PM10,µg/m3,2018-01-02 18:00:00 +01:00,22.41666666333333
NL,PM10,µg/m3,2018-01-02 19:00:00 +01:00,14.149999996666665
NL,PM10,µg/m3,2018-01-02 20:00:00 +01:00,9.03333333
NL,PM10,µg/m3,2018-01-02 21:00:00 +01:00,10.916666663333332
NL,PM10,µg/m3,2018-01-02 22:00:00 +01:00,15.266666664999997
NL,PM10,µg/m3,2018-01-02 23:00:00 +01:00,16.783333329999998
NL,PM10,µg/m3,2018-01-03 00:00:00 +01:00,14.716666661666665
NL,PM10,µg/m3,2018-01-03 01:00:00 +01:00,11.433333329999998
NL,PM10,µg/m3,2018-01-03 02:00:00 +01:00,8.416666663333332
NL,PM10,µg/m3,2018-01-03 03:00:00 +01:00,4.066666663333334
NL,PM10,µg/m3,2018-01-03 04:00:00 +01:00,15.166666666666666
NL,PM10,µg/m3,2018-01-03 05:00:00 +01:00,16.249999993333333
NL,PM10,µg/m3,2018-01-03 06:00:00 +01:00,16.81666666
NL,PM10,µg/m3,2018-01-03 07:00:00 +01:00,10.75
NL,PM10,µg/m3,2018-01-03 08:00:00 +01:00,17.883333323333332
NL,PM10,µg/m3,2018-01-03 09:00:00 +01:00,18.716666664999998
NL,PM10,µg/m3,2018-01-03 10:00:00 +01:00,17.428571425714285
NL,PM10,µg/m3,2018-01-03 11:00:00 +01:00,22.357142854285712
