Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean no2 (µg/m3)
DE,NO2,µg/m3,2014-01-01 00:00:00 +01:00,42.13666666666668
DE,NO2,µg/m3,2014-01-01 01:00:00 +01:00,40.553636363636365
DE,NO2,µg/m3,2014-01-01 02:00:00 +01:00,35.7325
DE,NO2,µg/m3,2014-01-01 03:00:00 +01:00,33.03583333333333
DE,NO2,µg/m3,2014-01-01 04:00:00 +01:00,31.59416666666667
DE,NO2,µg/m3,2014-01-01 05:00:00 +01:00,29.540833333333328
DE,NO2,µg/m3,2014-01-01 06:00:00 +01:00,29.348333333333333
DE,NO2,µg/m3,2014-01-01 07:00:00 +01:00,29.535000000000007
DE,NO2,µg/m3,2014-01-01 08:00:00 +01:00,27.57166666666667
DE,NO2,µg/m3,2014-01-01 09:00:00 +01:00,28.21166666666667
DE,NO2,µg/m3,2014-01-01 10:00:00 +01:00,29.4075
DE,NO2,µg/m3,2014-01-01 11:00:00 +01:00,31.64
DE,NO2,µg/m3,2014-01-01 12:00:00 +01:00,29.396666666666665
DE,NO2,µg/m3,2014-01-01 13:00:00 +01:00,32.7025
DE,NO2,µg/m3,2014-01-01 14:00:00 +01:00,37.39333333333333
DE,NO2,µg/m3,2014-01-01 15:00:00 +01:00,37.26416666666667
DE,NO2,µg/m3,2014-01-01 16:00:00 +01:00,38.900000000000006
DE,NO2,µg/m3,2014-01-01 17:00:00 +01:00,40.93416666666667
DE,NO2,µg/m3,2014-01-01 18:00:00 +01:00,39.91166666666667
DE,NO2,µg/m3,2014-01-01 19:00:00 +01:00,40.222500000000004
DE,NO2,µg/m3,2014-01-01 20:00:00 +01:00,40.44
DE,NO2,µg/m3,2014-01-01 21:00:00 +01:00,39.394166666666656
DE,NO2,µg/m3,2014-01-01 22:00:00 +01:00,37.445
DE,NO2,µg/m3,2014-01-01 23:00:00 +01:00,33.4525
DE,NO2,µg/m3,2014-01-02 00:00:00 +01:00,27.68083333333333
DE,NO2,µg/m3,2014-01-02 01:00:00 +01:00,23.558333333333334
DE,NO2,µg/m3,2014-01-02 02:00:00 +01:00,22.145454545454545
DE,NO2,µg/m3,2014-01-02 03:00:00 +01:00,24.352500000000003
DE,NO2,µg/m3,2014-01-02 04:00:00 +01:00,25.06333333333333
DE,NO2,µg/m3,2014-01-02 05:00:00 +01:00,27.2
DE,NO2,µg/m3,2014-01-02 06:00:00 +01:00,34.63666666666666
DE,NO2,µg/m3,2014-01-02 07:00:00 +01:00,37.2925
DE,NO2,µg/m3,2014-01-02 08:00:00 +01:00,39.7575
DE,NO2,µg/m3,2014-01-02 09:00:00 +01:00,38.1975
DE,NO2,µg/m3,2014-01-02 10:00:00 +01:00,39.90916666666667
DE,NO2,µg/m3,2014-01-02 11:00:00 +01:00,42.61000000000001
DE,NO2,µg/m3,2014-01-02 12:00:00 +01:00,42.57833333333334
DE,NO2,µg/m3,2014-01-02 13:00:00 +01:00,46.82416666666668
DE,NO2,µg/m3,2014-01-02 14:00:00 +01:00,50.5425
DE,NO2,µg/m3,2014-01-02 15:00:00 +01:00,56.81
DE,NO2,µg/m3,2014-01-02 16:00:00 +01:00,53.73083333333333
DE,NO2,µg/m3,2014-01-02 17:00:00 +01:00,51.87833333333334
DE,NO2,µg/m3,2014-01-02 18:00:00 +01:00,50.645833333333336
DE,NO2,µg/m3,2014-01-02 19:00:00 +01:00,51.300000000000004
DE,NO2,µg/m3,2014-01-02 20:00:00 +01:00,51.47916666666668
DE,NO2,µg/m3,2014-01-02 21:00:00 +01:00,41.270833333333336
DE,NO2,µg/m3,2014-01-02 22:00:00 +01:00,37.40833333333334
DE,NO2,µg/m3,2014-01-02 23:00:00 +01:00,35.083333333333336
DE,NO2,µg/m3,2014-01-03 00:00:00 +01:00,38.15
DE,NO2,µg/m3,2014-01-03 01:00:00 +01:00,37.63166666666667
