Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean pm25 (µg/m3)
DE,PM2.5,µg/m3,2013-01-01 00:00:00 +01:00,42.6
DE,PM2.5,µg/m3,2013-01-02 00:00:00 +01:00,9.0
DE,PM2.5,µg/m3,2013-01-03 00:00:00 +01:00,8.54
DE,PM2.5,µg/m3,2013-01-04 00:00:00 +01:00,9.98
DE,PM2.5,µg/m3,2013-01-05 00:00:00 +01:00,5.340000000000001
DE,PM2.5,µg/m3,2013-01-06 00:00:00 +01:00,5.95
DE,PM2.5,µg/m3,2013-01-07 00:00:00 +01:00,17.94
DE,PM2.5,µg/m3,2013-01-08 00:00:00 +01:00,15.760000000000002
DE,PM2.5,µg/m3,2013-01-09 00:00:00 +01:00,9.26
DE,PM2.5,µg/m3,2013-01-10 00:00:00 +01:00,5.725
DE,PM2.5,µg/m3,2013-01-11 00:00:00 +01:00,5.375
DE,PM2.5,µg/m3,2013-01-12 00:00:00 +01:00,9.9
DE,PM2.5,µg/m3,2013-01-13 00:00:00 +01:00,24.259999999999998
DE,PM2.5,µg/m3,2013-01-14 00:00:00 +01:00,60.8
DE,PM2.5,µg/m3,2013-01-15 00:00:00 +01:00,52.56
DE,PM2.5,µg/m3,2013-01-16 00:00:00 +01:00,55.040000000000006
DE,PM2.5,µg/m3,2013-01-17 00:00:00 +01:00,27.9
DE,PM2.5,µg/m3,2013-01-18 00:00:00 +01:00,14.84
DE,PM2.5,µg/m3,2013-01-19 00:00:00 +01:00,18.18
DE,PM2.5,µg/m3,2013-01-20 00:00:00 +01:00,23.419999999999998
DE,PM2.5,µg/m3,2013-01-21 00:00:00 +01:00,15.84
DE,PM2.5,µg/m3,2013-01-22 00:00:00 +01:00,19.86
DE,PM2.5,µg/m3,2013-01-23 00:00:00 +01:00,43.779999999999994
DE,PM2.5,µg/m3,2013-01-24 00:00:00 +01:00,51.260000000000005
DE,PM2.5,µg/m3,2013-01-25 00:00:00 +01:00,54.42
DE,PM2.5,µg/m3,2013-01-26 00:00:00 +01:00,53.120000000000005
