Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean no2 (µg/m3)
PT,NO2,µg/m3,2019-01-01 00:00:00 +01:00,38.89999999
PT,NO2,µg/m3,2019-01-01 01:00:00 +01:00,56.60714285714285
PT,NO2,µg/m3,2019-01-01 02:00:00 +01:00,55.40000000000001
PT,NO2,µg/m3,2019-01-01 03:00:00 +01:00,54.792857142857144
PT,NO2,µg/m3,2019-01-01 04:00:00 +01:00,50.18571428571429
PT,NO2,µg/m3,2019-01-01 05:00:00 +01:00,47.385714285714286
PT,NO2,µg/m3,2019-01-01 06:00:00 +01:00,43.942857142857136
PT,NO2,µg/m3,2019-01-01 07:00:00 +01:00,40.471428571428575
PT,NO2,µg/m3,2019-01-01 08:00:00 +01:00,37.699999999999996
PT,NO2,µg/m3,2019-01-01 09:00:00 +01:00,34.535714285714285
PT,NO2,µg/m3,2019-01-01 10:00:00 +01:00,30.400000000000002
PT,NO2,µg/m3,2019-01-01 11:00:00 +01:00,24.064285714285717
PT,NO2,µg/m3,2019-01-01 12:00:00 +01:00,20.45714285714286
PT,NO2,µg/m3,2019-01-01 13:00:00 +01:00,22.771428571428572
PT,NO2,µg/m3,2019-01-01 14:00:00 +01:00,24.2
PT,NO2,µg/m3,2019-01-01 15:00:00 +01:00,24.23846153846154
PT,NO2,µg/m3,2019-01-01 16:00:00 +01:00,25.992307692307698
PT,NO2,µg/m3,2019-01-01 17:00:00 +01:00,46.669230769230765
PT,NO2,µg/m3,2019-01-01 18:00:00 +01:00,70.60000000000001
PT,NO2,µg/m3,2019-01-01 19:00:00 +01:00,77.43076923076923
PT,NO2,µg/m3,2019-01-01 20:00:00 +01:00,80.37692307692308
PT,NO2,µg/m3,2019-01-01 21:00:00 +01:00,75.45384615384616
PT,NO2,µg/m3,2019-01-01 22:00:00 +01:00,73.70769230769233
PT,NO2,µg/m3,2019-01-01 23:00:00 +01:00,65.91538461538461
PT,NO2,µg/m3,2019-01-02 00:00:00 +01:00,57.51538461538461
PT,NO2,µg/m3,2019-01-02 01:00:00 +01:00,45.73076923076923
PT,NO2,µg/m3,2019-01-02 02:00:00 +01:00,34.676923076923075
PT,NO2,µg/m3,2019-01-02 03:00:00 +01:00,27.276923076923076
PT,NO2,µg/m3,2019-01-02 04:00:00 +01:00,23.592307692307692
PT,NO2,µg/m3,2019-01-02 05:00:00 +01:00,25.007692307692306
PT,NO2,µg/m3,2019-01-02 06:00:00 +01:00,25.415384615384614
PT,NO2,µg/m3,2019-01-02 07:00:00 +01:00,37.41538461538462
PT,NO2,µg/m3,2019-01-02 08:00:00 +01:00,53.146153846153844
PT,NO2,µg/m3,2019-01-02 09:00:00 +01:00,59.50769230769231
PT,NO2,µg/m3,2019-01-02 10:00:00 +01:00,54.24615384615383
PT,NO2,µg/m3,2019-01-02 11:00:00 +01:00,42.66153846153846
PT,NO2,µg/m3,2019-01-02 12:00:00 +01:00,34.89166666666666
PT,NO2,µg/m3,2019-01-02 13:00:00 +01:00,29.066666666666666
PT,NO2,µg/m3,2019-01-02 14:00:00 +01:00,28.15833333333333
PT,NO2,µg/m3,2019-01-02 15:00:00 +01:00,28.35833333333333
PT,NO2,µg/m3,2019-01-02 16:00:00 +01:00,25.724999999999998
PT,NO2,µg/m3,2019-01-02 17:00:00 +01:00,35.50714285714285
PT,NO2,µg/m3,2019-01-02 18:00:00 +01:00,41.70714285714286
PT,NO2,µg/m3,2019-01-02 19:00:00 +01:00,46.47142857142857
PT,NO2,µg/m3,2019-01-02 20:00:00 +01:00,50.042857142857144
PT,NO2,µg/m3,2019-01-02 21:00:00 +01:00,47.57142857142857
PT,NO2,µg/m3,2019-01-02 22:00:00 +01:00,38.871428571428574
PT,NO2,µg/m3,2019-01-02 23:00:00 +01:00,35.721428571428575
PT,NO2,µg/m3,2019-01-03 00:00:00 +01:00,34.371428571428574
PT,NO2,µg/m3,2019-01-03 01:00:00 +01:00,29.028571428571432
