Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean o3 (µg/m3)
PT,O3,µg/m3,2020-01-01 00:00:00 +01:00,7.333333333333333
PT,O3,µg/m3,2020-01-01 01:00:00 +01:00,7.0
PT,O3,µg/m3,2020-01-01 02:00:00 +01:00,7.277777777777778
PT,O3,µg/m3,2020-01-01 03:00:00 +01:00,9.666666666666666
PT,O3,µg/m3,2020-01-01 04:00:00 +01:00,9.777777777777779
PT,O3,µg/m3,2020-01-01 05:00:00 +01:00,11.11111111111111
PT,O3,µg/m3,2020-01-01 06:00:00 +01:00,10.777777777777779
PT,O3,µg/m3,2020-01-01 07:00:00 +01:00,10.277777777777779
PT,O3,µg/m3,2020-01-01 08:00:00 +01:00,8.88888888888889
PT,O3,µg/m3,2020-01-01 09:00:00 +01:00,9.555555555555555
PT,O3,µg/m3,2020-01-01 10:00:00 +01:00,11.88888888888889
PT,O3,µg/m3,2020-01-01 11:00:00 +01:00,15.222222222222221
PT,O3,µg/m3,2020-01-01 12:00:00 +01:00,18.0
PT,O3,µg/m3,2020-01-01 13:00:00 +01:00,20.555555555555557
PT,O3,µg/m3,2020-01-01 14:00:00 +01:00,23.555555555555557
PT,O3,µg/m3,2020-01-01 15:00:00 +01:00,27.38888888888889
PT,O3,µg/m3,2020-01-01 16:00:00 +01:00,27.77777777777778
PT,O3,µg/m3,2020-01-01 17:00:00 +01:00,25.87777777777778
PT,O3,µg/m3,2020-01-01 18:00:00 +01:00,10.444444444444445
PT,O3,µg/m3,2020-01-01 19:00:00 +01:00,5.333333333333333
PT,O3,µg/m3,2020-01-01 20:00:00 +01:00,4.777777777777778
PT,O3,µg/m3,2020-01-01 21:00:00 +01:00,4.944444444444445
PT,O3,µg/m3,2020-01-01 22:00:00 +01:00,5.333333333333333
PT,O3,µg/m3,2020-01-01 23:00:00 +01:00,6.0
PT,O3,µg/m3,2020-01-02 00:00:00 +01:00,6.888888888888889
PT,O3,µg/m3,2020-01-02 01:00:00 +01:00,6.833333333333333
PT,O3,µg/m3,2020-01-02 02:00:00 +01:00,5.888888888888889
PT,O3,µg/m3,2020-01-02 03:00:00 +01:00,6.777777777777778
PT,O3,µg/m3,2020-01-02 04:00:00 +01:00,5.222222222222222
PT,O3,µg/m3,2020-01-02 05:00:00 +01:00,4.055555555555555
PT,O3,µg/m3,2020-01-02 06:00:00 +01:00,4.555555555555555
PT,O3,µg/m3,2020-01-02 07:00:00 +01:00,5.333333333333333
PT,O3,µg/m3,2020-01-02 08:00:00 +01:00,4.222222222222222
PT,O3,µg/m3,2020-01-02 09:00:00 +01:00,3.7222222222222223
PT,O3,µg/m3,2020-01-02 10:00:00 +01:00,5.0
PT,O3,µg/m3,2020-01-02 11:00:00 +01:00,7.111111111111111
PT,O3,µg/m3,2020-01-02 12:00:00 +01:00,8.833333333333334
PT,O3,µg/m3,2020-01-02 13:00:00 +01:00,12.38888888888889
PT,O3,µg/m3,2020-01-02 14:00:00 +01:00,13.11111111111111
PT,O3,µg/m3,2020-01-02 15:00:00 +01:00,13.88888888888889
PT,O3,µg/m3,2020-01-02 16:00:00 +01:00,12.666666666666666
PT,O3,µg/m3,2020-01-02 17:00:00 +01:00,9.88888888888889
PT,O3,µg/m3,2020-01-02 18:00:00 +01:00,4.777777777777778
PT,O3,µg/m3,2020-01-02 19:00:00 +01:00,3.8333333333333335
PT,O3,µg/m3,2020-01-02 20:00:00 +01:00,3.4444444444444446
PT,O3,µg/m3,2020-01-02 21:00:00 +01:00,3.7777777777777777
PT,O3,µg/m3,2020-01-02 22:00:00 +01:00,3.6666666666666665
PT,O3,µg/m3,2020-01-02 23:00:00 +01:00,4.888888888888889
PT,O3,µg/m3,2020-01-03 00:00:00 +01:00,4.333333333333333
PT,O3,µg/m3,2020-01-03 01:00:00 +01:00,4.222222222222222
PT,O3,µg/m3,2020-01-03 02:00:00 +01:00,5.722222222222222
PT,O3,µg/m3,2020-01-03 03:00:00 +01:00,5.055555555555555
PT,O3,µg/m3,2020-01-03 04:00:00 +01:00,6.0
PT,O3,µg/m3,2020-01-03 05:00:00 +01:00,6.888888888888889
PT,O3,µg/m3,2020-01-03 06:00:00 +01:00,6.666666666666667
PT,O3,µg/m3,2020-01-03 07:00:00 +01:00,5.222222222222222
PT,O3,µg/m3,2020-01-03 08:00:00 +01:00,2.888888888888889
PT,O3,µg/m3,2020-01-03 09:00:00 +01:00,3.111111111111111
PT,O3,µg/m3,2020-01-03 10:00:00 +01:00,5.111111111111111
PT,O3,µg/m3,2020-01-03 11:00:00 +01:00,9.722222222222221
PT,O3,µg/m3,2020-01-03 12:00:00 +01:00,15.38888888888889
PT,O3,µg/m3,2020-01-03 13:00:00 +01:00,24.666666666666668
PT,O3,µg/m3,2020-01-03 14:00:00 +01:00,38.82222222222222
PT,O3,µg/m3,2020-01-03 15:00:00 +01:00,45.766666666666666
PT,O3,µg/m3,2020-01-03 16:00:00 +01:00,43.37777777777777
PT,O3,µg/m3,2020-01-03 17:00:00 +01:00,33.15555555555555
PT,O3,µg/m3,2020-01-03 18:00:00 +01:00,21.22222222222222
PT,O3,µg/m3,2020-01-03 19:00:00 +01:00,11.277777777777779
PT,O3,µg/m3,2020-01-03 20:00:00 +01:00,8.61111111111111
PT,O3,µg/m3,2020-01-03 21:00:00 +01:00,8.333333333333334
PT,O3,µg/m3,2020-01-03 22:00:00 +01:00,11.0
PT,O3,µg/m3,2020-01-03 23:00:00 +01:00,13.666666666666666
PT,O3,µg/m3,2020-01-04 00:00:00 +01:00,12.777777777777779
PT,O3,µg/m3,2020-01-04 01:00:00 +01:00,13.555555555555555
PT,O3,µg/m3,2020-01-04 02:00:00 +01:00,17.77777777777778
PT,O3,µg/m3,2020-01-04 03:00:00 +01:00,24.077777777777776
PT,O3,µg/m3,2020-01-04 04:00:00 +01:00,25.11111111111111
PT,O3,µg/m3,2020-01-04 05:00:00 +01:00,22.166666666666668
PT,O3,µg/m3,2020-01-04 06:00:00 +01:00,14.444444444444445
PT,O3,µg/m3,2020-01-04 07:00:00 +01:00,6.166666666666667
PT,O3,µg/m3,2020-01-04 08:00:00 +01:00,6.555555555555555
PT,O3,µg/m3,2020-01-04 09:00:00 +01:00,7.277777777777778
PT,O3,µg/m3,2020-01-04 10:00:00 +01:00,13.222222222222221
PT,O3,µg/m3,2020-01-04 11:00:00 +01:00,30.38888888888889
PT,O3,µg/m3,2020-01-04 12:00:00 +01:00,41.37777777777777
PT,O3,µg/m3,2020-01-04 13:00:00 +01:00,45.266666666666666
PT,O3,µg/m3,2020-01-04 14:00:00 +01:00,46.266666666666666
PT,O3,µg/m3,2020-01-04 15:00:00 +01:00,47.93333333333333
PT,O3,µg/m3,2020-01-04 16:00:00 +01:00,49.599999999999994
PT,O3,µg/m3,2020-01-04 17:00:00 +01:00,41.72222222222222
PT,O3,µg/m3,2020-01-04 18:00:00 +01:00,25.5
PT,O3,µg/m3,2020-01-04 19:00:00 +01:00,13.944444444444445
PT,O3,µg/m3,2020-01-04 20:00:00 +01:00,10.5
PT,O3,µg/m3,2020-01-04 21:00:00 +01:00,18.444444444444443
PT,O3,µg/m3,2020-01-04 22:00:00 +01:00,20.88888888888889
PT,O3,µg/m3,2020-01-04 23:00:00 +01:00,20.88888888888889
PT,O3,µg/m3,2020-01-05 00:00:00 +01:00,22.77777777777778
PT,O3,µg/m3,2020-01-05 01:00:00 +01:00,27.61111111111111
PT,O3,µg/m3,2020-01-05 02:00:00 +01:00,31.22222222222222
PT,O3,µg/m3,2020-01-05 03:00:00 +01:00,35.611111111111114
PT,O3,µg/m3,2020-01-05 04:00:00 +01:00,35.37777777777777
PT,O3,µg/m3,2020-01-05 05:00:00 +01:00,34.43333333333333
PT,O3,µg/m3,2020-01-05 06:00:00 +01:00,32.98888888888889
PT,O3,µg/m3,2020-01-05 07:00:00 +01:00,31.944444444444443
PT,O3,µg/m3,2020-01-05 08:00:00 +01:00,28.61111111111111
PT,O3,µg/m3,2020-01-05 09:00:00 +01:00,26.055555555555557
PT,O3,µg/m3,2020-01-05 10:00:00 +01:00,29.666666666666668
PT,O3,µg/m3,2020-01-05 11:00:00 +01:00,35.93333333333333
PT,O3,µg/m3,2020-01-05 12:00:00 +01:00,36.71111111111111
PT,O3,µg/m3,2020-01-05 13:00:00 +01:00,37.766666666666666
PT,O3,µg/m3,2020-01-05 14:00:00 +01:00,39.599999999999994
PT,O3,µg/m3,2020-01-05 15:00:00 +01:00,41.15555555555555
PT,O3,µg/m3,2020-01-05 16:00:00 +01:00,41.544444444444444
PT,O3,µg/m3,2020-01-05 17:00:00 +01:00,33.55555555555556
PT,O3,µg/m3,2020-01-05 18:00:00 +01:00,12.944444444444445
PT,O3,µg/m3,2020-01-05 19:00:00 +01:00,7.333333333333333
PT,O3,µg/m3,2020-01-05 20:00:00 +01:00,6.166666666666667
PT,O3,µg/m3,2020-01-05 21:00:00 +01:00,5.888888888888889
PT,O3,µg/m3,2020-01-05 22:00:00 +01:00,5.333333333333333
PT,O3,µg/m3,2020-01-05 23:00:00 +01:00,5.555555555555555
PT,O3,µg/m3,2020-01-06 00:00:00 +01:00,5.944444444444445
PT,O3,µg/m3,2020-01-06 01:00:00 +01:00,5.611111111111111
PT,O3,µg/m3,2020-01-06 02:00:00 +01:00,6.722222222222222
PT,O3,µg/m3,2020-01-06 03:00:00 +01:00,8.222222222222221
PT,O3,µg/m3,2020-01-06 04:00:00 +01:00,9.0
PT,O3,µg/m3,2020-01-06 05:00:00 +01:00,6.888888888888889
PT,O3,µg/m3,2020-01-06 06:00:00 +01:00,5.722222222222222
PT,O3,µg/m3,2020-01-06 07:00:00 +01:00,4.666666666666667
PT,O3,µg/m3,2020-01-06 08:00:00 +01:00,2.7222222222222223
PT,O3,µg/m3,2020-01-06 09:00:00 +01:00,2.888888888888889
PT,O3,µg/m3,2020-01-06 10:00:00 +01:00,4.666666666666667
PT,O3,µg/m3,2020-01-06 11:00:00 +01:00,9.722222222222221
PT,O3,µg/m3,2020-01-06 12:00:00 +01:00,14.333333333333334
PT,O3,µg/m3,2020-01-06 13:00:00 +01:00,21.044444444444444
PT,O3,µg/m3,2020-01-06 14:00:00 +01:00,27.544444444444444
PT,O3,µg/m3,2020-01-06 15:00:00 +01:00,30.27777777777778
PT,O3,µg/m3,2020-01-06 16:00:00 +01:00,29.72222222222222
PT,O3,µg/m3,2020-01-06 17:00:00 +01:00,21.61111111111111
PT,O3,µg/m3,2020-01-06 18:00:00 +01:00,8.055555555555555
PT,O3,µg/m3,2020-01-06 19:00:00 +01:00,4.833333333333333
PT,O3,µg/m3,2020-01-06 20:00:00 +01:00,5.555555555555555
PT,O3,µg/m3,2020-01-06 21:00:00 +01:00,8.833333333333334
PT,O3,µg/m3,2020-01-06 22:00:00 +01:00,10.277777777777779
PT,O3,µg/m3,2020-01-06 23:00:00 +01:00,10.444444444444445
PT,O3,µg/m3,2020-01-07 00:00:00 +01:00,9.333333333333334
PT,O3,µg/m3,2020-01-07 01:00:00 +01:00,10.0
PT,O3,µg/m3,2020-01-07 02:00:00 +01:00,9.444444444444445
PT,O3,µg/m3,2020-01-07 03:00:00 +01:00,9.61111111111111
PT,O3,µg/m3,2020-01-07 04:00:00 +01:00,8.055555555555555
PT,O3,µg/m3,2020-01-07 05:00:00 +01:00,10.444444444444445
PT,O3,µg/m3,2020-01-07 06:00:00 +01:00,9.555555555555555
PT,O3,µg/m3,2020-01-07 07:00:00 +01:00,7.666666666666667
PT,O3,µg/m3,2020-01-07 08:00:00 +01:00,3.8333333333333335
PT,O3,µg/m3,2020-01-07 09:00:00 +01:00,3.6666666666666665
PT,O3,µg/m3,2020-01-07 10:00:00 +01:00,6.888888888888889
PT,O3,µg/m3,2020-01-07 11:00:00 +01:00,10.277777777777779
PT,O3,µg/m3,2020-01-07 12:00:00 +01:00,15.444444444444445
PT,O3,µg/m3,2020-01-07 13:00:00 +01:00,22.27777777777778
PT,O3,µg/m3,2020-01-07 14:00:00 +01:00,27.11111111111111
PT,O3,µg/m3,2020-01-07 15:00:00 +01:00,26.77777777777778
PT,O3,µg/m3,2020-01-07 16:00:00 +01:00,28.0
PT,O3,µg/m3,2020-01-07 17:00:00 +01:00,23.5
PT,O3,µg/m3,2020-01-07 18:00:00 +01:00,12.0
PT,O3,µg/m3,2020-01-07 19:00:00 +01:00,13.055555555555555
PT,O3,µg/m3,2020-01-07 20:00:00 +01:00,13.88888888888889
PT,O3,µg/m3,2020-01-07 21:00:00 +01:00,17.333333333333332
PT,O3,µg/m3,2020-01-07 22:00:00 +01:00,25.72222222222222
PT,O3,µg/m3,2020-01-07 23:00:00 +01:00,35.333333333333336
PT,O3,µg/m3,2020-01-08 00:00:00 +01:00,33.888888888888886
PT,O3,µg/m3,2020-01-08 01:00:00 +01:00,34.611111111111114
