Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean pm10 (µg/m3)
PT,PM10,µg/m3,2014-01-01 00:00:00 +01:00,43.083333331666665
PT,PM10,µg/m3,2014-01-01 01:00:00 +01:00,39.87499999999999
PT,PM10,µg/m3,2014-01-01 02:00:00 +01:00,35.262499999999996
PT,PM10,µg/m3,2014-01-01 03:00:00 +01:00,34.087500000000006
PT,PM10,µg/m3,2014-01-01 04:00:00 +01:00,30.674999999999997
PT,PM10,µg/m3,2014-01-01 05:00:00 +01:00,26.112499999999997
PT,PM10,µg/m3,2014-01-01 06:00:00 +01:00,25.337500000000002
PT,PM10,µg/m3,2014-01-01 07:00:00 +01:00,22.900000000000002
PT,PM10,µg/m3,2014-01-01 08:00:00 +01:00,21.7
PT,PM10,µg/m3,2014-01-01 09:00:00 +01:00,20.962500000000002
PT,PM10,µg/m3,2014-01-01 10:00:00 +01:00,19.900000000000002
PT,PM10,µg/m3,2014-01-01 11:00:00 +01:00,18.9875
PT,PM10,µg/m3,2014-01-01 12:00:00 +01:00,18.225
PT,PM10,µg/m3,2014-01-01 13:00:00 +01:00,17.287499999999998
PT,PM10,µg/m3,2014-01-01 14:00:00 +01:00,17.4875
PT,PM10,µg/m3,2014-01-01 15:00:00 +01:00,16.625
PT,PM10,µg/m3,2014-01-01 16:00:00 +01:00,16.8125
PT,PM10,µg/m3,2014-01-01 17:00:00 +01:00,18.487500000000004
PT,PM10,µg/m3,2014-01-01 18:00:00 +01:00,19.6375
PT,PM10,µg/m3,2014-01-01 19:00:00 +01:00,19.8375
PT,PM10,µg/m3,2014-01-01 20:00:00 +01:00,20.575
PT,PM10,µg/m3,2014-01-01 21:00:00 +01:00,23.625
PT,PM10,µg/m3,2014-01-01 22:00:00 +01:00,23.575
PT,PM10,µg/m3,2014-01-01 23:00:00 +01:00,21.775
PT,PM10,µg/m3,2014-01-02 00:00:00 +01:00,21.3875
PT,PM10,µg/m3,2014-01-02 01:00:00 +01:00,20.362499999999997
PT,PM10,µg/m3,2014-01-02 02:00:00 +01:00,18.912499999999998
PT,PM10,µg/m3,2014-01-02 03:00:00 +01:00,16.75
PT,PM10,µg/m3,2014-01-02 04:00:00 +01:00,16.4
PT,PM10,µg/m3,2014-01-02 05:00:00 +01:00,16.4125
PT,PM10,µg/m3,2014-01-02 06:00:00 +01:00,16.1375
PT,PM10,µg/m3,2014-01-02 07:00:00 +01:00,17.725
PT,PM10,µg/m3,2014-01-02 08:00:00 +01:00,20.2625
PT,PM10,µg/m3,2014-01-02 09:00:00 +01:00,21.35
PT,PM10,µg/m3,2014-01-02 10:00:00 +01:00,21.662499999999998
PT,PM10,µg/m3,2014-01-02 11:00:00 +01:00,22.474999999999998
PT,PM10,µg/m3,2014-01-02 12:00:00 +01:00,22.1625
PT,PM10,µg/m3,2014-01-02 13:00:00 +01:00,20.012499999999996
PT,PM10,µg/m3,2014-01-02 14:00:00 +01:00,19.9125
PT,PM10,µg/m3,2014-01-02 15:00:00 +01:00,20.337500000000002
PT,PM10,µg/m3,2014-01-02 16:00:00 +01:00,21.675
PT,PM10,µg/m3,2014-01-02 17:00:00 +01:00,25.3625
PT,PM10,µg/m3,2014-01-02 18:00:00 +01:00,26.4875
PT,PM10,µg/m3,2014-01-02 19:00:00 +01:00,27.662499999999998
PT,PM10,µg/m3,2014-01-02 20:00:00 +01:00,25.925
PT,PM10,µg/m3,2014-01-02 21:00:00 +01:00,25.587500000000002
PT,PM10,µg/m3,2014-01-02 22:00:00 +01:00,24.825000000000003
PT,PM10,µg/m3,2014-01-02 23:00:00 +01:00,22.3
PT,PM10,µg/m3,2014-01-03 00:00:00 +01:00,22.212500000000002
PT,PM10,µg/m3,2014-01-03 01:00:00 +01:00,20.925
PT,PM10,µg/m3,2014-01-03 02:00:00 +01:00,19.05
PT,PM10,µg/m3,2014-01-03 03:00:00 +01:00,17.837500000000002
PT,PM10,µg/m3,2014-01-03 04:00:00 +01:00,16.55
PT,PM10,µg/m3,2014-01-03 05:00:00 +01:00,14.974999999999998
PT,PM10,µg/m3,2014-01-03 06:00:00 +01:00,14.549999999999997
PT,PM10,µg/m3,2014-01-03 07:00:00 +01:00,13.55
PT,PM10,µg/m3,2014-01-03 08:00:00 +01:00,13.8125
PT,PM10,µg/m3,2014-01-03 09:00:00 +01:00,15.125
PT,PM10,µg/m3,2014-01-03 10:00:00 +01:00,13.75
PT,PM10,µg/m3,2014-01-03 11:00:00 +01:00,11.462500000000002
PT,PM10,µg/m3,2014-01-03 12:00:00 +01:00,10.5625
PT,PM10,µg/m3,2014-01-03 13:00:00 +01:00,8.8
PT,PM10,µg/m3,2014-01-03 14:00:00 +01:00,8.2375
PT,PM10,µg/m3,2014-01-03 15:00:00 +01:00,7.825
PT,PM10,µg/m3,2014-01-03 16:00:00 +01:00,8.775
PT,PM10,µg/m3,2014-01-03 17:00:00 +01:00,10.387499999999998
PT,PM10,µg/m3,2014-01-03 18:00:00 +01:00,12.362499999999999
PT,PM10,µg/m3,2014-01-03 19:00:00 +01:00,17.7
PT,PM10,µg/m3,2014-01-03 20:00:00 +01:00,20.200000000000003
PT,PM10,µg/m3,2014-01-03 21:00:00 +01:00,24.166666666666668
PT,PM10,µg/m3,2014-01-03 22:00:00 +01:00,25.755555555555553
PT,PM10,µg/m3,2014-01-03 23:00:00 +01:00,24.96666666666667
PT,PM10,µg/m3,2014-01-04 00:00:00 +01:00,23.011111111111113
PT,PM10,µg/m3,2014-01-04 01:00:00 +01:00,22.877777777777776
PT,PM10,µg/m3,2014-01-04 02:00:00 +01:00,24.255555555555553
PT,PM10,µg/m3,2014-01-04 03:00:00 +01:00,25.855555555555558
PT,PM10,µg/m3,2014-01-04 04:00:00 +01:00,26.0
PT,PM10,µg/m3,2014-01-04 05:00:00 +01:00,23.933333333333334
PT,PM10,µg/m3,2014-01-04 06:00:00 +01:00,23.38888888888889
PT,PM10,µg/m3,2014-01-04 07:00:00 +01:00,25.033333333333335
PT,PM10,µg/m3,2014-01-04 08:00:00 +01:00,27.355555555555554
PT,PM10,µg/m3,2014-01-04 09:00:00 +01:00,29.011111111111113
PT,PM10,µg/m3,2014-01-04 10:00:00 +01:00,29.75555555555555
PT,PM10,µg/m3,2014-01-04 11:00:00 +01:00,27.61111111111111
PT,PM10,µg/m3,2014-01-04 12:00:00 +01:00,25.322222222222223
PT,PM10,µg/m3,2014-01-04 13:00:00 +01:00,21.62222222222222
PT,PM10,µg/m3,2014-01-04 14:00:00 +01:00,18.544444444444448
PT,PM10,µg/m3,2014-01-04 15:00:00 +01:00,18.555555555555557
PT,PM10,µg/m3,2014-01-04 16:00:00 +01:00,21.766666666666666
PT,PM10,µg/m3,2014-01-04 17:00:00 +01:00,25.822222222222223
PT,PM10,µg/m3,2014-01-04 18:00:00 +01:00,28.133333333333336
PT,PM10,µg/m3,2014-01-04 19:00:00 +01:00,34.94444444444444
PT,PM10,µg/m3,2014-01-04 20:00:00 +01:00,42.58888888888888
PT,PM10,µg/m3,2014-01-04 21:00:00 +01:00,53.222222222222214
PT,PM10,µg/m3,2014-01-04 22:00:00 +01:00,56.5625
PT,PM10,µg/m3,2014-01-04 23:00:00 +01:00,59.2
PT,PM10,µg/m3,2014-01-05 00:00:00 +01:00,63.762499999999996
PT,PM10,µg/m3,2014-01-05 01:00:00 +01:00,62.724999999999994
PT,PM10,µg/m3,2014-01-05 02:00:00 +01:00,60.925
PT,PM10,µg/m3,2014-01-05 03:00:00 +01:00,62.088888888888896
PT,PM10,µg/m3,2014-01-05 04:00:00 +01:00,53.055555555555564
PT,PM10,µg/m3,2014-01-05 05:00:00 +01:00,44.13333333333333
PT,PM10,µg/m3,2014-01-05 06:00:00 +01:00,42.277777777777786
PT,PM10,µg/m3,2014-01-05 07:00:00 +01:00,38.333333333333336
PT,PM10,µg/m3,2014-01-05 08:00:00 +01:00,36.72222222222222
PT,PM10,µg/m3,2014-01-05 09:00:00 +01:00,36.25555555555555
PT,PM10,µg/m3,2014-01-05 10:00:00 +01:00,35.31111111111111
PT,PM10,µg/m3,2014-01-05 11:00:00 +01:00,35.011111111111106
PT,PM10,µg/m3,2014-01-05 12:00:00 +01:00,32.2
PT,PM10,µg/m3,2014-01-05 13:00:00 +01:00,28.62222222222222
PT,PM10,µg/m3,2014-01-05 14:00:00 +01:00,28.299999999999997
PT,PM10,µg/m3,2014-01-05 15:00:00 +01:00,28.666666666666668
PT,PM10,µg/m3,2014-01-05 16:00:00 +01:00,28.88888888888889
PT,PM10,µg/m3,2014-01-05 17:00:00 +01:00,29.08888888888889
PT,PM10,µg/m3,2014-01-05 18:00:00 +01:00,31.32222222222222
PT,PM10,µg/m3,2014-01-05 19:00:00 +01:00,34.53333333333333
PT,PM10,µg/m3,2014-01-05 20:00:00 +01:00,32.544444444444444
PT,PM10,µg/m3,2014-01-05 21:00:00 +01:00,29.15555555555555
PT,PM10,µg/m3,2014-01-05 22:00:00 +01:00,28.622222222222224
PT,PM10,µg/m3,2014-01-05 23:00:00 +01:00,28.211111111111112
PT,PM10,µg/m3,2014-01-06 00:00:00 +01:00,26.410000000000004
PT,PM10,µg/m3,2014-01-06 01:00:00 +01:00,28.54444444444444
PT,PM10,µg/m3,2014-01-06 02:00:00 +01:00,26.666666666666668
PT,PM10,µg/m3,2014-01-06 03:00:00 +01:00,24.9
PT,PM10,µg/m3,2014-01-06 04:00:00 +01:00,23.625
PT,PM10,µg/m3,2014-01-06 05:00:00 +01:00,24.0
PT,PM10,µg/m3,2014-01-06 06:00:00 +01:00,24.775000000000002
PT,PM10,µg/m3,2014-01-06 07:00:00 +01:00,25.025
PT,PM10,µg/m3,2014-01-06 08:00:00 +01:00,25.137500000000003
PT,PM10,µg/m3,2014-01-06 09:00:00 +01:00,23.9625
PT,PM10,µg/m3,2014-01-06 10:00:00 +01:00,23.43333333333333
PT,PM10,µg/m3,2014-01-06 11:00:00 +01:00,22.1125
PT,PM10,µg/m3,2014-01-06 12:00:00 +01:00,22.900000000000002
PT,PM10,µg/m3,2014-01-06 13:00:00 +01:00,22.200000000000003
PT,PM10,µg/m3,2014-01-06 14:00:00 +01:00,22.466666666666665
PT,PM10,µg/m3,2014-01-06 15:00:00 +01:00,24.266666666666666
PT,PM10,µg/m3,2014-01-06 16:00:00 +01:00,25.61111111111111
PT,PM10,µg/m3,2014-01-06 17:00:00 +01:00,26.977777777777778
PT,PM10,µg/m3,2014-01-06 18:00:00 +01:00,26.944444444444443
PT,PM10,µg/m3,2014-01-06 19:00:00 +01:00,25.95
PT,PM10,µg/m3,2014-01-06 20:00:00 +01:00,22.57
PT,PM10,µg/m3,2014-01-06 21:00:00 +01:00,19.619999999999997
PT,PM10,µg/m3,2014-01-06 22:00:00 +01:00,15.499999999999996
PT,PM10,µg/m3,2014-01-06 23:00:00 +01:00,12.930000000000001
PT,PM10,µg/m3,2014-01-07 00:00:00 +01:00,11.099999999999998
PT,PM10,µg/m3,2014-01-07 01:00:00 +01:00,10.040000000000001
PT,PM10,µg/m3,2014-01-07 02:00:00 +01:00,10.110000000000001
PT,PM10,µg/m3,2014-01-07 03:00:00 +01:00,10.9
PT,PM10,µg/m3,2014-01-07 04:00:00 +01:00,10.61
PT,PM10,µg/m3,2014-01-07 05:00:00 +01:00,8.16
PT,PM10,µg/m3,2014-01-07 06:00:00 +01:00,9.622222222222222
PT,PM10,µg/m3,2014-01-07 07:00:00 +01:00,8.855555555555558
PT,PM10,µg/m3,2014-01-07 08:00:00 +01:00,7.937500000000001
PT,PM10,µg/m3,2014-01-07 09:00:00 +01:00,7.9
PT,PM10,µg/m3,2014-01-07 10:00:00 +01:00,8.822222222222223
PT,PM10,µg/m3,2014-01-07 11:00:00 +01:00,9.21111111111111
PT,PM10,µg/m3,2014-01-07 12:00:00 +01:00,8.0
PT,PM10,µg/m3,2014-01-07 13:00:00 +01:00,6.711111111111111
PT,PM10,µg/m3,2014-01-07 14:00:00 +01:00,7.122222222222222
PT,PM10,µg/m3,2014-01-07 15:00:00 +01:00,8.077777777777778
PT,PM10,µg/m3,2014-01-07 16:00:00 +01:00,9.722222222222223
PT,PM10,µg/m3,2014-01-07 17:00:00 +01:00,11.488888888888889
PT,PM10,µg/m3,2014-01-07 18:00:00 +01:00,13.366666666666667
PT,PM10,µg/m3,2014-01-07 19:00:00 +01:00,15.966666666666665
PT,PM10,µg/m3,2014-01-07 20:00:00 +01:00,15.255555555555556
PT,PM10,µg/m3,2014-01-07 21:00:00 +01:00,14.766666666666667
PT,PM10,µg/m3,2014-01-07 22:00:00 +01:00,17.17777777777778
PT,PM10,µg/m3,2014-01-07 23:00:00 +01:00,18.155555555555555
PT,PM10,µg/m3,2014-01-08 00:00:00 +01:00,18.48
PT,PM10,µg/m3,2014-01-08 01:00:00 +01:00,16.055555555555557
PT,PM10,µg/m3,2014-01-08 02:00:00 +01:00,16.72222222222222
PT,PM10,µg/m3,2014-01-08 03:00:00 +01:00,17.255555555555556
PT,PM10,µg/m3,2014-01-08 04:00:00 +01:00,14.944444444444445
PT,PM10,µg/m3,2014-01-08 05:00:00 +01:00,14.08888888888889
PT,PM10,µg/m3,2014-01-08 06:00:00 +01:00,15.444444444444448
PT,PM10,µg/m3,2014-01-08 07:00:00 +01:00,15.155555555555557
PT,PM10,µg/m3,2014-01-08 08:00:00 +01:00,17.233333333333334
PT,PM10,µg/m3,2014-01-08 09:00:00 +01:00,20.41
PT,PM10,µg/m3,2014-01-08 10:00:00 +01:00,25.49
PT,PM10,µg/m3,2014-01-08 11:00:00 +01:00,28.110000000000003
PT,PM10,µg/m3,2014-01-08 12:00:00 +01:00,31.079999999999995
PT,PM10,µg/m3,2014-01-08 13:00:00 +01:00,31.877777777777776
PT,PM10,µg/m3,2014-01-08 14:00:00 +01:00,34.25555555555556
PT,PM10,µg/m3,2014-01-08 15:00:00 +01:00,36.955555555555556
PT,PM10,µg/m3,2014-01-08 16:00:00 +01:00,36.75555555555556
PT,PM10,µg/m3,2014-01-08 17:00:00 +01:00,37.75555555555556
PT,PM10,µg/m3,2014-01-08 18:00:00 +01:00,42.34444444444444
PT,PM10,µg/m3,2014-01-08 19:00:00 +01:00,43.64444444444444
PT,PM10,µg/m3,2014-01-08 20:00:00 +01:00,43.77777777777778
PT,PM10,µg/m3,2014-01-08 21:00:00 +01:00,43.0
PT,PM10,µg/m3,2014-01-08 22:00:00 +01:00,42.12222222222223
PT,PM10,µg/m3,2014-01-08 23:00:00 +01:00,41.62222222222223
PT,PM10,µg/m3,2014-01-09 00:00:00 +01:00,37.63
PT,PM10,µg/m3,2014-01-09 01:00:00 +01:00,33.18888888888889
PT,PM10,µg/m3,2014-01-09 02:00:00 +01:00,27.65555555555556
PT,PM10,µg/m3,2014-01-09 03:00:00 +01:00,25.25
PT,PM10,µg/m3,2014-01-09 04:00:00 +01:00,22.787499999999998
