Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean no2 (µg/m3)
GB,NO2,µg/m3,2016-01-01 00:00:00 +01:00,36.985679166666664
GB,NO2,µg/m3,2016-01-01 01:00:00 +01:00,39.36466916416666
GB,NO2,µg/m3,2016-01-01 02:00:00 +01:00,51.81795636000001
GB,NO2,µg/m3,2016-01-01 03:00:00 +01:00,56.20925332833335
GB,NO2,µg/m3,2016-01-01 04:00:00 +01:00,54.88608082916665
GB,NO2,µg/m3,2016-01-01 05:00:00 +01:00,55.20745999666667
GB,NO2,µg/m3,2016-01-01 06:00:00 +01:00,56.45010749583333
GB,NO2,µg/m3,2016-01-01 07:00:00 +01:00,58.37400249666666
GB,NO2,µg/m3,2016-01-01 08:00:00 +01:00,58.28706416333333
GB,NO2,µg/m3,2016-01-01 09:00:00 +01:00,59.50847416166667
GB,NO2,µg/m3,2016-01-01 10:00:00 +01:00,53.65801666083334
GB,NO2,µg/m3,2016-01-01 11:00:00 +01:00,49.5702066625
GB,NO2,µg/m3,2016-01-01 12:00:00 +01:00,45.533756661666665
GB,NO2,µg/m3,2016-01-01 13:00:00 +01:00,41.80979832916667
GB,NO2,µg/m3,2016-01-01 14:00:00 +01:00,42.86075832916668
GB,NO2,µg/m3,2016-01-01 15:00:00 +01:00,45.05140666416667
GB,NO2,µg/m3,2016-01-01 16:00:00 +01:00,38.124770829999996
GB,NO2,µg/m3,2016-01-01 17:00:00 +01:00,34.83933583
GB,NO2,µg/m3,2016-01-01 18:00:00 +01:00,32.47899166416668
GB,NO2,µg/m3,2016-01-01 19:00:00 +01:00,29.746307495833335
GB,NO2,µg/m3,2016-01-01 20:00:00 +01:00,27.668974995833334
GB,NO2,µg/m3,2016-01-01 21:00:00 +01:00,25.8180733275
GB,NO2,µg/m3,2016-01-01 22:00:00 +01:00,23.302339164166668
GB,NO2,µg/m3,2016-01-01 23:00:00 +01:00,23.527454995833327
GB,NO2,µg/m3,2016-01-02 00:00:00 +01:00,21.67261166333333
GB,NO2,µg/m3,2016-01-02 01:00:00 +01:00,17.20352499666667
GB,NO2,µg/m3,2016-01-02 02:00:00 +01:00,15.740528179090909
GB,NO2,µg/m3,2016-01-02 03:00:00 +01:00,13.838572496666666
GB,NO2,µg/m3,2016-01-02 04:00:00 +01:00,12.944517497500001
GB,NO2,µg/m3,2016-01-02 05:00:00 +01:00,13.495119164166665
GB,NO2,µg/m3,2016-01-02 06:00:00 +01:00,14.3707641625
GB,NO2,µg/m3,2016-01-02 07:00:00 +01:00,24.10797916333333
GB,NO2,µg/m3,2016-01-02 08:00:00 +01:00,24.243168329166668
GB,NO2,µg/m3,2016-01-02 09:00:00 +01:00,24.857798331666668
GB,NO2,µg/m3,2016-01-02 10:00:00 +01:00,27.708859164166665
GB,NO2,µg/m3,2016-01-02 11:00:00 +01:00,28.609087498333334
GB,NO2,µg/m3,2016-01-02 12:00:00 +01:00,28.679810830833336
GB,NO2,µg/m3,2016-01-02 13:00:00 +01:00,29.084622495833333
GB,NO2,µg/m3,2016-01-02 14:00:00 +01:00,31.681917494166665
GB,NO2,µg/m3,2016-01-02 15:00:00 +01:00,35.85997166416666
GB,NO2,µg/m3,2016-01-02 16:00:00 +01:00,44.06722749583334
GB,NO2,µg/m3,2016-01-02 17:00:00 +01:00,44.507779995
GB,NO2,µg/m3,2016-01-02 18:00:00 +01:00,40.941924164166664
GB,NO2,µg/m3,2016-01-02 19:00:00 +01:00,37.84717916333334
GB,NO2,µg/m3,2016-01-02 20:00:00 +01:00,32.40818916416667
GB,NO2,µg/m3,2016-01-02 21:00:00 +01:00,28.54422166583333
GB,NO2,µg/m3,2016-01-02 22:00:00 +01:00,27.723122496666665
GB,NO2,µg/m3,2016-01-02 23:00:00 +01:00,28.008084996666668
GB,NO2,µg/m3,2016-01-03 00:00:00 +01:00,26.14829833
GB,NO2,µg/m3,2016-01-03 01:00:00 +01:00,18.887587496666665
GB,NO2,µg/m3,2016-01-03 02:00:00 +01:00,13.28818090727273
GB,NO2,µg/m3,2016-01-03 03:00:00 +01:00,9.5999916625
GB,NO2,µg/m3,2016-01-03 04:00:00 +01:00,8.785188333333332
GB,NO2,µg/m3,2016-01-03 05:00:00 +01:00,13.619670830833336
GB,NO2,µg/m3,2016-01-03 06:00:00 +01:00,20.120257495833332
GB,NO2,µg/m3,2016-01-03 07:00:00 +01:00,36.384198330833335
GB,NO2,µg/m3,2016-01-03 08:00:00 +01:00,40.41120499666667
GB,NO2,µg/m3,2016-01-03 09:00:00 +01:00,34.77462916166667
GB,NO2,µg/m3,2016-01-03 10:00:00 +01:00,28.58398583
GB,NO2,µg/m3,2016-01-03 11:00:00 +01:00,27.10012666333333
GB,NO2,µg/m3,2016-01-03 12:00:00 +01:00,26.11032666333333
GB,NO2,µg/m3,2016-01-03 13:00:00 +01:00,26.32628166166667
GB,NO2,µg/m3,2016-01-03 14:00:00 +01:00,27.470432494166662
GB,NO2,µg/m3,2016-01-03 15:00:00 +01:00,29.915724994999994
GB,NO2,µg/m3,2016-01-03 16:00:00 +01:00,39.26553749833334
GB,NO2,µg/m3,2016-01-03 17:00:00 +01:00,49.96426166333334
GB,NO2,µg/m3,2016-01-03 18:00:00 +01:00,60.747335830000004
GB,NO2,µg/m3,2016-01-03 19:00:00 +01:00,72.82357749583333
GB,NO2,µg/m3,2016-01-03 20:00:00 +01:00,71.92741166166667
GB,NO2,µg/m3,2016-01-03 21:00:00 +01:00,66.67126416500001
GB,NO2,µg/m3,2016-01-03 22:00:00 +01:00,61.1357724975
GB,NO2,µg/m3,2016-01-03 23:00:00 +01:00,50.4184816625
GB,NO2,µg/m3,2016-01-04 00:00:00 +01:00,42.771469161666666
GB,NO2,µg/m3,2016-01-04 01:00:00 +01:00,39.34958249583334
GB,NO2,µg/m3,2016-01-04 02:00:00 +01:00,28.792130997999998
GB,NO2,µg/m3,2016-01-04 03:00:00 +01:00,24.079371663333333
GB,NO2,µg/m3,2016-01-04 04:00:00 +01:00,22.201534163333335
GB,NO2,µg/m3,2016-01-04 05:00:00 +01:00,26.421227495
GB,NO2,µg/m3,2016-01-04 06:00:00 +01:00,35.59281999583334
GB,NO2,µg/m3,2016-01-04 07:00:00 +01:00,54.10761333
GB,NO2,µg/m3,2016-01-04 08:00:00 +01:00,66.24067249583334
GB,NO2,µg/m3,2016-01-04 09:00:00 +01:00,67.66859499666667
GB,NO2,µg/m3,2016-01-04 10:00:00 +01:00,62.79426916166667
GB,NO2,µg/m3,2016-01-04 11:00:00 +01:00,54.43572666416666
GB,NO2,µg/m3,2016-01-04 12:00:00 +01:00,43.50734333083334
GB,NO2,µg/m3,2016-01-04 13:00:00 +01:00,44.063043329166675
GB,NO2,µg/m3,2016-01-04 14:00:00 +01:00,45.599141663333334
GB,NO2,µg/m3,2016-01-04 15:00:00 +01:00,52.560242495000004
GB,NO2,µg/m3,2016-01-04 16:00:00 +01:00,59.96233416416667
GB,NO2,µg/m3,2016-01-04 17:00:00 +01:00,66.14668249916666
GB,NO2,µg/m3,2016-01-04 18:00:00 +01:00,64.302154995
GB,NO2,µg/m3,2016-01-04 19:00:00 +01:00,61.61310082833334
GB,NO2,µg/m3,2016-01-04 20:00:00 +01:00,53.711408329166666
GB,NO2,µg/m3,2016-01-04 21:00:00 +01:00,46.30198332833333
GB,NO2,µg/m3,2016-01-04 22:00:00 +01:00,42.53427833
GB,NO2,µg/m3,2016-01-04 23:00:00 +01:00,38.31371082833333
GB,NO2,µg/m3,2016-01-05 00:00:00 +01:00,31.4405433325
GB,NO2,µg/m3,2016-01-05 01:00:00 +01:00,21.69869583083333
GB,NO2,µg/m3,2016-01-05 02:00:00 +01:00,16.98788544909091
