Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean o3 (µg/m3)
GB,O3,µg/m3,2019-01-01 01:00:00 +01:00,45.741444
GB,O3,µg/m3,2019-01-01 02:00:00 +01:00,48.17619800000001
GB,O3,µg/m3,2019-01-01 03:00:00 +01:00,51.648716
GB,O3,µg/m3,2019-01-01 04:00:00 +01:00,56.238825999999996
GB,O3,µg/m3,2019-01-01 05:00:00 +01:00,48.136284
GB,O3,µg/m3,2019-01-01 06:00:00 +01:00,36.840621999999996
GB,O3,µg/m3,2019-01-01 07:00:00 +01:00,35.52346
GB,O3,µg/m3,2019-01-01 08:00:00 +01:00,29.097306000000003
GB,O3,µg/m3,2019-01-01 09:00:00 +01:00,29.017478
GB,O3,µg/m3,2019-01-01 10:00:00 +01:00,27.979714
GB,O3,µg/m3,2019-01-01 11:00:00 +01:00,33.487846
GB,O3,µg/m3,2019-01-01 12:00:00 +01:00,40.871936
GB,O3,µg/m3,2019-01-01 13:00:00 +01:00,44.90325
GB,O3,µg/m3,2019-01-01 14:00:00 +01:00,45.382217999999995
GB,O3,µg/m3,2019-01-01 15:00:00 +01:00,41.9097
GB,O3,µg/m3,2019-01-01 16:00:00 +01:00,37.51916
GB,O3,µg/m3,2019-01-01 17:00:00 +01:00,39.554773999999995
GB,O3,µg/m3,2019-01-01 18:00:00 +01:00,48.974478
GB,O3,µg/m3,2019-01-01 19:00:00 +01:00,36.72088
GB,O3,µg/m3,2019-01-01 20:00:00 +01:00,49.93241400000001
GB,O3,µg/m3,2019-01-01 21:00:00 +01:00,47.537574
GB,O3,µg/m3,2019-01-01 22:00:00 +01:00,52.92596400000001
GB,O3,µg/m3,2019-01-01 23:00:00 +01:00,52.12768400000001
GB,O3,µg/m3,2019-01-02 00:00:00 +01:00,50.730694
GB,O3,µg/m3,2019-01-02 01:00:00 +01:00,52.36716800000001
GB,O3,µg/m3,2019-01-02 02:00:00 +01:00,52.28733999999999
GB,O3,µg/m3,2019-01-02 03:00:00 +01:00,55.68003
GB,O3,µg/m3,2019-01-02 04:00:00 +01:00,61.26799000000001
GB,O3,µg/m3,2019-01-02 05:00:00 +01:00,58.833236
GB,O3,µg/m3,2019-01-02 06:00:00 +01:00,53.564588
GB,O3,µg/m3,2019-01-02 07:00:00 +01:00,43.665916
GB,O3,µg/m3,2019-01-02 08:00:00 +01:00,34.884836
GB,O3,µg/m3,2019-01-02 09:00:00 +01:00,36.561223999999996
GB,O3,µg/m3,2019-01-02 10:00:00 +01:00,35.164234
GB,O3,µg/m3,2019-01-02 11:00:00 +01:00,38.277526
GB,O3,µg/m3,2019-01-02 12:00:00 +01:00,42.388667999999996
GB,O3,µg/m3,2019-01-02 13:00:00 +01:00,42.987378
GB,O3,µg/m3,2019-01-02 14:00:00 +01:00,49.09422
GB,O3,µg/m3,2019-01-02 15:00:00 +01:00,50.451296
GB,O3,µg/m3,2019-01-02 16:00:00 +01:00,42.608194999999995
GB,O3,µg/m3,2019-01-02 17:00:00 +01:00,39.647906666666664
GB,O3,µg/m3,2019-01-02 18:00:00 +01:00,35.124320000000004
GB,O3,µg/m3,2019-01-02 19:00:00 +01:00,33.627545
GB,O3,µg/m3,2019-01-02 20:00:00 +01:00,31.79815333333333
GB,O3,µg/m3,2019-01-02 21:00:00 +01:00,29.370051666666665
GB,O3,µg/m3,2019-01-02 22:00:00 +01:00,30.600733333333334
GB,O3,µg/m3,2019-01-02 23:00:00 +01:00,32.72948
GB,O3,µg/m3,2019-01-03 00:00:00 +01:00,32.49664833333333
GB,O3,µg/m3,2019-01-03 01:00:00 +01:00,35.224105
GB,O3,µg/m3,2019-01-03 02:00:00 +01:00,37.85177666666667
GB,O3,µg/m3,2019-01-03 03:00:00 +01:00,41.87643833333333
GB,O3,µg/m3,2019-01-03 04:00:00 +01:00,44.836726666666664
GB,O3,µg/m3,2019-01-03 05:00:00 +01:00,38.91615
GB,O3,µg/m3,2019-01-03 06:00:00 +01:00,37.153281666666665
GB,O3,µg/m3,2019-01-03 07:00:00 +01:00,29.902238333333333
GB,O3,µg/m3,2019-01-03 08:00:00 +01:00,30.334639999999997
GB,O3,µg/m3,2019-01-03 09:00:00 +01:00,38.018085
GB,O3,µg/m3,2019-01-03 10:00:00 +01:00,46.89895
GB,O3,µg/m3,2019-01-03 11:00:00 +01:00,44.10497000000001
GB,O3,µg/m3,2019-01-03 12:00:00 +01:00,45.668268333333344
GB,O3,µg/m3,2019-01-03 13:00:00 +01:00,47.63070666666667
GB,O3,µg/m3,2019-01-03 14:00:00 +01:00,50.05880833333333
GB,O3,µg/m3,2019-01-03 15:00:00 +01:00,45.53522166666667
GB,O3,µg/m3,2019-01-03 16:00:00 +01:00,40.579233333333335
GB,O3,µg/m3,2019-01-03 17:00:00 +01:00,39.88073833333333
GB,O3,µg/m3,2019-01-03 18:00:00 +01:00,34.226255
GB,O3,µg/m3,2019-01-03 19:00:00 +01:00,32.52991
GB,O3,µg/m3,2019-01-03 20:00:00 +01:00,28.00632333333333
GB,O3,µg/m3,2019-01-03 21:00:00 +01:00,22.617933333333337
GB,O3,µg/m3,2019-01-03 22:00:00 +01:00,15.499936666666668
GB,O3,µg/m3,2019-01-03 23:00:00 +01:00,8.947388333333333
GB,O3,µg/m3,2019-01-04 00:00:00 +01:00,13.171620000000003
GB,O3,µg/m3,2019-01-04 01:00:00 +01:00,14.036423333333332
GB,O3,µg/m3,2019-01-04 02:00:00 +01:00,15.632983333333334
GB,O3,µg/m3,2019-01-04 03:00:00 +01:00,19.956999999999997
