Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean pm25 (µg/m3)
GB,PM2.5,µg/m3,2014-01-01 00:00:00 +01:00,7.585454545454545
GB,PM2.5,µg/m3,2014-01-01 01:00:00 +01:00,16.037
GB,PM2.5,µg/m3,2014-01-01 02:00:00 +01:00,5.573250000000001
GB,PM2.5,µg/m3,2014-01-01 03:00:00 +01:00,4.582249999999999
GB,PM2.5,µg/m3,2014-01-01 04:00:00 +01:00,5.348249999999999
GB,PM2.5,µg/m3,2014-01-01 05:00:00 +01:00,5.972625
GB,PM2.5,µg/m3,2014-01-01 06:00:00 +01:00,5.9521250000000006
GB,PM2.5,µg/m3,2014-01-01 07:00:00 +01:00,5.938999999999999
GB,PM2.5,µg/m3,2014-01-01 08:00:00 +01:00,7.468500000000001
GB,PM2.5,µg/m3,2014-01-01 09:00:00 +01:00,6.9476249999999995
GB,PM2.5,µg/m3,2014-01-01 10:00:00 +01:00,6.346749999999999
GB,PM2.5,µg/m3,2014-01-01 11:00:00 +01:00,5.461375
GB,PM2.5,µg/m3,2014-01-01 12:00:00 +01:00,3.9777500000000003
GB,PM2.5,µg/m3,2014-01-01 13:00:00 +01:00,2.4816249999999997
GB,PM2.5,µg/m3,2014-01-01 14:00:00 +01:00,3.3476250000000003
GB,PM2.5,µg/m3,2014-01-01 15:00:00 +01:00,3.5773750000000004
GB,PM2.5,µg/m3,2014-01-01 16:00:00 +01:00,4.197625
GB,PM2.5,µg/m3,2014-01-01 17:00:00 +01:00,3.6620000000000004
GB,PM2.5,µg/m3,2014-01-01 18:00:00 +01:00,3.4499999999999997
GB,PM2.5,µg/m3,2014-01-01 19:00:00 +01:00,5.28125
GB,PM2.5,µg/m3,2014-01-01 20:00:00 +01:00,4.942374999999999
GB,PM2.5,µg/m3,2014-01-01 21:00:00 +01:00,5.647125
GB,PM2.5,µg/m3,2014-01-01 22:00:00 +01:00,3.88575
GB,PM2.5,µg/m3,2014-01-01 23:00:00 +01:00,5.2075000000000005
GB,PM2.5,µg/m3,2014-01-02 00:00:00 +01:00,5.5106363636363636
GB,PM2.5,µg/m3,2014-01-02 01:00:00 +01:00,6.297375000000001
GB,PM2.5,µg/m3,2014-01-02 02:00:00 +01:00,5.49975
GB,PM2.5,µg/m3,2014-01-02 03:00:00 +01:00,3.6422499999999998
GB,PM2.5,µg/m3,2014-01-02 04:00:00 +01:00,4.078875
GB,PM2.5,µg/m3,2014-01-02 05:00:00 +01:00,2.414
GB,PM2.5,µg/m3,2014-01-02 06:00:00 +01:00,2.37925
GB,PM2.5,µg/m3,2014-01-02 07:00:00 +01:00,4.306875
GB,PM2.5,µg/m3,2014-01-02 08:00:00 +01:00,4.778
GB,PM2.5,µg/m3,2014-01-02 09:00:00 +01:00,5.5253749999999995
GB,PM2.5,µg/m3,2014-01-02 10:00:00 +01:00,5.76375
GB,PM2.5,µg/m3,2014-01-02 11:00:00 +01:00,6.784
GB,PM2.5,µg/m3,2014-01-02 12:00:00 +01:00,6.770857142857143
