Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean no2 (µg/m3)
ES,NO2,µg/m3,2019-01-01 01:00:00 +01:00,66.08333333333333
ES,NO2,µg/m3,2019-01-01 02:00:00 +01:00,69.20833333333333
ES,NO2,µg/m3,2019-01-01 03:00:00 +01:00,64.375
ES,NO2,µg/m3,2019-01-01 04:00:00 +01:00,54.375
ES,NO2,µg/m3,2019-01-01 05:00:00 +01:00,48.625
ES,NO2,µg/m3,2019-01-01 06:00:00 +01:00,48.666666666666664
ES,NO2,µg/m3,2019-01-01 07:00:00 +01:00,45.0
ES,NO2,µg/m3,2019-01-01 08:00:00 +01:00,45.5
ES,NO2,µg/m3,2019-01-01 09:00:00 +01:00,42.875
ES,NO2,µg/m3,2019-01-01 10:00:00 +01:00,34.125
ES,NO2,µg/m3,2019-01-01 11:00:00 +01:00,33.041666666666664
ES,NO2,µg/m3,2019-01-01 12:00:00 +01:00,35.666666666666664
ES,NO2,µg/m3,2019-01-01 13:00:00 +01:00,41.75
ES,NO2,µg/m3,2019-01-01 14:00:00 +01:00,46.875
ES,NO2,µg/m3,2019-01-01 15:00:00 +01:00,51.375
ES,NO2,µg/m3,2019-01-01 16:00:00 +01:00,55.958333333333336
ES,NO2,µg/m3,2019-01-01 17:00:00 +01:00,70.125
ES,NO2,µg/m3,2019-01-01 18:00:00 +01:00,96.04166666666667
ES,NO2,µg/m3,2019-01-01 19:00:00 +01:00,110.45833333333333
ES,NO2,µg/m3,2019-01-01 20:00:00 +01:00,112.04166666666667
ES,NO2,µg/m3,2019-01-01 21:00:00 +01:00,107.70833333333333
ES,NO2,µg/m3,2019-01-01 22:00:00 +01:00,101.54166666666667
ES,NO2,µg/m3,2019-01-01 23:00:00 +01:00,86.29166666666667
ES,NO2,µg/m3,2019-01-04 01:00:00 +01:00,50.666666666666664
ES,NO2,µg/m3,2019-01-04 02:00:00 +01:00,46.166666666666664
ES,NO2,µg/m3,2019-01-04 03:00:00 +01:00,40.5
ES,NO2,µg/m3,2019-01-04 04:00:00 +01:00,37.708333333333336
ES,NO2,µg/m3,2019-01-04 05:00:00 +01:00,38.041666666666664
ES,NO2,µg/m3,2019-01-04 06:00:00 +01:00,42.25
ES,NO2,µg/m3,2019-01-04 07:00:00 +01:00,57.291666666666664
ES,NO2,µg/m3,2019-01-04 08:00:00 +01:00,71.70833333333333
ES,NO2,µg/m3,2019-01-04 09:00:00 +01:00,80.20833333333333
ES,NO2,µg/m3,2019-01-04 10:00:00 +01:00,74.54166666666667
ES,NO2,µg/m3,2019-01-04 11:00:00 +01:00,67.34782608695652
ES,NO2,µg/m3,2019-01-04 12:00:00 +01:00,78.5
ES,NO2,µg/m3,2019-01-04 13:00:00 +01:00,85.58333333333333
ES,NO2,µg/m3,2019-01-04 14:00:00 +01:00,88.58333333333333
ES,NO2,µg/m3,2019-01-04 15:00:00 +01:00,87.0
ES,NO2,µg/m3,2019-01-04 16:00:00 +01:00,93.66666666666667
ES,NO2,µg/m3,2019-01-04 17:00:00 +01:00,105.0
ES,NO2,µg/m3,2019-01-04 18:00:00 +01:00,128.79166666666666
ES,NO2,µg/m3,2019-01-04 19:00:00 +01:00,138.79166666666666
ES,NO2,µg/m3,2019-01-04 20:00:00 +01:00,131.04166666666666
ES,NO2,µg/m3,2019-01-04 21:00:00 +01:00,124.20833333333333
ES,NO2,µg/m3,2019-01-04 22:00:00 +01:00,109.08333333333333
ES,NO2,µg/m3,2019-01-04 23:00:00 +01:00,101.66666666666667
ES,NO2,µg/m3,2019-01-05 00:00:00 +01:00,87.33333333333333
ES,NO2,µg/m3,2019-01-05 01:00:00 +01:00,73.625
ES,NO2,µg/m3,2019-01-05 02:00:00 +01:00,57.333333333333336
ES,NO2,µg/m3,2019-01-05 03:00:00 +01:00,52.083333333333336
ES,NO2,µg/m3,2019-01-05 04:00:00 +01:00,49.208333333333336
ES,NO2,µg/m3,2019-01-05 05:00:00 +01:00,46.875
ES,NO2,µg/m3,2019-01-05 06:00:00 +01:00,46.666666666666664
ES,NO2,µg/m3,2019-01-05 07:00:00 +01:00,48.041666666666664
ES,NO2,µg/m3,2019-01-05 08:00:00 +01:00,51.833333333333336
ES,NO2,µg/m3,2019-01-05 09:00:00 +01:00,54.875
ES,NO2,µg/m3,2019-01-05 10:00:00 +01:00,55.208333333333336
ES,NO2,µg/m3,2019-01-05 11:00:00 +01:00,55.208333333333336
ES,NO2,µg/m3,2019-01-05 12:00:00 +01:00,66.70833333333333
ES,NO2,µg/m3,2019-01-05 13:00:00 +01:00,77.25
ES,NO2,µg/m3,2019-01-05 14:00:00 +01:00,79.29166666666667
ES,NO2,µg/m3,2019-01-05 15:00:00 +01:00,79.95833333333333
ES,NO2,µg/m3,2019-01-05 16:00:00 +01:00,88.58333333333333
ES,NO2,µg/m3,2019-01-05 17:00:00 +01:00,98.66666666666667
ES,NO2,µg/m3,2019-01-05 18:00:00 +01:00,104.75
ES,NO2,µg/m3,2019-01-05 19:00:00 +01:00,112.70833333333333
ES,NO2,µg/m3,2019-01-05 20:00:00 +01:00,109.91666666666667
ES,NO2,µg/m3,2019-01-05 21:00:00 +01:00,114.75
ES,NO2,µg/m3,2019-01-05 22:00:00 +01:00,117.5
ES,NO2,µg/m3,2019-01-05 23:00:00 +01:00,110.58333333333333
ES,NO2,µg/m3,2019-01-06 00:00:00 +01:00,101.16666666666667
ES,NO2,µg/m3,2019-01-06 01:00:00 +01:00,92.20833333333333
ES,NO2,µg/m3,2019-01-06 02:00:00 +01:00,74.875
ES,NO2,µg/m3,2019-01-06 03:00:00 +01:00,67.875
ES,NO2,µg/m3,2019-01-06 04:00:00 +01:00,62.75
ES,NO2,µg/m3,2019-01-06 05:00:00 +01:00,59.416666666666664
ES,NO2,µg/m3,2019-01-06 06:00:00 +01:00,61.083333333333336
ES,NO2,µg/m3,2019-01-06 07:00:00 +01:00,59.583333333333336
ES,NO2,µg/m3,2019-01-06 08:00:00 +01:00,58.791666666666664
ES,NO2,µg/m3,2019-01-06 09:00:00 +01:00,58.708333333333336
ES,NO2,µg/m3,2019-01-06 10:00:00 +01:00,63.625
ES,NO2,µg/m3,2019-01-06 11:00:00 +01:00,68.375
ES,NO2,µg/m3,2019-01-06 12:00:00 +01:00,76.04166666666667
ES,NO2,µg/m3,2019-01-06 13:00:00 +01:00,76.25
ES,NO2,µg/m3,2019-01-06 14:00:00 +01:00,73.54166666666667
ES,NO2,µg/m3,2019-01-06 15:00:00 +01:00,69.95833333333333
ES,NO2,µg/m3,2019-01-06 16:00:00 +01:00,61.5
ES,NO2,µg/m3,2019-01-06 17:00:00 +01:00,87.45833333333333
ES,NO2,µg/m3,2019-01-06 18:00:00 +01:00,121.5
ES,NO2,µg/m3,2019-01-06 19:00:00 +01:00,124.54166666666667
ES,NO2,µg/m3,2019-01-06 20:00:00 +01:00,108.04166666666667
ES,NO2,µg/m3,2019-01-06 21:00:00 +01:00,99.16666666666667
ES,NO2,µg/m3,2019-01-06 22:00:00 +01:00,87.95833333333333
ES,NO2,µg/m3,2019-01-06 23:00:00 +01:00,73.33333333333333
ES,NO2,µg/m3,2019-01-07 00:00:00 +01:00,66.16666666666667
ES,NO2,µg/m3,2019-01-07 01:00:00 +01:00,67.125
ES,NO2,µg/m3,2019-01-07 02:00:00 +01:00,66.41666666666667
ES,NO2,µg/m3,2019-01-07 03:00:00 +01:00,62.041666666666664
ES,NO2,µg/m3,2019-01-07 04:00:00 +01:00,54.791666666666664
ES,NO2,µg/m3,2019-01-07 05:00:00 +01:00,56.25
ES,NO2,µg/m3,2019-01-07 06:00:00 +01:00,62.125
ES,NO2,µg/m3,2019-01-07 07:00:00 +01:00,68.0
ES,NO2,µg/m3,2019-01-07 08:00:00 +01:00,76.125
ES,NO2,µg/m3,2019-01-07 09:00:00 +01:00,75.91666666666667
ES,NO2,µg/m3,2019-01-07 10:00:00 +01:00,81.65217391304348
ES,NO2,µg/m3,2019-01-07 11:00:00 +01:00,79.29166666666667
ES,NO2,µg/m3,2019-01-07 12:00:00 +01:00,86.79166666666667
ES,NO2,µg/m3,2019-01-07 13:00:00 +01:00,83.29166666666667
ES,NO2,µg/m3,2019-01-07 14:00:00 +01:00,73.83333333333333
ES,NO2,µg/m3,2019-01-07 15:00:00 +01:00,57.708333333333336
ES,NO2,µg/m3,2019-01-07 16:00:00 +01:00,66.66666666666667
ES,NO2,µg/m3,2019-01-07 17:00:00 +01:00,85.58333333333333
ES,NO2,µg/m3,2019-01-07 18:00:00 +01:00,97.79166666666667
ES,NO2,µg/m3,2019-01-07 19:00:00 +01:00,101.375
ES,NO2,µg/m3,2019-01-07 20:00:00 +01:00,99.83333333333333
ES,NO2,µg/m3,2019-01-07 21:00:00 +01:00,95.91666666666667
ES,NO2,µg/m3,2019-01-07 22:00:00 +01:00,83.625
ES,NO2,µg/m3,2019-01-07 23:00:00 +01:00,68.91666666666667
ES,NO2,µg/m3,2019-01-08 00:00:00 +01:00,61.291666666666664
ES,NO2,µg/m3,2019-01-08 01:00:00 +01:00,49.625
ES,NO2,µg/m3,2019-01-08 02:00:00 +01:00,41.041666666666664
ES,NO2,µg/m3,2019-01-08 03:00:00 +01:00,35.416666666666664
ES,NO2,µg/m3,2019-01-08 04:00:00 +01:00,38.0
ES,NO2,µg/m3,2019-01-08 05:00:00 +01:00,43.333333333333336
ES,NO2,µg/m3,2019-01-08 06:00:00 +01:00,54.708333333333336
ES,NO2,µg/m3,2019-01-08 07:00:00 +01:00,73.625
ES,NO2,µg/m3,2019-01-08 08:00:00 +01:00,88.75
ES,NO2,µg/m3,2019-01-08 09:00:00 +01:00,91.375
ES,NO2,µg/m3,2019-01-08 10:00:00 +01:00,82.375
ES,NO2,µg/m3,2019-01-08 11:00:00 +01:00,79.0
ES,NO2,µg/m3,2019-01-08 12:00:00 +01:00,72.08333333333333
ES,NO2,µg/m3,2019-01-08 13:00:00 +01:00,71.08333333333333
ES,NO2,µg/m3,2019-01-08 14:00:00 +01:00,64.16666666666667
ES,NO2,µg/m3,2019-01-08 15:00:00 +01:00,62.666666666666664
ES,NO2,µg/m3,2019-01-08 16:00:00 +01:00,67.375
ES,NO2,µg/m3,2019-01-08 17:00:00 +01:00,90.33333333333333
ES,NO2,µg/m3,2019-01-08 18:00:00 +01:00,128.0
ES,NO2,µg/m3,2019-01-08 19:00:00 +01:00,140.70833333333334
ES,NO2,µg/m3,2019-01-08 20:00:00 +01:00,124.70833333333333
ES,NO2,µg/m3,2019-01-08 21:00:00 +01:00,112.125
ES,NO2,µg/m3,2019-01-08 22:00:00 +01:00,103.375
ES,NO2,µg/m3,2019-01-08 23:00:00 +01:00,87.75
ES,NO2,µg/m3,2019-01-09 00:00:00 +01:00,74.625
ES,NO2,µg/m3,2019-01-09 01:00:00 +01:00,72.29166666666667
ES,NO2,µg/m3,2019-01-09 02:00:00 +01:00,68.625
ES,NO2,µg/m3,2019-01-09 03:00:00 +01:00,57.75
ES,NO2,µg/m3,2019-01-09 04:00:00 +01:00,54.5
ES,NO2,µg/m3,2019-01-09 05:00:00 +01:00,54.291666666666664
ES,NO2,µg/m3,2019-01-09 06:00:00 +01:00,57.125
ES,NO2,µg/m3,2019-01-09 07:00:00 +01:00,75.125
ES,NO2,µg/m3,2019-01-09 08:00:00 +01:00,95.25
ES,NO2,µg/m3,2019-01-09 09:00:00 +01:00,92.08333333333333
ES,NO2,µg/m3,2019-01-09 10:00:00 +01:00,74.47826086956522
ES,NO2,µg/m3,2019-01-09 11:00:00 +01:00,71.47826086956522
ES,NO2,µg/m3,2019-01-09 12:00:00 +01:00,73.34782608695652
ES,NO2,µg/m3,2019-01-09 13:00:00 +01:00,65.70833333333333
ES,NO2,µg/m3,2019-01-09 14:00:00 +01:00,52.166666666666664
ES,NO2,µg/m3,2019-01-09 15:00:00 +01:00,36.708333333333336
ES,NO2,µg/m3,2019-01-09 16:00:00 +01:00,31.5
ES,NO2,µg/m3,2019-01-09 17:00:00 +01:00,38.333333333333336
ES,NO2,µg/m3,2019-01-09 18:00:00 +01:00,53.333333333333336
ES,NO2,µg/m3,2019-01-09 19:00:00 +01:00,64.29166666666667
ES,NO2,µg/m3,2019-01-09 20:00:00 +01:00,76.91666666666667
ES,NO2,µg/m3,2019-01-09 21:00:00 +01:00,84.125
ES,NO2,µg/m3,2019-01-09 22:00:00 +01:00,72.83333333333333
ES,NO2,µg/m3,2019-01-09 23:00:00 +01:00,38.375
ES,NO2,µg/m3,2019-01-10 00:00:00 +01:00,32.75
ES,NO2,µg/m3,2019-01-10 01:00:00 +01:00,26.75
ES,NO2,µg/m3,2019-01-10 02:00:00 +01:00,23.958333333333332
