Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean o3 (µg/m3)
ES,O3,µg/m3,2020-01-01 00:00:00 +01:00,1.9091666666666665
ES,O3,µg/m3,2020-01-01 01:00:00 +01:00,2.3941666666666666
ES,O3,µg/m3,2020-01-01 02:00:00 +01:00,2.09
ES,O3,µg/m3,2020-01-01 03:00:00 +01:00,2.2333333333333334
ES,O3,µg/m3,2020-01-01 04:00:00 +01:00,2.9045454545454543
ES,O3,µg/m3,2020-01-01 05:00:00 +01:00,3.305454545454545
ES,O3,µg/m3,2020-01-01 06:00:00 +01:00,2.7454545454545456
ES,O3,µg/m3,2020-01-01 07:00:00 +01:00,2.8236363636363637
ES,O3,µg/m3,2020-01-01 08:00:00 +01:00,3.997272727272727
ES,O3,µg/m3,2020-01-01 09:00:00 +01:00,6.380000000000001
ES,O3,µg/m3,2020-01-01 10:00:00 +01:00,11.575454545454546
ES,O3,µg/m3,2020-01-01 11:00:00 +01:00,14.082727272727276
ES,O3,µg/m3,2020-01-01 12:00:00 +01:00,17.03090909090909
ES,O3,µg/m3,2020-01-01 13:00:00 +01:00,17.46
ES,O3,µg/m3,2020-01-01 14:00:00 +01:00,16.881818181818183
ES,O3,µg/m3,2020-01-01 15:00:00 +01:00,17.19454545454545
ES,O3,µg/m3,2020-01-01 16:00:00 +01:00,12.584545454545456
ES,O3,µg/m3,2020-01-01 17:00:00 +01:00,4.887272727272727
ES,O3,µg/m3,2020-01-01 18:00:00 +01:00,2.005454545454546
ES,O3,µg/m3,2020-01-01 19:00:00 +01:00,1.8745454545454547
ES,O3,µg/m3,2020-01-01 20:00:00 +01:00,1.950909090909091
ES,O3,µg/m3,2020-01-01 21:00:00 +01:00,1.8136363636363635
ES,O3,µg/m3,2020-01-01 22:00:00 +01:00,1.8990909090909092
ES,O3,µg/m3,2020-01-01 23:00:00 +01:00,1.8972727272727274
ES,O3,µg/m3,2020-01-02 00:00:00 +01:00,1.8518181818181818
ES,O3,µg/m3,2020-01-02 01:00:00 +01:00,2.022727272727273
