Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean pm10 (µg/m3)
ES,PM10,µg/m3,2020-01-01 00:00:00 +01:00,48.09090909090909
ES,PM10,µg/m3,2020-01-01 01:00:00 +01:00,113.07692307692308
ES,PM10,µg/m3,2020-01-01 02:00:00 +01:00,69.15384615384616
ES,PM10,µg/m3,2020-01-01 03:00:00 +01:00,39.38461538461539
ES,PM10,µg/m3,2020-01-01 04:00:00 +01:00,31.384615384615383
ES,PM10,µg/m3,2020-01-01 05:00:00 +01:00,24.923076923076923
ES,PM10,µg/m3,2020-01-01 06:00:00 +01:00,22.615384615384617
ES,PM10,µg/m3,2020-01-01 07:00:00 +01:00,21.76923076923077
ES,PM10,µg/m3,2020-01-01 08:00:00 +01:00,19.076923076923077
ES,PM10,µg/m3,2020-01-01 09:00:00 +01:00,19.23076923076923
ES,PM10,µg/m3,2020-01-01 10:00:00 +01:00,19.53846153846154
ES,PM10,µg/m3,2020-01-01 11:00:00 +01:00,21.615384615384617
ES,PM10,µg/m3,2020-01-01 12:00:00 +01:00,26.153846153846153
ES,PM10,µg/m3,2020-01-01 13:00:00 +01:00,30.53846153846154
ES,PM10,µg/m3,2020-01-01 14:00:00 +01:00,35.07692307692308
ES,PM10,µg/m3,2020-01-01 15:00:00 +01:00,36.30769230769231
ES,PM10,µg/m3,2020-01-01 16:00:00 +01:00,37.46153846153846
ES,PM10,µg/m3,2020-01-01 17:00:00 +01:00,38.07692307692308
ES,PM10,µg/m3,2020-01-01 18:00:00 +01:00,40.61538461538461
ES,PM10,µg/m3,2020-01-01 19:00:00 +01:00,42.92307692307692
ES,PM10,µg/m3,2020-01-01 20:00:00 +01:00,50.23076923076923
ES,PM10,µg/m3,2020-01-01 21:00:00 +01:00,54.53846153846154
ES,PM10,µg/m3,2020-01-01 22:00:00 +01:00,50.38461538461539
ES,PM10,µg/m3,2020-01-01 23:00:00 +01:00,43.84615384615385
ES,PM10,µg/m3,2020-01-02 00:00:00 +01:00,39.38461538461539
ES,PM10,µg/m3,2020-01-02 01:00:00 +01:00,30.923076923076923
ES,PM10,µg/m3,2020-01-02 02:00:00 +01:00,21.615384615384617
ES,PM10,µg/m3,2020-01-02 03:00:00 +01:00,18.923076923076923
ES,PM10,µg/m3,2020-01-02 04:00:00 +01:00,18.53846153846154
ES,PM10,µg/m3,2020-01-02 05:00:00 +01:00,17.846153846153847
ES,PM10,µg/m3,2020-01-02 06:00:00 +01:00,17.615384615384617
ES,PM10,µg/m3,2020-01-02 07:00:00 +01:00,17.384615384615383
ES,PM10,µg/m3,2020-01-02 08:00:00 +01:00,20.0
ES,PM10,µg/m3,2020-01-02 09:00:00 +01:00,23.384615384615383
ES,PM10,µg/m3,2020-01-02 10:00:00 +01:00,25.53846153846154
ES,PM10,µg/m3,2020-01-02 11:00:00 +01:00,25.692307692307693
ES,PM10,µg/m3,2020-01-02 12:00:00 +01:00,29.76923076923077
ES,PM10,µg/m3,2020-01-02 13:00:00 +01:00,33.5
ES,PM10,µg/m3,2020-01-02 14:00:00 +01:00,38.0
ES,PM10,µg/m3,2020-01-02 15:00:00 +01:00,40.083333333333336
ES,PM10,µg/m3,2020-01-02 16:00:00 +01:00,38.416666666666664
ES,PM10,µg/m3,2020-01-02 17:00:00 +01:00,32.30769230769231
ES,PM10,µg/m3,2020-01-02 18:00:00 +01:00,37.30769230769231
ES,PM10,µg/m3,2020-01-02 19:00:00 +01:00,42.69230769230769
ES,PM10,µg/m3,2020-01-02 20:00:00 +01:00,47.76923076923077
ES,PM10,µg/m3,2020-01-02 21:00:00 +01:00,50.0
ES,PM10,µg/m3,2020-01-02 22:00:00 +01:00,45.84615384615385
ES,PM10,µg/m3,2020-01-02 23:00:00 +01:00,46.0
ES,PM10,µg/m3,2020-01-03 00:00:00 +01:00,45.23076923076923
ES,PM10,µg/m3,2020-01-03 01:00:00 +01:00,42.46153846153846
ES,PM10,µg/m3,2020-01-03 02:00:00 +01:00,37.76923076923077
ES,PM10,µg/m3,2020-01-03 03:00:00 +01:00,32.23076923076923
ES,PM10,µg/m3,2020-01-03 04:00:00 +01:00,29.692307692307693
ES,PM10,µg/m3,2020-01-03 05:00:00 +01:00,27.923076923076923
ES,PM10,µg/m3,2020-01-03 06:00:00 +01:00,27.923076923076923
ES,PM10,µg/m3,2020-01-03 07:00:00 +01:00,32.46153846153846
ES,PM10,µg/m3,2020-01-03 08:00:00 +01:00,36.07692307692308
ES,PM10,µg/m3,2020-01-03 09:00:00 +01:00,37.61538461538461
ES,PM10,µg/m3,2020-01-03 10:00:00 +01:00,39.0
ES,PM10,µg/m3,2020-01-03 11:00:00 +01:00,45.0
ES,PM10,µg/m3,2020-01-03 12:00:00 +01:00,50.61538461538461
ES,PM10,µg/m3,2020-01-03 13:00:00 +01:00,53.84615384615385
