Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean no2 (µg/m3)
FR,NO2,µg/m3,2016-01-01 00:00:00 +01:00,37.351851851851855
FR,NO2,µg/m3,2016-01-01 01:00:00 +01:00,41.72222222222222
FR,NO2,µg/m3,2016-01-01 02:00:00 +01:00,50.72222222222222
FR,NO2,µg/m3,2016-01-01 03:00:00 +01:00,53.333333333333336
FR,NO2,µg/m3,2016-01-01 04:00:00 +01:00,56.43518518518518
FR,NO2,µg/m3,2016-01-01 05:00:00 +01:00,57.916666666666664
FR,NO2,µg/m3,2016-01-01 06:00:00 +01:00,57.120370370370374
FR,NO2,µg/m3,2016-01-01 07:00:00 +01:00,55.675925925925924
FR,NO2,µg/m3,2016-01-01 08:00:00 +01:00,50.52777777777778
FR,NO2,µg/m3,2016-01-01 09:00:00 +01:00,44.78703703703704
FR,NO2,µg/m3,2016-01-01 10:00:00 +01:00,35.879629629629626
FR,NO2,µg/m3,2016-01-01 11:00:00 +01:00,31.87037037037037
FR,NO2,µg/m3,2016-01-01 12:00:00 +01:00,29.64814814814815
FR,NO2,µg/m3,2016-01-01 13:00:00 +01:00,28.88888888888889
FR,NO2,µg/m3,2016-01-01 14:00:00 +01:00,29.314814814814813
FR,NO2,µg/m3,2016-01-01 15:00:00 +01:00,29.787037037037038
FR,NO2,µg/m3,2016-01-01 16:00:00 +01:00,36.574074074074076
FR,NO2,µg/m3,2016-01-01 17:00:00 +01:00,35.574074074074076
FR,NO2,µg/m3,2016-01-01 18:00:00 +01:00,34.370370370370374
FR,NO2,µg/m3,2016-01-01 19:00:00 +01:00,34.416666666666664
FR,NO2,µg/m3,2016-01-01 20:00:00 +01:00,30.62037037037037
FR,NO2,µg/m3,2016-01-01 21:00:00 +01:00,32.620370370370374
FR,NO2,µg/m3,2016-01-01 22:00:00 +01:00,30.25
FR,NO2,µg/m3,2016-01-01 23:00:00 +01:00,28.0
FR,NO2,µg/m3,2016-01-02 00:00:00 +01:00,27.296296296296298
FR,NO2,µg/m3,2016-01-02 01:00:00 +01:00,25.65740740740741
FR,NO2,µg/m3,2016-01-02 02:00:00 +01:00,24.185185185185187
FR,NO2,µg/m3,2016-01-02 03:00:00 +01:00,22.962962962962962
FR,NO2,µg/m3,2016-01-02 04:00:00 +01:00,23.40740740740741
FR,NO2,µg/m3,2016-01-02 05:00:00 +01:00,27.76851851851852
FR,NO2,µg/m3,2016-01-02 06:00:00 +01:00,35.30555555555556
FR,NO2,µg/m3,2016-01-02 07:00:00 +01:00,39.72222222222222
FR,NO2,µg/m3,2016-01-02 08:00:00 +01:00,34.398148148148145
FR,NO2,µg/m3,2016-01-02 09:00:00 +01:00,35.101851851851855
FR,NO2,µg/m3,2016-01-02 10:00:00 +01:00,32.675925925925924
FR,NO2,µg/m3,2016-01-02 11:00:00 +01:00,26.88888888888889
FR,NO2,µg/m3,2016-01-02 12:00:00 +01:00,27.055555555555557
FR,NO2,µg/m3,2016-01-02 13:00:00 +01:00,27.537037037037038
FR,NO2,µg/m3,2016-01-02 14:00:00 +01:00,29.48148148148148
FR,NO2,µg/m3,2016-01-02 15:00:00 +01:00,31.88888888888889
FR,NO2,µg/m3,2016-01-02 16:00:00 +01:00,33.56481481481482
FR,NO2,µg/m3,2016-01-02 17:00:00 +01:00,36.175925925925924
FR,NO2,µg/m3,2016-01-02 18:00:00 +01:00,41.69444444444444
FR,NO2,µg/m3,2016-01-02 19:00:00 +01:00,41.175925925925924
FR,NO2,µg/m3,2016-01-02 20:00:00 +01:00,36.30555555555556
FR,NO2,µg/m3,2016-01-02 21:00:00 +01:00,31.5
FR,NO2,µg/m3,2016-01-02 22:00:00 +01:00,27.953703703703702
FR,NO2,µg/m3,2016-01-02 23:00:00 +01:00,25.12037037037037
FR,NO2,µg/m3,2016-01-03 00:00:00 +01:00,23.203703703703702
FR,NO2,µg/m3,2016-01-03 01:00:00 +01:00,21.555555555555557
FR,NO2,µg/m3,2016-01-03 02:00:00 +01:00,20.86074073925926
FR,NO2,µg/m3,2016-01-03 03:00:00 +01:00,17.641851851111113
FR,NO2,µg/m3,2016-01-03 04:00:00 +01:00,17.49074074074074
FR,NO2,µg/m3,2016-01-03 05:00:00 +01:00,20.194444444444443
FR,NO2,µg/m3,2016-01-03 06:00:00 +01:00,20.13888888888889
FR,NO2,µg/m3,2016-01-03 07:00:00 +01:00,24.064814814814813
FR,NO2,µg/m3,2016-01-03 08:00:00 +01:00,25.97222222222222
FR,NO2,µg/m3,2016-01-03 09:00:00 +01:00,26.787037037037038
FR,NO2,µg/m3,2016-01-03 10:00:00 +01:00,29.38888888888889
FR,NO2,µg/m3,2016-01-03 11:00:00 +01:00,31.703703703703702
FR,NO2,µg/m3,2016-01-03 12:00:00 +01:00,32.416666666666664
FR,NO2,µg/m3,2016-01-03 13:00:00 +01:00,31.89814814814815
FR,NO2,µg/m3,2016-01-03 14:00:00 +01:00,32.916666666666664
FR,NO2,µg/m3,2016-01-03 15:00:00 +01:00,34.73148148148148
FR,NO2,µg/m3,2016-01-03 16:00:00 +01:00,33.166666666666664
FR,NO2,µg/m3,2016-01-03 17:00:00 +01:00,33.06481481481482
FR,NO2,µg/m3,2016-01-03 18:00:00 +01:00,37.166666666666664
FR,NO2,µg/m3,2016-01-03 19:00:00 +01:00,36.99074074074074
FR,NO2,µg/m3,2016-01-03 20:00:00 +01:00,33.111111111111114
FR,NO2,µg/m3,2016-01-03 21:00:00 +01:00,32.888888888888886
FR,NO2,µg/m3,2016-01-03 22:00:00 +01:00,29.462962962962962
FR,NO2,µg/m3,2016-01-03 23:00:00 +01:00,23.12962962962963
FR,NO2,µg/m3,2016-01-04 00:00:00 +01:00,19.685185185185187
FR,NO2,µg/m3,2016-01-04 01:00:00 +01:00,17.02777777777778
FR,NO2,µg/m3,2016-01-04 02:00:00 +01:00,15.01222222185185
FR,NO2,µg/m3,2016-01-04 03:00:00 +01:00,14.51222222148148
FR,NO2,µg/m3,2016-01-04 04:00:00 +01:00,15.731481481481481
FR,NO2,µg/m3,2016-01-04 05:00:00 +01:00,22.916666666666668
FR,NO2,µg/m3,2016-01-04 06:00:00 +01:00,37.898148148148145
FR,NO2,µg/m3,2016-01-04 07:00:00 +01:00,52.46153846153846
FR,NO2,µg/m3,2016-01-04 08:00:00 +01:00,58.21153846153846
FR,NO2,µg/m3,2016-01-04 09:00:00 +01:00,58.04925925888889
FR,NO2,µg/m3,2016-01-04 10:00:00 +01:00,47.675925925925924
FR,NO2,µg/m3,2016-01-04 11:00:00 +01:00,39.99074074074074
FR,NO2,µg/m3,2016-01-04 12:00:00 +01:00,37.898148148148145
FR,NO2,µg/m3,2016-01-04 13:00:00 +01:00,34.01851851851852
FR,NO2,µg/m3,2016-01-04 14:00:00 +01:00,35.361111111111114
FR,NO2,µg/m3,2016-01-04 15:00:00 +01:00,39.2962962962963
FR,NO2,µg/m3,2016-01-04 16:00:00 +01:00,49.157407407407405
FR,NO2,µg/m3,2016-01-04 17:00:00 +01:00,60.407407407407405
FR,NO2,µg/m3,2016-01-04 18:00:00 +01:00,70.14814814814815
FR,NO2,µg/m3,2016-01-04 19:00:00 +01:00,70.51851851851852
FR,NO2,µg/m3,2016-01-04 20:00:00 +01:00,60.842592592592595
FR,NO2,µg/m3,2016-01-04 21:00:00 +01:00,53.407407407407405
FR,NO2,µg/m3,2016-01-04 22:00:00 +01:00,44.53846153846154
FR,NO2,µg/m3,2016-01-04 23:00:00 +01:00,35.125
FR,NO2,µg/m3,2016-01-05 00:00:00 +01:00,28.90740740740741
