Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean o3 (µg/m3)
FR,O3,µg/m3,2017-01-01 00:00:00 +01:00,9.583333333333334
FR,O3,µg/m3,2017-01-01 01:00:00 +01:00,9.466666664444444
FR,O3,µg/m3,2017-01-01 02:00:00 +01:00,7.2111111077777785
FR,O3,µg/m3,2017-01-01 03:00:00 +01:00,8.111111106666668
FR,O3,µg/m3,2017-01-01 04:00:00 +01:00,10.055555552222224
FR,O3,µg/m3,2017-01-01 05:00:00 +01:00,11.944444442222222
FR,O3,µg/m3,2017-01-01 06:00:00 +01:00,13.666666665555555
FR,O3,µg/m3,2017-01-01 07:00:00 +01:00,13.277777776666667
FR,O3,µg/m3,2017-01-01 08:00:00 +01:00,14.333333332222221
FR,O3,µg/m3,2017-01-01 09:00:00 +01:00,15.044444443333333
FR,O3,µg/m3,2017-01-01 10:00:00 +01:00,15.477777776666667
FR,O3,µg/m3,2017-01-01 11:00:00 +01:00,15.333333333333334
FR,O3,µg/m3,2017-01-01 12:00:00 +01:00,16.81111111
FR,O3,µg/m3,2017-01-01 13:00:00 +01:00,18.366666666666667
FR,O3,µg/m3,2017-01-01 14:00:00 +01:00,17.27777777777778
FR,O3,µg/m3,2017-01-01 15:00:00 +01:00,17.466666666666665
FR,O3,µg/m3,2017-01-01 16:00:00 +01:00,12.655555554444444
FR,O3,µg/m3,2017-01-01 17:00:00 +01:00,9.299999998888888
FR,O3,µg/m3,2017-01-01 18:00:00 +01:00,9.277777777777779
FR,O3,µg/m3,2017-01-01 19:00:00 +01:00,9.522222221111111
FR,O3,µg/m3,2017-01-01 20:00:00 +01:00,10.577777776666666
FR,O3,µg/m3,2017-01-01 21:00:00 +01:00,11.877777776666667
FR,O3,µg/m3,2017-01-01 22:00:00 +01:00,11.366666664444445
FR,O3,µg/m3,2017-01-01 23:00:00 +01:00,10.388888886666667
FR,O3,µg/m3,2017-01-02 00:00:00 +01:00,11.599999997777777
