Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean pm10 (µg/m3)
FR,PM10,µg/m3,2018-01-01 00:00:00 +01:00,20.714285710714286
FR,PM10,µg/m3,2018-01-01 01:00:00 +01:00,17.199999996
FR,PM10,µg/m3,2018-01-01 02:00:00 +01:00,14.953333331333335
FR,PM10,µg/m3,2018-01-01 03:00:00 +01:00,13.71333333066667
FR,PM10,µg/m3,2018-01-01 04:00:00 +01:00,15.779999996000003
FR,PM10,µg/m3,2018-01-01 05:00:00 +01:00,17.27333332866667
FR,PM10,µg/m3,2018-01-01 06:00:00 +01:00,18.573333331333334
FR,PM10,µg/m3,2018-01-01 07:00:00 +01:00,19.157142854285716
FR,PM10,µg/m3,2018-01-01 08:00:00 +01:00,18.34999999571429
FR,PM10,µg/m3,2018-01-01 09:00:00 +01:00,18.893333329333338
FR,PM10,µg/m3,2018-01-01 10:00:00 +01:00,17.81333333
FR,PM10,µg/m3,2018-01-01 11:00:00 +01:00,12.033333332000002
FR,PM10,µg/m3,2018-01-01 12:00:00 +01:00,7.666666663333333
FR,PM10,µg/m3,2018-01-01 13:00:00 +01:00,6.866666662666666
FR,PM10,µg/m3,2018-01-01 14:00:00 +01:00,7.586666663333333
FR,PM10,µg/m3,2018-01-01 15:00:00 +01:00,7.953333330000001
FR,PM10,µg/m3,2018-01-01 16:00:00 +01:00,6.899999997333334
FR,PM10,µg/m3,2018-01-01 17:00:00 +01:00,6.926666663999999
FR,PM10,µg/m3,2018-01-01 18:00:00 +01:00,8.179999996666668
FR,PM10,µg/m3,2018-01-01 19:00:00 +01:00,11.239999996
FR,PM10,µg/m3,2018-01-01 20:00:00 +01:00,14.28666666466667
FR,PM10,µg/m3,2018-01-01 21:00:00 +01:00,13.27999999733333
FR,PM10,µg/m3,2018-01-01 22:00:00 +01:00,14.793333328000001
FR,PM10,µg/m3,2018-01-01 23:00:00 +01:00,14.919999998666668
FR,PM10,µg/m3,2018-01-02 00:00:00 +01:00,15.473333330666668
FR,PM10,µg/m3,2018-01-02 01:00:00 +01:00,14.333333329333334
FR,PM10,µg/m3,2018-01-02 02:00:00 +01:00,16.526666663333334
FR,PM10,µg/m3,2018-01-02 03:00:00 +01:00,18.413333330666667
FR,PM10,µg/m3,2018-01-02 04:00:00 +01:00,19.39333333
FR,PM10,µg/m3,2018-01-02 05:00:00 +01:00,21.279999996
FR,PM10,µg/m3,2018-01-02 06:00:00 +01:00,22.82666666333334
FR,PM10,µg/m3,2018-01-02 07:00:00 +01:00,26.686666662000004
FR,PM10,µg/m3,2018-01-02 08:00:00 +01:00,28.646666663333338
