Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean o3 (µg/m3)
IT,O3,µg/m3,2020-02-13 00:00:00 +01:00,2.75
IT,O3,µg/m3,2020-02-13 01:00:00 +01:00,2.75
IT,O3,µg/m3,2020-02-13 02:00:00 +01:00,3.5
IT,O3,µg/m3,2020-02-13 03:00:00 +01:00,6.125
IT,O3,µg/m3,2020-02-13 04:00:00 +01:00,5.75
IT,O3,µg/m3,2020-02-13 05:00:00 +01:00,5.125
IT,O3,µg/m3,2020-02-13 06:00:00 +01:00,3.875
IT,O3,µg/m3,2020-02-13 07:00:00 +01:00,3.125
IT,O3,µg/m3,2020-02-13 08:00:00 +01:00,5.0
IT,O3,µg/m3,2020-02-13 09:00:00 +01:00,8.0
IT,O3,µg/m3,2020-02-13 10:00:00 +01:00,22.0
IT,O3,µg/m3,2020-02-13 11:00:00 +01:00,43.125
IT,O3,µg/m3,2020-02-13 12:00:00 +01:00,61.375
IT,O3,µg/m3,2020-02-13 13:00:00 +01:00,66.75
IT,O3,µg/m3,2020-02-13 14:00:00 +01:00,67.375
IT,O3,µg/m3,2020-02-13 15:00:00 +01:00,67.875
IT,O3,µg/m3,2020-02-13 16:00:00 +01:00,64.25
IT,O3,µg/m3,2020-02-13 17:00:00 +01:00,51.25
IT,O3,µg/m3,2020-02-13 18:00:00 +01:00,32.5
IT,O3,µg/m3,2020-02-13 19:00:00 +01:00,24.0
IT,O3,µg/m3,2020-02-13 20:00:00 +01:00,23.75
IT,O3,µg/m3,2020-02-13 21:00:00 +01:00,28.875
IT,O3,µg/m3,2020-02-13 22:00:00 +01:00,36.375
IT,O3,µg/m3,2020-02-13 23:00:00 +01:00,43.25
IT,O3,µg/m3,2020-02-14 00:00:00 +01:00,55.625
IT,O3,µg/m3,2020-02-14 01:00:00 +01:00,66.125
IT,O3,µg/m3,2020-02-14 02:00:00 +01:00,68.0
IT,O3,µg/m3,2020-02-14 03:00:00 +01:00,66.25
IT,O3,µg/m3,2020-02-14 04:00:00 +01:00,58.625
IT,O3,µg/m3,2020-02-14 05:00:00 +01:00,55.5
IT,O3,µg/m3,2020-02-14 06:00:00 +01:00,43.375
IT,O3,µg/m3,2020-02-14 07:00:00 +01:00,31.875
IT,O3,µg/m3,2020-02-14 08:00:00 +01:00,20.125
IT,O3,µg/m3,2020-02-14 09:00:00 +01:00,25.75
IT,O3,µg/m3,2020-02-14 10:00:00 +01:00,42.0
IT,O3,µg/m3,2020-02-14 11:00:00 +01:00,48.875
IT,O3,µg/m3,2020-02-14 12:00:00 +01:00,56.5
IT,O3,µg/m3,2020-02-14 13:00:00 +01:00,59.25
IT,O3,µg/m3,2020-02-14 14:00:00 +01:00,64.625
IT,O3,µg/m3,2020-02-14 15:00:00 +01:00,66.375
IT,O3,µg/m3,2020-02-14 16:00:00 +01:00,63.375
IT,O3,µg/m3,2020-02-14 17:00:00 +01:00,52.375
IT,O3,µg/m3,2020-02-14 18:00:00 +01:00,39.125
IT,O3,µg/m3,2020-02-14 19:00:00 +01:00,31.875
IT,O3,µg/m3,2020-02-14 20:00:00 +01:00,22.625
IT,O3,µg/m3,2020-02-14 21:00:00 +01:00,25.0
IT,O3,µg/m3,2020-02-14 22:00:00 +01:00,22.375
IT,O3,µg/m3,2020-02-14 23:00:00 +01:00,23.5
IT,O3,µg/m3,2020-02-15 00:00:00 +01:00,21.125
IT,O3,µg/m3,2020-02-15 01:00:00 +01:00,17.375
IT,O3,µg/m3,2020-02-15 02:00:00 +01:00,15.625
IT,O3,µg/m3,2020-02-15 03:00:00 +01:00,18.375
IT,O3,µg/m3,2020-02-15 04:00:00 +01:00,20.75
IT,O3,µg/m3,2020-02-15 05:00:00 +01:00,22.25
IT,O3,µg/m3,2020-02-15 06:00:00 +01:00,8.125
IT,O3,µg/m3,2020-02-15 07:00:00 +01:00,6.625
IT,O3,µg/m3,2020-02-15 08:00:00 +01:00,13.5
IT,O3,µg/m3,2020-02-15 09:00:00 +01:00,22.75
IT,O3,µg/m3,2020-02-15 10:00:00 +01:00,38.0
IT,O3,µg/m3,2020-02-15 11:00:00 +01:00,48.125
IT,O3,µg/m3,2020-02-15 12:00:00 +01:00,60.0
IT,O3,µg/m3,2020-02-15 13:00:00 +01:00,69.0
IT,O3,µg/m3,2020-02-15 14:00:00 +01:00,72.0
IT,O3,µg/m3,2020-02-15 15:00:00 +01:00,73.625
IT,O3,µg/m3,2020-02-15 16:00:00 +01:00,71.75
IT,O3,µg/m3,2020-02-15 17:00:00 +01:00,62.125
IT,O3,µg/m3,2020-02-15 18:00:00 +01:00,40.5
IT,O3,µg/m3,2020-02-15 19:00:00 +01:00,21.75
IT,O3,µg/m3,2020-02-15 20:00:00 +01:00,12.75
IT,O3,µg/m3,2020-02-15 21:00:00 +01:00,4.5
IT,O3,µg/m3,2020-02-15 22:00:00 +01:00,4.125
IT,O3,µg/m3,2020-02-15 23:00:00 +01:00,4.25
IT,O3,µg/m3,2020-02-16 00:00:00 +01:00,3.75
IT,O3,µg/m3,2020-02-16 01:00:00 +01:00,3.5
IT,O3,µg/m3,2020-02-16 02:00:00 +01:00,4.125
IT,O3,µg/m3,2020-02-16 03:00:00 +01:00,7.625
IT,O3,µg/m3,2020-02-16 04:00:00 +01:00,10.375
IT,O3,µg/m3,2020-02-16 05:00:00 +01:00,9.125
IT,O3,µg/m3,2020-02-16 06:00:00 +01:00,6.75
IT,O3,µg/m3,2020-02-16 07:00:00 +01:00,7.25
IT,O3,µg/m3,2020-02-16 08:00:00 +01:00,12.875
IT,O3,µg/m3,2020-02-16 09:00:00 +01:00,20.5
IT,O3,µg/m3,2020-02-16 10:00:00 +01:00,31.25
IT,O3,µg/m3,2020-02-16 11:00:00 +01:00,49.875
IT,O3,µg/m3,2020-02-16 12:00:00 +01:00,61.375
IT,O3,µg/m3,2020-02-16 13:00:00 +01:00,71.25
IT,O3,µg/m3,2020-02-16 14:00:00 +01:00,79.5
IT,O3,µg/m3,2020-02-16 15:00:00 +01:00,81.625
IT,O3,µg/m3,2020-02-16 16:00:00 +01:00,80.5
IT,O3,µg/m3,2020-02-16 17:00:00 +01:00,74.0
IT,O3,µg/m3,2020-02-16 18:00:00 +01:00,60.0
IT,O3,µg/m3,2020-02-16 19:00:00 +01:00,32.25
IT,O3,µg/m3,2020-02-16 20:00:00 +01:00,18.5
IT,O3,µg/m3,2020-02-16 21:00:00 +01:00,9.125
IT,O3,µg/m3,2020-02-16 22:00:00 +01:00,4.75
IT,O3,µg/m3,2020-02-16 23:00:00 +01:00,6.25
IT,O3,µg/m3,2020-02-17 00:00:00 +01:00,3.75
IT,O3,µg/m3,2020-02-17 01:00:00 +01:00,3.5
