Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean pm25 (µg/m3)
IT,PM2.5,µg/m3,2013-01-01 00:00:00 +01:00,72.0
IT,PM2.5,µg/m3,2013-01-02 00:00:00 +01:00,29.666666666666668
IT,PM2.5,µg/m3,2013-01-03 00:00:00 +01:00,36.0
IT,PM2.5,µg/m3,2013-01-04 00:00:00 +01:00,39.25
IT,PM2.5,µg/m3,2013-01-05 00:00:00 +01:00,36.833333333333336
IT,PM2.5,µg/m3,2013-01-06 00:00:00 +01:00,50.833333333333336
IT,PM2.5,µg/m3,2013-01-07 00:00:00 +01:00,56.0
IT,PM2.5,µg/m3,2013-01-08 00:00:00 +01:00,65.33333333333333
IT,PM2.5,µg/m3,2013-01-09 00:00:00 +01:00,61.57142857142857
IT,PM2.5,µg/m3,2013-01-10 00:00:00 +01:00,47.0
IT,PM2.5,µg/m3,2013-01-11 00:00:00 +01:00,25.714285714285715
IT,PM2.5,µg/m3,2013-01-12 00:00:00 +01:00,21.285714285714285
IT,PM2.5,µg/m3,2013-01-13 00:00:00 +01:00,10.0
IT,PM2.5,µg/m3,2013-01-14 00:00:00 +01:00,8.571428571428571
IT,PM2.5,µg/m3,2013-01-15 00:00:00 +01:00,12.285714285714286
IT,PM2.5,µg/m3,2013-01-16 00:00:00 +01:00,9.0
IT,PM2.5,µg/m3,2013-01-17 00:00:00 +01:00,11.666666666666666
IT,PM2.5,µg/m3,2013-01-18 00:00:00 +01:00,17.166666666666668
IT,PM2.5,µg/m3,2013-01-19 00:00:00 +01:00,23.428571428571427
IT,PM2.5,µg/m3,2013-01-20 00:00:00 +01:00,12.142857142857142
IT,PM2.5,µg/m3,2013-01-21 00:00:00 +01:00,14.666666666666666
IT,PM2.5,µg/m3,2013-01-22 00:00:00 +01:00,21.666666666666668
IT,PM2.5,µg/m3,2013-01-23 00:00:00 +01:00,15.0
IT,PM2.5,µg/m3,2013-01-24 00:00:00 +01:00,14.666666666666666
IT,PM2.5,µg/m3,2013-01-25 00:00:00 +01:00,12.0
IT,PM2.5,µg/m3,2013-01-26 00:00:00 +01:00,22.0
IT,PM2.5,µg/m3,2013-01-27 00:00:00 +01:00,36.166666666666664
IT,PM2.5,µg/m3,2013-01-28 00:00:00 +01:00,33.0
IT,PM2.5,µg/m3,2013-01-29 00:00:00 +01:00,19.833333333333332
IT,PM2.5,µg/m3,2013-01-30 00:00:00 +01:00,35.333333333333336
IT,PM2.5,µg/m3,2013-01-31 00:00:00 +01:00,24.571428571428573
IT,PM2.5,µg/m3,2013-02-01 00:00:00 +01:00,20.5
IT,PM2.5,µg/m3,2013-02-02 00:00:00 +01:00,7.857142857142857
IT,PM2.5,µg/m3,2013-02-03 00:00:00 +01:00,7.0
IT,PM2.5,µg/m3,2013-02-04 00:00:00 +01:00,18.571428571428573
IT,PM2.5,µg/m3,2013-02-05 00:00:00 +01:00,25.285714285714285
IT,PM2.5,µg/m3,2013-02-06 00:00:00 +01:00,20.0
IT,PM2.5,µg/m3,2013-02-07 00:00:00 +01:00,12.0
IT,PM2.5,µg/m3,2013-02-08 00:00:00 +01:00,9.5
IT,PM2.5,µg/m3,2013-02-09 00:00:00 +01:00,17.0
IT,PM2.5,µg/m3,2013-02-10 00:00:00 +01:00,27.0
IT,PM2.5,µg/m3,2013-02-11 00:00:00 +01:00,17.2
IT,PM2.5,µg/m3,2013-02-12 00:00:00 +01:00,17.666666666666668
IT,PM2.5,µg/m3,2013-02-13 00:00:00 +01:00,24.166666666666668
IT,PM2.5,µg/m3,2013-02-14 00:00:00 +01:00,19.333333333333332
IT,PM2.5,µg/m3,2013-02-15 00:00:00 +01:00,45.0
IT,PM2.5,µg/m3,2013-02-16 00:00:00 +01:00,38.5
IT,PM2.5,µg/m3,2013-02-17 00:00:00 +01:00,29.333333333333332
IT,PM2.5,µg/m3,2013-02-18 00:00:00 +01:00,25.666666666666668
IT,PM2.5,µg/m3,2013-02-19 00:00:00 +01:00,28.5
IT,PM2.5,µg/m3,2013-02-20 00:00:00 +01:00,37.5
IT,PM2.5,µg/m3,2013-02-21 00:00:00 +01:00,32.5
IT,PM2.5,µg/m3,2013-02-22 00:00:00 +01:00,15.333333333333334
IT,PM2.5,µg/m3,2013-02-23 00:00:00 +01:00,8.0
IT,PM2.5,µg/m3,2013-02-24 00:00:00 +01:00,16.142857142857142
IT,PM2.5,µg/m3,2013-02-25 00:00:00 +01:00,18.857142857142858
IT,PM2.5,µg/m3,2013-02-26 00:00:00 +01:00,31.833333333333332
IT,PM2.5,µg/m3,2013-02-27 00:00:00 +01:00,29.0
IT,PM2.5,µg/m3,2013-02-28 00:00:00 +01:00,41.857142857142854
IT,PM2.5,µg/m3,2013-03-01 00:00:00 +01:00,45.714285714285715
IT,PM2.5,µg/m3,2013-03-02 00:00:00 +01:00,20.428571428571427
IT,PM2.5,µg/m3,2013-03-03 00:00:00 +01:00,20.833333333333332
IT,PM2.5,µg/m3,2013-03-04 00:00:00 +01:00,34.57142857142857
IT,PM2.5,µg/m3,2013-03-05 00:00:00 +01:00,40.0
IT,PM2.5,µg/m3,2013-03-06 00:00:00 +01:00,16.0
IT,PM2.5,µg/m3,2013-03-07 00:00:00 +01:00,11.714285714285714
IT,PM2.5,µg/m3,2013-03-08 00:00:00 +01:00,8.714285714285714
IT,PM2.5,µg/m3,2013-03-09 00:00:00 +01:00,8.0
IT,PM2.5,µg/m3,2013-03-10 00:00:00 +01:00,6.714285714285714
IT,PM2.5,µg/m3,2013-03-11 00:00:00 +01:00,5.833333333333333
IT,PM2.5,µg/m3,2013-03-12 00:00:00 +01:00,13.833333333333334
IT,PM2.5,µg/m3,2013-03-13 00:00:00 +01:00,18.6
IT,PM2.5,µg/m3,2013-03-14 00:00:00 +01:00,10.0
IT,PM2.5,µg/m3,2013-03-15 00:00:00 +01:00,11.428571428571429
IT,PM2.5,µg/m3,2013-03-16 00:00:00 +01:00,23.571428571428573
IT,PM2.5,µg/m3,2013-03-17 00:00:00 +01:00,22.142857142857142
IT,PM2.5,µg/m3,2013-03-18 00:00:00 +01:00,9.285714285714286
IT,PM2.5,µg/m3,2013-03-19 00:00:00 +01:00,9.428571428571429
IT,PM2.5,µg/m3,2013-03-20 00:00:00 +01:00,18.857142857142858
IT,PM2.5,µg/m3,2013-03-21 00:00:00 +01:00,9.857142857142858
IT,PM2.5,µg/m3,2013-03-22 00:00:00 +01:00,18.428571428571427
IT,PM2.5,µg/m3,2013-03-23 00:00:00 +01:00,24.142857142857142
IT,PM2.5,µg/m3,2013-03-24 00:00:00 +01:00,19.428571428571427
IT,PM2.5,µg/m3,2013-03-25 00:00:00 +01:00,10.0
IT,PM2.5,µg/m3,2013-03-26 00:00:00 +01:00,10.6
IT,PM2.5,µg/m3,2013-03-27 00:00:00 +01:00,14.166666666666666
IT,PM2.5,µg/m3,2013-03-28 00:00:00 +01:00,18.0
IT,PM2.5,µg/m3,2013-03-29 00:00:00 +01:00,11.857142857142858
IT,PM2.5,µg/m3,2013-03-30 00:00:00 +01:00,9.571428571428571
IT,PM2.5,µg/m3,2013-03-31 00:00:00 +01:00,6.714285714285714
IT,PM2.5,µg/m3,2013-04-01 00:00:00 +01:00,5.857142857142857
IT,PM2.5,µg/m3,2013-04-02 00:00:00 +01:00,7.571428571428571
IT,PM2.5,µg/m3,2013-04-03 00:00:00 +01:00,13.0
IT,PM2.5,µg/m3,2013-04-04 00:00:00 +01:00,19.571428571428573
IT,PM2.5,µg/m3,2013-04-05 00:00:00 +01:00,9.833333333333334
IT,PM2.5,µg/m3,2013-04-06 00:00:00 +01:00,13.571428571428571
IT,PM2.5,µg/m3,2013-04-07 00:00:00 +01:00,10.428571428571429
IT,PM2.5,µg/m3,2013-04-08 00:00:00 +01:00,13.714285714285714
IT,PM2.5,µg/m3,2013-04-09 00:00:00 +01:00,9.857142857142858
IT,PM2.5,µg/m3,2013-04-10 00:00:00 +01:00,12.428571428571429
IT,PM2.5,µg/m3,2013-04-11 00:00:00 +01:00,13.857142857142858
IT,PM2.5,µg/m3,2013-04-12 00:00:00 +01:00,15.0
IT,PM2.5,µg/m3,2013-04-13 00:00:00 +01:00,15.0
IT,PM2.5,µg/m3,2013-04-14 00:00:00 +01:00,14.428571428571429
IT,PM2.5,µg/m3,2013-04-15 00:00:00 +01:00,19.166666666666668
IT,PM2.5,µg/m3,2013-04-16 00:00:00 +01:00,19.428571428571427
IT,PM2.5,µg/m3,2013-04-17 00:00:00 +01:00,19.0
IT,PM2.5,µg/m3,2013-04-18 00:00:00 +01:00,20.833333333333332
IT,PM2.5,µg/m3,2013-04-19 00:00:00 +01:00,23.0
IT,PM2.5,µg/m3,2013-04-20 00:00:00 +01:00,11.571428571428571
IT,PM2.5,µg/m3,2013-04-21 00:00:00 +01:00,6.0
IT,PM2.5,µg/m3,2013-04-22 00:00:00 +01:00,6.142857142857143
IT,PM2.5,µg/m3,2013-04-23 00:00:00 +01:00,10.857142857142858
IT,PM2.5,µg/m3,2013-04-24 00:00:00 +01:00,19.571428571428573
IT,PM2.5,µg/m3,2013-04-25 00:00:00 +01:00,23.166666666666668
IT,PM2.5,µg/m3,2013-04-26 00:00:00 +01:00,22.4
IT,PM2.5,µg/m3,2013-04-27 00:00:00 +01:00,12.0
IT,PM2.5,µg/m3,2013-04-28 00:00:00 +01:00,10.833333333333334
IT,PM2.5,µg/m3,2013-04-29 00:00:00 +01:00,19.4
IT,PM2.5,µg/m3,2013-04-30 00:00:00 +01:00,22.166666666666668
IT,PM2.5,µg/m3,2013-05-01 00:00:00 +01:00,20.857142857142858
IT,PM2.5,µg/m3,2013-05-02 00:00:00 +01:00,15.285714285714286
IT,PM2.5,µg/m3,2013-05-03 00:00:00 +01:00,14.5
IT,PM2.5,µg/m3,2013-05-04 00:00:00 +01:00,18.0
IT,PM2.5,µg/m3,2013-05-05 00:00:00 +01:00,12.285714285714286
IT,PM2.5,µg/m3,2013-05-06 00:00:00 +01:00,10.857142857142858
IT,PM2.5,µg/m3,2013-05-07 00:00:00 +01:00,9.0
IT,PM2.5,µg/m3,2013-05-08 00:00:00 +01:00,13.0
IT,PM2.5,µg/m3,2013-05-09 00:00:00 +01:00,14.166666666666666
IT,PM2.5,µg/m3,2013-05-10 00:00:00 +01:00,18.0
IT,PM2.5,µg/m3,2013-05-11 00:00:00 +01:00,12.833333333333334
IT,PM2.5,µg/m3,2013-05-12 00:00:00 +01:00,10.285714285714286
IT,PM2.5,µg/m3,2013-05-13 00:00:00 +01:00,7.285714285714286
IT,PM2.5,µg/m3,2013-05-14 00:00:00 +01:00,10.666666666666666
IT,PM2.5,µg/m3,2013-05-15 00:00:00 +01:00,11.166666666666666
IT,PM2.5,µg/m3,2013-05-16 00:00:00 +01:00,10.285714285714286
IT,PM2.5,µg/m3,2013-05-17 00:00:00 +01:00,7.666666666666667
IT,PM2.5,µg/m3,2013-05-18 00:00:00 +01:00,10.8
IT,PM2.5,µg/m3,2013-05-19 00:00:00 +01:00,8.833333333333334
IT,PM2.5,µg/m3,2013-05-20 00:00:00 +01:00,8.0
IT,PM2.5,µg/m3,2013-05-21 00:00:00 +01:00,8.833333333333334
IT,PM2.5,µg/m3,2013-05-22 00:00:00 +01:00,8.857142857142858
IT,PM2.5,µg/m3,2013-05-23 00:00:00 +01:00,5.285714285714286
IT,PM2.5,µg/m3,2013-05-24 00:00:00 +01:00,7.857142857142857
IT,PM2.5,µg/m3,2013-05-25 00:00:00 +01:00,6.571428571428571
IT,PM2.5,µg/m3,2013-05-26 00:00:00 +01:00,6.571428571428571
IT,PM2.5,µg/m3,2013-05-27 00:00:00 +01:00,7.428571428571429
IT,PM2.5,µg/m3,2013-05-28 00:00:00 +01:00,8.285714285714286
IT,PM2.5,µg/m3,2013-05-29 00:00:00 +01:00,6.857142857142857
IT,PM2.5,µg/m3,2013-05-30 00:00:00 +01:00,4.285714285714286
IT,PM2.5,µg/m3,2013-05-31 00:00:00 +01:00,5.714285714285714
IT,PM2.5,µg/m3,2013-06-01 00:00:00 +01:00,7.571428571428571
IT,PM2.5,µg/m3,2013-06-02 00:00:00 +01:00,10.714285714285714
IT,PM2.5,µg/m3,2013-06-03 00:00:00 +01:00,12.833333333333334
IT,PM2.5,µg/m3,2013-06-04 00:00:00 +01:00,9.428571428571429
IT,PM2.5,µg/m3,2013-06-05 00:00:00 +01:00,11.5
IT,PM2.5,µg/m3,2013-06-06 00:00:00 +01:00,12.285714285714286
IT,PM2.5,µg/m3,2013-06-07 00:00:00 +01:00,13.666666666666666
IT,PM2.5,µg/m3,2013-06-08 00:00:00 +01:00,13.333333333333334
IT,PM2.5,µg/m3,2013-06-09 00:00:00 +01:00,16.0
