Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean no2 (µg/m3)
AT,NO2,µg/m3,2020-01-01 00:00:00 +01:00,15.329260889285715
AT,NO2,µg/m3,2020-01-01 01:00:00 +01:00,12.904655247142856
AT,NO2,µg/m3,2020-01-01 02:00:00 +01:00,12.46894994866667
AT,NO2,µg/m3,2020-01-01 03:00:00 +01:00,10.59031387285714
AT,NO2,µg/m3,2020-01-01 04:00:00 +01:00,10.0552391
AT,NO2,µg/m3,2020-01-01 05:00:00 +01:00,10.358967712666667
AT,NO2,µg/m3,2020-01-01 06:00:00 +01:00,12.327649382857144
AT,NO2,µg/m3,2020-01-01 07:00:00 +01:00,12.04222885266667
AT,NO2,µg/m3,2020-01-01 08:00:00 +01:00,12.436020052666665
AT,NO2,µg/m3,2020-01-01 09:00:00 +01:00,11.948590466
AT,NO2,µg/m3,2020-01-01 10:00:00 +01:00,9.030664301428573
AT,NO2,µg/m3,2020-01-01 11:00:00 +01:00,8.231600347142857
AT,NO2,µg/m3,2020-01-01 12:00:00 +01:00,9.09930838357143
AT,NO2,µg/m3,2020-01-01 13:00:00 +01:00,10.005971998000001
AT,NO2,µg/m3,2020-01-01 14:00:00 +01:00,12.175724875714286
AT,NO2,µg/m3,2020-01-01 15:00:00 +01:00,15.861485205
AT,NO2,µg/m3,2020-01-01 16:00:00 +01:00,27.52750351857143
AT,NO2,µg/m3,2020-01-01 17:00:00 +01:00,46.86548113357143
AT,NO2,µg/m3,2020-01-01 18:00:00 +01:00,51.28781038785716
AT,NO2,µg/m3,2020-01-01 19:00:00 +01:00,52.370000085714295
AT,NO2,µg/m3,2020-01-01 20:00:00 +01:00,52.89854306666667
AT,NO2,µg/m3,2020-01-01 21:00:00 +01:00,48.914706054285716
AT,NO2,µg/m3,2020-01-01 22:00:00 +01:00,44.27477437714286
AT,NO2,µg/m3,2020-01-01 23:00:00 +01:00,39.808410571428574
AT,NO2,µg/m3,2020-01-02 00:00:00 +01:00,39.67573843142858
AT,NO2,µg/m3,2020-01-02 01:00:00 +01:00,37.89032112266668
AT,NO2,µg/m3,2020-01-02 02:00:00 +01:00,35.250919165714286
AT,NO2,µg/m3,2020-01-02 03:00:00 +01:00,32.929867421333334
AT,NO2,µg/m3,2020-01-02 04:00:00 +01:00,33.67501671533333
AT,NO2,µg/m3,2020-01-02 05:00:00 +01:00,37.469619200000004
AT,NO2,µg/m3,2020-01-02 06:00:00 +01:00,41.774065648666664
AT,NO2,µg/m3,2020-01-02 07:00:00 +01:00,43.746917337333336
AT,NO2,µg/m3,2020-01-02 08:00:00 +01:00,46.63290043642858
AT,NO2,µg/m3,2020-01-02 09:00:00 +01:00,47.17620208714286
AT,NO2,µg/m3,2020-01-02 10:00:00 +01:00,45.40963621928571
AT,NO2,µg/m3,2020-01-02 11:00:00 +01:00,49.053572514285705
AT,NO2,µg/m3,2020-01-02 12:00:00 +01:00,48.495138672
