Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean o3 (µg/m3)
AT,O3,µg/m3,2014-01-01 00:00:00 +01:00,25.213599998
AT,O3,µg/m3,2014-01-01 01:00:00 +01:00,23.986499999
AT,O3,µg/m3,2014-01-01 02:00:00 +01:00,23.875777774444444
AT,O3,µg/m3,2014-01-01 03:00:00 +01:00,25.173333331111113
AT,O3,µg/m3,2014-01-01 04:00:00 +01:00,27.809999997
AT,O3,µg/m3,2014-01-01 05:00:00 +01:00,29.557999998999996
AT,O3,µg/m3,2014-01-01 06:00:00 +01:00,30.371899996999996
AT,O3,µg/m3,2014-01-01 07:00:00 +01:00,29.988799998
AT,O3,µg/m3,2014-01-01 08:00:00 +01:00,28.786299999
AT,O3,µg/m3,2014-01-01 09:00:00 +01:00,26.92022221888889
AT,O3,µg/m3,2014-01-01 10:00:00 +01:00,26.2921249975
AT,O3,µg/m3,2014-01-01 11:00:00 +01:00,28.808666665555556
AT,O3,µg/m3,2014-01-01 12:00:00 +01:00,30.947666665555555
AT,O3,µg/m3,2014-01-01 13:00:00 +01:00,34.74955555333334
AT,O3,µg/m3,2014-01-01 14:00:00 +01:00,37.893899997
AT,O3,µg/m3,2014-01-01 15:00:00 +01:00,36.233799999
AT,O3,µg/m3,2014-01-01 16:00:00 +01:00,29.475399999
AT,O3,µg/m3,2014-01-01 17:00:00 +01:00,22.966399997
AT,O3,µg/m3,2014-01-01 18:00:00 +01:00,20.814699997
AT,O3,µg/m3,2014-01-01 19:00:00 +01:00,20.713699996
AT,O3,µg/m3,2014-01-01 20:00:00 +01:00,19.964799997999997
AT,O3,µg/m3,2014-01-01 21:00:00 +01:00,20.46633333222222
AT,O3,µg/m3,2014-01-01 22:00:00 +01:00,20.792888888888893
AT,O3,µg/m3,2014-01-01 23:00:00 +01:00,19.642099996000002
AT,O3,µg/m3,2014-01-02 00:00:00 +01:00,20.444699999
AT,O3,µg/m3,2014-01-02 01:00:00 +01:00,22.91577777666667
AT,O3,µg/m3,2014-01-02 02:00:00 +01:00,28.04777777777778
AT,O3,µg/m3,2014-01-02 03:00:00 +01:00,32.948799999
AT,O3,µg/m3,2014-01-02 04:00:00 +01:00,37.286799998
AT,O3,µg/m3,2014-01-02 05:00:00 +01:00,38.736299998
AT,O3,µg/m3,2014-01-02 06:00:00 +01:00,35.516399998000004
AT,O3,µg/m3,2014-01-02 07:00:00 +01:00,31.999299996
AT,O3,µg/m3,2014-01-02 08:00:00 +01:00,31.501444442222223
AT,O3,µg/m3,2014-01-02 09:00:00 +01:00,34.3063749975
AT,O3,µg/m3,2014-01-02 10:00:00 +01:00,37.22077777444445
AT,O3,µg/m3,2014-01-02 11:00:00 +01:00,38.43944444444445
AT,O3,µg/m3,2014-01-02 12:00:00 +01:00,42.01733333111112
AT,O3,µg/m3,2014-01-02 13:00:00 +01:00,44.303999999000006
AT,O3,µg/m3,2014-01-02 14:00:00 +01:00,39.763099997
AT,O3,µg/m3,2014-01-02 15:00:00 +01:00,30.536999999
AT,O3,µg/m3,2014-01-02 16:00:00 +01:00,22.539699999
AT,O3,µg/m3,2014-01-02 17:00:00 +01:00,16.014199997
AT,O3,µg/m3,2014-01-02 18:00:00 +01:00,11.646599999
AT,O3,µg/m3,2014-01-02 19:00:00 +01:00,10.152899998999999
AT,O3,µg/m3,2014-01-02 20:00:00 +01:00,10.702555555555556
AT,O3,µg/m3,2014-01-02 21:00:00 +01:00,12.044555552222224
AT,O3,µg/m3,2014-01-02 22:00:00 +01:00,13.144099996999998
AT,O3,µg/m3,2014-01-02 23:00:00 +01:00,15.405199997
AT,O3,µg/m3,2014-01-03 00:00:00 +01:00,13.734777776666666
AT,O3,µg/m3,2014-01-03 01:00:00 +01:00,13.119222217777779
AT,O3,µg/m3,2014-01-03 02:00:00 +01:00,16.775799999000004
AT,O3,µg/m3,2014-01-03 03:00:00 +01:00,17.751799997
AT,O3,µg/m3,2014-01-03 04:00:00 +01:00,17.339599997
AT,O3,µg/m3,2014-01-03 05:00:00 +01:00,17.241799996999998
AT,O3,µg/m3,2014-01-03 06:00:00 +01:00,17.0442
AT,O3,µg/m3,2014-01-03 07:00:00 +01:00,10.853444442222223
AT,O3,µg/m3,2014-01-03 08:00:00 +01:00,10.14074999875
AT,O3,µg/m3,2014-01-03 09:00:00 +01:00,14.13322222
AT,O3,µg/m3,2014-01-03 10:00:00 +01:00,13.448999996666666
AT,O3,µg/m3,2014-01-03 11:00:00 +01:00,20.11422222111111
AT,O3,µg/m3,2014-01-03 12:00:00 +01:00,23.884899999
AT,O3,µg/m3,2014-01-03 13:00:00 +01:00,22.597499998000004
AT,O3,µg/m3,2014-01-03 14:00:00 +01:00,18.795699998
AT,O3,µg/m3,2014-01-03 15:00:00 +01:00,13.870199997
