Countrycode,AirPollutant,UnitOfMeasurement,DatetimeBegin,mean pm25 (µg/m3)
AT,PM2.5,µg/m3,2015-01-01 00:00:00 +01:00,112.79480132400002
AT,PM2.5,µg/m3,2015-01-01 01:00:00 +01:00,85.760250085
AT,PM2.5,µg/m3,2015-01-01 02:00:00 +01:00,57.6677513
AT,PM2.5,µg/m3,2015-01-01 03:00:00 +01:00,52.67399978
AT,PM2.5,µg/m3,2015-01-01 04:00:00 +01:00,53.07500075
AT,PM2.5,µg/m3,2015-01-01 05:00:00 +01:00,43.816499699999994
AT,PM2.5,µg/m3,2015-01-01 06:00:00 +01:00,33.440999975
AT,PM2.5,µg/m3,2015-01-01 07:00:00 +01:00,31.027500145
AT,PM2.5,µg/m3,2015-01-01 08:00:00 +01:00,30.36700057
AT,PM2.5,µg/m3,2015-01-01 09:00:00 +01:00,29.067499155
AT,PM2.5,µg/m3,2015-01-01 10:00:00 +01:00,16.1147499
AT,PM2.5,µg/m3,2015-01-01 11:00:00 +01:00,18.941750040000002
AT,PM2.5,µg/m3,2015-01-01 12:00:00 +01:00,12.510500425
AT,PM2.5,µg/m3,2015-01-01 13:00:00 +01:00,9.49742507
AT,PM2.5,µg/m3,2015-01-01 14:00:00 +01:00,8.701100345
AT,PM2.5,µg/m3,2015-01-01 15:00:00 +01:00,7.5383005
AT,PM2.5,µg/m3,2015-01-01 16:00:00 +01:00,6.431299919999999
AT,PM2.5,µg/m3,2015-01-01 17:00:00 +01:00,6.59177517
AT,PM2.5,µg/m3,2015-01-01 18:00:00 +01:00,6.814049945
AT,PM2.5,µg/m3,2015-01-01 19:00:00 +01:00,9.87300038
AT,PM2.5,µg/m3,2015-01-01 20:00:00 +01:00,8.38459992
AT,PM2.5,µg/m3,2015-01-01 21:00:00 +01:00,6.954575054999999
AT,PM2.5,µg/m3,2015-01-01 22:00:00 +01:00,6.676575165
AT,PM2.5,µg/m3,2015-01-01 23:00:00 +01:00,9.78107523
AT,PM2.5,µg/m3,2015-01-02 00:00:00 +01:00,10.8984003
AT,PM2.5,µg/m3,2015-01-02 01:00:00 +01:00,11.369375455
AT,PM2.5,µg/m3,2015-01-02 02:00:00 +01:00,12.187999715
AT,PM2.5,µg/m3,2015-01-02 03:00:00 +01:00,13.238075245000001
AT,PM2.5,µg/m3,2015-01-02 04:00:00 +01:00,12.916975015000002
AT,PM2.5,µg/m3,2015-01-02 05:00:00 +01:00,12.731674185
AT,PM2.5,µg/m3,2015-01-02 06:00:00 +01:00,13.281524880000001
AT,PM2.5,µg/m3,2015-01-02 07:00:00 +01:00,10.69189977
AT,PM2.5,µg/m3,2015-01-02 08:00:00 +01:00,10.718050470000001
AT,PM2.5,µg/m3,2015-01-02 09:00:00 +01:00,16.124350295
AT,PM2.5,µg/m3,2015-01-02 10:00:00 +01:00,32.06624984
AT,PM2.5,µg/m3,2015-01-02 11:00:00 +01:00,26.585999479999998
AT,PM2.5,µg/m3,2015-01-02 12:00:00 +01:00,12.24617551
AT,PM2.5,µg/m3,2015-01-02 13:00:00 +01:00,9.524024955
AT,PM2.5,µg/m3,2015-01-02 14:00:00 +01:00,4.656275265
AT,PM2.5,µg/m3,2015-01-02 15:00:00 +01:00,5.3178749
AT,PM2.5,µg/m3,2015-01-02 16:00:00 +01:00,6.909400209999999
AT,PM2.5,µg/m3,2015-01-02 17:00:00 +01:00,7.201025
AT,PM2.5,µg/m3,2015-01-02 18:00:00 +01:00,7.940150020000001
AT,PM2.5,µg/m3,2015-01-02 19:00:00 +01:00,8.22635006
AT,PM2.5,µg/m3,2015-01-02 20:00:00 +01:00,7.1166250600000005
AT,PM2.5,µg/m3,2015-01-02 21:00:00 +01:00,4.91947507
AT,PM2.5,µg/m3,2015-01-02 22:00:00 +01:00,7.472774975
AT,PM2.5,µg/m3,2015-01-02 23:00:00 +01:00,9.54282474
AT,PM2.5,µg/m3,2015-01-03 00:00:00 +01:00,7.4658501
AT,PM2.5,µg/m3,2015-01-03 01:00:00 +01:00,7.631925095
AT,PM2.5,µg/m3,2015-01-03 02:00:00 +01:00,7.11467504
AT,PM2.5,µg/m3,2015-01-03 03:00:00 +01:00,7.913100235
AT,PM2.5,µg/m3,2015-01-03 04:00:00 +01:00,7.75005006
AT,PM2.5,µg/m3,2015-01-03 05:00:00 +01:00,7.8936004550000005
AT,PM2.5,µg/m3,2015-01-03 06:00:00 +01:00,8.5926249
AT,PM2.5,µg/m3,2015-01-03 07:00:00 +01:00,9.087525355
AT,PM2.5,µg/m3,2015-01-03 08:00:00 +01:00,9.304025164999999
AT,PM2.5,µg/m3,2015-01-03 09:00:00 +01:00,9.583649625
AT,PM2.5,µg/m3,2015-01-03 10:00:00 +01:00,8.505599484999998
AT,PM2.5,µg/m3,2015-01-03 11:00:00 +01:00,6.670949925
AT,PM2.5,µg/m3,2015-01-03 12:00:00 +01:00,6.776025049999999
AT,PM2.5,µg/m3,2015-01-03 13:00:00 +01:00,6.730274905
AT,PM2.5,µg/m3,2015-01-03 14:00:00 +01:00,6.236075150000001
AT,PM2.5,µg/m3,2015-01-03 15:00:00 +01:00,7.047125095
AT,PM2.5,µg/m3,2015-01-03 16:00:00 +01:00,7.035049900000001
AT,PM2.5,µg/m3,2015-01-03 17:00:00 +01:00,7.33562492
AT,PM2.5,µg/m3,2015-01-03 18:00:00 +01:00,7.49367475
AT,PM2.5,µg/m3,2015-01-03 19:00:00 +01:00,7.917574630000001
AT,PM2.5,µg/m3,2015-01-03 20:00:00 +01:00,10.26305007
AT,PM2.5,µg/m3,2015-01-03 21:00:00 +01:00,13.878750315000001
AT,PM2.5,µg/m3,2015-01-03 22:00:00 +01:00,15.088500495000002
AT,PM2.5,µg/m3,2015-01-03 23:00:00 +01:00,16.259249670000003
AT,PM2.5,µg/m3,2015-01-04 00:00:00 +01:00,13.811250205
AT,PM2.5,µg/m3,2015-01-04 01:00:00 +01:00,8.418850175
AT,PM2.5,µg/m3,2015-01-04 02:00:00 +01:00,3.984449975
AT,PM2.5,µg/m3,2015-01-04 03:00:00 +01:00,2.52082502
AT,PM2.5,µg/m3,2015-01-04 04:00:00 +01:00,1.999450075
AT,PM2.5,µg/m3,2015-01-04 05:00:00 +01:00,3.01584994
AT,PM2.5,µg/m3,2015-01-04 06:00:00 +01:00,2.48335003
AT,PM2.5,µg/m3,2015-01-04 07:00:00 +01:00,1.9140748900000002
AT,PM2.5,µg/m3,2015-01-04 08:00:00 +01:00,2.022524945
AT,PM2.5,µg/m3,2015-01-04 09:00:00 +01:00,1.889449945
AT,PM2.5,µg/m3,2015-01-04 10:00:00 +01:00,2.885649915
AT,PM2.5,µg/m3,2015-01-04 11:00:00 +01:00,2.528149955
AT,PM2.5,µg/m3,2015-01-04 12:00:00 +01:00,2.7144499900000003
AT,PM2.5,µg/m3,2015-01-04 13:00:00 +01:00,2.67427503
AT,PM2.5,µg/m3,2015-01-04 14:00:00 +01:00,3.23255014
AT,PM2.5,µg/m3,2015-01-04 15:00:00 +01:00,3.7839250399999997
AT,PM2.5,µg/m3,2015-01-04 16:00:00 +01:00,4.209700095
AT,PM2.5,µg/m3,2015-01-04 17:00:00 +01:00,4.7325251
AT,PM2.5,µg/m3,2015-01-04 18:00:00 +01:00,4.92550015
AT,PM2.5,µg/m3,2015-01-04 19:00:00 +01:00,3.47187506
AT,PM2.5,µg/m3,2015-01-04 20:00:00 +01:00,3.73315
AT,PM2.5,µg/m3,2015-01-04 21:00:00 +01:00,4.246475215
AT,PM2.5,µg/m3,2015-01-04 22:00:00 +01:00,3.34350001
AT,PM2.5,µg/m3,2015-01-04 23:00:00 +01:00,3.643124925
AT,PM2.5,µg/m3,2015-01-05 00:00:00 +01:00,2.6696249200000004
AT,PM2.5,µg/m3,2015-01-05 01:00:00 +01:00,2.873700015
AT,PM2.5,µg/m3,2015-01-05 02:00:00 +01:00,3.7734501199999997
AT,PM2.5,µg/m3,2015-01-05 03:00:00 +01:00,4.494750015
AT,PM2.5,µg/m3,2015-01-05 04:00:00 +01:00,4.82505035
AT,PM2.5,µg/m3,2015-01-05 05:00:00 +01:00,5.56467485
AT,PM2.5,µg/m3,2015-01-05 06:00:00 +01:00,5.879224765
AT,PM2.5,µg/m3,2015-01-05 07:00:00 +01:00,6.32344984
AT,PM2.5,µg/m3,2015-01-05 08:00:00 +01:00,6.029049865
AT,PM2.5,µg/m3,2015-01-05 09:00:00 +01:00,6.678500165000001
AT,PM2.5,µg/m3,2015-01-05 10:00:00 +01:00,7.61612533
AT,PM2.5,µg/m3,2015-01-05 11:00:00 +01:00,7.45192527
AT,PM2.5,µg/m3,2015-01-05 12:00:00 +01:00,9.294525140000001
AT,PM2.5,µg/m3,2015-01-05 13:00:00 +01:00,9.950349800000001
AT,PM2.5,µg/m3,2015-01-05 14:00:00 +01:00,9.22682475
AT,PM2.5,µg/m3,2015-01-05 15:00:00 +01:00,8.741724965
AT,PM2.5,µg/m3,2015-01-05 16:00:00 +01:00,8.37375068
AT,PM2.5,µg/m3,2015-01-05 17:00:00 +01:00,8.84482478
AT,PM2.5,µg/m3,2015-01-05 18:00:00 +01:00,8.54757475
AT,PM2.5,µg/m3,2015-01-05 19:00:00 +01:00,8.902600280000001
AT,PM2.5,µg/m3,2015-01-05 20:00:00 +01:00,10.154000275000001
AT,PM2.5,µg/m3,2015-01-05 21:00:00 +01:00,10.86549997
AT,PM2.5,µg/m3,2015-01-05 22:00:00 +01:00,11.616499895
AT,PM2.5,µg/m3,2015-01-05 23:00:00 +01:00,12.47475003
AT,PM2.5,µg/m3,2015-01-06 00:00:00 +01:00,12.665250295
AT,PM2.5,µg/m3,2015-01-06 01:00:00 +01:00,12.970499505
AT,PM2.5,µg/m3,2015-01-06 02:00:00 +01:00,13.626749984999996
AT,PM2.5,µg/m3,2015-01-06 03:00:00 +01:00,14.25275039
AT,PM2.5,µg/m3,2015-01-06 04:00:00 +01:00,14.782500265
AT,PM2.5,µg/m3,2015-01-06 05:00:00 +01:00,15.28000068
AT,PM2.5,µg/m3,2015-01-06 06:00:00 +01:00,15.594500535
AT,PM2.5,µg/m3,2015-01-06 07:00:00 +01:00,15.263999935000001
AT,PM2.5,µg/m3,2015-01-06 08:00:00 +01:00,14.57024955
AT,PM2.5,µg/m3,2015-01-06 09:00:00 +01:00,13.859999655
AT,PM2.5,µg/m3,2015-01-06 10:00:00 +01:00,12.936750405
AT,PM2.5,µg/m3,2015-01-06 11:00:00 +01:00,11.322999945
AT,PM2.5,µg/m3,2015-01-06 12:00:00 +01:00,9.879199975
AT,PM2.5,µg/m3,2015-01-06 13:00:00 +01:00,9.82547521
AT,PM2.5,µg/m3,2015-01-06 14:00:00 +01:00,8.915800085
AT,PM2.5,µg/m3,2015-01-06 15:00:00 +01:00,9.000799650000001
AT,PM2.5,µg/m3,2015-01-06 16:00:00 +01:00,10.241974825
AT,PM2.5,µg/m3,2015-01-06 17:00:00 +01:00,14.13574981
AT,PM2.5,µg/m3,2015-01-06 18:00:00 +01:00,17.46600055
AT,PM2.5,µg/m3,2015-01-06 19:00:00 +01:00,18.810500134999998
AT,PM2.5,µg/m3,2015-01-06 20:00:00 +01:00,21.434249875
AT,PM2.5,µg/m3,2015-01-06 21:00:00 +01:00,22.24975012
AT,PM2.5,µg/m3,2015-01-06 22:00:00 +01:00,23.884500495
AT,PM2.5,µg/m3,2015-01-06 23:00:00 +01:00,16.876499165000002
AT,PM2.5,µg/m3,2015-01-07 00:00:00 +01:00,17.493499745
