,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
0,NL,STA-NL00012,NO2,26.1,µg/m3,2016-01-09 20:00:00 +01:00
1,NL,STA-NL00012,NO2,25.6,µg/m3,2016-01-09 21:00:00 +01:00
2,NL,STA-NL00012,NO2,25.8,µg/m3,2016-01-10 00:00:00 +01:00
3,NL,STA-NL00012,NO2,24.5,µg/m3,2016-01-09 22:00:00 +01:00
4,NL,STA-NL00012,NO2,44.2,µg/m3,2016-01-09 04:00:00 +01:00
5,NL,STA-NL00012,NO2,11.3,µg/m3,2016-01-10 03:00:00 +01:00
6,NL,STA-NL00012,NO2,24.3,µg/m3,2016-01-10 10:00:00 +01:00
7,NL,STA-NL00012,NO2,34.7,µg/m3,2016-01-09 18:00:00 +01:00
8,NL,STA-NL00012,NO2,37.1,µg/m3,2016-01-09 17:00:00 +01:00
9,NL,STA-NL00012,NO2,34.0,µg/m3,2016-01-09 11:00:00 +01:00
10,NL,STA-NL00012,NO2,34.7,µg/m3,2016-01-09 13:00:00 +01:00
11,NL,STA-NL00012,NO2,40.7,µg/m3,2016-01-09 15:00:00 +01:00
12,NL,STA-NL00012,NO2,63.2,µg/m3,2016-01-11 12:00:00 +01:00
13,NL,STA-NL00012,NO2,19.3,µg/m3,2016-01-11 04:00:00 +01:00
14,NL,STA-NL00012,NO2,60.0,µg/m3,2016-01-11 11:00:00 +01:00
15,NL,STA-NL00012,NO2,21.0,µg/m3,2016-01-10 13:00:00 +01:00
16,NL,STA-NL00012,NO2,30.3,µg/m3,2016-01-11 06:00:00 +01:00
17,NL,STA-NL00012,NO2,39.0,µg/m3,2016-01-10 18:00:00 +01:00
18,NL,STA-NL00012,NO2,13.1,µg/m3,2016-01-10 06:00:00 +01:00
19,NL,STA-NL00012,NO2,40.0,µg/m3,2016-01-10 17:00:00 +01:00
20,NL,STA-NL00012,NO2,21.8,µg/m3,2016-01-10 14:00:00 +01:00
21,NL,STA-NL00012,NO2,20.6,µg/m3,2016-01-10 01:00:00 +01:00
22,NL,STA-NL00012,NO2,36.5,µg/m3,2016-01-10 20:00:00 +01:00
23,NL,STA-NL00012,NO2,18.3,µg/m3,2016-01-10 07:00:00 +01:00
24,NL,STA-NL00012,NO2,23.5,µg/m3,2016-01-10 12:00:00 +01:00
25,NL,STA-NL00012,NO2,2.6,µg/m3,2016-01-08 02:00:00 +01:00
26,NL,STA-NL00012,NO2,9.8,µg/m3,2016-01-07 20:00:00 +01:00
27,NL,STA-NL00012,NO2,47.7,µg/m3,2016-01-07 17:00:00 +01:00
28,NL,STA-NL00012,NO2,6.5,µg/m3,2016-01-07 22:00:00 +01:00
29,NL,STA-NL00012,NO2,6.9,µg/m3,2016-01-07 23:00:00 +01:00
30,NL,STA-NL00012,NO2,8.0,µg/m3,2016-01-07 21:00:00 +01:00
31,NL,STA-NL00012,NO2,11.9,µg/m3,2016-01-07 19:00:00 +01:00
32,NL,STA-NL00012,NO2,45.7,µg/m3,2016-01-07 11:00:00 +01:00
33,NL,STA-NL00012,NO2,33.6,µg/m3,2016-01-07 04:00:00 +01:00
34,NL,STA-NL00012,NO2,42.7,µg/m3,2016-01-07 16:00:00 +01:00
35,NL,STA-NL00012,NO2,25.1,µg/m3,2016-01-07 18:00:00 +01:00
36,NL,STA-NL00012,NO2,57.1,µg/m3,2016-01-08 14:00:00 +01:00
37,NL,STA-NL00012,NO2,44.2,µg/m3,2016-01-08 09:00:00 +01:00
38,NL,STA-NL00012,NO2,44.0,µg/m3,2016-01-08 10:00:00 +01:00
39,NL,STA-NL00012,NO2,10.4,µg/m3,2016-01-08 06:00:00 +01:00
40,NL,STA-NL00012,NO2,70.7,µg/m3,2016-01-08 18:00:00 +01:00
41,NL,STA-NL00012,NO2,56.7,µg/m3,2016-01-09 01:00:00 +01:00
42,NL,STA-NL00012,NO2,33.1,µg/m3,2016-01-09 07:00:00 +01:00
43,NL,STA-NL00012,NO2,54.5,µg/m3,2016-01-09 02:00:00 +01:00
44,NL,STA-NL00012,NO2,57.0,µg/m3,2016-01-09 00:00:00 +01:00
45,NL,STA-NL00012,NO2,39.2,µg/m3,2016-01-09 05:00:00 +01:00
46,NL,STA-NL00012,NO2,61.7,µg/m3,2016-01-08 19:00:00 +01:00
47,NL,STA-NL00012,NO2,26.6,µg/m3,2016-01-04 06:00:00 +01:00
48,NL,STA-NL00012,NO2,14.5,µg/m3,2016-01-04 00:00:00 +01:00
49,NL,STA-NL00012,NO2,60.7,µg/m3,2016-01-04 11:00:00 +01:00
50,NL,STA-NL00012,NO2,49.7,µg/m3,2016-01-04 20:00:00 +01:00
51,NL,STA-NL00012,NO2,62.1,µg/m3,2016-01-04 13:00:00 +01:00
52,NL,STA-NL00012,NO2,31.8,µg/m3,2016-01-05 01:00:00 +01:00
53,NL,STA-NL00012,NO2,47.7,µg/m3,2016-01-04 23:00:00 +01:00
54,NL,STA-NL00012,NO2,53.5,µg/m3,2016-01-04 16:00:00 +01:00
55,NL,STA-NL00012,NO2,56.0,µg/m3,2016-01-04 17:00:00 +01:00
56,NL,STA-NL00012,NO2,46.0,µg/m3,2016-01-04 21:00:00 +01:00
57,NL,STA-NL00012,NO2,30.5,µg/m3,2016-01-05 06:00:00 +01:00
58,NL,STA-NL00012,NO2,69.2,µg/m3,2016-01-05 14:00:00 +01:00
59,NL,STA-NL00012,NO2,46.2,µg/m3,2016-01-05 09:00:00 +01:00
60,NL,STA-NL00012,NO2,52.7,µg/m3,2016-01-05 19:00:00 +01:00
61,NL,STA-NL00012,NO2,54.0,µg/m3,2016-01-05 12:00:00 +01:00
62,NL,STA-NL00012,NO2,67.2,µg/m3,2016-01-05 18:00:00 +01:00
63,NL,STA-NL00012,NO2,73.2,µg/m3,2016-01-05 15:00:00 +01:00
64,NL,STA-NL00012,NO2,21.0,µg/m3,2016-01-05 05:00:00 +01:00
65,NL,STA-NL00012,NO2,46.7,µg/m3,2016-01-05 11:00:00 +01:00
66,NL,STA-NL00012,NO2,54.6,µg/m3,2016-01-07 09:00:00 +01:00
