,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
0,DE,STA.DE_DEBE104,NO2,35.72999999,µg/m3,2018-01-01 00:00:00 +01:00
1,DE,STA.DE_DEBE104,NO2,27.14,µg/m3,2018-01-02 10:45:00 +01:00
2,DE,STA.DE_DEBE104,NO2,40.68999999,µg/m3,2018-01-16 09:58:00 +01:00
3,DE,STA.DE_DEBE104,NO2,45.67,µg/m3,2018-01-30 08:57:00 +01:00
4,DE,STA.DE_DEBE104,NO2,40.17,µg/m3,2018-02-13 09:24:00 +01:00
5,DE,STA.DE_DEBE104,NO2,32.60999999,µg/m3,2018-02-27 09:38:00 +01:00
6,DE,STA.DE_DEBE104,NO2,33.99,µg/m3,2018-03-13 09:47:00 +01:00
7,DE,STA.DE_DEBE104,NO2,36.45,µg/m3,2018-03-27 08:23:00 +01:00
8,DE,STA.DE_DEBE104,NO2,43.67,µg/m3,2018-04-10 08:38:00 +01:00
9,DE,STA.DE_DEBE104,NO2,30.93,µg/m3,2018-04-24 08:51:00 +01:00
10,DE,STA.DE_DEBE104,NO2,25.96999999,µg/m3,2018-05-08 08:35:00 +01:00
11,DE,STA.DE_DEBE104,NO2,29.25,µg/m3,2018-05-22 09:42:00 +01:00
12,DE,STA.DE_DEBE104,NO2,39.25,µg/m3,2018-06-05 08:46:00 +01:00
13,DE,STA.DE_DEBE104,NO2,33.04999999,µg/m3,2018-06-19 08:52:00 +01:00
14,DE,STA.DE_DEBE104,NO2,42.77,µg/m3,2018-07-03 08:40:00 +01:00
15,DE,STA.DE_DEBE104,NO2,30.64,µg/m3,2018-07-17 09:00:00 +01:00
16,DE,STA.DE_DEBE104,NO2,37.54999999,µg/m3,2018-07-31 08:35:00 +01:00
17,DE,STA.DE_DEBE104,NO2,47.64,µg/m3,2018-08-14 08:38:00 +01:00
18,DE,STA.DE_DEBE104,NO2,40.03999999,µg/m3,2018-08-28 08:47:00 +01:00
19,DE,STA.DE_DEBE104,NO2,45.97999999,µg/m3,2018-09-11 08:34:00 +01:00
20,DE,STA.DE_DEBE104,NO2,46.92,µg/m3,2018-09-25 09:21:00 +01:00
21,DE,STA.DE_DEBE104,NO2,49.43999999,µg/m3,2018-10-09 08:28:00 +01:00
22,DE,STA.DE_DEBE104,NO2,31.91,µg/m3,2018-10-23 08:59:00 +01:00
23,DE,STA.DE_DEBE104,NO2,34.63,µg/m3,2018-11-06 09:47:00 +01:00
24,DE,STA.DE_DEBE104,NO2,30.0,µg/m3,2018-11-20 09:38:00 +01:00
25,DE,STA.DE_DEBE104,NO2,31.1,µg/m3,2018-12-04 09:36:00 +01:00
26,DE,STA.DE_DEBE104,NO2,30.82,µg/m3,2018-12-18 09:37:00 +01:00
