Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
DE,STA.DE_DEBE068,NO2,48.58,µg/m3,2020-01-01 00:00:00 +01:00
DE,STA.DE_DEBE068,NO2,40.69,µg/m3,2020-01-01 01:00:00 +01:00
DE,STA.DE_DEBE068,NO2,34.93,µg/m3,2020-01-01 02:00:00 +01:00
DE,STA.DE_DEBE068,NO2,26.5,µg/m3,2020-01-01 03:00:00 +01:00
DE,STA.DE_DEBE068,NO2,20.62,µg/m3,2020-01-01 04:00:00 +01:00
DE,STA.DE_DEBE068,NO2,12.07,µg/m3,2020-01-01 05:00:00 +01:00
DE,STA.DE_DEBE068,NO2,13.5,µg/m3,2020-01-01 06:00:00 +01:00
DE,STA.DE_DEBE068,NO2,15.23,µg/m3,2020-01-01 07:00:00 +01:00
DE,STA.DE_DEBE068,NO2,11.43,µg/m3,2020-01-01 08:00:00 +01:00
DE,STA.DE_DEBE068,NO2,16.19,µg/m3,2020-01-01 09:00:00 +01:00
DE,STA.DE_DEBE068,NO2,18.6,µg/m3,2020-01-01 10:00:00 +01:00
DE,STA.DE_DEBE068,NO2,22.67,µg/m3,2020-01-01 11:00:00 +01:00
DE,STA.DE_DEBE068,NO2,8.08,µg/m3,2020-01-01 12:00:00 +01:00
DE,STA.DE_DEBE068,NO2,8.11,µg/m3,2020-01-01 13:00:00 +01:00
DE,STA.DE_DEBE068,NO2,9.48,µg/m3,2020-01-01 14:00:00 +01:00
DE,STA.DE_DEBE068,NO2,14.0,µg/m3,2020-01-01 15:00:00 +01:00
DE,STA.DE_DEBE068,NO2,24.76,µg/m3,2020-01-01 16:00:00 +01:00
DE,STA.DE_DEBE068,NO2,55.63,µg/m3,2020-01-01 17:00:00 +01:00
DE,STA.DE_DEBE068,NO2,54.14,µg/m3,2020-01-01 18:00:00 +01:00
DE,STA.DE_DEBE068,NO2,45.12,µg/m3,2020-01-01 19:00:00 +01:00
DE,STA.DE_DEBE068,NO2,38.93,µg/m3,2020-01-01 20:00:00 +01:00
DE,STA.DE_DEBE068,NO2,33.14,µg/m3,2020-01-01 21:00:00 +01:00
DE,STA.DE_DEBE068,NO2,35.81,µg/m3,2020-01-01 22:00:00 +01:00
DE,STA.DE_DEBE068,NO2,38.19,µg/m3,2020-01-01 23:00:00 +01:00
DE,STA.DE_DEBE068,NO2,40.93,µg/m3,2020-01-02 00:00:00 +01:00
DE,STA.DE_DEBE068,NO2,40.85,µg/m3,2020-01-02 01:00:00 +01:00
DE,STA.DE_DEBE068,NO2,38.84,µg/m3,2020-01-02 02:00:00 +01:00
DE,STA.DE_DEBE068,NO2,35.39,µg/m3,2020-01-02 03:00:00 +01:00
DE,STA.DE_DEBE068,NO2,37.28,µg/m3,2020-01-02 04:00:00 +01:00
DE,STA.DE_DEBE068,NO2,35.73,µg/m3,2020-01-02 05:00:00 +01:00
DE,STA.DE_DEBE068,NO2,39.65,µg/m3,2020-01-02 06:00:00 +01:00
