Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
PT,STA-PT03097,NO2,45.0,µg/m3,2018-01-01 00:00:00 +01:00
PT,STA-PT03097,NO2,44.6,µg/m3,2018-01-01 01:00:00 +01:00
PT,STA-PT03097,NO2,39.5,µg/m3,2018-01-01 07:00:00 +01:00
PT,STA-PT03097,NO2,34.6,µg/m3,2018-01-01 08:00:00 +01:00
PT,STA-PT03097,NO2,37.6,µg/m3,2018-01-01 09:00:00 +01:00
PT,STA-PT03097,NO2,38.0,µg/m3,2018-01-01 10:00:00 +01:00
PT,STA-PT03097,NO2,17.0,µg/m3,2018-01-01 12:00:00 +01:00
PT,STA-PT03097,NO2,10.9,µg/m3,2018-01-01 13:00:00 +01:00
PT,STA-PT03097,NO2,14.5,µg/m3,2018-01-01 14:00:00 +01:00
PT,STA-PT03097,NO2,10.9,µg/m3,2018-01-01 15:00:00 +01:00
PT,STA-PT03097,NO2,12.5,µg/m3,2018-01-01 16:00:00 +01:00
PT,STA-PT03097,NO2,20.6,µg/m3,2018-01-01 17:00:00 +01:00
PT,STA-PT03097,NO2,39.0,µg/m3,2018-01-01 18:00:00 +01:00
PT,STA-PT03097,NO2,62.5,µg/m3,2018-01-01 19:00:00 +01:00
PT,STA-PT03097,NO2,57.0,µg/m3,2018-01-01 22:00:00 +01:00
PT,STA-PT03097,NO2,50.0,µg/m3,2018-01-01 23:00:00 +01:00
PT,STA-PT03097,NO2,48.6,µg/m3,2018-01-02 00:00:00 +01:00
PT,STA-PT03097,NO2,25.6,µg/m3,2018-01-02 03:00:00 +01:00
PT,STA-PT03097,NO2,30.0,µg/m3,2018-01-02 04:00:00 +01:00
PT,STA-PT03097,NO2,14.4,µg/m3,2018-01-02 05:00:00 +01:00
PT,STA-PT03097,NO2,38.5,µg/m3,2018-01-02 07:00:00 +01:00
PT,STA-PT03097,NO2,72.9,µg/m3,2018-01-02 08:00:00 +01:00
PT,STA-PT03097,NO2,78.7,µg/m3,2018-01-02 11:00:00 +01:00
PT,STA-PT03097,NO2,22.0,µg/m3,2018-01-02 13:00:00 +01:00
PT,STA-PT03097,NO2,19.6,µg/m3,2018-01-02 15:00:00 +01:00
PT,STA-PT03097,NO2,24.5,µg/m3,2018-01-02 16:00:00 +01:00
PT,STA-PT03097,NO2,27.6,µg/m3,2018-01-02 17:00:00 +01:00
PT,STA-PT03097,NO2,74.2,µg/m3,2018-01-02 19:00:00 +01:00
PT,STA-PT03097,NO2,66.2,µg/m3,2018-01-02 20:00:00 +01:00
PT,STA-PT03097,NO2,46.7,µg/m3,2018-01-02 21:00:00 +01:00
PT,STA-PT03097,NO2,34.0,µg/m3,2018-01-02 23:00:00 +01:00
PT,STA-PT03097,NO2,34.6,µg/m3,2018-01-03 00:00:00 +01:00
PT,STA-PT03097,NO2,21.3,µg/m3,2018-01-03 02:00:00 +01:00
PT,STA-PT03097,NO2,15.3,µg/m3,2018-01-03 03:00:00 +01:00
PT,STA-PT03097,NO2,16.5,µg/m3,2018-01-03 05:00:00 +01:00
PT,STA-PT03097,NO2,16.8,µg/m3,2018-01-03 06:00:00 +01:00
PT,STA-PT03097,NO2,28.8,µg/m3,2018-01-03 07:00:00 +01:00
PT,STA-PT03097,NO2,78.5,µg/m3,2018-01-03 09:00:00 +01:00
PT,STA-PT03097,NO2,54.0,µg/m3,2018-01-03 10:00:00 +01:00
PT,STA-PT03097,NO2,31.8,µg/m3,2018-01-03 11:00:00 +01:00
PT,STA-PT03097,NO2,23.6,µg/m3,2018-01-03 13:00:00 +01:00
PT,STA-PT03097,NO2,32.6,µg/m3,2018-01-03 14:00:00 +01:00
PT,STA-PT03097,NO2,27.5,µg/m3,2018-01-03 16:00:00 +01:00
PT,STA-PT03097,NO2,35.0,µg/m3,2018-01-03 17:00:00 +01:00
PT,STA-PT03097,NO2,49.2,µg/m3,2018-01-03 18:00:00 +01:00
PT,STA-PT03097,NO2,59.1,µg/m3,2018-01-03 19:00:00 +01:00
PT,STA-PT03097,NO2,52.2,µg/m3,2018-01-03 20:00:00 +01:00
PT,STA-PT03097,NO2,34.2,µg/m3,2018-01-03 21:00:00 +01:00
PT,STA-PT03097,NO2,35.7,µg/m3,2018-01-03 22:00:00 +01:00
PT,STA-PT03097,NO2,27.6,µg/m3,2018-01-04 01:00:00 +01:00
PT,STA-PT03097,NO2,24.1,µg/m3,2018-01-04 02:00:00 +01:00
PT,STA-PT03097,NO2,13.4,µg/m3,2018-01-04 05:00:00 +01:00
PT,STA-PT03097,NO2,9.9,µg/m3,2018-01-04 06:00:00 +01:00
PT,STA-PT03097,NO2,49.2,µg/m3,2018-01-04 08:00:00 +01:00
PT,STA-PT03097,NO2,66.4,µg/m3,2018-01-04 09:00:00 +01:00
PT,STA-PT03097,NO2,60.2,µg/m3,2018-01-04 10:00:00 +01:00
PT,STA-PT03097,NO2,36.6,µg/m3,2018-01-04 11:00:00 +01:00
PT,STA-PT03097,NO2,22.6,µg/m3,2018-01-04 15:00:00 +01:00
PT,STA-PT03097,NO2,22.3,µg/m3,2018-01-04 16:00:00 +01:00
PT,STA-PT03097,NO2,52.2,µg/m3,2018-01-04 18:00:00 +01:00
PT,STA-PT03097,NO2,67.0,µg/m3,2018-01-04 20:00:00 +01:00
PT,STA-PT03097,NO2,29.8,µg/m3,2018-01-04 22:00:00 +01:00
PT,STA-PT03097,NO2,28.3,µg/m3,2018-01-04 23:00:00 +01:00
PT,STA-PT03097,NO2,5.5,µg/m3,2018-01-05 04:00:00 +01:00
PT,STA-PT03097,NO2,10.0,µg/m3,2018-01-05 07:00:00 +01:00
PT,STA-PT03097,NO2,46.1,µg/m3,2018-01-05 09:00:00 +01:00
PT,STA-PT03097,NO2,45.7,µg/m3,2018-01-05 11:00:00 +01:00
PT,STA-PT03097,NO2,38.1,µg/m3,2018-01-05 12:00:00 +01:00
PT,STA-PT03097,NO2,51.1,µg/m3,2018-01-05 14:00:00 +01:00
PT,STA-PT03097,NO2,33.7,µg/m3,2018-01-05 16:00:00 +01:00
PT,STA-PT03097,NO2,73.5,µg/m3,2018-01-05 18:00:00 +01:00
PT,STA-PT03097,NO2,77.0,µg/m3,2018-01-05 19:00:00 +01:00
PT,STA-PT03097,NO2,15.0,µg/m3,2018-01-06 00:00:00 +01:00
PT,STA-PT03097,NO2,11.8,µg/m3,2018-01-06 01:00:00 +01:00
PT,STA-PT03097,NO2,7.0,µg/m3,2018-01-06 03:00:00 +01:00
PT,STA-PT03097,NO2,6.4,µg/m3,2018-01-06 04:00:00 +01:00
PT,STA-PT03097,NO2,5.9,µg/m3,2018-01-06 05:00:00 +01:00
PT,STA-PT03097,NO2,7.5,µg/m3,2018-01-06 06:00:00 +01:00
PT,STA-PT03097,NO2,20.6,µg/m3,2018-01-06 09:00:00 +01:00
PT,STA-PT03097,NO2,18.8,µg/m3,2018-01-06 13:00:00 +01:00
PT,STA-PT03097,NO2,17.6,µg/m3,2018-01-06 15:00:00 +01:00
PT,STA-PT03097,NO2,24.0,µg/m3,2018-01-06 17:00:00 +01:00
PT,STA-PT03097,NO2,35.2,µg/m3,2018-01-06 18:00:00 +01:00
PT,STA-PT03097,NO2,27.6,µg/m3,2018-01-06 19:00:00 +01:00
PT,STA-PT03097,NO2,34.7,µg/m3,2018-01-06 20:00:00 +01:00
PT,STA-PT03097,NO2,23.0,µg/m3,2018-01-06 22:00:00 +01:00
PT,STA-PT03097,NO2,22.1,µg/m3,2018-01-06 23:00:00 +01:00
PT,STA-PT03097,NO2,12.0,µg/m3,2018-01-07 01:00:00 +01:00
PT,STA-PT03097,NO2,8.3,µg/m3,2018-01-07 02:00:00 +01:00
PT,STA-PT03097,NO2,5.7,µg/m3,2018-01-07 04:00:00 +01:00
PT,STA-PT03097,NO2,6.4,µg/m3,2018-01-07 06:00:00 +01:00
PT,STA-PT03097,NO2,6.2,µg/m3,2018-01-07 07:00:00 +01:00
PT,STA-PT03097,NO2,7.7,µg/m3,2018-01-07 08:00:00 +01:00
PT,STA-PT03097,NO2,8.4,µg/m3,2018-01-07 09:00:00 +01:00
PT,STA-PT03097,NO2,8.8,µg/m3,2018-01-07 10:00:00 +01:00
PT,STA-PT03097,NO2,10.3,µg/m3,2018-01-07 12:00:00 +01:00
PT,STA-PT03097,NO2,13.5,µg/m3,2018-01-07 14:00:00 +01:00
PT,STA-PT03097,NO2,11.6,µg/m3,2018-01-07 15:00:00 +01:00
PT,STA-PT03097,NO2,15.5,µg/m3,2018-01-07 17:00:00 +01:00
PT,STA-PT03097,NO2,22.3,µg/m3,2018-01-07 18:00:00 +01:00
PT,STA-PT03097,NO2,22.3,µg/m3,2018-01-07 19:00:00 +01:00
PT,STA-PT03097,NO2,25.1,µg/m3,2018-01-07 21:00:00 +01:00
PT,STA-PT03097,NO2,13.3,µg/m3,2018-01-07 23:00:00 +01:00
PT,STA-PT03097,NO2,14.1,µg/m3,2018-01-08 00:00:00 +01:00
PT,STA-PT03097,NO2,10.6,µg/m3,2018-01-08 01:00:00 +01:00
PT,STA-PT03097,NO2,7.9,µg/m3,2018-01-08 04:00:00 +01:00
PT,STA-PT03097,NO2,11.5,µg/m3,2018-01-08 05:00:00 +01:00
PT,STA-PT03097,NO2,12.8,µg/m3,2018-01-08 06:00:00 +01:00
PT,STA-PT03097,NO2,24.8,µg/m3,2018-01-08 11:00:00 +01:00
PT,STA-PT03097,NO2,14.6,µg/m3,2018-01-08 12:00:00 +01:00
PT,STA-PT03097,NO2,17.5,µg/m3,2018-01-08 14:00:00 +01:00
PT,STA-PT03097,NO2,31.6,µg/m3,2018-01-08 16:00:00 +01:00
PT,STA-PT03097,NO2,93.9,µg/m3,2018-01-08 18:00:00 +01:00
PT,STA-PT03097,NO2,112.4,µg/m3,2018-01-08 19:00:00 +01:00
PT,STA-PT03097,NO2,111.4,µg/m3,2018-01-08 21:00:00 +01:00
PT,STA-PT03097,NO2,101.8,µg/m3,2018-01-08 22:00:00 +01:00
PT,STA-PT03097,NO2,73.9,µg/m3,2018-01-09 01:00:00 +01:00
PT,STA-PT03097,NO2,54.0,µg/m3,2018-01-09 03:00:00 +01:00
PT,STA-PT03097,NO2,24.0,µg/m3,2018-01-09 06:00:00 +01:00
PT,STA-PT03097,NO2,60.7,µg/m3,2018-01-09 08:00:00 +01:00
PT,STA-PT03097,NO2,52.1,µg/m3,2018-01-09 09:00:00 +01:00
PT,STA-PT03097,NO2,45.6,µg/m3,2018-01-09 10:00:00 +01:00
PT,STA-PT03097,NO2,29.3,µg/m3,2018-01-09 12:00:00 +01:00
PT,STA-PT03097,NO2,39.2,µg/m3,2018-01-09 13:00:00 +01:00
PT,STA-PT03097,NO2,60.2,µg/m3,2018-01-09 14:00:00 +01:00
PT,STA-PT03097,NO2,21.0,µg/m3,2018-01-09 17:00:00 +01:00
PT,STA-PT03097,NO2,32.7,µg/m3,2018-01-09 18:00:00 +01:00
PT,STA-PT03097,NO2,54.2,µg/m3,2018-01-09 19:00:00 +01:00
PT,STA-PT03097,NO2,46.6,µg/m3,2018-01-09 21:00:00 +01:00
PT,STA-PT03097,NO2,57.5,µg/m3,2018-01-09 22:00:00 +01:00
PT,STA-PT03097,NO2,53.7,µg/m3,2018-01-09 23:00:00 +01:00
PT,STA-PT03097,NO2,50.6,µg/m3,2018-01-10 00:00:00 +01:00
