,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
41,PT,STA-PT03084,NO2,10.3,µg/m3,2014-01-01 21:00:00 +01:00
42,PT,STA-PT03084,NO2,11.3,µg/m3,2014-01-01 16:00:00 +01:00
43,PT,STA-PT03084,NO2,33.0,µg/m3,2014-01-09 06:00:00 +01:00
44,PT,STA-PT03084,NO2,89.2,µg/m3,2014-01-09 21:00:00 +01:00
45,PT,STA-PT03084,NO2,47.5,µg/m3,2014-01-10 02:00:00 +01:00
46,PT,STA-PT03084,NO2,59.6,µg/m3,2014-01-10 11:00:00 +01:00
47,PT,STA-PT03084,NO2,36.4,µg/m3,2014-01-10 06:00:00 +01:00
48,PT,STA-PT03084,NO2,41.7,µg/m3,2014-01-08 13:00:00 +01:00
49,PT,STA-PT03084,NO2,15.5,µg/m3,2014-01-06 08:00:00 +01:00
50,PT,STA-PT03084,NO2,66.4,µg/m3,2014-01-04 22:00:00 +01:00
51,PT,STA-PT03084,NO2,6.3,µg/m3,2014-01-26 10:00:00 +01:00
52,PT,STA-PT03084,NO2,4.1,µg/m3,2014-01-26 05:00:00 +01:00
53,PT,STA-PT03084,NO2,10.1,µg/m3,2014-01-24 11:00:00 +01:00
54,PT,STA-PT03084,NO2,19.3,µg/m3,2014-01-23 21:00:00 +01:00
55,PT,STA-PT03084,NO2,7.7,µg/m3,2014-01-27 00:00:00 +01:00
56,PT,STA-PT03084,NO2,4.9,µg/m3,2014-01-24 05:00:00 +01:00
57,PT,STA-PT03084,NO2,8.6,µg/m3,2014-01-24 01:00:00 +01:00
58,PT,STA-PT03084,NO2,9.8,µg/m3,2014-01-23 08:00:00 +01:00
59,PT,STA-PT03084,NO2,20.7,µg/m3,2014-01-19 21:00:00 +01:00
60,PT,STA-PT03084,NO2,96.1,µg/m3,2014-01-20 21:00:00 +01:00
61,PT,STA-PT03084,NO2,50.5,µg/m3,2014-01-21 07:00:00 +01:00
62,PT,STA-PT03084,NO2,85.2,µg/m3,2014-01-17 20:00:00 +01:00
63,PT,STA-PT03084,NO2,13.9,µg/m3,2014-01-13 12:00:00 +01:00
65,PT,STA-PT03084,NO2,90.9,µg/m3,2014-01-11 21:00:00 +01:00
66,PT,STA-PT03084,NO2,82.1,µg/m3,2014-01-11 20:00:00 +01:00
67,PT,STA-PT03084,NO2,10.3,µg/m3,2014-01-12 16:00:00 +01:00
71,PT,STA-PT03084,NO2,11.8,µg/m3,2014-01-14 17:00:00 +01:00
77,PT,STA-PT03084,NO2,16.8,µg/m3,2014-01-14 08:00:00 +01:00
81,PT,STA-PT03084,NO2,22.2,µg/m3,2014-01-15 17:00:00 +01:00
82,PT,STA-PT03084,NO2,29.4,µg/m3,2014-01-14 22:00:00 +01:00
84,PT,STA-PT03084,NO2,12.0,µg/m3,2014-01-14 12:00:00 +01:00
85,PT,STA-PT03084,NO2,17.1,µg/m3,2014-01-28 11:00:00 +01:00
