,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
411,GB,Station_GB0624A,NO2,31.97031,µg/m3,2016-02-12 03:00:00 +01:00
412,GB,Station_GB0624A,NO2,48.35134999,µg/m3,2016-02-11 15:00:00 +01:00
413,GB,Station_GB0624A,NO2,92.13899,µg/m3,2016-02-11 19:00:00 +01:00
414,GB,Station_GB0624A,NO2,86.04003,µg/m3,2016-02-10 23:00:00 +01:00
415,GB,Station_GB0624A,NO2,40.08026,µg/m3,2016-02-12 06:00:00 +01:00
416,GB,Station_GB0624A,NO2,31.80105,µg/m3,2016-02-12 04:00:00 +01:00
417,GB,Station_GB0624A,NO2,55.74938,µg/m3,2016-02-12 01:00:00 +01:00
418,GB,Station_GB0624A,NO2,83.1971,µg/m3,2016-02-11 22:00:00 +01:00
419,GB,Station_GB0624A,NO2,75.85739999,µg/m3,2016-02-11 08:00:00 +01:00
420,GB,Station_GB0624A,NO2,82.38715,µg/m3,2016-02-11 02:00:00 +01:00
421,GB,Station_GB0624A,NO2,87.08043,µg/m3,2016-02-10 21:00:00 +01:00
422,GB,Station_GB0624A,NO2,86.3575,µg/m3,2016-02-11 01:00:00 +01:00
423,GB,Station_GB0624A,NO2,85.42180999,µg/m3,2016-02-10 19:00:00 +01:00
424,GB,Station_GB0624A,NO2,66.04340999,µg/m3,2016-02-10 14:00:00 +01:00
425,GB,Station_GB0624A,NO2,97.52794,µg/m3,2016-02-10 20:00:00 +01:00
426,GB,Station_GB0624A,NO2,86.53727999,µg/m3,2016-02-11 12:00:00 +01:00
427,GB,Station_GB0624A,NO2,88.77728999,µg/m3,2016-02-11 09:00:00 +01:00
428,GB,Station_GB0624A,NO2,70.14381,µg/m3,2016-02-11 13:00:00 +01:00
429,GB,Station_GB0624A,NO2,112.98189,µg/m3,2016-02-10 22:00:00 +01:00
430,GB,Station_GB0624A,NO2,105.06128,µg/m3,2016-02-11 11:00:00 +01:00
431,GB,Station_GB0624A,NO2,81.76032999,µg/m3,2016-02-11 21:00:00 +01:00
432,GB,Station_GB0624A,NO2,91.32761,µg/m3,2016-02-11 20:00:00 +01:00
434,GB,Station_GB0624A,NO2,46.41541999,µg/m3,2016-02-11 16:00:00 +01:00
435,GB,Station_GB0624A,NO2,51.10103999,µg/m3,2016-02-11 14:00:00 +01:00
436,GB,Station_GB0624A,NO2,72.11272999,µg/m3,2016-02-11 18:00:00 +01:00
437,GB,Station_GB0624A,NO2,78.31208999,µg/m3,2016-02-10 18:00:00 +01:00
438,GB,Station_GB0624A,NO2,63.34342999,µg/m3,2016-02-10 16:00:00 +01:00
439,GB,Station_GB0624A,NO2,69.72257999,µg/m3,2016-02-10 17:00:00 +01:00
440,GB,Station_GB0624A,NO2,63.61643999,µg/m3,2016-02-10 13:00:00 +01:00
441,GB,Station_GB0624A,NO2,37.50699,µg/m3,2016-02-10 00:00:00 +01:00
442,GB,Station_GB0624A,NO2,71.22818999,µg/m3,2016-02-10 11:00:00 +01:00
443,GB,Station_GB0624A,NO2,21.86035,µg/m3,2016-02-10 04:00:00 +01:00
444,GB,Station_GB0624A,NO2,25.26316999,µg/m3,2016-02-10 03:00:00 +01:00
445,GB,Station_GB0624A,NO2,34.67696999,µg/m3,2016-02-09 22:00:00 +01:00
446,GB,Station_GB0624A,NO2,39.70828,µg/m3,2016-02-10 01:00:00 +01:00
447,GB,Station_GB0624A,NO2,36.89452,µg/m3,2016-02-09 21:00:00 +01:00
448,GB,Station_GB0624A,NO2,63.43809999,µg/m3,2016-02-09 20:00:00 +01:00
449,GB,Station_GB0624A,NO2,78.83133999,µg/m3,2016-02-09 19:00:00 +01:00
450,GB,Station_GB0624A,NO2,29.88854999,µg/m3,2016-02-10 02:00:00 +01:00
451,GB,Station_GB0624A,NO2,76.99867999,µg/m3,2016-02-09 17:00:00 +01:00
452,GB,Station_GB0624A,NO2,67.50217,µg/m3,2016-02-09 09:00:00 +01:00
453,GB,Station_GB0624A,NO2,79.40444999,µg/m3,2016-02-09 11:00:00 +01:00
454,GB,Station_GB0624A,NO2,52.4527,µg/m3,2016-02-09 08:00:00 +01:00
455,GB,Station_GB0624A,NO2,86.91116999,µg/m3,2016-02-09 10:00:00 +01:00
456,GB,Station_GB0624A,NO2,9.46401,µg/m3,2016-02-09 02:00:00 +01:00
457,GB,Station_GB0624A,NO2,9.62035,µg/m3,2016-02-09 05:00:00 +01:00
458,GB,Station_GB0624A,NO2,6.40162,µg/m3,2016-02-09 04:00:00 +01:00
459,GB,Station_GB0624A,NO2,11.14223,µg/m3,2016-02-07 18:00:00 +01:00
460,GB,Station_GB0624A,NO2,3.34974,µg/m3,2016-02-08 03:00:00 +01:00
461,GB,Station_GB0624A,NO2,5.4664,µg/m3,2016-02-08 00:00:00 +01:00
462,GB,Station_GB0624A,NO2,6.26773999,µg/m3,2016-02-08 01:00:00 +01:00
463,GB,Station_GB0624A,NO2,13.45492,µg/m3,2016-02-07 17:00:00 +01:00
464,GB,Station_GB0624A,NO2,8.78506999,µg/m3,2016-02-07 19:00:00 +01:00
465,GB,Station_GB0624A,NO2,11.8618,µg/m3,2016-02-07 15:00:00 +01:00
466,GB,Station_GB0624A,NO2,13.35116,µg/m3,2016-02-07 13:00:00 +01:00
467,GB,Station_GB0624A,NO2,11.35737999,µg/m3,2016-02-07 16:00:00 +01:00
468,GB,Station_GB0624A,NO2,7.39897999,µg/m3,2016-02-07 04:00:00 +01:00
469,GB,Station_GB0624A,NO2,9.25267999,µg/m3,2016-02-07 20:00:00 +01:00
470,GB,Station_GB0624A,NO2,5.22733999,µg/m3,2016-02-07 23:00:00 +01:00
471,GB,Station_GB0624A,NO2,17.20007,µg/m3,2016-02-07 14:00:00 +01:00
472,GB,Station_GB0624A,NO2,8.9242,µg/m3,2016-02-06 13:00:00 +01:00
473,GB,Station_GB0624A,NO2,10.05306,µg/m3,2016-02-06 19:00:00 +01:00
474,GB,Station_GB0624A,NO2,12.62201999,µg/m3,2016-02-06 15:00:00 +01:00
475,GB,Station_GB0624A,NO2,28.64828999,µg/m3,2016-02-07 01:00:00 +01:00
476,GB,Station_GB0624A,NO2,9.53811999,µg/m3,2016-02-06 16:00:00 +01:00
477,GB,Station_GB0624A,NO2,11.32343,µg/m3,2016-02-06 22:00:00 +01:00
478,GB,Station_GB0624A,NO2,7.29858,µg/m3,2016-02-07 05:00:00 +01:00
479,GB,Station_GB0624A,NO2,5.62561999,µg/m3,2016-02-06 23:00:00 +01:00
480,GB,Station_GB0624A,NO2,9.83263999,µg/m3,2016-02-06 14:00:00 +01:00
481,GB,Station_GB0624A,NO2,8.68178999,µg/m3,2016-02-06 17:00:00 +01:00
482,GB,Station_GB0624A,NO2,9.65287,µg/m3,2016-02-06 08:00:00 +01:00
483,GB,Station_GB0624A,NO2,13.12883,µg/m3,2016-02-06 20:00:00 +01:00
484,GB,Station_GB0624A,NO2,10.10183,µg/m3,2016-02-06 11:00:00 +01:00
485,GB,Station_GB0624A,NO2,5.36456,µg/m3,2016-02-06 07:00:00 +01:00
486,GB,Station_GB0624A,NO2,6.75542999,µg/m3,2016-02-06 01:00:00 +01:00
487,GB,Station_GB0624A,NO2,8.49676,µg/m3,2016-02-06 12:00:00 +01:00
488,GB,Station_GB0624A,NO2,6.69184,µg/m3,2016-02-08 06:00:00 +01:00
489,GB,Station_GB0624A,NO2,2.6818,µg/m3,2016-02-08 04:00:00 +01:00
490,GB,Station_GB0624A,NO2,2.37007,µg/m3,2016-02-08 02:00:00 +01:00
491,GB,Station_GB0624A,NO2,4.96103,µg/m3,2016-02-08 05:00:00 +01:00
492,GB,Station_GB0624A,NO2,9.34256,µg/m3,2016-02-06 18:00:00 +01:00
493,GB,Station_GB0624A,NO2,4.33755,µg/m3,2016-02-07 22:00:00 +01:00
494,GB,Station_GB0624A,NO2,5.49317999,µg/m3,2016-02-07 21:00:00 +01:00
495,GB,Station_GB0624A,NO2,23.20818999,µg/m3,2016-02-08 08:00:00 +01:00
496,GB,Station_GB0624A,NO2,29.57873,µg/m3,2016-02-08 16:00:00 +01:00
497,GB,Station_GB0624A,NO2,28.03963999,µg/m3,2016-02-08 09:00:00 +01:00
498,GB,Station_GB0624A,NO2,13.01695,µg/m3,2016-02-08 07:00:00 +01:00
499,GB,Station_GB0624A,NO2,30.27727,µg/m3,2016-02-08 19:00:00 +01:00
500,GB,Station_GB0624A,NO2,17.62751,µg/m3,2016-02-09 00:00:00 +01:00
501,GB,Station_GB0624A,NO2,26.75827,µg/m3,2016-02-08 21:00:00 +01:00
502,GB,Station_GB0624A,NO2,32.96815,µg/m3,2016-02-08 18:00:00 +01:00
503,GB,Station_GB0624A,NO2,9.91153,µg/m3,2016-02-09 03:00:00 +01:00
504,GB,Station_GB0624A,NO2,31.59976,µg/m3,2016-02-08 20:00:00 +01:00
505,GB,Station_GB0624A,NO2,16.75254,µg/m3,2016-02-08 23:00:00 +01:00
518,GB,Station_GB0624A,NO2,52.09395,µg/m3,2016-02-02 15:00:00 +01:00
519,GB,Station_GB0624A,NO2,52.82276999,µg/m3,2016-02-02 16:00:00 +01:00
520,GB,Station_GB0624A,NO2,60.09170999,µg/m3,2016-02-02 20:00:00 +01:00
521,GB,Station_GB0624A,NO2,70.63340999,µg/m3,2016-02-02 19:00:00 +01:00
522,GB,Station_GB0624A,NO2,79.51362,µg/m3,2016-02-02 18:00:00 +01:00
526,GB,Station_GB0624A,NO2,66.2796,µg/m3,2016-02-03 11:00:00 +01:00
527,GB,Station_GB0624A,NO2,63.85311999,µg/m3,2016-02-03 12:00:00 +01:00
528,GB,Station_GB0624A,NO2,48.21459999,µg/m3,2016-02-03 07:00:00 +01:00
529,GB,Station_GB0624A,NO2,68.19926999,µg/m3,2016-02-03 10:00:00 +01:00
530,GB,Station_GB0624A,NO2,29.09438,µg/m3,2016-02-03 04:00:00 +01:00
531,GB,Station_GB0624A,NO2,31.64613999,µg/m3,2016-02-03 06:00:00 +01:00
532,GB,Station_GB0624A,NO2,48.06542999,µg/m3,2016-02-02 21:00:00 +01:00
533,GB,Station_GB0624A,NO2,67.58297,µg/m3,2016-02-02 17:00:00 +01:00
534,GB,Station_GB0624A,NO2,46.66261,µg/m3,2016-02-02 23:00:00 +01:00
535,GB,Station_GB0624A,NO2,45.18329,µg/m3,2016-02-03 00:00:00 +01:00
536,GB,Station_GB0624A,NO2,39.72263,µg/m3,2016-02-03 01:00:00 +01:00
537,GB,Station_GB0624A,NO2,55.57103,µg/m3,2016-02-03 14:00:00 +01:00
538,GB,Station_GB0624A,NO2,83.89086,µg/m3,2016-02-03 20:00:00 +01:00
539,GB,Station_GB0624A,NO2,78.61427,µg/m3,2016-02-03 17:00:00 +01:00
540,GB,Station_GB0624A,NO2,56.21555,µg/m3,2016-02-03 13:00:00 +01:00
541,GB,Station_GB0624A,NO2,71.44621999,µg/m3,2016-02-03 09:00:00 +01:00
542,GB,Station_GB0624A,NO2,12.71,µg/m3,2016-02-04 04:00:00 +01:00
543,GB,Station_GB0624A,NO2,60.9662,µg/m3,2016-02-03 16:00:00 +01:00
544,GB,Station_GB0624A,NO2,91.79474,µg/m3,2016-02-03 18:00:00 +01:00
545,GB,Station_GB0624A,NO2,61.04699999,µg/m3,2016-02-03 22:00:00 +01:00
546,GB,Station_GB0624A,NO2,21.43769,µg/m3,2016-02-04 03:00:00 +01:00
547,GB,Station_GB0624A,NO2,66.07066,µg/m3,2016-02-03 23:00:00 +01:00
548,GB,Station_GB0624A,NO2,73.87269999,µg/m3,2016-02-04 12:00:00 +01:00
549,GB,Station_GB0624A,NO2,67.52655,µg/m3,2016-02-04 09:00:00 +01:00
550,GB,Station_GB0624A,NO2,62.59420999,µg/m3,2016-02-04 00:00:00 +01:00
551,GB,Station_GB0624A,NO2,73.14834,µg/m3,2016-02-04 13:00:00 +01:00
552,GB,Station_GB0624A,NO2,14.68609,µg/m3,2016-02-04 05:00:00 +01:00
553,GB,Station_GB0624A,NO2,76.26332999,µg/m3,2016-02-04 11:00:00 +01:00
554,GB,Station_GB0624A,NO2,38.20506,µg/m3,2016-02-04 07:00:00 +01:00
555,GB,Station_GB0624A,NO2,38.48953999,µg/m3,2016-02-05 00:00:00 +01:00
556,GB,Station_GB0624A,NO2,59.63844,µg/m3,2016-02-04 21:00:00 +01:00
557,GB,Station_GB0624A,NO2,53.34774999,µg/m3,2016-02-04 08:00:00 +01:00
558,GB,Station_GB0624A,NO2,53.37930999,µg/m3,2016-02-04 22:00:00 +01:00
559,GB,Station_GB0624A,NO2,19.43578,µg/m3,2016-02-05 04:00:00 +01:00
560,GB,Station_GB0624A,NO2,41.91913,µg/m3,2016-02-04 23:00:00 +01:00
561,GB,Station_GB0624A,NO2,41.00303999,µg/m3,2016-02-05 01:00:00 +01:00
562,GB,Station_GB0624A,NO2,40.45510999,µg/m3,2016-02-05 11:00:00 +01:00
