,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
0,FR,STA-FR04135,NO2,53.25,µg/m3,2013-12-17 21:00:00 +01:00
1,FR,STA-FR04135,NO2,38.75,µg/m3,2013-12-18 21:00:00 +01:00
2,FR,STA-FR04135,NO2,27.0,µg/m3,2013-12-18 23:00:00 +01:00
3,FR,STA-FR04135,NO2,44.0,µg/m3,2013-12-14 06:00:00 +01:00
4,FR,STA-FR04135,NO2,31.75,µg/m3,2013-12-22 14:00:00 +01:00
18,FR,STA-FR04135,NO2,73.3333,µg/m3,2013-12-09 11:00:00 +01:00
19,FR,STA-FR04135,NO2,70.25,µg/m3,2013-12-13 08:00:00 +01:00
20,FR,STA-FR04135,NO2,64.0,µg/m3,2013-12-13 12:00:00 +01:00
21,FR,STA-FR04135,NO2,71.75,µg/m3,2013-12-12 10:00:00 +01:00
22,FR,STA-FR04135,NO2,119.5,µg/m3,2013-12-10 07:00:00 +01:00
27,FR,STA-FR04135,NO2,29.25,µg/m3,2013-12-27 17:00:00 +01:00
28,FR,STA-FR04135,NO2,33.75,µg/m3,2013-12-30 12:00:00 +01:00
29,FR,STA-FR04135,NO2,20.25,µg/m3,2013-12-31 02:00:00 +01:00
30,FR,STA-FR04135,NO2,25.25,µg/m3,2013-12-31 01:00:00 +01:00
31,FR,STA-FR04135,NO2,56.75,µg/m3,2013-12-28 10:00:00 +01:00
32,FR,STA-FR04135,NO2,43.5,µg/m3,2013-12-23 17:00:00 +01:00
33,FR,STA-FR04135,NO2,33.0,µg/m3,2013-12-23 19:00:00 +01:00
34,FR,STA-FR04135,NO2,53.25,µg/m3,2013-12-23 08:00:00 +01:00
35,FR,STA-FR04135,NO2,11.5,µg/m3,2013-12-24 05:00:00 +01:00
36,FR,STA-FR04135,NO2,43.75,µg/m3,2013-12-23 18:00:00 +01:00
37,FR,STA-FR04135,NO2,39.75,µg/m3,2013-12-22 13:00:00 +01:00
38,FR,STA-FR04135,NO2,26.5,µg/m3,2013-12-25 08:00:00 +01:00
39,FR,STA-FR04135,NO2,58.25,µg/m3,2013-12-26 22:00:00 +01:00
56,FR,STA-FR04135,NO2,105.25,µg/m3,2013-12-19 17:00:00 +01:00
59,FR,STA-FR04135,NO2,63.5,µg/m3,2013-12-20 00:00:00 +01:00
60,FR,STA-FR04135,NO2,36.25,µg/m3,2013-12-21 07:00:00 +01:00
61,FR,STA-FR04135,NO2,78.75,µg/m3,2013-12-19 22:00:00 +01:00
62,FR,STA-FR04135,NO2,31.75,µg/m3,2013-12-21 04:00:00 +01:00
63,FR,STA-FR04135,NO2,35.25,µg/m3,2013-12-21 01:00:00 +01:00
65,FR,STA-FR04135,NO2,28.0,µg/m3,2013-12-24 12:00:00 +01:00
66,FR,STA-FR04135,NO2,35.5,µg/m3,2013-12-22 12:00:00 +01:00
68,FR,STA-FR04135,NO2,46.5,µg/m3,2013-12-23 09:00:00 +01:00
69,FR,STA-FR04135,NO2,73.75,µg/m3,2013-12-26 19:00:00 +01:00
70,FR,STA-FR04135,NO2,37.75,µg/m3,2013-12-30 11:00:00 +01:00
71,FR,STA-FR04135,NO2,16.25,µg/m3,2013-12-29 07:00:00 +01:00
72,FR,STA-FR04135,NO2,19.25,µg/m3,2013-12-29 05:00:00 +01:00
73,FR,STA-FR04135,NO2,35.25,µg/m3,2013-12-29 00:00:00 +01:00
74,FR,STA-FR04135,NO2,64.25,µg/m3,2013-12-26 06:00:00 +01:00
75,FR,STA-FR04135,NO2,70.5,µg/m3,2013-12-26 07:00:00 +01:00
76,FR,STA-FR04135,NO2,34.25,µg/m3,2013-12-23 01:00:00 +01:00
83,FR,STA-FR04135,NO2,101.5,µg/m3,2013-12-12 19:00:00 +01:00
84,FR,STA-FR04135,NO2,121.25,µg/m3,2013-12-11 08:00:00 +01:00
85,FR,STA-FR04135,NO2,59.75,µg/m3,2013-12-10 13:00:00 +01:00
86,FR,STA-FR04135,NO2,57.25,µg/m3,2013-12-13 10:00:00 +01:00
