Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
FR,STA-FR04012,NO2,23.0,µg/m3,2018-01-01 00:00:00 +01:00
FR,STA-FR04012,NO2,23.0,µg/m3,2018-01-01 01:00:00 +01:00
FR,STA-FR04012,NO2,26.8,µg/m3,2018-01-01 04:00:00 +01:00
FR,STA-FR04012,NO2,24.5,µg/m3,2018-01-01 05:00:00 +01:00
FR,STA-FR04012,NO2,26.3,µg/m3,2018-01-01 06:00:00 +01:00
FR,STA-FR04012,NO2,26.5,µg/m3,2018-01-01 07:00:00 +01:00
FR,STA-FR04012,NO2,29.3,µg/m3,2018-01-01 08:00:00 +01:00
FR,STA-FR04012,NO2,30.8,µg/m3,2018-01-01 09:00:00 +01:00
FR,STA-FR04012,NO2,34.5,µg/m3,2018-01-01 10:00:00 +01:00
FR,STA-FR04012,NO2,60.0,µg/m3,2018-01-01 12:00:00 +01:00
FR,STA-FR04012,NO2,59.5,µg/m3,2018-01-01 13:00:00 +01:00
FR,STA-FR04012,NO2,34.5,µg/m3,2018-01-01 14:00:00 +01:00
FR,STA-FR04012,NO2,27.8,µg/m3,2018-01-01 15:00:00 +01:00
FR,STA-FR04012,NO2,28.8,µg/m3,2018-01-01 16:00:00 +01:00
FR,STA-FR04012,NO2,28.0,µg/m3,2018-01-01 17:00:00 +01:00
FR,STA-FR04012,NO2,31.0,µg/m3,2018-01-01 18:00:00 +01:00
FR,STA-FR04012,NO2,35.5,µg/m3,2018-01-01 19:00:00 +01:00
FR,STA-FR04012,NO2,30.3,µg/m3,2018-01-01 20:00:00 +01:00
FR,STA-FR04012,NO2,26.8,µg/m3,2018-01-01 21:00:00 +01:00
FR,STA-FR04012,NO2,26.8,µg/m3,2018-01-01 22:00:00 +01:00
FR,STA-FR04012,NO2,18.8,µg/m3,2018-01-02 00:00:00 +01:00
FR,STA-FR04012,NO2,18.0,µg/m3,2018-01-02 01:00:00 +01:00
FR,STA-FR04012,NO2,11.3,µg/m3,2018-01-02 02:00:00 +01:00
FR,STA-FR04012,NO2,10.5,µg/m3,2018-01-02 03:00:00 +01:00
FR,STA-FR04012,NO2,11.3,µg/m3,2018-01-02 04:00:00 +01:00
FR,STA-FR04012,NO2,22.8,µg/m3,2018-01-02 05:00:00 +01:00
FR,STA-FR04012,NO2,45.5,µg/m3,2018-01-02 06:00:00 +01:00
FR,STA-FR04012,NO2,59.0,µg/m3,2018-01-02 07:00:00 +01:00
FR,STA-FR04012,NO2,75.5,µg/m3,2018-01-02 09:00:00 +01:00
FR,STA-FR04012,NO2,84.0,µg/m3,2018-01-02 10:00:00 +01:00
FR,STA-FR04012,NO2,80.0,µg/m3,2018-01-02 13:00:00 +01:00
FR,STA-FR04012,NO2,75.0,µg/m3,2018-01-02 17:00:00 +01:00
FR,STA-FR04012,NO2,58.0,µg/m3,2018-01-02 18:00:00 +01:00
FR,STA-FR04012,NO2,61.0,µg/m3,2018-01-02 19:00:00 +01:00
FR,STA-FR04012,NO2,67.0,µg/m3,2018-01-02 20:00:00 +01:00
FR,STA-FR04012,NO2,26.0,µg/m3,2018-01-02 23:00:00 +01:00
FR,STA-FR04012,NO2,15.8,µg/m3,2018-01-03 00:00:00 +01:00
FR,STA-FR04012,NO2,8.8,µg/m3,2018-01-03 01:00:00 +01:00
FR,STA-FR04012,NO2,6.5,µg/m3,2018-01-03 02:00:00 +01:00
FR,STA-FR04012,NO2,6.0,µg/m3,2018-01-03 03:00:00 +01:00
FR,STA-FR04012,NO2,7.5,µg/m3,2018-01-03 04:00:00 +01:00
FR,STA-FR04012,NO2,13.0,µg/m3,2018-01-03 05:00:00 +01:00
FR,STA-FR04012,NO2,19.3,µg/m3,2018-01-03 06:00:00 +01:00
FR,STA-FR04012,NO2,29.3,µg/m3,2018-01-03 07:00:00 +01:00
FR,STA-FR04012,NO2,34.0,µg/m3,2018-01-03 08:00:00 +01:00
FR,STA-FR04012,NO2,36.0,µg/m3,2018-01-03 09:00:00 +01:00
FR,STA-FR04012,NO2,42.5,µg/m3,2018-01-03 10:00:00 +01:00
FR,STA-FR04012,NO2,38.5,µg/m3,2018-01-03 13:00:00 +01:00
FR,STA-FR04012,NO2,38.0,µg/m3,2018-01-03 14:00:00 +01:00
FR,STA-FR04012,NO2,42.5,µg/m3,2018-01-03 15:00:00 +01:00
FR,STA-FR04012,NO2,49.5,µg/m3,2018-01-03 17:00:00 +01:00
FR,STA-FR04012,NO2,42.5,µg/m3,2018-01-03 18:00:00 +01:00
FR,STA-FR04012,NO2,48.0,µg/m3,2018-01-03 19:00:00 +01:00
FR,STA-FR04012,NO2,55.5,µg/m3,2018-01-03 20:00:00 +01:00
FR,STA-FR04012,NO2,31.0,µg/m3,2018-01-03 21:00:00 +01:00
FR,STA-FR04012,NO2,26.3,µg/m3,2018-01-03 22:00:00 +01:00
FR,STA-FR04012,NO2,43.5,µg/m3,2018-01-03 23:00:00 +01:00
FR,STA-FR04012,NO2,46.0,µg/m3,2018-01-04 02:00:00 +01:00
FR,STA-FR04012,NO2,42.5,µg/m3,2018-01-04 03:00:00 +01:00
FR,STA-FR04012,NO2,49.0,µg/m3,2018-01-04 04:00:00 +01:00
FR,STA-FR04012,NO2,68.0,µg/m3,2018-01-04 06:00:00 +01:00
FR,STA-FR04012,NO2,47.0,µg/m3,2018-01-04 07:00:00 +01:00
FR,STA-FR04012,NO2,31.5,µg/m3,2018-01-04 09:00:00 +01:00
FR,STA-FR04012,NO2,29.8,µg/m3,2018-01-04 10:00:00 +01:00
FR,STA-FR04012,NO2,36.5,µg/m3,2018-01-04 12:00:00 +01:00
FR,STA-FR04012,NO2,28.3,µg/m3,2018-01-04 14:00:00 +01:00
FR,STA-FR04012,NO2,29.0,µg/m3,2018-01-04 15:00:00 +01:00
FR,STA-FR04012,NO2,38.5,µg/m3,2018-01-04 16:00:00 +01:00
FR,STA-FR04012,NO2,46.5,µg/m3,2018-01-04 17:00:00 +01:00
FR,STA-FR04012,NO2,56.0,µg/m3,2018-01-04 19:00:00 +01:00
FR,STA-FR04012,NO2,44.5,µg/m3,2018-01-04 21:00:00 +01:00
FR,STA-FR04012,NO2,40.5,µg/m3,2018-01-04 22:00:00 +01:00
FR,STA-FR04012,NO2,60.0,µg/m3,2018-01-04 23:00:00 +01:00
FR,STA-FR04012,NO2,33.5,µg/m3,2018-01-05 00:00:00 +01:00
FR,STA-FR04012,NO2,16.8,µg/m3,2018-01-05 01:00:00 +01:00
FR,STA-FR04012,NO2,18.5,µg/m3,2018-01-05 02:00:00 +01:00
FR,STA-FR04012,NO2,15.0,µg/m3,2018-01-05 03:00:00 +01:00
FR,STA-FR04012,NO2,14.3,µg/m3,2018-01-05 04:00:00 +01:00
FR,STA-FR04012,NO2,26.5,µg/m3,2018-01-05 05:00:00 +01:00
FR,STA-FR04012,NO2,117.8,µg/m3,2018-01-05 07:00:00 +01:00
FR,STA-FR04012,NO2,117.0,µg/m3,2018-01-05 08:00:00 +01:00
FR,STA-FR04012,NO2,113.5,µg/m3,2018-01-05 09:00:00 +01:00
FR,STA-FR04012,NO2,110.8,µg/m3,2018-01-05 10:00:00 +01:00
FR,STA-FR04012,NO2,61.5,µg/m3,2018-01-05 15:00:00 +01:00
FR,STA-FR04012,NO2,81.5,µg/m3,2018-01-05 17:00:00 +01:00
FR,STA-FR04012,NO2,112.8,µg/m3,2018-01-05 18:00:00 +01:00
