,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
0,IT,STA.IT1906A,NO2,43.0,µg/m3,2014-12-10 09:00:00 +01:00
1,IT,STA.IT1906A,NO2,65.0,µg/m3,2014-12-11 11:00:00 +01:00
2,IT,STA.IT1906A,NO2,59.0,µg/m3,2014-12-11 06:00:00 +01:00
3,IT,STA.IT1906A,NO2,71.0,µg/m3,2014-12-11 10:00:00 +01:00
4,IT,STA.IT1906A,NO2,65.0,µg/m3,2014-12-11 01:00:00 +01:00
5,IT,STA.IT1906A,NO2,66.0,µg/m3,2014-12-10 22:00:00 +01:00
6,IT,STA.IT1906A,NO2,63.0,µg/m3,2014-12-11 02:00:00 +01:00
7,IT,STA.IT1906A,NO2,61.0,µg/m3,2014-12-13 04:00:00 +01:00
8,IT,STA.IT1906A,NO2,73.0,µg/m3,2014-12-12 14:00:00 +01:00
9,IT,STA.IT1906A,NO2,141.0,µg/m3,2014-12-12 20:00:00 +01:00
10,IT,STA.IT1906A,NO2,147.0,µg/m3,2014-12-12 19:00:00 +01:00
11,IT,STA.IT1906A,NO2,81.0,µg/m3,2014-12-12 23:00:00 +01:00
12,IT,STA.IT1906A,NO2,121.0,µg/m3,2014-12-11 18:00:00 +01:00
13,IT,STA.IT1906A,NO2,84.0,µg/m3,2014-12-11 22:00:00 +01:00
14,IT,STA.IT1906A,NO2,69.0,µg/m3,2014-12-12 07:00:00 +01:00
15,IT,STA.IT1906A,NO2,73.0,µg/m3,2014-12-12 11:00:00 +01:00
16,IT,STA.IT1906A,NO2,58.0,µg/m3,2014-12-14 07:00:00 +01:00
17,IT,STA.IT1906A,NO2,34.0,µg/m3,2014-12-13 12:00:00 +01:00
18,IT,STA.IT1906A,NO2,81.0,µg/m3,2014-12-14 12:00:00 +01:00
19,IT,STA.IT1906A,NO2,69.0,µg/m3,2014-12-14 16:00:00 +01:00
20,IT,STA.IT1906A,NO2,71.0,µg/m3,2014-12-15 07:00:00 +01:00
21,IT,STA.IT1906A,NO2,75.0,µg/m3,2014-12-14 23:00:00 +01:00
23,IT,STA.IT1906A,NO2,39.0,µg/m3,2014-12-02 21:00:00 +01:00
24,IT,STA.IT1906A,NO2,66.0,µg/m3,2014-12-02 18:00:00 +01:00
25,IT,STA.IT1906A,NO2,54.0,µg/m3,2014-12-02 15:00:00 +01:00
26,IT,STA.IT1906A,NO2,64.0,µg/m3,2014-12-02 17:00:00 +01:00
27,IT,STA.IT1906A,NO2,38.0,µg/m3,2014-12-04 07:00:00 +01:00
28,IT,STA.IT1906A,NO2,35.0,µg/m3,2014-12-04 06:00:00 +01:00
29,IT,STA.IT1906A,NO2,49.0,µg/m3,2014-12-01 09:00:00 +01:00
30,IT,STA.IT1906A,NO2,12.0,µg/m3,2014-12-01 05:00:00 +01:00
31,IT,STA.IT1906A,NO2,35.0,µg/m3,2014-12-01 10:00:00 +01:00
32,IT,STA.IT1906A,NO2,61.0,µg/m3,2014-12-01 22:00:00 +01:00
33,IT,STA.IT1906A,NO2,49.0,µg/m3,2014-12-01 17:00:00 +01:00
34,IT,STA.IT1906A,NO2,34.0,µg/m3,2014-12-02 02:00:00 +01:00
35,IT,STA.IT1906A,NO2,33.0,µg/m3,2014-12-02 05:00:00 +01:00
