Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
AT,STA.09.A23,NO2,27.90030288,µg/m3,2018-01-01 01:00:00 +01:00
AT,STA.09.A23,NO2,22.15100479,µg/m3,2018-01-01 03:00:00 +01:00
AT,STA.09.A23,NO2,31.48393249,µg/m3,2018-01-01 04:00:00 +01:00
AT,STA.09.A23,NO2,29.29818725,µg/m3,2018-01-01 05:00:00 +01:00
AT,STA.09.A23,NO2,31.76217269,µg/m3,2018-01-01 06:00:00 +01:00
AT,STA.09.A23,NO2,32.38175582,µg/m3,2018-01-01 07:00:00 +01:00
AT,STA.09.A23,NO2,10.0985136,µg/m3,2018-01-01 11:00:00 +01:00
AT,STA.09.A23,NO2,9.41831207,µg/m3,2018-01-01 12:00:00 +01:00
AT,STA.09.A23,NO2,13.43784904,µg/m3,2018-01-01 13:00:00 +01:00
AT,STA.09.A23,NO2,15.26724052,µg/m3,2018-01-01 14:00:00 +01:00
AT,STA.09.A23,NO2,24.76319313,µg/m3,2018-01-01 16:00:00 +01:00
AT,STA.09.A23,NO2,54.56813812,µg/m3,2018-01-01 17:00:00 +01:00
AT,STA.09.A23,NO2,45.84714126,µg/m3,2018-01-01 18:00:00 +01:00
AT,STA.09.A23,NO2,61.66177368,µg/m3,2018-01-01 19:00:00 +01:00
AT,STA.09.A23,NO2,30.73622894,µg/m3,2018-01-01 20:00:00 +01:00
AT,STA.09.A23,NO2,45.52970123,µg/m3,2018-01-01 22:00:00 +01:00
AT,STA.09.A23,NO2,27.5446186,µg/m3,2018-01-02 01:00:00 +01:00
AT,STA.09.A23,NO2,54.80908584,µg/m3,2018-01-02 05:00:00 +01:00
AT,STA.09.A23,NO2,51.39373779,µg/m3,2018-01-02 06:00:00 +01:00
AT,STA.09.A23,NO2,18.78900909,µg/m3,2018-01-02 07:00:00 +01:00
AT,STA.09.A23,NO2,19.53059387,µg/m3,2018-01-02 08:00:00 +01:00
AT,STA.09.A23,NO2,20.30631637,µg/m3,2018-01-02 09:00:00 +01:00
AT,STA.09.A23,NO2,19.13436889,µg/m3,2018-01-02 10:00:00 +01:00
AT,STA.09.A23,NO2,22.00949668,µg/m3,2018-01-02 12:00:00 +01:00
AT,STA.09.A23,NO2,23.58330917,µg/m3,2018-01-02 14:00:00 +01:00
AT,STA.09.A23,NO2,24.33770751,µg/m3,2018-01-02 15:00:00 +01:00
AT,STA.09.A23,NO2,27.64405632,µg/m3,2018-01-02 16:00:00 +01:00
AT,STA.09.A23,NO2,29.62232208,µg/m3,2018-01-02 17:00:00 +01:00
AT,STA.09.A23,NO2,21.24075698,µg/m3,2018-01-02 19:00:00 +01:00
AT,STA.09.A23,NO2,13.44234275,µg/m3,2018-01-03 00:00:00 +01:00
AT,STA.09.A23,NO2,12.5027399,µg/m3,2018-01-03 01:00:00 +01:00
AT,STA.09.A23,NO2,12.00697898,µg/m3,2018-01-03 02:00:00 +01:00
AT,STA.09.A23,NO2,12.08299255,µg/m3,2018-01-03 03:00:00 +01:00
AT,STA.09.A23,NO2,15.24419784,µg/m3,2018-01-03 04:00:00 +01:00
AT,STA.09.A23,NO2,23.17407989,µg/m3,2018-01-03 05:00:00 +01:00
AT,STA.09.A23,NO2,34.41738891,µg/m3,2018-01-03 06:00:00 +01:00
AT,STA.09.A23,NO2,32.21251678,µg/m3,2018-01-03 09:00:00 +01:00
AT,STA.09.A23,NO2,25.36843109,µg/m3,2018-01-03 10:00:00 +01:00
AT,STA.09.A23,NO2,16.52743911,µg/m3,2018-01-03 12:00:00 +01:00
AT,STA.09.A23,NO2,36.42050933,µg/m3,2018-01-03 14:00:00 +01:00
AT,STA.09.A23,NO2,22.87671852,µg/m3,2018-01-03 15:00:00 +01:00
AT,STA.09.A23,NO2,17.094244,µg/m3,2018-01-03 17:00:00 +01:00
AT,STA.09.A23,NO2,15.76281166,µg/m3,2018-01-03 18:00:00 +01:00
AT,STA.09.A23,NO2,13.14278316,µg/m3,2018-01-03 19:00:00 +01:00
AT,STA.09.A23,NO2,6.73049402,µg/m3,2018-01-03 23:00:00 +01:00
AT,STA.09.A23,NO2,5.1020832,µg/m3,2018-01-04 00:00:00 +01:00
AT,STA.09.A23,NO2,4.43153953,µg/m3,2018-01-04 01:00:00 +01:00
AT,STA.09.A23,NO2,5.20190525,µg/m3,2018-01-04 03:00:00 +01:00
AT,STA.09.A23,NO2,7.10817146,µg/m3,2018-01-04 04:00:00 +01:00
AT,STA.09.A23,NO2,23.03352737,µg/m3,2018-01-04 06:00:00 +01:00
AT,STA.09.A23,NO2,22.02957534,µg/m3,2018-01-04 08:00:00 +01:00
AT,STA.09.A23,NO2,21.10785293,µg/m3,2018-01-04 09:00:00 +01:00
AT,STA.09.A23,NO2,21.66815185,µg/m3,2018-01-04 10:00:00 +01:00
AT,STA.09.A23,NO2,21.4260559,µg/m3,2018-01-04 12:00:00 +01:00
AT,STA.09.A23,NO2,25.94211959,µg/m3,2018-01-04 13:00:00 +01:00
AT,STA.09.A23,NO2,34.78741455,µg/m3,2018-01-04 14:00:00 +01:00
AT,STA.09.A23,NO2,44.44351959,µg/m3,2018-01-04 15:00:00 +01:00
AT,STA.09.A23,NO2,58.44625854,µg/m3,2018-01-04 16:00:00 +01:00
AT,STA.09.A23,NO2,37.44167327,µg/m3,2018-01-04 22:00:00 +01:00
AT,STA.09.A23,NO2,17.54487419,µg/m3,2018-01-05 00:00:00 +01:00
AT,STA.09.A23,NO2,19.1258583,µg/m3,2018-01-05 02:00:00 +01:00
AT,STA.09.A23,NO2,16.45180892,µg/m3,2018-01-05 04:00:00 +01:00
AT,STA.09.A23,NO2,23.55749511,µg/m3,2018-01-05 05:00:00 +01:00
AT,STA.09.A23,NO2,32.7202301,µg/m3,2018-01-05 10:00:00 +01:00
AT,STA.09.A23,NO2,61.44760131,µg/m3,2018-01-05 12:00:00 +01:00
AT,STA.09.A23,NO2,49.37244415,µg/m3,2018-01-05 14:00:00 +01:00
AT,STA.09.A23,NO2,58.79334259,µg/m3,2018-01-05 16:00:00 +01:00
AT,STA.09.A23,NO2,54.55666351,µg/m3,2018-01-05 17:00:00 +01:00
AT,STA.09.A23,NO2,52.77823257,µg/m3,2018-01-05 21:00:00 +01:00
AT,STA.09.A23,NO2,47.35498046,µg/m3,2018-01-05 23:00:00 +01:00
AT,STA.09.A23,NO2,31.49445343,µg/m3,2018-01-06 01:00:00 +01:00
AT,STA.09.A23,NO2,29.31157302,µg/m3,2018-01-06 02:00:00 +01:00
AT,STA.09.A23,NO2,28.27224349,µg/m3,2018-01-06 06:00:00 +01:00
AT,STA.09.A23,NO2,36.67484283,µg/m3,2018-01-06 07:00:00 +01:00
AT,STA.09.A23,NO2,28.19479751,µg/m3,2018-01-06 10:00:00 +01:00
AT,STA.09.A23,NO2,27.18223953,µg/m3,2018-01-06 12:00:00 +01:00
AT,STA.09.A23,NO2,29.9933052,µg/m3,2018-01-06 14:00:00 +01:00
AT,STA.09.A23,NO2,38.55653762,µg/m3,2018-01-06 15:00:00 +01:00
AT,STA.09.A23,NO2,46.16553497,µg/m3,2018-01-06 16:00:00 +01:00
AT,STA.09.A23,NO2,52.99240875,µg/m3,2018-01-06 17:00:00 +01:00
AT,STA.09.A23,NO2,54.22296905,µg/m3,2018-01-06 19:00:00 +01:00
AT,STA.09.A23,NO2,42.69951248,µg/m3,2018-01-06 21:00:00 +01:00
AT,STA.09.A23,NO2,38.8950119,µg/m3,2018-01-06 23:00:00 +01:00
AT,STA.09.A23,NO2,25.55774879,µg/m3,2018-01-07 02:00:00 +01:00
AT,STA.09.A23,NO2,23.27065086,µg/m3,2018-01-07 03:00:00 +01:00
AT,STA.09.A23,NO2,38.09663391,µg/m3,2018-01-07 06:00:00 +01:00
AT,STA.09.A23,NO2,32.58158874,µg/m3,2018-01-07 10:00:00 +01:00
AT,STA.09.A23,NO2,38.91700363,µg/m3,2018-01-07 11:00:00 +01:00
AT,STA.09.A23,NO2,39.23731231,µg/m3,2018-01-07 14:00:00 +01:00
AT,STA.09.A23,NO2,29.15859031,µg/m3,2018-01-07 16:00:00 +01:00
AT,STA.09.A23,NO2,41.6209793,µg/m3,2018-01-07 19:00:00 +01:00
AT,STA.09.A23,NO2,38.71047592,µg/m3,2018-01-07 20:00:00 +01:00
AT,STA.09.A23,NO2,34.33707046,µg/m3,2018-01-07 23:00:00 +01:00
AT,STA.09.A23,NO2,21.72743225,µg/m3,2018-01-08 01:00:00 +01:00
AT,STA.09.A23,NO2,19.3874588,µg/m3,2018-01-08 02:00:00 +01:00
AT,STA.09.A23,NO2,15.34210777,µg/m3,2018-01-08 03:00:00 +01:00
AT,STA.09.A23,NO2,44.60128402,µg/m3,2018-01-08 07:00:00 +01:00
AT,STA.09.A23,NO2,42.11626434,µg/m3,2018-01-08 09:00:00 +01:00
AT,STA.09.A23,NO2,44.0878334,µg/m3,2018-01-08 11:00:00 +01:00
AT,STA.09.A23,NO2,43.54570007,µg/m3,2018-01-08 12:00:00 +01:00
AT,STA.09.A23,NO2,37.22175979,µg/m3,2018-01-08 13:00:00 +01:00
AT,STA.09.A23,NO2,43.11639022,µg/m3,2018-01-08 14:00:00 +01:00
AT,STA.09.A23,NO2,45.58993529999999,µg/m3,2018-01-08 17:00:00 +01:00
AT,STA.09.A23,NO2,29.50662612,µg/m3,2018-01-08 20:00:00 +01:00
AT,STA.09.A23,NO2,18.86703109,µg/m3,2018-01-08 23:00:00 +01:00
AT,STA.09.A23,NO2,16.471218099999998,µg/m3,2018-01-09 00:00:00 +01:00
AT,STA.09.A23,NO2,16.25608634,µg/m3,2018-01-09 01:00:00 +01:00
AT,STA.09.A23,NO2,14.59048271,µg/m3,2018-01-09 03:00:00 +01:00
AT,STA.09.A23,NO2,16.13150024,µg/m3,2018-01-09 04:00:00 +01:00
AT,STA.09.A23,NO2,20.05924797,µg/m3,2018-01-09 05:00:00 +01:00
AT,STA.09.A23,NO2,25.22500991,µg/m3,2018-01-09 08:00:00 +01:00
AT,STA.09.A23,NO2,25.6342411,µg/m3,2018-01-09 09:00:00 +01:00
AT,STA.09.A23,NO2,24.8119564,µg/m3,2018-01-09 10:00:00 +01:00
AT,STA.09.A23,NO2,24.26504135,µg/m3,2018-01-09 11:00:00 +01:00
AT,STA.09.A23,NO2,19.80558204,µg/m3,2018-01-09 12:00:00 +01:00
AT,STA.09.A23,NO2,19.62162017,µg/m3,2018-01-09 13:00:00 +01:00
AT,STA.09.A23,NO2,23.42076492,µg/m3,2018-01-09 14:00:00 +01:00
AT,STA.09.A23,NO2,37.3747406,µg/m3,2018-01-09 16:00:00 +01:00
AT,STA.09.A23,NO2,30.95518493,µg/m3,2018-01-09 17:00:00 +01:00
AT,STA.09.A23,NO2,26.50720214,µg/m3,2018-01-09 18:00:00 +01:00
AT,STA.09.A23,NO2,24.14074325,µg/m3,2018-01-09 19:00:00 +01:00
AT,STA.09.A23,NO2,19.53011703,µg/m3,2018-01-09 20:00:00 +01:00
AT,STA.09.A23,NO2,18.17468643,µg/m3,2018-01-09 21:00:00 +01:00
AT,STA.09.A23,NO2,15.32298469,µg/m3,2018-01-09 22:00:00 +01:00
AT,STA.09.A23,NO2,15.03996562,µg/m3,2018-01-10 00:00:00 +01:00
AT,STA.09.A23,NO2,14.64182662,µg/m3,2018-01-10 01:00:00 +01:00
AT,STA.09.A23,NO2,13.87098312,µg/m3,2018-01-10 03:00:00 +01:00
AT,STA.09.A23,NO2,12.78470706,µg/m3,2018-01-10 05:00:00 +01:00
AT,STA.09.A23,NO2,22.99145507,µg/m3,2018-01-10 07:00:00 +01:00
AT,STA.09.A23,NO2,21.83930206,µg/m3,2018-01-10 09:00:00 +01:00
AT,STA.09.A23,NO2,21.70257377,µg/m3,2018-01-10 10:00:00 +01:00
AT,STA.09.A23,NO2,22.20837402,µg/m3,2018-01-10 11:00:00 +01:00
AT,STA.09.A23,NO2,24.18281173,µg/m3,2018-01-10 12:00:00 +01:00
