Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
DE,STA.DE_DEBE034,O3,15.15,µg/m3,2020-01-01 00:00:00 +01:00
DE,STA.DE_DEBE034,O3,8.34,µg/m3,2020-01-01 01:00:00 +01:00
DE,STA.DE_DEBE034,O3,19.67,µg/m3,2020-01-01 02:00:00 +01:00
DE,STA.DE_DEBE034,O3,28.38,µg/m3,2020-01-01 03:00:00 +01:00
DE,STA.DE_DEBE034,O3,33.75,µg/m3,2020-01-01 04:00:00 +01:00
DE,STA.DE_DEBE034,O3,40.86,µg/m3,2020-01-01 05:00:00 +01:00
DE,STA.DE_DEBE034,O3,40.17,µg/m3,2020-01-01 06:00:00 +01:00
DE,STA.DE_DEBE034,O3,44.36,µg/m3,2020-01-01 07:00:00 +01:00
DE,STA.DE_DEBE034,O3,43.53,µg/m3,2020-01-01 08:00:00 +01:00
DE,STA.DE_DEBE034,O3,38.62,µg/m3,2020-01-01 09:00:00 +01:00
DE,STA.DE_DEBE034,O3,29.11,µg/m3,2020-01-01 10:00:00 +01:00
DE,STA.DE_DEBE034,O3,43.81,µg/m3,2020-01-01 11:00:00 +01:00
DE,STA.DE_DEBE034,O3,57.39,µg/m3,2020-01-01 12:00:00 +01:00
DE,STA.DE_DEBE034,O3,60.89,µg/m3,2020-01-01 13:00:00 +01:00
DE,STA.DE_DEBE034,O3,58.42,µg/m3,2020-01-01 14:00:00 +01:00
DE,STA.DE_DEBE034,O3,49.26,µg/m3,2020-01-01 15:00:00 +01:00
DE,STA.DE_DEBE034,O3,24.76,µg/m3,2020-01-01 16:00:00 +01:00
DE,STA.DE_DEBE034,O3,12.15,µg/m3,2020-01-01 17:00:00 +01:00
DE,STA.DE_DEBE034,O3,12.82,µg/m3,2020-01-01 18:00:00 +01:00
DE,STA.DE_DEBE034,O3,11.06,µg/m3,2020-01-01 19:00:00 +01:00
DE,STA.DE_DEBE034,O3,11.3,µg/m3,2020-01-01 20:00:00 +01:00
DE,STA.DE_DEBE034,O3,15.6,µg/m3,2020-01-01 21:00:00 +01:00
DE,STA.DE_DEBE034,O3,11.23,µg/m3,2020-01-01 22:00:00 +01:00
DE,STA.DE_DEBE034,O3,8.5,µg/m3,2020-01-01 23:00:00 +01:00
DE,STA.DE_DEBE034,O3,6.4,µg/m3,2020-01-02 00:00:00 +01:00
DE,STA.DE_DEBE034,O3,5.87,µg/m3,2020-01-02 01:00:00 +01:00
DE,STA.DE_DEBE034,O3,9.0,µg/m3,2020-01-02 02:00:00 +01:00
DE,STA.DE_DEBE034,O3,3.76,µg/m3,2020-01-02 03:00:00 +01:00
DE,STA.DE_DEBE034,O3,5.88,µg/m3,2020-01-02 04:00:00 +01:00
DE,STA.DE_DEBE034,O3,4.82,µg/m3,2020-01-02 05:00:00 +01:00
DE,STA.DE_DEBE034,O3,2.76,µg/m3,2020-01-02 06:00:00 +01:00
DE,STA.DE_DEBE034,O3,1.45,µg/m3,2020-01-02 07:00:00 +01:00
