,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
4049,DE,STA.DE_DEBE065,O3,58.81,µg/m3,2018-06-18 17:00:00 +01:00
4050,DE,STA.DE_DEBE065,O3,57.04999999,µg/m3,2018-06-18 18:00:00 +01:00
4051,DE,STA.DE_DEBE065,O3,48.65999999,µg/m3,2018-06-18 19:00:00 +01:00
4052,DE,STA.DE_DEBE065,O3,49.47999999,µg/m3,2018-06-18 20:00:00 +01:00
4053,DE,STA.DE_DEBE065,O3,45.17,µg/m3,2018-06-18 21:00:00 +01:00
4054,DE,STA.DE_DEBE065,O3,38.68,µg/m3,2018-06-18 22:00:00 +01:00
4055,DE,STA.DE_DEBE065,O3,37.07999999,µg/m3,2018-06-18 23:00:00 +01:00
4056,DE,STA.DE_DEBE065,O3,44.57999999,µg/m3,2018-06-19 00:00:00 +01:00
4057,DE,STA.DE_DEBE065,O3,48.40999999,µg/m3,2018-06-19 01:00:00 +01:00
4058,DE,STA.DE_DEBE065,O3,54.40999999,µg/m3,2018-06-19 02:00:00 +01:00
4059,DE,STA.DE_DEBE065,O3,40.07,µg/m3,2018-06-19 03:00:00 +01:00
4060,DE,STA.DE_DEBE065,O3,32.32,µg/m3,2018-06-19 04:00:00 +01:00
4061,DE,STA.DE_DEBE065,O3,21.44999999,µg/m3,2018-06-19 05:00:00 +01:00
4062,DE,STA.DE_DEBE065,O3,24.05999999,µg/m3,2018-06-19 06:00:00 +01:00
4063,DE,STA.DE_DEBE065,O3,34.35,µg/m3,2018-06-19 07:00:00 +01:00
4064,DE,STA.DE_DEBE065,O3,43.47999999,µg/m3,2018-06-19 08:00:00 +01:00
4065,DE,STA.DE_DEBE065,O3,56.39,µg/m3,2018-06-19 09:00:00 +01:00
4066,DE,STA.DE_DEBE065,O3,63.84,µg/m3,2018-06-19 10:00:00 +01:00
4067,DE,STA.DE_DEBE065,O3,61.78,µg/m3,2018-06-19 11:00:00 +01:00
4068,DE,STA.DE_DEBE065,O3,59.46,µg/m3,2018-06-19 12:00:00 +01:00
4069,DE,STA.DE_DEBE065,O3,57.82999999,µg/m3,2018-06-19 13:00:00 +01:00
4070,DE,STA.DE_DEBE065,O3,56.79999999,µg/m3,2018-06-19 14:00:00 +01:00
4071,DE,STA.DE_DEBE065,O3,42.28,µg/m3,2018-06-19 15:00:00 +01:00
4072,DE,STA.DE_DEBE065,O3,54.40999999,µg/m3,2018-06-19 16:00:00 +01:00
4073,DE,STA.DE_DEBE065,O3,56.28999999,µg/m3,2018-06-19 17:00:00 +01:00
4074,DE,STA.DE_DEBE065,O3,48.53,µg/m3,2018-06-19 18:00:00 +01:00
4075,DE,STA.DE_DEBE065,O3,54.92,µg/m3,2018-06-19 19:00:00 +01:00
4076,DE,STA.DE_DEBE065,O3,50.86999999,µg/m3,2018-06-19 20:00:00 +01:00
4077,DE,STA.DE_DEBE065,O3,37.60999999,µg/m3,2018-06-19 21:00:00 +01:00
4078,DE,STA.DE_DEBE065,O3,43.96999999,µg/m3,2018-06-19 22:00:00 +01:00
4079,DE,STA.DE_DEBE065,O3,46.1,µg/m3,2018-06-19 23:00:00 +01:00
4080,DE,STA.DE_DEBE065,O3,47.07,µg/m3,2018-06-20 00:00:00 +01:00
4081,DE,STA.DE_DEBE065,O3,47.75999999,µg/m3,2018-06-20 01:00:00 +01:00
4082,DE,STA.DE_DEBE065,O3,49.31,µg/m3,2018-06-20 02:00:00 +01:00
4083,DE,STA.DE_DEBE065,O3,53.43,µg/m3,2018-06-20 03:00:00 +01:00
4084,DE,STA.DE_DEBE065,O3,47.65999999,µg/m3,2018-06-20 04:00:00 +01:00
4085,DE,STA.DE_DEBE065,O3,43.28999999,µg/m3,2018-06-20 05:00:00 +01:00
4086,DE,STA.DE_DEBE065,O3,17.05999999,µg/m3,2018-06-20 06:00:00 +01:00
4087,DE,STA.DE_DEBE065,O3,18.55999999,µg/m3,2018-06-20 07:00:00 +01:00
4088,DE,STA.DE_DEBE065,O3,31.8,µg/m3,2018-06-20 08:00:00 +01:00
4089,DE,STA.DE_DEBE065,O3,38.97999999,µg/m3,2018-06-20 09:00:00 +01:00
4090,DE,STA.DE_DEBE065,O3,49.36999999,µg/m3,2018-06-20 10:00:00 +01:00
4091,DE,STA.DE_DEBE065,O3,64.01,µg/m3,2018-06-20 11:00:00 +01:00
4092,DE,STA.DE_DEBE065,O3,62.93999999,µg/m3,2018-06-20 12:00:00 +01:00
4093,DE,STA.DE_DEBE065,O3,58.64,µg/m3,2018-06-20 13:00:00 +01:00
4094,DE,STA.DE_DEBE065,O3,51.93,µg/m3,2018-06-20 14:00:00 +01:00
4095,DE,STA.DE_DEBE065,O3,53.72999999,µg/m3,2018-06-20 15:00:00 +01:00
4096,DE,STA.DE_DEBE065,O3,58.92,µg/m3,2018-06-20 16:00:00 +01:00
4097,DE,STA.DE_DEBE065,O3,72.25,µg/m3,2018-06-20 17:00:00 +01:00
4098,DE,STA.DE_DEBE065,O3,71.07999999,µg/m3,2018-06-20 18:00:00 +01:00
4099,DE,STA.DE_DEBE065,O3,67.93999999,µg/m3,2018-06-20 19:00:00 +01:00
4100,DE,STA.DE_DEBE065,O3,56.49,µg/m3,2018-06-20 20:00:00 +01:00
4101,DE,STA.DE_DEBE065,O3,17.57,µg/m3,2018-06-20 21:00:00 +01:00
4102,DE,STA.DE_DEBE065,O3,23.1,µg/m3,2018-06-20 22:00:00 +01:00
4103,DE,STA.DE_DEBE065,O3,47.36999999,µg/m3,2018-06-20 23:00:00 +01:00
4104,DE,STA.DE_DEBE065,O3,16.21,µg/m3,2018-06-21 00:00:00 +01:00
4105,DE,STA.DE_DEBE065,O3,8.75,µg/m3,2018-06-21 01:00:00 +01:00
4106,DE,STA.DE_DEBE065,O3,18.03999999,µg/m3,2018-06-21 02:00:00 +01:00
4107,DE,STA.DE_DEBE065,O3,12.56,µg/m3,2018-06-21 03:00:00 +01:00
4108,DE,STA.DE_DEBE065,O3,25.02,µg/m3,2018-06-21 04:00:00 +01:00
