,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
5,PT,STA-PT03084,O3,14.4,µg/m3,2014-07-05 08:00:00 +01:00
6,PT,STA-PT03084,O3,41.5,µg/m3,2014-07-05 02:00:00 +01:00
7,PT,STA-PT03084,O3,17.0,µg/m3,2014-07-05 07:00:00 +01:00
8,PT,STA-PT03084,O3,60.1,µg/m3,2014-07-03 02:00:00 +01:00
9,PT,STA-PT03084,O3,57.1,µg/m3,2014-06-27 22:00:00 +01:00
29,PT,STA-PT03084,O3,17.7,µg/m3,2014-07-05 10:00:00 +01:00
30,PT,STA-PT03084,O3,14.9,µg/m3,2014-07-05 09:00:00 +01:00
94,PT,STA-PT03084,O3,40.0,µg/m3,2014-03-06 13:00:00 +01:00
95,PT,STA-PT03084,O3,67.4,µg/m3,2014-03-06 18:00:00 +01:00
96,PT,STA-PT03084,O3,33.1,µg/m3,2014-03-06 12:00:00 +01:00
97,PT,STA-PT03084,O3,81.2,µg/m3,2014-03-04 17:00:00 +01:00
98,PT,STA-PT03084,O3,62.8,µg/m3,2014-03-05 10:00:00 +01:00
99,PT,STA-PT03084,O3,75.5,µg/m3,2014-03-05 19:00:00 +01:00
100,PT,STA-PT03084,O3,55.9,µg/m3,2014-03-05 09:00:00 +01:00
101,PT,STA-PT03084,O3,76.8,µg/m3,2014-03-04 07:00:00 +01:00
102,PT,STA-PT03084,O3,68.4,µg/m3,2014-03-07 19:00:00 +01:00
103,PT,STA-PT03084,O3,42.2,µg/m3,2014-03-07 12:00:00 +01:00
113,PT,STA-PT03084,O3,52.0,µg/m3,2014-07-12 08:00:00 +01:00
116,PT,STA-PT03084,O3,72.7,µg/m3,2014-07-12 11:00:00 +01:00
117,PT,STA-PT03084,O3,75.7,µg/m3,2014-07-12 16:00:00 +01:00
142,PT,STA-PT03084,O3,69.2,µg/m3,2014-03-01 22:00:00 +01:00
143,PT,STA-PT03084,O3,64.5,µg/m3,2014-03-02 08:00:00 +01:00
144,PT,STA-PT03084,O3,62.1,µg/m3,2014-03-02 12:00:00 +01:00
145,PT,STA-PT03084,O3,72.7,µg/m3,2014-03-01 08:00:00 +01:00
146,PT,STA-PT03084,O3,70.6,µg/m3,2014-03-01 12:00:00 +01:00
147,PT,STA-PT03084,O3,69.8,µg/m3,2014-03-01 23:00:00 +01:00
148,PT,STA-PT03084,O3,73.8,µg/m3,2014-03-04 08:00:00 +01:00
149,PT,STA-PT03084,O3,28.4,µg/m3,2014-02-27 10:00:00 +01:00
150,PT,STA-PT03084,O3,22.9,µg/m3,2014-02-25 22:00:00 +01:00
152,PT,STA-PT03084,O3,16.9,µg/m3,2014-02-26 21:00:00 +01:00
153,PT,STA-PT03084,O3,66.4,µg/m3,2014-02-27 12:00:00 +01:00
166,PT,STA-PT03084,O3,59.2,µg/m3,2014-07-13 15:00:00 +01:00
172,PT,STA-PT03084,O3,50.9,µg/m3,2014-07-13 07:00:00 +01:00
174,PT,STA-PT03084,O3,63.8,µg/m3,2014-04-12 20:00:00 +01:00
175,PT,STA-PT03084,O3,79.0,µg/m3,2014-04-09 20:00:00 +01:00
176,PT,STA-PT03084,O3,90.5,µg/m3,2014-04-12 01:00:00 +01:00
177,PT,STA-PT03084,O3,54.3,µg/m3,2014-04-10 20:00:00 +01:00
178,PT,STA-PT03084,O3,48.7,µg/m3,2014-04-07 20:00:00 +01:00
179,PT,STA-PT03084,O3,38.7,µg/m3,2014-04-09 10:00:00 +01:00
180,PT,STA-PT03084,O3,55.5,µg/m3,2014-04-09 13:00:00 +01:00
181,PT,STA-PT03084,O3,78.5,µg/m3,2014-04-10 11:00:00 +01:00
182,PT,STA-PT03084,O3,81.1,µg/m3,2014-04-01 15:00:00 +01:00
183,PT,STA-PT03084,O3,87.6,µg/m3,2014-04-03 05:00:00 +01:00
184,PT,STA-PT03084,O3,96.8,µg/m3,2014-04-01 05:00:00 +01:00
185,PT,STA-PT03084,O3,78.5,µg/m3,2014-04-01 08:00:00 +01:00
186,PT,STA-PT03084,O3,86.4,µg/m3,2014-04-02 00:00:00 +01:00
187,PT,STA-PT03084,O3,96.4,µg/m3,2014-04-03 15:00:00 +01:00
188,PT,STA-PT03084,O3,48.6,µg/m3,2014-04-04 00:00:00 +01:00
197,PT,STA-PT03084,O3,28.6,µg/m3,2014-04-14 10:00:00 +01:00
198,PT,STA-PT03084,O3,34.9,µg/m3,2014-04-13 06:00:00 +01:00
205,PT,STA-PT03084,O3,86.0,µg/m3,2014-04-16 13:00:00 +01:00
208,PT,STA-PT03084,O3,95.0,µg/m3,2014-04-18 01:00:00 +01:00
216,PT,STA-PT03084,O3,78.3,µg/m3,2014-04-19 15:00:00 +01:00
217,PT,STA-PT03084,O3,59.8,µg/m3,2014-04-19 20:00:00 +01:00
222,PT,STA-PT03084,O3,83.6,µg/m3,2014-03-23 02:00:00 +01:00
223,PT,STA-PT03084,O3,26.8,µg/m3,2014-03-24 07:00:00 +01:00
224,PT,STA-PT03084,O3,94.3,µg/m3,2014-03-23 21:00:00 +01:00
225,PT,STA-PT03084,O3,88.5,µg/m3,2014-03-22 12:00:00 +01:00
226,PT,STA-PT03084,O3,92.3,µg/m3,2014-03-23 12:00:00 +01:00
227,PT,STA-PT03084,O3,85.2,µg/m3,2014-03-25 11:00:00 +01:00
228,PT,STA-PT03084,O3,99.7,µg/m3,2014-03-23 16:00:00 +01:00
229,PT,STA-PT03084,O3,81.4,µg/m3,2014-03-24 11:00:00 +01:00
230,PT,STA-PT03084,O3,61.8,µg/m3,2014-03-20 05:00:00 +01:00
231,PT,STA-PT03084,O3,95.4,µg/m3,2014-03-19 02:00:00 +01:00
232,PT,STA-PT03084,O3,102.6,µg/m3,2014-03-19 17:00:00 +01:00
233,PT,STA-PT03084,O3,33.0,µg/m3,2014-03-19 09:00:00 +01:00
234,PT,STA-PT03084,O3,79.5,µg/m3,2014-03-30 10:00:00 +01:00
235,PT,STA-PT03084,O3,80.2,µg/m3,2014-03-31 15:00:00 +01:00
236,PT,STA-PT03084,O3,1.6,µg/m3,2014-03-29 02:00:00 +01:00
237,PT,STA-PT03084,O3,1.4,µg/m3,2014-03-29 00:00:00 +01:00
238,PT,STA-PT03084,O3,95.3,µg/m3,2014-03-26 02:00:00 +01:00
