,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
0,GB,Station_GB0644A,O3,38.52,µg/m3,2013-09-29 11:00:00 +01:00
1,GB,Station_GB0644A,O3,39.20952,µg/m3,2013-09-29 02:00:00 +01:00
2,GB,Station_GB0644A,O3,47.47521,µg/m3,2013-09-27 13:00:00 +01:00
3,GB,Station_GB0644A,O3,39.36868,µg/m3,2013-09-26 11:00:00 +01:00
4,GB,Station_GB0644A,O3,37.7791,µg/m3,2013-09-28 22:00:00 +01:00
6,GB,Station_GB0644A,O3,2.22521,µg/m3,2013-10-01 07:00:00 +01:00
7,GB,Station_GB0644A,O3,5.03365,µg/m3,2013-10-01 00:00:00 +01:00
8,GB,Station_GB0644A,O3,58.07238,µg/m3,2013-09-30 17:00:00 +01:00
9,GB,Station_GB0644A,O3,22.25455,µg/m3,2013-09-24 16:00:00 +01:00
12,GB,Station_GB0644A,O3,4.5043,µg/m3,2013-09-25 00:00:00 +01:00
14,GB,Station_GB0644A,O3,9.06048,µg/m3,2013-09-24 12:00:00 +01:00
15,GB,Station_GB0644A,O3,26.81073,µg/m3,2013-09-26 09:00:00 +01:00
16,GB,Station_GB0644A,O3,62.8411,µg/m3,2013-09-26 17:00:00 +01:00
17,GB,Station_GB0644A,O3,57.80745,µg/m3,2013-09-26 18:00:00 +01:00
18,GB,Station_GB0644A,O3,29.51291,µg/m3,2013-09-22 15:00:00 +01:00
19,GB,Station_GB0644A,O3,27.71229,µg/m3,2013-09-22 17:00:00 +01:00
20,GB,Station_GB0644A,O3,3.02049,µg/m3,2013-09-23 08:00:00 +01:00
21,GB,Station_GB0644A,O3,23.84313,µg/m3,2013-09-22 04:00:00 +01:00
22,GB,Station_GB0644A,O3,10.91498,µg/m3,2013-09-21 06:00:00 +01:00
23,GB,Station_GB0644A,O3,60.88082,µg/m3,2013-09-20 17:00:00 +01:00
24,GB,Station_GB0644A,O3,3.6029,µg/m3,2013-09-21 01:00:00 +01:00
216,GB,Station_GB0644A,O3,63.84793,µg/m3,2013-06-21 14:00:00 +01:00
217,GB,Station_GB0644A,O3,6.19914,µg/m3,2013-06-19 06:00:00 +01:00
218,GB,Station_GB0644A,O3,74.17967,µg/m3,2013-06-20 21:00:00 +01:00
219,GB,Station_GB0644A,O3,32.58679,µg/m3,2013-06-16 22:00:00 +01:00
220,GB,Station_GB0644A,O3,13.84683,µg/m3,2013-06-19 01:00:00 +01:00
221,GB,Station_GB0644A,O3,42.54783,µg/m3,2013-06-18 21:00:00 +01:00
222,GB,Station_GB0644A,O3,36.50734,µg/m3,2013-06-18 08:00:00 +01:00
223,GB,Station_GB0644A,O3,66.70877,µg/m3,2013-06-20 05:00:00 +01:00
224,GB,Station_GB0644A,O3,43.18346,µg/m3,2013-06-21 21:00:00 +01:00
225,GB,Station_GB0644A,O3,63.90032,µg/m3,2013-06-22 12:00:00 +01:00
226,GB,Station_GB0644A,O3,61.99293,µg/m3,2013-06-13 20:00:00 +01:00
227,GB,Station_GB0644A,O3,55.79428,µg/m3,2013-06-13 09:00:00 +01:00
228,GB,Station_GB0644A,O3,73.27911,µg/m3,2013-06-14 17:00:00 +01:00
229,GB,Station_GB0644A,O3,62.52329,µg/m3,2013-06-13 22:00:00 +01:00
230,GB,Station_GB0644A,O3,63.79455,µg/m3,2013-06-13 16:00:00 +01:00
231,GB,Station_GB0644A,O3,62.68244,µg/m3,2013-06-13 18:00:00 +01:00
232,GB,Station_GB0644A,O3,63.26519,µg/m3,2013-06-16 10:00:00 +01:00
233,GB,Station_GB0644A,O3,62.31174,µg/m3,2013-06-15 08:00:00 +01:00
234,GB,Station_GB0644A,O3,63.68927,µg/m3,2013-06-15 14:00:00 +01:00
235,GB,Station_GB0644A,O3,55.95294,µg/m3,2013-06-16 03:00:00 +01:00
236,GB,Station_GB0644A,O3,45.72648,µg/m3,2013-06-12 05:00:00 +01:00
237,GB,Station_GB0644A,O3,28.71862,µg/m3,2013-07-24 09:00:00 +01:00
238,GB,Station_GB0644A,O3,50.65436,µg/m3,2013-06-17 04:00:00 +01:00
239,GB,Station_GB0644A,O3,75.29227,µg/m3,2013-06-10 21:00:00 +01:00
240,GB,Station_GB0644A,O3,47.58148,µg/m3,2013-06-11 09:00:00 +01:00
241,GB,Station_GB0644A,O3,87.85022,µg/m3,2013-07-15 13:00:00 +01:00
242,GB,Station_GB0644A,O3,79.26671,µg/m3,2013-07-11 13:00:00 +01:00
243,GB,Station_GB0644A,O3,62.20547,µg/m3,2013-07-16 00:00:00 +01:00
244,GB,Station_GB0644A,O3,80.64424,µg/m3,2013-07-15 21:00:00 +01:00
245,GB,Station_GB0644A,O3,108.62096,µg/m3,2013-07-15 19:00:00 +01:00
246,GB,Station_GB0644A,O3,66.33807,µg/m3,2013-07-16 02:00:00 +01:00
247,GB,Station_GB0644A,O3,106.34237,µg/m3,2013-07-14 18:00:00 +01:00
248,GB,Station_GB0644A,O3,120.11919,µg/m3,2013-07-13 16:00:00 +01:00
249,GB,Station_GB0644A,O3,70.41828,µg/m3,2013-07-14 22:00:00 +01:00
250,GB,Station_GB0644A,O3,112.06504,µg/m3,2013-07-13 12:00:00 +01:00
251,GB,Station_GB0644A,O3,47.21028,µg/m3,2013-07-18 22:00:00 +01:00
252,GB,Station_GB0644A,O3,74.18067,µg/m3,2013-07-19 11:00:00 +01:00
253,GB,Station_GB0644A,O3,103.37576,µg/m3,2013-07-16 23:00:00 +01:00
254,GB,Station_GB0644A,O3,54.20471,µg/m3,2013-07-12 02:00:00 +01:00
255,GB,Station_GB0644A,O3,61.78188,µg/m3,2013-07-11 00:00:00 +01:00
256,GB,Station_GB0644A,O3,83.29353,µg/m3,2013-07-10 18:00:00 +01:00
257,GB,Station_GB0644A,O3,72.06124,µg/m3,2013-07-14 09:00:00 +01:00
258,GB,Station_GB0644A,O3,99.40133,µg/m3,2013-07-13 23:00:00 +01:00
259,GB,Station_GB0644A,O3,62.62906,µg/m3,2013-07-12 21:00:00 +01:00
260,GB,Station_GB0644A,O3,83.45319,µg/m3,2013-07-12 17:00:00 +01:00
261,GB,Station_GB0644A,O3,69.46433,µg/m3,2013-07-11 02:00:00 +01:00
262,GB,Station_GB0644A,O3,50.86574,µg/m3,2013-07-09 01:00:00 +01:00
263,GB,Station_GB0644A,O3,71.53088,µg/m3,2013-07-08 21:00:00 +01:00
264,GB,Station_GB0644A,O3,40.42839,µg/m3,2013-07-09 05:00:00 +01:00
265,GB,Station_GB0644A,O3,62.68244,µg/m3,2013-07-08 09:00:00 +01:00
266,GB,Station_GB0644A,O3,68.66954,µg/m3,2013-07-10 20:00:00 +01:00
267,GB,Station_GB0644A,O3,39.84515,µg/m3,2013-07-24 10:00:00 +01:00
268,GB,Station_GB0644A,O3,69.41144,µg/m3,2013-07-24 12:00:00 +01:00
269,GB,Station_GB0644A,O3,57.27759,µg/m3,2013-07-25 22:00:00 +01:00
270,GB,Station_GB0644A,O3,24.6918,µg/m3,2013-07-24 08:00:00 +01:00
271,GB,Station_GB0644A,O3,54.73457,µg/m3,2013-07-24 11:00:00 +01:00
272,GB,Station_GB0644A,O3,68.35173,µg/m3,2013-07-24 19:00:00 +01:00
273,GB,Station_GB0644A,O3,61.30441,µg/m3,2013-07-21 09:00:00 +01:00
274,GB,Station_GB0644A,O3,36.50734,µg/m3,2013-07-19 23:00:00 +01:00
275,GB,Station_GB0644A,O3,87.9031,µg/m3,2013-07-21 13:00:00 +01:00
276,GB,Station_GB0644A,O3,85.57262,µg/m3,2013-07-24 15:00:00 +01:00
