Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
GB,Station_GB0566A,O3,1.12607,µg/m3,2013-01-15 18:00:00 +01:00
GB,Station_GB0566A,O3,11.58504,µg/m3,2013-01-26 07:00:00 +01:00
GB,Station_GB0566A,O3,20.50582,µg/m3,2013-10-21 18:00:00 +01:00
GB,Station_GB0566A,O3,0.6431100000000001,µg/m3,2013-01-15 09:00:00 +01:00
GB,Station_GB0566A,O3,0.71446,µg/m3,2013-01-16 02:00:00 +01:00
GB,Station_GB0566A,O3,1.23384,µg/m3,2013-01-15 22:00:00 +01:00
GB,Station_GB0566A,O3,9.54743,µg/m3,2013-01-26 10:00:00 +01:00
GB,Station_GB0566A,O3,28.18926,µg/m3,2013-10-21 21:00:00 +01:00
GB,Station_GB0566A,O3,1.28723,µg/m3,2013-01-14 17:00:00 +01:00
GB,Station_GB0566A,O3,8.313089999999999,µg/m3,2013-01-13 15:00:00 +01:00
GB,Station_GB0566A,O3,13.30134,µg/m3,2013-01-25 23:00:00 +01:00
GB,Station_GB0566A,O3,22.63423,µg/m3,2013-01-15 04:00:00 +01:00
GB,Station_GB0566A,O3,7.57967,µg/m3,2013-01-14 01:00:00 +01:00
GB,Station_GB0566A,O3,2.4666900000000003,µg/m3,2013-01-14 16:00:00 +01:00
GB,Station_GB0566A,O3,7.1875100000000005,µg/m3,2013-01-25 21:00:00 +01:00
GB,Station_GB0566A,O3,9.22512,µg/m3,2013-01-13 14:00:00 +01:00
GB,Station_GB0566A,O3,10.57721,µg/m3,2013-10-21 07:00:00 +01:00
GB,Station_GB0566A,O3,4.18299,µg/m3,2013-01-13 18:00:00 +01:00
GB,Station_GB0566A,O3,2.78899,µg/m3,2013-01-13 17:00:00 +01:00
GB,Station_GB0566A,O3,1.50127,µg/m3,2013-01-10 12:00:00 +01:00
GB,Station_GB0566A,O3,0.91154,µg/m3,2013-01-10 00:00:00 +01:00
GB,Station_GB0566A,O3,16.16517,µg/m3,2013-10-20 00:00:00 +01:00
GB,Station_GB0566A,O3,0.4824600000000001,µg/m3,2013-01-10 07:00:00 +01:00
GB,Station_GB0566A,O3,0.50026,µg/m3,2013-01-10 01:00:00 +01:00
GB,Station_GB0566A,O3,23.81535,µg/m3,2013-10-20 02:00:00 +01:00
GB,Station_GB0566A,O3,36.5712,µg/m3,2013-10-20 07:00:00 +01:00
GB,Station_GB0566A,O3,0.53585,µg/m3,2013-01-10 20:00:00 +01:00
GB,Station_GB0566A,O3,2.57495,µg/m3,2013-01-10 14:00:00 +01:00
GB,Station_GB0566A,O3,0.4824600000000001,µg/m3,2013-01-10 18:00:00 +01:00
GB,Station_GB0566A,O3,1.82407,µg/m3,2013-01-24 23:00:00 +01:00
GB,Station_GB0566A,O3,45.50196,µg/m3,2013-10-20 13:00:00 +01:00
GB,Station_GB0566A,O3,0.5363399999999999,µg/m3,2013-01-11 09:00:00 +01:00
GB,Station_GB0566A,O3,22.45163,µg/m3,2013-10-20 16:00:00 +01:00
GB,Station_GB0566A,O3,1.07319,µg/m3,2013-01-11 16:00:00 +01:00
GB,Station_GB0566A,O3,37.16991,µg/m3,2013-10-21 03:00:00 +01:00
GB,Station_GB0566A,O3,24.51019,µg/m3,2013-01-25 06:00:00 +01:00
GB,Station_GB0566A,O3,2.30603,µg/m3,2013-01-11 13:00:00 +01:00
GB,Station_GB0566A,O3,1.00184,µg/m3,2013-01-25 02:00:00 +01:00
GB,Station_GB0566A,O3,1.60903,µg/m3,2013-01-12 18:00:00 +01:00
GB,Station_GB0566A,O3,11.74569,µg/m3,2013-01-13 03:00:00 +01:00
GB,Station_GB0566A,O3,8.29546,µg/m3,2013-01-13 01:00:00 +01:00
GB,Station_GB0566A,O3,1.12707,µg/m3,2013-01-16 23:00:00 +01:00
GB,Station_GB0566A,O3,0.6965,µg/m3,2013-01-17 06:00:00 +01:00
GB,Station_GB0566A,O3,0.75038,µg/m3,2013-01-16 09:00:00 +01:00
GB,Station_GB0566A,O3,25.36934,µg/m3,2013-01-26 12:00:00 +01:00
GB,Station_GB0566A,O3,5.28861,µg/m3,2013-10-22 08:00:00 +01:00
GB,Station_GB0566A,O3,31.265970000000006,µg/m3,2013-10-22 01:00:00 +01:00
