Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
ES,STA_ES1939A,O3,0.83,µg/m3,2020-01-01 00:00:00 +01:00
ES,STA_ES1939A,O3,1.0,µg/m3,2020-01-01 01:00:00 +01:00
ES,STA_ES1939A,O3,1.0,µg/m3,2020-01-01 02:00:00 +01:00
ES,STA_ES1939A,O3,1.0,µg/m3,2020-01-01 03:00:00 +01:00
ES,STA_ES1939A,O3,1.0,µg/m3,2020-01-01 04:00:00 +01:00
ES,STA_ES1939A,O3,1.0,µg/m3,2020-01-01 05:00:00 +01:00
ES,STA_ES1939A,O3,1.0,µg/m3,2020-01-01 06:00:00 +01:00
ES,STA_ES1939A,O3,1.0,µg/m3,2020-01-01 07:00:00 +01:00
ES,STA_ES1939A,O3,1.0,µg/m3,2020-01-01 08:00:00 +01:00
ES,STA_ES1939A,O3,1.62,µg/m3,2020-01-01 09:00:00 +01:00
ES,STA_ES1939A,O3,12.45,µg/m3,2020-01-01 10:00:00 +01:00
ES,STA_ES1939A,O3,5.4,µg/m3,2020-01-01 11:00:00 +01:00
ES,STA_ES1939A,O3,7.53,µg/m3,2020-01-01 12:00:00 +01:00
ES,STA_ES1939A,O3,7.88,µg/m3,2020-01-01 13:00:00 +01:00
ES,STA_ES1939A,O3,10.57,µg/m3,2020-01-01 14:00:00 +01:00
ES,STA_ES1939A,O3,12.43,µg/m3,2020-01-01 15:00:00 +01:00
ES,STA_ES1939A,O3,8.52,µg/m3,2020-01-01 16:00:00 +01:00
ES,STA_ES1939A,O3,2.2,µg/m3,2020-01-01 17:00:00 +01:00
ES,STA_ES1939A,O3,1.0,µg/m3,2020-01-01 18:00:00 +01:00
ES,STA_ES1939A,O3,1.0,µg/m3,2020-01-01 19:00:00 +01:00
ES,STA_ES1939A,O3,1.0,µg/m3,2020-01-01 20:00:00 +01:00
ES,STA_ES1939A,O3,1.0,µg/m3,2020-01-01 21:00:00 +01:00
ES,STA_ES1939A,O3,1.0,µg/m3,2020-01-01 22:00:00 +01:00
ES,STA_ES1939A,O3,0.94,µg/m3,2020-01-01 23:00:00 +01:00
ES,STA_ES1939A,O3,1.0,µg/m3,2020-01-02 01:00:00 +01:00
ES,STA_ES1939A,O3,1.0,µg/m3,2020-01-02 02:00:00 +01:00
ES,STA_ES1939A,O3,1.05,µg/m3,2020-01-02 03:00:00 +01:00
ES,STA_ES1939A,O3,1.63,µg/m3,2020-01-02 04:00:00 +01:00
ES,STA_ES1939A,O3,1.0,µg/m3,2020-01-02 05:00:00 +01:00
ES,STA_ES1939A,O3,1.34,µg/m3,2020-01-02 06:00:00 +01:00
ES,STA_ES1939A,O3,1.27,µg/m3,2020-01-02 07:00:00 +01:00
ES,STA_ES1939A,O3,1.0,µg/m3,2020-01-02 08:00:00 +01:00
ES,STA_ES1939A,O3,3.78,µg/m3,2020-01-02 09:00:00 +01:00
