,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
0,ES,STA_ES1946A,O3,1.0,µg/m3,2020-01-01 00:00:00 +01:00
1,ES,STA_ES1946A,O3,2.0,µg/m3,2020-01-01 01:00:00 +01:00
2,ES,STA_ES1946A,O3,2.71,µg/m3,2020-01-01 02:00:00 +01:00
3,ES,STA_ES1946A,O3,5.34,µg/m3,2020-01-01 03:00:00 +01:00
4,ES,STA_ES1946A,O3,9.75,µg/m3,2020-01-01 04:00:00 +01:00
5,ES,STA_ES1946A,O3,9.63,µg/m3,2020-01-01 05:00:00 +01:00
6,ES,STA_ES1946A,O3,5.9,µg/m3,2020-01-01 06:00:00 +01:00
7,ES,STA_ES1946A,O3,7.14,µg/m3,2020-01-01 07:00:00 +01:00
8,ES,STA_ES1946A,O3,13.99,µg/m3,2020-01-01 08:00:00 +01:00
9,ES,STA_ES1946A,O3,19.36,µg/m3,2020-01-01 09:00:00 +01:00
10,ES,STA_ES1946A,O3,24.02,µg/m3,2020-01-01 10:00:00 +01:00
11,ES,STA_ES1946A,O3,27.64,µg/m3,2020-01-01 11:00:00 +01:00
12,ES,STA_ES1946A,O3,31.36,µg/m3,2020-01-01 12:00:00 +01:00
13,ES,STA_ES1946A,O3,29.93,µg/m3,2020-01-01 13:00:00 +01:00
14,ES,STA_ES1946A,O3,19.73,µg/m3,2020-01-01 14:00:00 +01:00
15,ES,STA_ES1946A,O3,19.42,µg/m3,2020-01-01 15:00:00 +01:00
16,ES,STA_ES1946A,O3,16.71,µg/m3,2020-01-01 16:00:00 +01:00
17,ES,STA_ES1946A,O3,8.7,µg/m3,2020-01-01 17:00:00 +01:00
18,ES,STA_ES1946A,O3,1.11,µg/m3,2020-01-01 18:00:00 +01:00
19,ES,STA_ES1946A,O3,1.0,µg/m3,2020-01-01 19:00:00 +01:00
20,ES,STA_ES1946A,O3,1.0,µg/m3,2020-01-01 20:00:00 +01:00
21,ES,STA_ES1946A,O3,1.0,µg/m3,2020-01-01 21:00:00 +01:00
22,ES,STA_ES1946A,O3,1.0,µg/m3,2020-01-01 22:00:00 +01:00
23,ES,STA_ES1946A,O3,1.33,µg/m3,2020-01-01 23:00:00 +01:00
24,ES,STA_ES1946A,O3,1.23,µg/m3,2020-01-02 01:00:00 +01:00
25,ES,STA_ES1946A,O3,10.11,µg/m3,2020-01-02 02:00:00 +01:00
