Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
FR,STA-FR04145,O3,16.25,µg/m3,2017-01-01 00:00:00 +01:00
FR,STA-FR04145,O3,11.0,µg/m3,2017-01-01 01:00:00 +01:00
FR,STA-FR04145,O3,19.5,µg/m3,2017-01-01 04:00:00 +01:00
FR,STA-FR04145,O3,19.0,µg/m3,2017-01-01 05:00:00 +01:00
FR,STA-FR04145,O3,17.5,µg/m3,2017-01-01 06:00:00 +01:00
FR,STA-FR04145,O3,17.0,µg/m3,2017-01-01 09:00:00 +01:00
FR,STA-FR04145,O3,25.0,µg/m3,2017-01-01 13:00:00 +01:00
FR,STA-FR04145,O3,25.0,µg/m3,2017-01-01 14:00:00 +01:00
FR,STA-FR04145,O3,20.5,µg/m3,2017-01-01 16:00:00 +01:00
FR,STA-FR04145,O3,16.5,µg/m3,2017-01-01 17:00:00 +01:00
FR,STA-FR04145,O3,19.5,µg/m3,2017-01-01 20:00:00 +01:00
FR,STA-FR04145,O3,19.5,µg/m3,2017-01-01 21:00:00 +01:00
FR,STA-FR04145,O3,18.5,µg/m3,2017-01-01 23:00:00 +01:00
FR,STA-FR04145,O3,22.5,µg/m3,2017-01-02 01:00:00 +01:00
FR,STA-FR04145,O3,23.0,µg/m3,2017-01-02 02:00:00 +01:00
FR,STA-FR04145,O3,23.0,µg/m3,2017-01-02 04:00:00 +01:00
FR,STA-FR04145,O3,22.0,µg/m3,2017-01-02 05:00:00 +01:00
FR,STA-FR04145,O3,17.0,µg/m3,2017-01-02 06:00:00 +01:00
FR,STA-FR04145,O3,0.5,µg/m3,2017-01-02 08:00:00 +01:00
FR,STA-FR04145,O3,3.0,µg/m3,2017-01-02 10:00:00 +01:00
FR,STA-FR04145,O3,6.5,µg/m3,2017-01-02 14:00:00 +01:00
FR,STA-FR04145,O3,4.0,µg/m3,2017-01-02 16:00:00 +01:00
FR,STA-FR04145,O3,20.0,µg/m3,2017-01-02 18:00:00 +01:00
FR,STA-FR04145,O3,6.0,µg/m3,2017-01-02 19:00:00 +01:00
FR,STA-FR04145,O3,9.5,µg/m3,2017-01-02 20:00:00 +01:00
FR,STA-FR04145,O3,8.0,µg/m3,2017-01-02 22:00:00 +01:00
FR,STA-FR04145,O3,13.0,µg/m3,2017-01-02 23:00:00 +01:00
FR,STA-FR04145,O3,15.5,µg/m3,2017-01-03 01:00:00 +01:00
FR,STA-FR04145,O3,19.5,µg/m3,2017-01-03 03:00:00 +01:00
FR,STA-FR04145,O3,20.0,µg/m3,2017-01-03 04:00:00 +01:00
FR,STA-FR04145,O3,4.0,µg/m3,2017-01-03 07:00:00 +01:00
FR,STA-FR04145,O3,13.0,µg/m3,2017-01-03 13:00:00 +01:00
FR,STA-FR04145,O3,14.5,µg/m3,2017-01-03 14:00:00 +01:00
FR,STA-FR04145,O3,13.0,µg/m3,2017-01-03 17:00:00 +01:00
FR,STA-FR04145,O3,8.5,µg/m3,2017-01-03 19:00:00 +01:00
