,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
0,FR,STA-FR04034,O3,7.25,µg/m3,2016-12-27 11:00:00 +01:00
1,FR,STA-FR04034,O3,10.25,µg/m3,2016-12-29 07:00:00 +01:00
2,FR,STA-FR04034,O3,25.25,µg/m3,2016-12-28 15:00:00 +01:00
3,FR,STA-FR04034,O3,3.75,µg/m3,2016-12-27 18:00:00 +01:00
4,FR,STA-FR04034,O3,3.0,µg/m3,2016-12-27 21:00:00 +01:00
5,FR,STA-FR04034,O3,20.75,µg/m3,2016-12-29 06:00:00 +01:00
6,FR,STA-FR04034,O3,4.25,µg/m3,2016-12-30 10:00:00 +01:00
7,FR,STA-FR04034,O3,3.25,µg/m3,2016-12-29 18:00:00 +01:00
8,FR,STA-FR04034,O3,15.25,µg/m3,2016-12-29 13:00:00 +01:00
9,FR,STA-FR04034,O3,3.0,µg/m3,2016-12-29 22:00:00 +01:00
10,FR,STA-FR04034,O3,3.25,µg/m3,2016-12-29 19:00:00 +01:00
11,FR,STA-FR04034,O3,2.75,µg/m3,2016-12-31 01:00:00 +01:00
12,FR,STA-FR04034,O3,4.25,µg/m3,2016-12-30 12:00:00 +01:00
13,FR,STA-FR04034,O3,4.25,µg/m3,2016-12-30 15:00:00 +01:00
14,FR,STA-FR04034,O3,6.0,µg/m3,2016-12-31 20:00:00 +01:00
15,FR,STA-FR04034,O3,22.5,µg/m3,2016-12-24 09:00:00 +01:00
16,FR,STA-FR04034,O3,42.25,µg/m3,2016-12-25 01:00:00 +01:00
17,FR,STA-FR04034,O3,3.0,µg/m3,2016-12-23 09:00:00 +01:00
18,FR,STA-FR04034,O3,35.75,µg/m3,2016-12-23 14:00:00 +01:00
19,FR,STA-FR04034,O3,34.5,µg/m3,2016-12-23 20:00:00 +01:00
20,FR,STA-FR04034,O3,40.5,µg/m3,2016-12-24 10:00:00 +01:00
21,FR,STA-FR04034,O3,43.75,µg/m3,2016-12-25 17:00:00 +01:00
22,FR,STA-FR04034,O3,16.0,µg/m3,2016-12-23 18:00:00 +01:00
23,FR,STA-FR04034,O3,6.25,µg/m3,2016-12-23 11:00:00 +01:00
24,FR,STA-FR04034,O3,4.5,µg/m3,2016-12-23 10:00:00 +01:00
25,FR,STA-FR04034,O3,27.0,µg/m3,2016-12-23 19:00:00 +01:00
26,FR,STA-FR04034,O3,34.5,µg/m3,2016-12-24 03:00:00 +01:00
27,FR,STA-FR04034,O3,38.25,µg/m3,2016-12-23 23:00:00 +01:00
28,FR,STA-FR04034,O3,39.0,µg/m3,2016-12-24 01:00:00 +01:00
29,FR,STA-FR04034,O3,24.25,µg/m3,2016-12-24 04:00:00 +01:00
