,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
0,IT,STA.IT0957A,O3,0.0,µg/m3,2020-02-13 00:00:00 +01:00
1,IT,STA.IT0957A,O3,2.0,µg/m3,2020-02-13 01:00:00 +01:00
2,IT,STA.IT0957A,O3,8.0,µg/m3,2020-02-13 02:00:00 +01:00
3,IT,STA.IT0957A,O3,21.0,µg/m3,2020-02-13 03:00:00 +01:00
4,IT,STA.IT0957A,O3,18.0,µg/m3,2020-02-13 04:00:00 +01:00
5,IT,STA.IT0957A,O3,17.0,µg/m3,2020-02-13 05:00:00 +01:00
6,IT,STA.IT0957A,O3,11.0,µg/m3,2020-02-13 06:00:00 +01:00
7,IT,STA.IT0957A,O3,1.0,µg/m3,2020-02-13 07:00:00 +01:00
8,IT,STA.IT0957A,O3,9.0,µg/m3,2020-02-13 08:00:00 +01:00
9,IT,STA.IT0957A,O3,14.0,µg/m3,2020-02-13 09:00:00 +01:00
10,IT,STA.IT0957A,O3,46.0,µg/m3,2020-02-13 10:00:00 +01:00
11,IT,STA.IT0957A,O3,62.0,µg/m3,2020-02-13 11:00:00 +01:00
12,IT,STA.IT0957A,O3,62.0,µg/m3,2020-02-13 12:00:00 +01:00
13,IT,STA.IT0957A,O3,73.0,µg/m3,2020-02-13 13:00:00 +01:00
14,IT,STA.IT0957A,O3,73.0,µg/m3,2020-02-13 14:00:00 +01:00
15,IT,STA.IT0957A,O3,72.0,µg/m3,2020-02-13 15:00:00 +01:00
16,IT,STA.IT0957A,O3,70.0,µg/m3,2020-02-13 16:00:00 +01:00
17,IT,STA.IT0957A,O3,56.0,µg/m3,2020-02-13 17:00:00 +01:00
18,IT,STA.IT0957A,O3,16.0,µg/m3,2020-02-13 18:00:00 +01:00
19,IT,STA.IT0957A,O3,2.0,µg/m3,2020-02-13 19:00:00 +01:00
20,IT,STA.IT0957A,O3,1.0,µg/m3,2020-02-13 20:00:00 +01:00
21,IT,STA.IT0957A,O3,3.0,µg/m3,2020-02-13 21:00:00 +01:00
22,IT,STA.IT0957A,O3,7.0,µg/m3,2020-02-13 22:00:00 +01:00
23,IT,STA.IT0957A,O3,16.0,µg/m3,2020-02-13 23:00:00 +01:00
24,IT,STA.IT0957A,O3,24.0,µg/m3,2020-02-14 00:00:00 +01:00
25,IT,STA.IT0957A,O3,55.0,µg/m3,2020-02-14 01:00:00 +01:00
26,IT,STA.IT0957A,O3,75.0,µg/m3,2020-02-14 02:00:00 +01:00
27,IT,STA.IT0957A,O3,73.0,µg/m3,2020-02-14 03:00:00 +01:00
28,IT,STA.IT0957A,O3,67.0,µg/m3,2020-02-14 04:00:00 +01:00
29,IT,STA.IT0957A,O3,61.0,µg/m3,2020-02-14 05:00:00 +01:00
30,IT,STA.IT0957A,O3,55.0,µg/m3,2020-02-14 06:00:00 +01:00
31,IT,STA.IT0957A,O3,45.0,µg/m3,2020-02-14 07:00:00 +01:00
32,IT,STA.IT0957A,O3,24.0,µg/m3,2020-02-14 08:00:00 +01:00
33,IT,STA.IT0957A,O3,31.0,µg/m3,2020-02-14 09:00:00 +01:00
34,IT,STA.IT0957A,O3,47.0,µg/m3,2020-02-14 10:00:00 +01:00
35,IT,STA.IT0957A,O3,64.0,µg/m3,2020-02-14 11:00:00 +01:00
36,IT,STA.IT0957A,O3,67.0,µg/m3,2020-02-14 12:00:00 +01:00
37,IT,STA.IT0957A,O3,69.0,µg/m3,2020-02-14 13:00:00 +01:00
38,IT,STA.IT0957A,O3,76.0,µg/m3,2020-02-14 14:00:00 +01:00
39,IT,STA.IT0957A,O3,76.0,µg/m3,2020-02-14 15:00:00 +01:00
40,IT,STA.IT0957A,O3,74.0,µg/m3,2020-02-14 16:00:00 +01:00
41,IT,STA.IT0957A,O3,66.0,µg/m3,2020-02-14 17:00:00 +01:00
42,IT,STA.IT0957A,O3,62.0,µg/m3,2020-02-14 18:00:00 +01:00
43,IT,STA.IT0957A,O3,56.0,µg/m3,2020-02-14 19:00:00 +01:00
44,IT,STA.IT0957A,O3,42.0,µg/m3,2020-02-14 20:00:00 +01:00
45,IT,STA.IT0957A,O3,27.0,µg/m3,2020-02-14 21:00:00 +01:00
46,IT,STA.IT0957A,O3,12.0,µg/m3,2020-02-14 22:00:00 +01:00
47,IT,STA.IT0957A,O3,1.0,µg/m3,2020-02-14 23:00:00 +01:00
48,IT,STA.IT0957A,O3,3.0,µg/m3,2020-02-15 00:00:00 +01:00
49,IT,STA.IT0957A,O3,0.0,µg/m3,2020-02-15 01:00:00 +01:00
50,IT,STA.IT0957A,O3,0.0,µg/m3,2020-02-15 02:00:00 +01:00
