,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
0,AT,STA.09.STEF,O3,31.681,µg/m3,2019-01-01 09:00:00 +01:00
1,AT,STA.09.STEF,O3,46.192,µg/m3,2019-01-01 10:00:00 +01:00
2,AT,STA.09.STEF,O3,52.884,µg/m3,2019-01-01 11:00:00 +01:00
4,AT,STA.09.STEF,O3,55.867,µg/m3,2019-01-01 13:00:00 +01:00
5,AT,STA.09.STEF,O3,56.313,µg/m3,2019-01-01 14:00:00 +01:00
6,AT,STA.09.STEF,O3,56.22,µg/m3,2019-01-01 15:00:00 +01:00
7,AT,STA.09.STEF,O3,58.816,µg/m3,2019-01-01 16:00:00 +01:00
8,AT,STA.09.STEF,O3,55.879,µg/m3,2019-01-01 17:00:00 +01:00
9,AT,STA.09.STEF,O3,53.963,µg/m3,2019-01-01 18:00:00 +01:00
10,AT,STA.09.STEF,O3,52.05,µg/m3,2019-01-01 19:00:00 +01:00
11,AT,STA.09.STEF,O3,50.001,µg/m3,2019-01-01 20:00:00 +01:00
12,AT,STA.09.STEF,O3,46.74,µg/m3,2019-01-01 21:00:00 +01:00
13,AT,STA.09.STEF,O3,45.223,µg/m3,2019-01-01 22:00:00 +01:00
14,AT,STA.09.STEF,O3,60.741,µg/m3,2019-01-01 23:00:00 +01:00
15,AT,STA.09.STEF,O3,70.95,µg/m3,2019-01-02 00:00:00 +01:00
16,AT,STA.09.STEF,O3,70.844,µg/m3,2019-01-02 01:00:00 +01:00
17,AT,STA.09.STEF,O3,72.73,µg/m3,2019-01-02 02:00:00 +01:00
18,AT,STA.09.STEF,O3,70.334,µg/m3,2019-01-02 03:00:00 +01:00
19,AT,STA.09.STEF,O3,73.319,µg/m3,2019-01-02 04:00:00 +01:00
20,AT,STA.09.STEF,O3,73.988,µg/m3,2019-01-02 05:00:00 +01:00
21,AT,STA.09.STEF,O3,70.939,µg/m3,2019-01-02 06:00:00 +01:00
22,AT,STA.09.STEF,O3,63.533,µg/m3,2019-01-02 07:00:00 +01:00
23,AT,STA.09.STEF,O3,59.965,µg/m3,2019-01-02 08:00:00 +01:00
24,AT,STA.09.STEF,O3,57.139,µg/m3,2019-01-02 09:00:00 +01:00
25,AT,STA.09.STEF,O3,62.301,µg/m3,2019-01-02 10:00:00 +01:00
27,AT,STA.09.STEF,O3,65.456,µg/m3,2019-01-02 12:00:00 +01:00
28,AT,STA.09.STEF,O3,63.913,µg/m3,2019-01-02 13:00:00 +01:00
29,AT,STA.09.STEF,O3,62.956,µg/m3,2019-01-02 14:00:00 +01:00
30,AT,STA.09.STEF,O3,61.856,µg/m3,2019-01-02 15:00:00 +01:00
31,AT,STA.09.STEF,O3,62.202,µg/m3,2019-01-02 16:00:00 +01:00
32,AT,STA.09.STEF,O3,61.607,µg/m3,2019-01-02 17:00:00 +01:00
33,AT,STA.09.STEF,O3,58.944,µg/m3,2019-01-02 18:00:00 +01:00
34,AT,STA.09.STEF,O3,60.945,µg/m3,2019-01-02 19:00:00 +01:00
35,AT,STA.09.STEF,O3,62.991,µg/m3,2019-01-02 20:00:00 +01:00
36,AT,STA.09.STEF,O3,62.59,µg/m3,2019-01-02 21:00:00 +01:00
37,AT,STA.09.STEF,O3,63.455,µg/m3,2019-01-02 22:00:00 +01:00
38,AT,STA.09.STEF,O3,63.861,µg/m3,2019-01-02 23:00:00 +01:00
39,AT,STA.09.STEF,O3,65.147,µg/m3,2019-01-03 00:00:00 +01:00
40,AT,STA.09.STEF,O3,67.671,µg/m3,2019-01-03 01:00:00 +01:00
41,AT,STA.09.STEF,O3,69.916,µg/m3,2019-01-03 02:00:00 +01:00
42,AT,STA.09.STEF,O3,68.939,µg/m3,2019-01-03 03:00:00 +01:00
43,AT,STA.09.STEF,O3,66.536,µg/m3,2019-01-03 04:00:00 +01:00
44,AT,STA.09.STEF,O3,66.912,µg/m3,2019-01-03 05:00:00 +01:00
45,AT,STA.09.STEF,O3,47.936,µg/m3,2019-01-03 06:00:00 +01:00
46,AT,STA.09.STEF,O3,33.165,µg/m3,2019-01-03 07:00:00 +01:00
47,AT,STA.09.STEF,O3,53.495,µg/m3,2019-01-03 08:00:00 +01:00
48,AT,STA.09.STEF,O3,20.822,µg/m3,2019-01-01 01:00:00 +01:00
49,AT,STA.09.STEF,O3,24.477,µg/m3,2019-01-01 02:00:00 +01:00
50,AT,STA.09.STEF,O3,27.241,µg/m3,2019-01-01 03:00:00 +01:00
51,AT,STA.09.STEF,O3,16.315,µg/m3,2019-01-01 04:00:00 +01:00
52,AT,STA.09.STEF,O3,11.771,µg/m3,2019-01-01 05:00:00 +01:00
53,AT,STA.09.STEF,O3,7.135,µg/m3,2019-01-01 06:00:00 +01:00
54,AT,STA.09.STEF,O3,12.165,µg/m3,2019-01-01 07:00:00 +01:00
55,AT,STA.09.STEF,O3,18.602,µg/m3,2019-01-01 08:00:00 +01:00
57,AT,STA.09.STEF,O3,62.894,µg/m3,2019-01-03 11:00:00 +01:00
58,AT,STA.09.STEF,O3,58.554,µg/m3,2019-01-03 12:00:00 +01:00
59,AT,STA.09.STEF,O3,65.857,µg/m3,2019-01-03 13:00:00 +01:00
60,AT,STA.09.STEF,O3,63.45,µg/m3,2019-01-03 14:00:00 +01:00
61,AT,STA.09.STEF,O3,60.218,µg/m3,2019-01-03 15:00:00 +01:00
62,AT,STA.09.STEF,O3,60.354,µg/m3,2019-01-03 16:00:00 +01:00
63,AT,STA.09.STEF,O3,65.289,µg/m3,2019-01-03 17:00:00 +01:00
64,AT,STA.09.STEF,O3,62.476,µg/m3,2019-01-03 09:00:00 +01:00
65,AT,STA.09.STEF,O3,66.074,µg/m3,2019-01-03 18:00:00 +01:00
66,AT,STA.09.STEF,O3,65.938,µg/m3,2019-01-03 20:00:00 +01:00
67,AT,STA.09.STEF,O3,65.081,µg/m3,2019-01-03 21:00:00 +01:00
68,AT,STA.09.STEF,O3,66.316,µg/m3,2019-01-03 22:00:00 +01:00
69,AT,STA.09.STEF,O3,67.624,µg/m3,2019-01-03 23:00:00 +01:00
70,AT,STA.09.STEF,O3,67.809,µg/m3,2019-01-04 00:00:00 +01:00
71,AT,STA.09.STEF,O3,67.281,µg/m3,2019-01-04 01:00:00 +01:00
72,AT,STA.09.STEF,O3,64.959,µg/m3,2019-01-04 02:00:00 +01:00
73,AT,STA.09.STEF,O3,65.164,µg/m3,2019-01-04 03:00:00 +01:00
74,AT,STA.09.STEF,O3,63.091,µg/m3,2019-01-04 04:00:00 +01:00
75,AT,STA.09.STEF,O3,63.649,µg/m3,2019-01-04 05:00:00 +01:00
76,AT,STA.09.STEF,O3,56.97,µg/m3,2019-01-04 06:00:00 +01:00
77,AT,STA.09.STEF,O3,66.045,µg/m3,2019-01-03 19:00:00 +01:00
78,AT,STA.09.STEF,O3,51.164,µg/m3,2019-01-04 07:00:00 +01:00
79,AT,STA.09.STEF,O3,46.113,µg/m3,2019-01-04 08:00:00 +01:00
81,AT,STA.09.STEF,O3,55.869,µg/m3,2019-01-04 10:00:00 +01:00
82,AT,STA.09.STEF,O3,58.954,µg/m3,2019-01-04 11:00:00 +01:00
83,AT,STA.09.STEF,O3,61.739,µg/m3,2019-01-04 12:00:00 +01:00
84,AT,STA.09.STEF,O3,57.995,µg/m3,2019-01-04 13:00:00 +01:00
85,AT,STA.09.STEF,O3,52.687,µg/m3,2019-01-04 14:00:00 +01:00
86,AT,STA.09.STEF,O3,45.214,µg/m3,2019-01-04 15:00:00 +01:00
87,AT,STA.09.STEF,O3,34.256,µg/m3,2019-01-04 16:00:00 +01:00
