Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
AT,STA.09.LOB,O3,47.004,µg/m3,2020-01-01 00:00:00 +01:00
AT,STA.09.LOB,O3,53.488,µg/m3,2020-01-01 01:00:00 +01:00
AT,STA.09.LOB,O3,53.95,µg/m3,2020-01-01 02:00:00 +01:00
AT,STA.09.LOB,O3,55.307,µg/m3,2020-01-01 03:00:00 +01:00
AT,STA.09.LOB,O3,53.907,µg/m3,2020-01-01 04:00:00 +01:00
AT,STA.09.LOB,O3,56.542,µg/m3,2020-01-01 05:00:00 +01:00
AT,STA.09.LOB,O3,53.69300000000001,µg/m3,2020-01-01 07:00:00 +01:00
AT,STA.09.LOB,O3,55.497,µg/m3,2020-01-01 08:00:00 +01:00
AT,STA.09.LOB,O3,56.307,µg/m3,2020-01-01 09:00:00 +01:00
AT,STA.09.LOB,O3,57.737,µg/m3,2020-01-01 10:00:00 +01:00
AT,STA.09.LOB,O3,65.937,µg/m3,2020-01-01 11:00:00 +01:00
AT,STA.09.LOB,O3,66.742,µg/m3,2020-01-01 12:00:00 +01:00
AT,STA.09.LOB,O3,68.204,µg/m3,2020-01-01 13:00:00 +01:00
AT,STA.09.LOB,O3,68.755,µg/m3,2020-01-01 14:00:00 +01:00
AT,STA.09.LOB,O3,64.767,µg/m3,2020-01-01 15:00:00 +01:00
AT,STA.09.LOB,O3,59.894,µg/m3,2020-01-01 16:00:00 +01:00
AT,STA.09.LOB,O3,44.32100000000001,µg/m3,2020-01-01 17:00:00 +01:00
AT,STA.09.LOB,O3,34.719,µg/m3,2020-01-01 18:00:00 +01:00
AT,STA.09.LOB,O3,9.96,µg/m3,2020-01-01 20:00:00 +01:00
AT,STA.09.LOB,O3,3.678,µg/m3,2020-01-01 21:00:00 +01:00
AT,STA.09.LOB,O3,2.567,µg/m3,2020-01-01 22:00:00 +01:00
AT,STA.09.LOB,O3,2.248,µg/m3,2020-01-01 23:00:00 +01:00
AT,STA.09.LOB,O3,2.3680000000000003,µg/m3,2020-01-02 00:00:00 +01:00
AT,STA.09.LOB,O3,2.61,µg/m3,2020-01-02 01:00:00 +01:00
AT,STA.09.LOB,O3,2.138,µg/m3,2020-01-02 02:00:00 +01:00
AT,STA.09.LOB,O3,2.264,µg/m3,2020-01-02 03:00:00 +01:00
AT,STA.09.LOB,O3,1.896,µg/m3,2020-01-02 04:00:00 +01:00
AT,STA.09.LOB,O3,2.222,µg/m3,2020-01-02 06:00:00 +01:00
AT,STA.09.LOB,O3,22.406,µg/m3,2020-01-01 19:00:00 +01:00
AT,STA.09.LOB,O3,2.421,µg/m3,2020-01-02 07:00:00 +01:00
AT,STA.09.LOB,O3,3.144,µg/m3,2020-01-02 08:00:00 +01:00
AT,STA.09.LOB,O3,7.812,µg/m3,2020-01-02 09:00:00 +01:00
AT,STA.09.LOB,O3,16.673,µg/m3,2020-01-02 10:00:00 +01:00
AT,STA.09.LOB,O3,26.757,µg/m3,2020-01-02 11:00:00 +01:00
AT,STA.09.LOB,O3,34.384,µg/m3,2020-01-02 12:00:00 +01:00
AT,STA.09.LOB,O3,32.102,µg/m3,2020-01-02 13:00:00 +01:00
AT,STA.09.LOB,O3,22.039,µg/m3,2020-01-02 14:00:00 +01:00
AT,STA.09.LOB,O3,14.865,µg/m3,2020-01-02 15:00:00 +01:00
AT,STA.09.LOB,O3,9.864,µg/m3,2020-01-02 16:00:00 +01:00
AT,STA.09.LOB,O3,7.417000000000002,µg/m3,2020-01-02 17:00:00 +01:00
AT,STA.09.LOB,O3,9.582,µg/m3,2020-01-02 18:00:00 +01:00
AT,STA.09.LOB,O3,6.562,µg/m3,2020-01-02 20:00:00 +01:00
AT,STA.09.LOB,O3,11.623,µg/m3,2020-01-02 21:00:00 +01:00
AT,STA.09.LOB,O3,6.827000000000001,µg/m3,2020-01-02 22:00:00 +01:00
AT,STA.09.LOB,O3,3.162,µg/m3,2020-01-02 23:00:00 +01:00
AT,STA.09.LOB,O3,2.539,µg/m3,2020-01-03 00:00:00 +01:00
AT,STA.09.LOB,O3,1.968,µg/m3,2020-01-03 01:00:00 +01:00
AT,STA.09.LOB,O3,1.872,µg/m3,2020-01-03 02:00:00 +01:00
AT,STA.09.LOB,O3,8.047,µg/m3,2020-01-03 03:00:00 +01:00
AT,STA.09.LOB,O3,2.4,µg/m3,2020-01-03 05:00:00 +01:00
AT,STA.09.LOB,O3,4.475,µg/m3,2020-01-03 06:00:00 +01:00
AT,STA.09.LOB,O3,11.554,µg/m3,2020-01-02 19:00:00 +01:00
