country iso code,city_name,station_european_code,type_of_station,station_type_of_area,component_caption,statistic_value (µg/m3),above_AQG?
AT,Graz,AT60138,Background,suburban,NO2,22.9,0
AT,Graz,AT60139,Background,suburban,NO2,28.2,0
AT,Graz,AT60164,Traffic,urban,NO2,48.0,1
AT,Graz,AT60170,Background,urban,NO2,31.6,0
AT,Graz,AT60171,Traffic,urban,NO2,29.1,0
AT,Graz,AT60172,Background,urban,NO2,32.6,0
AT,Innsbruck,AT72106,Traffic,urban,NO2,35.9,0
AT,Innsbruck,AT72110,Traffic,urban,NO2,41.2,1
AT,Innsbruck,AT72113,Background,suburban,NO2,22.6,0
AT,Klagenfurt,AT2KA21,Traffic,urban,NO2,33.8,0
AT,Klagenfurt,AT2KA61,Traffic,suburban,NO2,45.0,1
AT,Klagenfurt,AT2KA71,Background,urban,NO2,25.1,0
AT,Linz,AT4S184,Background,urban,NO2,26.6,0
AT,Linz,AT4S412,Background,suburban,NO2,26.3,0
AT,Linz,AT4S415,Traffic,urban,NO2,30.9,0
AT,Linz,AT4S416,Background,urban,NO2,29.0,0
AT,Linz,AT4S431,Traffic,urban,NO2,45.0,1
AT,Salzburg,AT51000,Traffic,urban,NO2,52.3,1
AT,Salzburg,AT51066,Traffic,urban,NO2,32.3,0
AT,Salzburg,AT51200,Background,urban,NO2,25.2,0
AT,Wien,AT900ZA,Background,urban,NO2,20.5,0
AT,Wien,AT90AKC,Traffic,urban,NO2,25.4,0
AT,Wien,AT90FLO,Traffic,urban,NO2,27.0,0
AT,Wien,AT90LAA,Background,urban,NO2,28.6,0
AT,Wien,AT90LOB,Background,suburban,NO2,14.8,0
AT,Wien,AT90MBA,Traffic,urban,NO2,50.9,1
AT,Wien,AT90TAB,Traffic,urban,NO2,37.3,0
AT,Wien,AT9BELG,Traffic,urban,NO2,31.6,0
AT,Wien,AT9GAUD,Traffic,urban,NO2,30.8,0
AT,Wien,AT9JAEG,Background,suburban,NO2,11.6,0
AT,Wien,AT9KEND,Traffic,urban,NO2,24.4,0
AT,Wien,AT9LIES,Traffic,suburban,NO2,27.1,0
AT,Wien,AT9RINN,Traffic,urban,NO2,40.4,0
AT,Wien,AT9SCHA,Background,suburban,NO2,15.9,0
AT,Wien,AT9STAD,Background,urban,NO2,27.3,0
AT,Wien,AT9STEF,Background,urban,NO2,26.5,0
BE,Antwerpen,BELHB23,Background,suburban,NO2,28.4,0
BE,Antwerpen,BETR801,Traffic,urban,NO2,42.8,1
BE,Antwerpen,BETR802,Traffic,urban,NO2,49.4,1
BE,Bruxelles / Brussel,BETB004,Traffic,urban,NO2,36.3,0
BE,Bruxelles / Brussel,BETB006,Background,urban,NO2,36.5,0
BE,Bruxelles / Brussel,BETB008,Traffic,urban,NO2,62.6,1
BE,Bruxelles / Brussel,BETB011,Background,suburban,NO2,26.6,0
BE,Bruxelles / Brussel,BETMEU1,Background,suburban,NO2,31.7,0
BE,Bruxelles / Brussel,BETR001,Traffic,urban,NO2,42.1,1
BE,Bruxelles / Brussel,BETR002,Traffic,suburban,NO2,49.5,1
BE,Bruxelles / Brussel,BETR012,Background,suburban,NO2,26.3,0
BE,Bruxelles / Brussel,BETWOL1,Traffic,suburban,NO2,39.8,0
BE,Charleroi,BETR501,Traffic,urban,NO2,35.8,0
BE,Charleroi,BETR502,Background,suburban,NO2,26.9,0
BE,Gent,BETR701,Background,urban,NO2,31.5,0
BE,Liège,BETR221,Background,urban,NO2,29.2,0
BE,Liège,BETR222,Background,suburban,NO2,28.4,0
BE,Mons,BETN070,Background,suburban,NO2,29.2,0
BG,Blagoevgrad,BG0058A,Background,suburban,NO2,17.8,0
BG,Burgas,BG0044A,Background,suburban,NO2,11.8,0
BG,Burgas,BG0056A,Background,suburban,NO2,14.6,0
BG,Pernik,BG0049A,Traffic,suburban,NO2,32.2,0
BG,Pleven,BG0019A,Background,urban,NO2,31.2,0
BG,Plovdiv,BG0051A,Background,urban,NO2,25.7,0
BG,Plovdiv,BG0072A,Traffic,urban,NO2,51.6,1
BG,Ruse,BG0045A,Background,suburban,NO2,18.1,0
BG,Shumen,BG0038A,Background,urban,NO2,18.1,0
BG,Sofia,BG0040A,Background,suburban,NO2,23.7,0
BG,Sofia,BG0050A,Background,suburban,NO2,28.9,0
BG,Sofia,BG0052A,Background,suburban,NO2,22.6,0
BG,Sofia,BG0054A,Traffic,urban,NO2,39.3,0
BG,Sofia,BG0073A,Traffic,urban,NO2,32.6,0
BG,Stara Zagora,BG0055A,Traffic,urban,NO2,16.3,0
BG,Varna,BG0074A,Background,urban,NO2,24.4,0
BG,Varna,BG0075A,background,urban,NO2,4.4,0
BG,Vratsa,BG0043A,Background,urban,NO2,20.0,0
CH,Basel,CH0017A,Background,urban,NO2,26.3,0
CH,Basel,CH0029A,Traffic,urban,NO2,57.6,1
CH,Bern,CH0020A,Traffic,urban,NO2,27.5,0
CH,Bern,CH0031A,Traffic,urban,NO2,43.1,1
CH,Genève,CH0048A,Traffic,urban,NO2,37.1,0
CH,Genève,CH0049A,Background,urban,NO2,36.1,0
CH,Lausanne,CH0028A,Traffic,urban,NO2,42.5,1
CH,Lugano,CH0011A,Background,urban,NO2,31.5,0
CH,Lugano,CH0043A,Background,suburban,NO2,27.1,0
CH,St. Gallen,CH0042A,Traffic,urban,NO2,31.4,0
CH,Winterthur,CH0014A,Background,urban,NO2,24.6,0
CH,Zürich,CH0010A,Background,urban,NO2,31.0,0
CH,Zürich,CH0013A,Traffic,urban,NO2,33.8,0
CH,Zürich,CH0021A,Traffic,urban,NO2,43.8,1
CY,Lefkosia,CY0004A,Traffic,urban,NO2,30.0,0
CZ,Brno,CZ0BBNV,Traffic,urban,NO2,44.9,1
CZ,Brno,CZ0BBNY,Background,suburban,NO2,17.4,0
CZ,Ceské Budejovice,CZ0CCBD,Background,urban,NO2,15.6,0
CZ,Hradec Králové,CZ0HHKB,Traffic,urban,NO2,23.7,0
CZ,Jihlava,CZ0JJIH,Background,urban,NO2,14.8,0
CZ,Karviná,CZ0TKAR,Background,urban,NO2,24.0,0
CZ,Kladno,CZ0SKLM,Background,urban,NO2,19.6,0
CZ,Kladno,CZ0SKLS,Background,urban,NO2,19.8,0
CZ,Liberec,CZ0LLIM,Background,urban,NO2,22.9,0
CZ,Most,CZ0UMOM,Background,urban,NO2,21.5,0
CZ,Olomouc,CZ0MOLJ,Background,urban,NO2,22.4,0
CZ,Ostrava,CZ0TOCB,Traffic,urban,NO2,41.4,1
CZ,Ostrava,CZ0TOFF,Background,urban,NO2,24.2,0
CZ,Ostrava,CZ0TOPO,Background,suburban,NO2,19.2,0
