country iso code,city_name,station_european_code,type_of_station,station_type_of_area,component_caption,statistic_value (µg/m3),above_AQG?
AT,Klagenfurt,AT2KA41,Background,suburban,O3,140.1,1
AT,Klagenfurt,AT2KA71,Background,urban,O3,138.3,1
AT,Linz,AT4S416,Background,urban,O3,148.6,1
AT,Salzburg,AT51066,Traffic,urban,O3,148.9,1
AT,Salzburg,AT51200,Background,urban,O3,154.6,1
AT,Graz,AT60018,Background,urban,O3,155.8,1
AT,Graz,AT60036,Background,suburban,O3,148.6,1
AT,Graz,AT60138,Background,suburban,O3,152.9,1
AT,Graz,AT60170,Background,urban,O3,152.2,1
AT,Innsbruck,AT72106,Traffic,urban,O3,132.9,1
AT,Innsbruck,AT72113,Background,suburban,O3,151.2,1
AT,Wien,AT900ZA,Background,urban,O3,163.2,1
AT,Wien,AT90LAA,Background,urban,O3,165.5,1
AT,Wien,AT90LOB,Background,suburban,O3,171.5,1
AT,Wien,AT9JAEG,Background,suburban,O3,179.8,1
AT,Wien,AT9STEF,Background,urban,O3,145.0,1
BE,Bruxelles / Brussel,BETB004,Traffic,urban,O3,198.7,1
BE,Bruxelles / Brussel,BETB006,Background,urban,O3,172.3,1
BE,Bruxelles / Brussel,BETB011,Background,suburban,O3,199.9,1
BE,Mons,BETN070,Background,suburban,O3,153.3,1
BE,Bruxelles / Brussel,BETR001,Traffic,urban,O3,168.9,1
BE,Bruxelles / Brussel,BETR012,Background,suburban,O3,188.5,1
BE,Liège,BETR221,Background,urban,O3,167.5,1
BE,Liège,BETR222,Background,suburban,O3,173.0,1
BE,Charleroi,BETR502,Background,suburban,O3,185.1,1
BE,Gent,BETR701,Background,urban,O3,150.3,1
BE,Antwerpen,BETR801,Traffic,urban,O3,173.9,1
BE,Bruxelles / Brussel,BETWOL1,Traffic,suburban,O3,179.4,1
BG,Shumen,BG0038A,Background,urban,O3,136.6,1
BG,Sofia,BG0040A,Background,suburban,O3,129.8,1
BG,Vratsa,BG0043A,Background,urban,O3,127.6,1
BG,Burgas,BG0044A,Background,suburban,O3,159.2,1
BG,Ruse,BG0045A,Background,suburban,O3,113.1,1
BG,Sofia,BG0050A,Background,suburban,O3,122.9,1
BG,Plovdiv,BG0051A,Background,urban,O3,150.4,1
