country iso code,city_name,station_european_code,type_of_station,station_type_of_area,component_caption,statistic_value (µg/m3),above_AQG?
AT,Klagenfurt,AT2KA21,Traffic,urban,PM2.5,15.0,1
AT,Klagenfurt,AT2KA71,Background,urban,PM2.5,12.6,1
AT,Linz,AT4S184,Background,urban,PM2.5,17.4,1
AT,Linz,AT4S416,Background,urban,PM2.5,18.6,1
AT,Linz,AT4S431,Traffic,urban,PM2.5,16.2,1
AT,Salzburg,AT51000,Traffic,urban,PM2.5,17.3,1
AT,Salzburg,AT51200,Background,urban,PM2.5,14.7,1
AT,Graz,AT60138,Background,suburban,PM2.5,16.9,1
AT,Graz,AT60170,Background,urban,PM2.5,20.7,1
AT,Innsbruck,AT72110,Traffic,urban,PM2.5,14.4,1
AT,Wien,AT90AKC,Traffic,urban,PM2.5,17.8,1
AT,Wien,AT90LOB,Background,suburban,PM2.5,15.2,1
AT,Wien,AT90TAB,Traffic,urban,PM2.5,19.5,1
AT,Wien,AT9KEND,Traffic,urban,PM2.5,17.8,1
AT,Wien,AT9RINN,Traffic,urban,PM2.5,18.7,1
AT,Wien,AT9STAD,Background,urban,PM2.5,18.9,1
BE,Brugge,BEGBB15,Background,urban,PM2.5,16.7,1
BE,Gent,BEGR701,Background,urban,PM2.5,18.9,1
BE,Antwerpen,BEGR801,Background,urban,PM2.5,17.8,1
BE,Bruxelles / Brussel,BETB011,Background,suburban,PM2.5,17.7,1
BE,Liège,BETH201,Background,suburban,PM2.5,14.4,1
BE,Liège,BETM204,Background,suburban,PM2.5,14.8,1
BE,Bruxelles / Brussel,BETMEU1,Background,suburban,PM2.5,15.4,1
BE,Mons,BETN070,Background,suburban,PM2.5,15.6,1
BE,Bruxelles / Brussel,BETR001,Traffic,urban,PM2.5,20.4,1
BE,Bruxelles / Brussel,BETR012,Background,suburban,PM2.5,19.3,1
BE,Liège,BETR221,Background,urban,PM2.5,13.4,1
BE,Liège,BETR222,Background,suburban,PM2.5,14.3,1
BE,Charleroi,BETR501,Traffic,urban,PM2.5,15.6,1
BE,Charleroi,BETR502,Background,suburban,PM2.5,14.6,1
BE,Charleroi,BETR511,Background,suburban,PM2.5,14.5,1
BE,Gent,BETR701,Background,urban,PM2.5,19.0,1
BE,Antwerpen,BETR801,Traffic,urban,PM2.5,15.2,1
BE,Antwerpen,BETR802,Traffic,urban,PM2.5,18.9,1
BG,Veliko Tarnovo,BG0020A,Background,suburban,PM2.5,25.8,1
BG,Stara Zagora,BG0039A,Background,urban,PM2.5,13.2,1
BG,Pernik,BG0046A,Background,suburban,PM2.5,31.3,1
BG,Sofia,BG0050A,Background,suburban,PM2.5,30.5,1
BG,Plovdiv,BG0051A,Background,urban,PM2.5,34.4,1
BG,Varna,BG0075A,background,urban,PM2.5,7.8,0
CY,Lemesos,CY0005A,Background,urban,PM2.5,17.1,1
CY,Lefkosia,CY0006A,Background,urban,PM2.5,17.0,1
CZ,Praha,CZ0ALEG,Traffic,urban,PM2.5,26.1,1
CZ,Praha,CZ0ALIB,Background,suburban,PM2.5,19.6,1
CZ,Praha,CZ0ARIE,Background,urban,PM2.5,16.9,1
CZ,Praha,CZ0ASMI,Traffic,urban,PM2.5,14.1,1
CZ,Praha,CZ0ASTO,Background,urban,PM2.5,16.4,1
CZ,Brno,CZ0BBNI,Background,urban,PM2.5,18.8,1
CZ,Brno,CZ0BBNY,Background,suburban,PM2.5,21.1,1
CZ,Ceské Budejovice,CZ0CCBD,Background,urban,PM2.5,18.3,1
CZ,Pardubice,CZ0EPAU,Background,urban,PM2.5,22.2,1
CZ,Hradec Králové,CZ0HHKB,Traffic,urban,PM2.5,21.9,1
CZ,Hradec Králové,CZ0HHKT,Background,urban,PM2.5,20.9,1
CZ,Jihlava,CZ0JJIH,Background,urban,PM2.5,16.6,1
CZ,Liberec,CZ0LLIM,Background,urban,PM2.5,21.8,1
CZ,Olomouc,CZ0MOLJ,Background,urban,PM2.5,24.6,1
CZ,Plzen,CZ0PPLA,Traffic,urban,PM2.5,21.3,1
CZ,Plzen,CZ0PPLB,Background,urban,PM2.5,21.9,1
CZ,Plzen,CZ0PPLE,Traffic,urban,PM2.5,20.4,1
CZ,Plzen,CZ0PPLL,Background,urban,PM2.5,21.1,1
CZ,Plzen,CZ0PPLS,Background,suburban,PM2.5,20.7,1
CZ,Kladno,CZ0SKLM,Background,urban,PM2.5,12.4,1
CZ,Ostrava,CZ0TOPO,Background,suburban,PM2.5,28.5,1
CZ,Ostrava,CZ0TOZR,Background,urban,PM2.5,33.9,1
CZ,Most,CZ0UMOM,Background,urban,PM2.5,21.8,1
CZ,Ústí nad Labem,CZ0UULK,Background,suburban,PM2.5,18.1,1
CZ,Zlín,CZ0ZZLN,Background,suburban,PM2.5,21.7,1
