,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
0,NL,STA-NL00014,PM10,18.1,µg/m3,2013-01-13 07:00:00 +01:00
1,NL,STA-NL00014,PM10,26.0,µg/m3,2013-01-14 13:00:00 +01:00
2,NL,STA-NL00014,PM10,18.9,µg/m3,2013-01-14 06:00:00 +01:00
3,NL,STA-NL00014,PM10,25.9,µg/m3,2013-01-14 07:00:00 +01:00
4,NL,STA-NL00014,PM10,17.9,µg/m3,2013-01-13 04:00:00 +01:00
5,NL,STA-NL00014,PM10,30.2,µg/m3,2013-01-15 00:00:00 +01:00
6,NL,STA-NL00014,PM10,26.0,µg/m3,2013-01-15 14:00:00 +01:00
7,NL,STA-NL00014,PM10,31.0,µg/m3,2013-01-15 13:00:00 +01:00
8,NL,STA-NL00014,PM10,28.7,µg/m3,2013-01-14 23:00:00 +01:00
9,NL,STA-NL00014,PM10,21.6,µg/m3,2013-01-13 08:00:00 +01:00
10,NL,STA-NL00014,PM10,15.8,µg/m3,2013-01-13 20:00:00 +01:00
11,NL,STA-NL00014,PM10,19.0,µg/m3,2013-01-12 23:00:00 +01:00
12,NL,STA-NL00014,PM10,19.0,µg/m3,2013-01-13 19:00:00 +01:00
13,NL,STA-NL00014,PM10,26.4,µg/m3,2013-01-14 15:00:00 +01:00
14,NL,STA-NL00014,PM10,27.0,µg/m3,2013-01-15 22:00:00 +01:00
15,NL,STA-NL00014,PM10,15.9,µg/m3,2013-01-09 07:00:00 +01:00
16,NL,STA-NL00014,PM10,28.3,µg/m3,2013-01-08 18:00:00 +01:00
17,NL,STA-NL00014,PM10,18.2,µg/m3,2013-01-10 07:00:00 +01:00
18,NL,STA-NL00014,PM10,15.9,µg/m3,2013-01-09 15:00:00 +01:00
19,NL,STA-NL00014,PM10,19.2,µg/m3,2013-01-09 03:00:00 +01:00
20,NL,STA-NL00014,PM10,10.1,µg/m3,2013-01-10 23:00:00 +01:00
21,NL,STA-NL00014,PM10,16.8,µg/m3,2013-01-10 14:00:00 +01:00
22,NL,STA-NL00014,PM10,13.9,µg/m3,2013-01-09 23:00:00 +01:00
23,NL,STA-NL00014,PM10,19.9,µg/m3,2013-01-10 09:00:00 +01:00
24,NL,STA-NL00014,PM10,19.2,µg/m3,2013-01-12 22:00:00 +01:00
25,NL,STA-NL00014,PM10,21.3,µg/m3,2013-01-12 00:00:00 +01:00
26,NL,STA-NL00014,PM10,17.6,µg/m3,2013-01-13 01:00:00 +01:00
27,NL,STA-NL00014,PM10,16.1,µg/m3,2013-01-11 11:00:00 +01:00
28,NL,STA-NL00014,PM10,8.6,µg/m3,2013-01-11 05:00:00 +01:00
29,NL,STA-NL00014,PM10,12.2,µg/m3,2013-01-11 19:00:00 +01:00
30,NL,STA-NL00014,PM10,8.8,µg/m3,2013-01-11 04:00:00 +01:00
31,NL,STA-NL00014,PM10,13.7,µg/m3,2013-01-11 00:00:00 +01:00
32,NL,STA-NL00014,PM10,29.1,µg/m3,2013-01-08 20:00:00 +01:00
33,NL,STA-NL00014,PM10,18.4,µg/m3,2013-01-08 03:00:00 +01:00
