,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
0,DE,STA.DE_DEBE069,PM10,750.62,µg/m3,2020-01-01 00:00:00 +01:00
1,DE,STA.DE_DEBE069,PM10,234.43,µg/m3,2020-01-01 01:00:00 +01:00
2,DE,STA.DE_DEBE069,PM10,113.35,µg/m3,2020-01-01 02:00:00 +01:00
3,DE,STA.DE_DEBE069,PM10,77.69,µg/m3,2020-01-01 03:00:00 +01:00
4,DE,STA.DE_DEBE069,PM10,43.19,µg/m3,2020-01-01 04:00:00 +01:00
5,DE,STA.DE_DEBE069,PM10,29.84,µg/m3,2020-01-01 05:00:00 +01:00
6,DE,STA.DE_DEBE069,PM10,27.22,µg/m3,2020-01-01 06:00:00 +01:00
7,DE,STA.DE_DEBE069,PM10,25.78,µg/m3,2020-01-01 07:00:00 +01:00
8,DE,STA.DE_DEBE069,PM10,29.02,µg/m3,2020-01-01 08:00:00 +01:00
9,DE,STA.DE_DEBE069,PM10,31.68,µg/m3,2020-01-01 09:00:00 +01:00
10,DE,STA.DE_DEBE069,PM10,29.43,µg/m3,2020-01-01 10:00:00 +01:00
11,DE,STA.DE_DEBE069,PM10,30.52,µg/m3,2020-01-01 11:00:00 +01:00
12,DE,STA.DE_DEBE069,PM10,29.37,µg/m3,2020-01-01 12:00:00 +01:00
13,DE,STA.DE_DEBE069,PM10,25.41,µg/m3,2020-01-01 13:00:00 +01:00
14,DE,STA.DE_DEBE069,PM10,28.83,µg/m3,2020-01-01 14:00:00 +01:00
15,DE,STA.DE_DEBE069,PM10,36.82,µg/m3,2020-01-01 15:00:00 +01:00
16,DE,STA.DE_DEBE069,PM10,32.32,µg/m3,2020-01-01 16:00:00 +01:00
17,DE,STA.DE_DEBE069,PM10,29.86,µg/m3,2020-01-01 17:00:00 +01:00
18,DE,STA.DE_DEBE069,PM10,35.05,µg/m3,2020-01-01 18:00:00 +01:00
19,DE,STA.DE_DEBE069,PM10,31.36,µg/m3,2020-01-01 19:00:00 +01:00
20,DE,STA.DE_DEBE069,PM10,32.0,µg/m3,2020-01-01 20:00:00 +01:00
21,DE,STA.DE_DEBE069,PM10,31.06,µg/m3,2020-01-01 21:00:00 +01:00
22,DE,STA.DE_DEBE069,PM10,32.37,µg/m3,2020-01-01 22:00:00 +01:00
23,DE,STA.DE_DEBE069,PM10,30.72,µg/m3,2020-01-01 23:00:00 +01:00
