Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
PT,STA-PT03100,PM10,60.5,µg/m3,2018-01-01 11:00:00 +01:00
PT,STA-PT03100,PM10,41.1,µg/m3,2018-01-01 12:00:00 +01:00
PT,STA-PT03100,PM10,21.5,µg/m3,2018-01-01 14:00:00 +01:00
PT,STA-PT03100,PM10,22.0,µg/m3,2018-01-01 16:00:00 +01:00
PT,STA-PT03100,PM10,22.8,µg/m3,2018-01-01 17:00:00 +01:00
PT,STA-PT03100,PM10,23.6,µg/m3,2018-01-01 18:00:00 +01:00
PT,STA-PT03100,PM10,27.0,µg/m3,2018-01-01 19:00:00 +01:00
PT,STA-PT03100,PM10,44.0,µg/m3,2018-01-01 21:00:00 +01:00
PT,STA-PT03100,PM10,58.5,µg/m3,2018-01-01 22:00:00 +01:00
PT,STA-PT03100,PM10,46.7,µg/m3,2018-01-02 00:00:00 +01:00
PT,STA-PT03100,PM10,30.1,µg/m3,2018-01-02 03:00:00 +01:00
PT,STA-PT03100,PM10,24.8,µg/m3,2018-01-02 05:00:00 +01:00
PT,STA-PT03100,PM10,20.1,µg/m3,2018-01-02 07:00:00 +01:00
PT,STA-PT03100,PM10,22.3,µg/m3,2018-01-02 08:00:00 +01:00
PT,STA-PT03100,PM10,46.0,µg/m3,2018-01-02 09:00:00 +01:00
PT,STA-PT03100,PM10,82.4,µg/m3,2018-01-02 10:00:00 +01:00
PT,STA-PT03100,PM10,57.5,µg/m3,2018-01-02 12:00:00 +01:00
PT,STA-PT03100,PM10,36.6,µg/m3,2018-01-02 14:00:00 +01:00
PT,STA-PT03100,PM10,33.6,µg/m3,2018-01-02 18:00:00 +01:00
PT,STA-PT03100,PM10,33.7,µg/m3,2018-01-02 20:00:00 +01:00
PT,STA-PT03100,PM10,31.3,µg/m3,2018-01-02 21:00:00 +01:00
PT,STA-PT03100,PM10,38.5,µg/m3,2018-01-02 23:00:00 +01:00
PT,STA-PT03100,PM10,39.1,µg/m3,2018-01-03 02:00:00 +01:00
PT,STA-PT03100,PM10,37.2,µg/m3,2018-01-03 03:00:00 +01:00
PT,STA-PT03100,PM10,18.0,µg/m3,2018-01-03 05:00:00 +01:00
PT,STA-PT03100,PM10,18.1,µg/m3,2018-01-03 06:00:00 +01:00
PT,STA-PT03100,PM10,20.3,µg/m3,2018-01-03 07:00:00 +01:00
PT,STA-PT03100,PM10,23.1,µg/m3,2018-01-03 08:00:00 +01:00
PT,STA-PT03100,PM10,31.0,µg/m3,2018-01-03 09:00:00 +01:00
PT,STA-PT03100,PM10,32.6,µg/m3,2018-01-03 11:00:00 +01:00
PT,STA-PT03100,PM10,33.7,µg/m3,2018-01-03 12:00:00 +01:00
PT,STA-PT03100,PM10,29.1,µg/m3,2018-01-03 14:00:00 +01:00
PT,STA-PT03100,PM10,27.8,µg/m3,2018-01-03 15:00:00 +01:00
PT,STA-PT03100,PM10,26.3,µg/m3,2018-01-03 16:00:00 +01:00
PT,STA-PT03100,PM10,31.6,µg/m3,2018-01-03 18:00:00 +01:00
PT,STA-PT03100,PM10,33.1,µg/m3,2018-01-03 21:00:00 +01:00
PT,STA-PT03100,PM10,32.0,µg/m3,2018-01-03 22:00:00 +01:00
PT,STA-PT03100,PM10,21.5,µg/m3,2018-01-04 02:00:00 +01:00
PT,STA-PT03100,PM10,21.5,µg/m3,2018-01-04 03:00:00 +01:00
PT,STA-PT03100,PM10,20.1,µg/m3,2018-01-04 07:00:00 +01:00
PT,STA-PT03100,PM10,19.5,µg/m3,2018-01-04 08:00:00 +01:00
PT,STA-PT03100,PM10,30.0,µg/m3,2018-01-04 09:00:00 +01:00
PT,STA-PT03100,PM10,30.8,µg/m3,2018-01-04 10:00:00 +01:00
PT,STA-PT03100,PM10,27.3,µg/m3,2018-01-04 11:00:00 +01:00
PT,STA-PT03100,PM10,24.1,µg/m3,2018-01-04 12:00:00 +01:00
PT,STA-PT03100,PM10,22.8,µg/m3,2018-01-04 13:00:00 +01:00
PT,STA-PT03100,PM10,23.6,µg/m3,2018-01-04 14:00:00 +01:00
PT,STA-PT03100,PM10,21.0,µg/m3,2018-01-04 18:00:00 +01:00
PT,STA-PT03100,PM10,25.6,µg/m3,2018-01-04 20:00:00 +01:00
PT,STA-PT03100,PM10,26.3,µg/m3,2018-01-04 21:00:00 +01:00
PT,STA-PT03100,PM10,21.0,µg/m3,2018-01-04 23:00:00 +01:00
PT,STA-PT03100,PM10,19.8,µg/m3,2018-01-05 00:00:00 +01:00
PT,STA-PT03100,PM10,20.0,µg/m3,2018-01-05 01:00:00 +01:00
PT,STA-PT03100,PM10,18.1,µg/m3,2018-01-05 02:00:00 +01:00
PT,STA-PT03100,PM10,17.0,µg/m3,2018-01-05 03:00:00 +01:00
PT,STA-PT03100,PM10,18.8,µg/m3,2018-01-05 04:00:00 +01:00
