,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
1,PT,STA-PT03082,PM10,15.0,µg/m3,2015-06-25 00:00:00 +01:00
5,PT,STA-PT03082,PM10,9.0,µg/m3,2015-07-20 00:00:00 +01:00
8,PT,STA-PT03082,PM10,15.0,µg/m3,2015-07-06 00:00:00 +01:00
9,PT,STA-PT03082,PM10,9.0,µg/m3,2015-07-02 00:00:00 +01:00
10,PT,STA-PT03082,PM10,24.0,µg/m3,2015-07-08 00:00:00 +01:00
11,PT,STA-PT03082,PM10,13.0,µg/m3,2015-07-07 00:00:00 +01:00
12,PT,STA-PT03082,PM10,19.0,µg/m3,2015-07-13 00:00:00 +01:00
13,PT,STA-PT03082,PM10,20.0,µg/m3,2015-07-14 00:00:00 +01:00
21,PT,STA-PT03082,PM10,13.0,µg/m3,2015-08-05 00:00:00 +01:00
22,PT,STA-PT03082,PM10,14.0,µg/m3,2015-08-06 00:00:00 +01:00
25,PT,STA-PT03082,PM10,14.0,µg/m3,2015-08-03 00:00:00 +01:00
29,PT,STA-PT03082,PM10,20.0,µg/m3,2015-08-20 00:00:00 +01:00
30,PT,STA-PT03082,PM10,28.0,µg/m3,2015-08-19 00:00:00 +01:00
31,PT,STA-PT03082,PM10,21.0,µg/m3,2015-08-18 00:00:00 +01:00
32,PT,STA-PT03082,PM10,15.0,µg/m3,2015-08-11 00:00:00 +01:00
33,PT,STA-PT03082,PM10,29.0,µg/m3,2015-08-10 00:00:00 +01:00
36,PT,STA-PT03082,PM10,8.0,µg/m3,2015-08-13 00:00:00 +01:00
37,PT,STA-PT03082,PM10,19.0,µg/m3,2015-09-02 00:00:00 +01:00
38,PT,STA-PT03082,PM10,18.0,µg/m3,2015-09-01 00:00:00 +01:00
40,PT,STA-PT03082,PM10,27.0,µg/m3,2015-09-07 00:00:00 +01:00
45,PT,STA-PT03082,PM10,11.0,µg/m3,2015-08-25 00:00:00 +01:00
46,PT,STA-PT03082,PM10,19.0,µg/m3,2015-09-08 00:00:00 +01:00
47,PT,STA-PT03082,PM10,18.0,µg/m3,2015-09-10 00:00:00 +01:00
48,PT,STA-PT03082,PM10,18.0,µg/m3,2015-09-09 00:00:00 +01:00
51,PT,STA-PT03082,PM10,19.0,µg/m3,2015-09-15 00:00:00 +01:00
54,PT,STA-PT03082,PM10,14.0,µg/m3,2015-09-17 00:00:00 +01:00
55,PT,STA-PT03082,PM10,22.0,µg/m3,2015-09-16 00:00:00 +01:00
56,PT,STA-PT03082,PM10,20.0,µg/m3,2015-10-01 00:00:00 +01:00
58,PT,STA-PT03082,PM10,24.0,µg/m3,2015-09-29 00:00:00 +01:00
59,PT,STA-PT03082,PM10,32.0,µg/m3,2015-09-24 00:00:00 +01:00
61,PT,STA-PT03082,PM10,21.0,µg/m3,2015-09-22 00:00:00 +01:00
62,PT,STA-PT03082,PM10,18.0,µg/m3,2015-09-21 00:00:00 +01:00
63,PT,STA-PT03082,PM10,22.0,µg/m3,2015-09-23 00:00:00 +01:00
66,PT,STA-PT03082,PM10,12.0,µg/m3,2015-10-07 00:00:00 +01:00
67,PT,STA-PT03082,PM10,22.0,µg/m3,2015-10-08 00:00:00 +01:00
68,PT,STA-PT03082,PM10,16.0,µg/m3,2015-10-06 00:00:00 +01:00
108,PT,STA-PT03082,PM10,16.0,µg/m3,2015-02-05 00:00:00 +01:00
117,PT,STA-PT03082,PM10,60.0,µg/m3,2015-03-11 00:00:00 +01:00
131,PT,STA-PT03082,PM10,29.0,µg/m3,2015-04-06 00:00:00 +01:00
135,PT,STA-PT03082,PM10,23.0,µg/m3,2015-02-24 00:00:00 +01:00
141,PT,STA-PT03082,PM10,12.0,µg/m3,2015-08-27 00:00:00 +01:00
146,PT,STA-PT03082,PM10,25.0,µg/m3,2015-09-30 00:00:00 +01:00
156,PT,STA-PT03082,PM10,11.0,µg/m3,2015-07-01 00:00:00 +01:00
168,PT,STA-PT03082,PM10,5.0,µg/m3,2015-07-28 00:00:00 +01:00
171,PT,STA-PT03082,PM10,18.0,µg/m3,2015-09-03 00:00:00 +01:00
173,PT,STA-PT03082,PM10,14.0,µg/m3,2015-08-24 00:00:00 +01:00
176,PT,STA-PT03082,PM10,34.0,µg/m3,2015-09-28 00:00:00 +01:00
195,PT,STA-PT03082,PM10,46.0,µg/m3,2015-01-06 00:00:00 +01:00
198,PT,STA-PT03082,PM10,21.0,µg/m3,2015-01-05 00:00:00 +01:00
199,PT,STA-PT03082,PM10,13.0,µg/m3,2015-01-20 00:00:00 +01:00
200,PT,STA-PT03082,PM10,12.0,µg/m3,2015-01-13 00:00:00 +01:00
201,PT,STA-PT03082,PM10,45.0,µg/m3,2015-01-08 00:00:00 +01:00
203,PT,STA-PT03082,PM10,21.0,µg/m3,2015-02-23 00:00:00 +01:00
204,PT,STA-PT03082,PM10,3.0,µg/m3,2015-01-29 00:00:00 +01:00
205,PT,STA-PT03082,PM10,8.0,µg/m3,2015-02-02 00:00:00 +01:00
206,PT,STA-PT03082,PM10,11.0,µg/m3,2015-01-22 00:00:00 +01:00
207,PT,STA-PT03082,PM10,43.0,µg/m3,2015-02-11 00:00:00 +01:00
208,PT,STA-PT03082,PM10,15.0,µg/m3,2015-01-19 00:00:00 +01:00
209,PT,STA-PT03082,PM10,13.0,µg/m3,2015-01-21 00:00:00 +01:00
214,PT,STA-PT03082,PM10,32.0,µg/m3,2015-02-26 00:00:00 +01:00
215,PT,STA-PT03082,PM10,27.0,µg/m3,2015-02-12 00:00:00 +01:00
216,PT,STA-PT03082,PM10,36.0,µg/m3,2015-03-09 00:00:00 +01:00
221,PT,STA-PT03082,PM10,26.0,µg/m3,2015-04-07 00:00:00 +01:00
223,PT,STA-PT03082,PM10,32.0,µg/m3,2015-03-10 00:00:00 +01:00
225,PT,STA-PT03082,PM10,15.0,µg/m3,2015-04-21 00:00:00 +01:00
229,PT,STA-PT03082,PM10,27.0,µg/m3,2015-06-04 00:00:00 +01:00
231,PT,STA-PT03082,PM10,14.0,µg/m3,2015-06-02 00:00:00 +01:00
233,PT,STA-PT03082,PM10,19.0,µg/m3,2015-05-20 00:00:00 +01:00
234,PT,STA-PT03082,PM10,20.0,µg/m3,2015-05-19 00:00:00 +01:00
238,PT,STA-PT03082,PM10,17.0,µg/m3,2015-06-16 00:00:00 +01:00
239,PT,STA-PT03082,PM10,13.0,µg/m3,2015-06-30 00:00:00 +01:00
246,PT,STA-PT03082,PM10,49.0,µg/m3,2015-04-13 00:00:00 +01:00
248,PT,STA-PT03082,PM10,15.0,µg/m3,2015-04-09 00:00:00 +01:00
249,PT,STA-PT03082,PM10,36.0,µg/m3,2015-04-14 00:00:00 +01:00
252,PT,STA-PT03082,PM10,18.0,µg/m3,2015-05-07 00:00:00 +01:00
253,PT,STA-PT03082,PM10,29.0,µg/m3,2015-05-11 00:00:00 +01:00
262,PT,STA-PT03082,PM10,21.0,µg/m3,2015-06-17 00:00:00 +01:00
263,PT,STA-PT03082,PM10,25.0,µg/m3,2015-06-29 00:00:00 +01:00
266,PT,STA-PT03082,PM10,21.0,µg/m3,2015-04-16 00:00:00 +01:00
278,PT,STA-PT03082,PM10,25.0,µg/m3,2015-01-26 00:00:00 +01:00
280,PT,STA-PT03082,PM10,24.0,µg/m3,2015-02-10 00:00:00 +01:00
281,PT,STA-PT03082,PM10,34.0,µg/m3,2015-02-19 00:00:00 +01:00
282,PT,STA-PT03082,PM10,11.0,µg/m3,2015-02-25 00:00:00 +01:00
284,PT,STA-PT03082,PM10,14.0,µg/m3,2015-03-05 00:00:00 +01:00
285,PT,STA-PT03082,PM10,15.0,µg/m3,2015-03-03 00:00:00 +01:00
286,PT,STA-PT03082,PM10,15.0,µg/m3,2015-03-02 00:00:00 +01:00
294,PT,STA-PT03082,PM10,14.0,µg/m3,2015-04-08 00:00:00 +01:00
297,PT,STA-PT03082,PM10,17.0,µg/m3,2015-05-06 00:00:00 +01:00
299,PT,STA-PT03082,PM10,16.0,µg/m3,2015-04-15 00:00:00 +01:00
301,PT,STA-PT03082,PM10,11.0,µg/m3,2015-04-27 00:00:00 +01:00
303,PT,STA-PT03082,PM10,11.0,µg/m3,2015-04-22 00:00:00 +01:00
304,PT,STA-PT03082,PM10,15.0,µg/m3,2015-04-20 00:00:00 +01:00
307,PT,STA-PT03082,PM10,22.0,µg/m3,2015-06-03 00:00:00 +01:00
