,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
0,GB,Station_GB0620A,PM10,9.163,µg/m3,2016-01-03 00:00:00 +01:00
1,GB,Station_GB0620A,PM10,8.458,µg/m3,2016-01-07 00:00:00 +01:00
2,GB,Station_GB0620A,PM10,24.03399999,µg/m3,2016-01-06 00:00:00 +01:00
3,GB,Station_GB0620A,PM10,13.766,µg/m3,2016-01-08 00:00:00 +01:00
4,GB,Station_GB0620A,PM10,7.375,µg/m3,2016-01-09 00:00:00 +01:00
7,GB,Station_GB0620A,PM10,6.833,µg/m3,2016-01-12 00:00:00 +01:00
8,GB,Station_GB0620A,PM10,7.02899999,µg/m3,2016-01-11 00:00:00 +01:00
9,GB,Station_GB0620A,PM10,12.85699999,µg/m3,2016-01-17 00:00:00 +01:00
10,GB,Station_GB0620A,PM10,23.234,µg/m3,2016-01-16 00:00:00 +01:00
11,GB,Station_GB0620A,PM10,20.62999999,µg/m3,2016-01-18 00:00:00 +01:00
12,GB,Station_GB0620A,PM10,53.247,µg/m3,2016-01-19 00:00:00 +01:00
13,GB,Station_GB0620A,PM10,59.091,µg/m3,2016-01-20 00:00:00 +01:00
14,GB,Station_GB0620A,PM10,21.73699999,µg/m3,2016-01-23 00:00:00 +01:00
15,GB,Station_GB0620A,PM10,31.26599999,µg/m3,2016-01-21 00:00:00 +01:00
16,GB,Station_GB0620A,PM10,20.33599999,µg/m3,2016-01-22 00:00:00 +01:00
17,GB,Station_GB0620A,PM10,15.021,µg/m3,2016-01-25 00:00:00 +01:00
18,GB,Station_GB0620A,PM10,14.644,µg/m3,2016-01-26 00:00:00 +01:00
19,GB,Station_GB0620A,PM10,7.75,µg/m3,2016-02-07 00:00:00 +01:00
20,GB,Station_GB0620A,PM10,17.375,µg/m3,2016-02-08 00:00:00 +01:00
21,GB,Station_GB0620A,PM10,26.292,µg/m3,2016-02-11 00:00:00 +01:00
22,GB,Station_GB0620A,PM10,8.72199999,µg/m3,2016-01-31 00:00:00 +01:00
23,GB,Station_GB0620A,PM10,7.74899999,µg/m3,2016-01-29 00:00:00 +01:00
24,GB,Station_GB0620A,PM10,11.25,µg/m3,2016-02-04 00:00:00 +01:00
25,GB,Station_GB0620A,PM10,17.167,µg/m3,2016-02-12 00:00:00 +01:00
26,GB,Station_GB0620A,PM10,21.70799999,µg/m3,2016-02-13 00:00:00 +01:00
27,GB,Station_GB0620A,PM10,5.29199999,µg/m3,2016-02-21 00:00:00 +01:00
28,GB,Station_GB0620A,PM10,7.958,µg/m3,2016-02-22 00:00:00 +01:00
29,GB,Station_GB0620A,PM10,13.625,µg/m3,2016-02-19 00:00:00 +01:00
30,GB,Station_GB0620A,PM10,5.41699999,µg/m3,2016-02-20 00:00:00 +01:00
31,GB,Station_GB0620A,PM10,28.417,µg/m3,2016-02-26 00:00:00 +01:00
32,GB,Station_GB0620A,PM10,7.333,µg/m3,2016-03-03 00:00:00 +01:00
33,GB,Station_GB0620A,PM10,8.125,µg/m3,2016-03-02 00:00:00 +01:00
34,GB,Station_GB0620A,PM10,15.208,µg/m3,2016-02-29 00:00:00 +01:00
