Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
FR,STA-FR04031,PM10,29.8,µg/m3,2013-10-17 22:00:00 +01:00
FR,STA-FR04031,PM10,50.0,µg/m3,2013-10-17 16:00:00 +01:00
FR,STA-FR04031,PM10,50.5,µg/m3,2013-10-18 10:00:00 +01:00
FR,STA-FR04031,PM10,53.7,µg/m3,2013-10-18 07:00:00 +01:00
FR,STA-FR04031,PM10,34.3,µg/m3,2013-10-18 20:00:00 +01:00
FR,STA-FR04031,PM10,41.8,µg/m3,2013-10-18 17:00:00 +01:00
FR,STA-FR04031,PM10,32.8,µg/m3,2013-10-19 00:00:00 +01:00
FR,STA-FR04031,PM10,21.3,µg/m3,2013-10-19 03:00:00 +01:00
FR,STA-FR04031,PM10,41.8,µg/m3,2013-10-19 15:00:00 +01:00
FR,STA-FR04031,PM10,41.6,µg/m3,2013-10-19 12:00:00 +01:00
FR,STA-FR04031,PM10,22.4,µg/m3,2013-10-21 05:00:00 +01:00
FR,STA-FR04031,PM10,31.3,µg/m3,2013-10-21 06:00:00 +01:00
FR,STA-FR04031,PM10,18.9,µg/m3,2013-10-20 04:00:00 +01:00
FR,STA-FR04031,PM10,31.0,µg/m3,2013-10-21 14:00:00 +01:00
FR,STA-FR04031,PM10,45.5,µg/m3,2013-10-21 20:00:00 +01:00
FR,STA-FR04031,PM10,21.6,µg/m3,2013-10-22 00:00:00 +01:00
FR,STA-FR04031,PM10,22.5,µg/m3,2013-10-22 04:00:00 +01:00
FR,STA-FR04031,PM10,17.5,µg/m3,2013-10-22 03:00:00 +01:00
FR,STA-FR04031,PM10,50.9,µg/m3,2013-10-24 13:00:00 +01:00
FR,STA-FR04031,PM10,33.0,µg/m3,2013-10-23 21:00:00 +01:00
FR,STA-FR04031,PM10,29.3,µg/m3,2013-10-22 21:00:00 +01:00
FR,STA-FR04031,PM10,37.3,µg/m3,2013-10-23 08:00:00 +01:00
FR,STA-FR04031,PM10,30.4,µg/m3,2013-10-22 20:00:00 +01:00
FR,STA-FR04031,PM10,32.9,µg/m3,2013-10-23 12:00:00 +01:00
FR,STA-FR04031,PM10,43.4,µg/m3,2013-10-23 17:00:00 +01:00
FR,STA-FR04031,PM10,43.0,µg/m3,2013-10-23 18:00:00 +01:00
FR,STA-FR04031,PM10,44.0,µg/m3,2013-10-17 08:00:00 +01:00
FR,STA-FR04031,PM10,28.2,µg/m3,2013-10-17 05:00:00 +01:00
FR,STA-FR04031,PM10,30.425,µg/m3,2013-10-16 19:00:00 +01:00
FR,STA-FR04031,PM10,30.1,µg/m3,2013-10-17 11:00:00 +01:00
FR,STA-FR04031,PM10,41.5,µg/m3,2013-10-25 12:00:00 +01:00
FR,STA-FR04031,PM10,20.4,µg/m3,2013-10-26 16:00:00 +01:00
FR,STA-FR04031,PM10,22.6,µg/m3,2013-10-26 13:00:00 +01:00
FR,STA-FR04031,PM10,14.4,µg/m3,2013-10-27 04:00:00 +01:00
FR,STA-FR04031,PM10,17.2,µg/m3,2013-10-27 06:00:00 +01:00
FR,STA-FR04031,PM10,14.1,µg/m3,2013-10-27 02:00:00 +01:00
FR,STA-FR04031,PM10,41.6,µg/m3,2013-10-26 19:00:00 +01:00
FR,STA-FR04031,PM10,22.0,µg/m3,2013-10-26 21:00:00 +01:00
FR,STA-FR04031,PM10,22.1,µg/m3,2013-10-26 00:00:00 +01:00
FR,STA-FR04031,PM10,23.8,µg/m3,2013-10-25 19:00:00 +01:00
FR,STA-FR04031,PM10,49.0,µg/m3,2013-10-25 09:00:00 +01:00
FR,STA-FR04031,PM10,29.9,µg/m3,2013-10-25 17:00:00 +01:00
FR,STA-FR04031,PM10,26.6,µg/m3,2013-10-25 20:00:00 +01:00
FR,STA-FR04031,PM10,22.5,µg/m3,2013-10-28 23:00:00 +01:00
FR,STA-FR04031,PM10,15.6,µg/m3,2013-10-29 04:00:00 +01:00
FR,STA-FR04031,PM10,20.2,µg/m3,2013-10-29 06:00:00 +01:00
FR,STA-FR04031,PM10,36.0,µg/m3,2013-10-29 10:00:00 +01:00
FR,STA-FR04031,PM10,20.7,µg/m3,2013-10-28 09:00:00 +01:00
FR,STA-FR04031,PM10,23.5,µg/m3,2013-10-28 17:00:00 +01:00
FR,STA-FR04031,PM10,17.3,µg/m3,2013-10-27 12:00:00 +01:00
FR,STA-FR04031,PM10,13.0,µg/m3,2013-10-27 09:00:00 +01:00
