,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
0,FR,STA-FR04012,PM10,24.89999999,µg/m3,2018-01-01 00:00:00 +01:00
1,FR,STA-FR04012,PM10,19.8,µg/m3,2018-01-01 01:00:00 +01:00
2,FR,STA-FR04012,PM10,14.0,µg/m3,2018-01-01 02:00:00 +01:00
3,FR,STA-FR04012,PM10,14.9,µg/m3,2018-01-01 03:00:00 +01:00
4,FR,STA-FR04012,PM10,24.6,µg/m3,2018-01-01 06:00:00 +01:00
5,FR,STA-FR04012,PM10,22.0,µg/m3,2018-01-01 07:00:00 +01:00
6,FR,STA-FR04012,PM10,24.0,µg/m3,2018-01-01 08:00:00 +01:00
7,FR,STA-FR04012,PM10,22.5,µg/m3,2018-01-01 09:00:00 +01:00
8,FR,STA-FR04012,PM10,18.5,µg/m3,2018-01-01 10:00:00 +01:00
9,FR,STA-FR04012,PM10,12.3,µg/m3,2018-01-01 11:00:00 +01:00
10,FR,STA-FR04012,PM10,13.0,µg/m3,2018-01-01 12:00:00 +01:00
11,FR,STA-FR04012,PM10,10.5,µg/m3,2018-01-01 13:00:00 +01:00
12,FR,STA-FR04012,PM10,9.4,µg/m3,2018-01-01 14:00:00 +01:00
13,FR,STA-FR04012,PM10,13.3,µg/m3,2018-01-01 15:00:00 +01:00
14,FR,STA-FR04012,PM10,11.1,µg/m3,2018-01-01 16:00:00 +01:00
15,FR,STA-FR04012,PM10,10.6,µg/m3,2018-01-01 17:00:00 +01:00
16,FR,STA-FR04012,PM10,13.0,µg/m3,2018-01-01 18:00:00 +01:00
17,FR,STA-FR04012,PM10,21.1,µg/m3,2018-01-01 20:00:00 +01:00
18,FR,STA-FR04012,PM10,19.0,µg/m3,2018-01-01 21:00:00 +01:00
19,FR,STA-FR04012,PM10,19.0,µg/m3,2018-01-01 22:00:00 +01:00
20,FR,STA-FR04012,PM10,17.6,µg/m3,2018-01-01 23:00:00 +01:00
21,FR,STA-FR04012,PM10,17.0,µg/m3,2018-01-02 01:00:00 +01:00
22,FR,STA-FR04012,PM10,19.0,µg/m3,2018-01-02 02:00:00 +01:00
23,FR,STA-FR04012,PM10,22.0,µg/m3,2018-01-02 04:00:00 +01:00
24,FR,STA-FR04012,PM10,27.1,µg/m3,2018-01-02 06:00:00 +01:00
25,FR,STA-FR04012,PM10,29.6,µg/m3,2018-01-02 07:00:00 +01:00
26,FR,STA-FR04012,PM10,46.7,µg/m3,2018-01-02 09:00:00 +01:00
27,FR,STA-FR04012,PM10,36.5,µg/m3,2018-01-02 10:00:00 +01:00
28,FR,STA-FR04012,PM10,40.7,µg/m3,2018-01-02 11:00:00 +01:00
29,FR,STA-FR04012,PM10,34.5,µg/m3,2018-01-02 14:00:00 +01:00
30,FR,STA-FR04012,PM10,12.0,µg/m3,2018-01-02 17:00:00 +01:00
31,FR,STA-FR04012,PM10,10.4,µg/m3,2018-01-02 18:00:00 +01:00
32,FR,STA-FR04012,PM10,18.6,µg/m3,2018-01-02 20:00:00 +01:00
33,FR,STA-FR04012,PM10,15.1,µg/m3,2018-01-02 21:00:00 +01:00
34,FR,STA-FR04012,PM10,12.8,µg/m3,2018-01-02 22:00:00 +01:00
35,FR,STA-FR04012,PM10,17.1,µg/m3,2018-01-02 23:00:00 +01:00
36,FR,STA-FR04012,PM10,17.5,µg/m3,2018-01-03 00:00:00 +01:00
37,FR,STA-FR04012,PM10,7.7,µg/m3,2018-01-03 01:00:00 +01:00
38,FR,STA-FR04012,PM10,0.0,µg/m3,2018-01-03 03:00:00 +01:00
39,FR,STA-FR04012,PM10,1.7,µg/m3,2018-01-03 04:00:00 +01:00
40,FR,STA-FR04012,PM10,16.8,µg/m3,2018-01-03 06:00:00 +01:00
41,FR,STA-FR04012,PM10,17.5,µg/m3,2018-01-03 10:00:00 +01:00
42,FR,STA-FR04012,PM10,27.6,µg/m3,2018-01-03 13:00:00 +01:00
43,FR,STA-FR04012,PM10,30.1,µg/m3,2018-01-03 15:00:00 +01:00
44,FR,STA-FR04012,PM10,33.0,µg/m3,2018-01-03 16:00:00 +01:00
45,FR,STA-FR04012,PM10,30.3,µg/m3,2018-01-03 18:00:00 +01:00
46,FR,STA-FR04012,PM10,35.0,µg/m3,2018-01-03 19:00:00 +01:00
47,FR,STA-FR04012,PM10,19.3,µg/m3,2018-01-03 22:00:00 +01:00
48,FR,STA-FR04012,PM10,9.9,µg/m3,2018-01-04 03:00:00 +01:00
49,FR,STA-FR04012,PM10,6.5,µg/m3,2018-01-04 04:00:00 +01:00
50,FR,STA-FR04012,PM10,9.4,µg/m3,2018-01-04 05:00:00 +01:00
51,FR,STA-FR04012,PM10,8.3,µg/m3,2018-01-04 07:00:00 +01:00
52,FR,STA-FR04012,PM10,6.5,µg/m3,2018-01-04 11:00:00 +01:00
53,FR,STA-FR04012,PM10,34.5,µg/m3,2018-01-04 18:00:00 +01:00
54,FR,STA-FR04012,PM10,34.0,µg/m3,2018-01-04 20:00:00 +01:00
55,FR,STA-FR04012,PM10,35.2,µg/m3,2018-01-04 21:00:00 +01:00
56,FR,STA-FR04012,PM10,37.1,µg/m3,2018-01-04 23:00:00 +01:00
57,FR,STA-FR04012,PM10,22.5,µg/m3,2018-01-05 01:00:00 +01:00
58,FR,STA-FR04012,PM10,22.0,µg/m3,2018-01-05 02:00:00 +01:00
59,FR,STA-FR04012,PM10,14.3,µg/m3,2018-01-05 03:00:00 +01:00
60,FR,STA-FR04012,PM10,15.0,µg/m3,2018-01-05 05:00:00 +01:00
61,FR,STA-FR04012,PM10,23.8,µg/m3,2018-01-05 06:00:00 +01:00
62,FR,STA-FR04012,PM10,19.8,µg/m3,2018-01-05 08:00:00 +01:00
63,FR,STA-FR04012,PM10,26.0,µg/m3,2018-01-05 10:00:00 +01:00
64,FR,STA-FR04012,PM10,38.2,µg/m3,2018-01-05 13:00:00 +01:00
65,FR,STA-FR04012,PM10,39.1,µg/m3,2018-01-05 14:00:00 +01:00
66,FR,STA-FR04012,PM10,29.3,µg/m3,2018-01-05 15:00:00 +01:00
67,FR,STA-FR04012,PM10,22.5,µg/m3,2018-01-05 18:00:00 +01:00
68,FR,STA-FR04012,PM10,28.1,µg/m3,2018-01-05 19:00:00 +01:00
69,FR,STA-FR04012,PM10,29.5,µg/m3,2018-01-05 20:00:00 +01:00
70,FR,STA-FR04012,PM10,35.7,µg/m3,2018-01-05 21:00:00 +01:00
71,FR,STA-FR04012,PM10,34.0,µg/m3,2018-01-05 22:00:00 +01:00
72,FR,STA-FR04012,PM10,31.8,µg/m3,2018-01-06 01:00:00 +01:00
73,FR,STA-FR04012,PM10,19.0,µg/m3,2018-01-06 03:00:00 +01:00
74,FR,STA-FR04012,PM10,19.3,µg/m3,2018-01-06 04:00:00 +01:00
75,FR,STA-FR04012,PM10,24.1,µg/m3,2018-01-06 05:00:00 +01:00
76,FR,STA-FR04012,PM10,23.6,µg/m3,2018-01-06 06:00:00 +01:00
77,FR,STA-FR04012,PM10,33.1,µg/m3,2018-01-06 08:00:00 +01:00
78,FR,STA-FR04012,PM10,33.5,µg/m3,2018-01-06 09:00:00 +01:00
79,FR,STA-FR04012,PM10,37.6,µg/m3,2018-01-06 11:00:00 +01:00
80,FR,STA-FR04012,PM10,39.5,µg/m3,2018-01-06 12:00:00 +01:00
81,FR,STA-FR04012,PM10,44.2,µg/m3,2018-01-06 13:00:00 +01:00
82,FR,STA-FR04012,PM10,47.2,µg/m3,2018-01-06 14:00:00 +01:00
83,FR,STA-FR04012,PM10,40.0,µg/m3,2018-01-06 15:00:00 +01:00
84,FR,STA-FR04012,PM10,37.1,µg/m3,2018-01-06 17:00:00 +01:00
85,FR,STA-FR04012,PM10,39.1,µg/m3,2018-01-06 21:00:00 +01:00
86,FR,STA-FR04012,PM10,35.6,µg/m3,2018-01-06 23:00:00 +01:00
87,FR,STA-FR04012,PM10,38.1,µg/m3,2018-01-07 01:00:00 +01:00
88,FR,STA-FR04012,PM10,33.1,µg/m3,2018-01-07 02:00:00 +01:00
89,FR,STA-FR04012,PM10,32.2,µg/m3,2018-01-07 04:00:00 +01:00
90,FR,STA-FR04012,PM10,35.6,µg/m3,2018-01-07 05:00:00 +01:00
91,FR,STA-FR04012,PM10,36.1,µg/m3,2018-01-07 06:00:00 +01:00
92,FR,STA-FR04012,PM10,34.0,µg/m3,2018-01-07 08:00:00 +01:00
93,FR,STA-FR04012,PM10,30.3,µg/m3,2018-01-07 09:00:00 +01:00
94,FR,STA-FR04012,PM10,30.8,µg/m3,2018-01-07 11:00:00 +01:00
95,FR,STA-FR04012,PM10,28.8,µg/m3,2018-01-07 12:00:00 +01:00
96,FR,STA-FR04012,PM10,22.8,µg/m3,2018-01-07 13:00:00 +01:00
97,FR,STA-FR04012,PM10,18.8,µg/m3,2018-01-07 15:00:00 +01:00
98,FR,STA-FR04012,PM10,18.5,µg/m3,2018-01-07 16:00:00 +01:00
99,FR,STA-FR04012,PM10,21.6,µg/m3,2018-01-07 17:00:00 +01:00
100,FR,STA-FR04012,PM10,19.8,µg/m3,2018-01-07 18:00:00 +01:00
101,FR,STA-FR04012,PM10,22.5,µg/m3,2018-01-07 19:00:00 +01:00
102,FR,STA-FR04012,PM10,20.3,µg/m3,2018-01-07 20:00:00 +01:00
103,FR,STA-FR04012,PM10,17.8,µg/m3,2018-01-07 21:00:00 +01:00
104,FR,STA-FR04012,PM10,19.0,µg/m3,2018-01-07 22:00:00 +01:00
105,FR,STA-FR04012,PM10,14.9,µg/m3,2018-01-07 23:00:00 +01:00
106,FR,STA-FR04012,PM10,15.1,µg/m3,2018-01-08 00:00:00 +01:00
107,FR,STA-FR04012,PM10,13.8,µg/m3,2018-01-08 03:00:00 +01:00
108,FR,STA-FR04012,PM10,16.5,µg/m3,2018-01-08 05:00:00 +01:00
109,FR,STA-FR04012,PM10,20.5,µg/m3,2018-01-08 06:00:00 +01:00
110,FR,STA-FR04012,PM10,23.6,µg/m3,2018-01-08 07:00:00 +01:00
111,FR,STA-FR04012,PM10,31.3,µg/m3,2018-01-08 08:00:00 +01:00
112,FR,STA-FR04012,PM10,32.2,µg/m3,2018-01-08 09:00:00 +01:00
113,FR,STA-FR04012,PM10,38.5,µg/m3,2018-01-08 11:00:00 +01:00
114,FR,STA-FR04012,PM10,30.1,µg/m3,2018-01-08 12:00:00 +01:00
115,FR,STA-FR04012,PM10,33.0,µg/m3,2018-01-08 13:00:00 +01:00
116,FR,STA-FR04012,PM10,40.1,µg/m3,2018-01-08 14:00:00 +01:00
117,FR,STA-FR04012,PM10,36.2,µg/m3,2018-01-08 16:00:00 +01:00
118,FR,STA-FR04012,PM10,38.2,µg/m3,2018-01-08 17:00:00 +01:00
119,FR,STA-FR04012,PM10,36.5,µg/m3,2018-01-08 18:00:00 +01:00
120,FR,STA-FR04012,PM10,41.5,µg/m3,2018-01-08 19:00:00 +01:00
121,FR,STA-FR04012,PM10,33.7,µg/m3,2018-01-08 23:00:00 +01:00
122,FR,STA-FR04012,PM10,26.8,µg/m3,2018-01-09 02:00:00 +01:00
123,FR,STA-FR04012,PM10,31.6,µg/m3,2018-01-09 04:00:00 +01:00
124,FR,STA-FR04012,PM10,30.8,µg/m3,2018-01-09 05:00:00 +01:00
125,FR,STA-FR04012,PM10,42.6,µg/m3,2018-01-09 06:00:00 +01:00
126,FR,STA-FR04012,PM10,50.2,µg/m3,2018-01-09 09:00:00 +01:00
127,FR,STA-FR04012,PM10,52.5,µg/m3,2018-01-09 10:00:00 +01:00
128,FR,STA-FR04012,PM10,48.2,µg/m3,2018-01-09 13:00:00 +01:00
129,FR,STA-FR04012,PM10,48.7,µg/m3,2018-01-09 15:00:00 +01:00
130,FR,STA-FR04012,PM10,32.1,µg/m3,2018-01-09 18:00:00 +01:00
131,FR,STA-FR04012,PM10,23.3,µg/m3,2018-01-09 19:00:00 +01:00
132,FR,STA-FR04012,PM10,25.0,µg/m3,2018-01-09 20:00:00 +01:00
133,FR,STA-FR04012,PM10,28.6,µg/m3,2018-01-09 21:00:00 +01:00
134,FR,STA-FR04012,PM10,21.5,µg/m3,2018-01-09 23:00:00 +01:00
135,FR,STA-FR04012,PM10,10.8,µg/m3,2018-01-10 00:00:00 +01:00
136,FR,STA-FR04012,PM10,11.8,µg/m3,2018-01-10 01:00:00 +01:00
137,FR,STA-FR04012,PM10,21.1,µg/m3,2018-01-10 02:00:00 +01:00
138,FR,STA-FR04012,PM10,24.0,µg/m3,2018-01-10 03:00:00 +01:00
139,FR,STA-FR04012,PM10,15.1,µg/m3,2018-01-10 04:00:00 +01:00
140,FR,STA-FR04012,PM10,21.6,µg/m3,2018-01-10 06:00:00 +01:00
141,FR,STA-FR04012,PM10,19.1,µg/m3,2018-01-10 07:00:00 +01:00
142,FR,STA-FR04012,PM10,37.7,µg/m3,2018-01-10 13:00:00 +01:00
143,FR,STA-FR04012,PM10,36.5,µg/m3,2018-01-10 16:00:00 +01:00
144,FR,STA-FR04012,PM10,39.1,µg/m3,2018-01-10 17:00:00 +01:00
145,FR,STA-FR04012,PM10,41.6,µg/m3,2018-01-10 18:00:00 +01:00
146,FR,STA-FR04012,PM10,48.1,µg/m3,2018-01-10 19:00:00 +01:00
147,FR,STA-FR04012,PM10,47.7,µg/m3,2018-01-10 20:00:00 +01:00
148,FR,STA-FR04012,PM10,41.0,µg/m3,2018-01-10 22:00:00 +01:00
149,FR,STA-FR04012,PM10,35.6,µg/m3,2018-01-10 23:00:00 +01:00
150,FR,STA-FR04012,PM10,27.5,µg/m3,2018-01-11 01:00:00 +01:00
151,FR,STA-FR04012,PM10,24.1,µg/m3,2018-01-11 03:00:00 +01:00
152,FR,STA-FR04012,PM10,30.5,µg/m3,2018-01-11 06:00:00 +01:00
153,FR,STA-FR04012,PM10,41.1,µg/m3,2018-01-11 07:00:00 +01:00
154,FR,STA-FR04012,PM10,42.0,µg/m3,2018-01-11 08:00:00 +01:00
