,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
0,AT,STA.09.BELG,PM10,74.82400512,µg/m3,2013-12-31 23:00:00 +01:00
1,AT,STA.09.BELG,PM10,727.41497802,µg/m3,2013-01-01 00:00:00 +01:00
2,AT,STA.09.BELG,PM10,298.8250122,µg/m3,2013-01-01 01:00:00 +01:00
3,AT,STA.09.BELG,PM10,194.92999266,µg/m3,2013-01-01 02:00:00 +01:00
4,AT,STA.09.BELG,PM10,67.59199522,µg/m3,2013-01-01 03:00:00 +01:00
5,AT,STA.09.BELG,PM10,59.70099639,µg/m3,2013-01-01 04:00:00 +01:00
6,AT,STA.09.BELG,PM10,55.31449889,µg/m3,2013-01-01 05:00:00 +01:00
7,AT,STA.09.BELG,PM10,51.94350051,µg/m3,2013-01-01 06:00:00 +01:00
8,AT,STA.09.BELG,PM10,52.71900176,µg/m3,2013-01-01 07:00:00 +01:00
9,AT,STA.09.BELG,PM10,55.59300231,µg/m3,2013-01-01 08:00:00 +01:00
10,AT,STA.09.BELG,PM10,54.24399947,µg/m3,2013-01-01 09:00:00 +01:00
11,AT,STA.09.BELG,PM10,57.00450133,µg/m3,2013-01-01 10:00:00 +01:00
12,AT,STA.09.BELG,PM10,57.50800323,µg/m3,2013-01-01 11:00:00 +01:00
13,AT,STA.09.BELG,PM10,57.56349945,µg/m3,2013-01-01 12:00:00 +01:00
14,AT,STA.09.BELG,PM10,55.12999725,µg/m3,2013-01-01 13:00:00 +01:00
15,AT,STA.09.BELG,PM10,54.39299773,µg/m3,2013-01-01 14:00:00 +01:00
16,AT,STA.09.BELG,PM10,55.55250166,µg/m3,2013-01-01 15:00:00 +01:00
17,AT,STA.09.BELG,PM10,52.68650053,µg/m3,2013-01-01 16:00:00 +01:00
18,AT,STA.09.BELG,PM10,54.41100311,µg/m3,2013-01-01 17:00:00 +01:00
19,AT,STA.09.BELG,PM10,56.019001,µg/m3,2013-01-01 18:00:00 +01:00
20,AT,STA.09.BELG,PM10,55.80049895,µg/m3,2013-01-01 19:00:00 +01:00
21,AT,STA.09.BELG,PM10,54.74649809,µg/m3,2013-01-01 20:00:00 +01:00
22,AT,STA.09.BELG,PM10,53.84700011,µg/m3,2013-01-01 21:00:00 +01:00
23,AT,STA.09.BELG,PM10,53.58649825,µg/m3,2013-01-01 22:00:00 +01:00
24,AT,STA.09.BELG,PM10,53.123497,µg/m3,2013-01-01 23:00:00 +01:00
25,AT,STA.09.BELG,PM10,53.73400114,µg/m3,2013-01-02 00:00:00 +01:00
26,AT,STA.09.BELG,PM10,51.87799834,µg/m3,2013-01-02 01:00:00 +01:00
27,AT,STA.09.BELG,PM10,51.26000212,µg/m3,2013-01-02 02:00:00 +01:00
28,AT,STA.09.BELG,PM10,51.894001,µg/m3,2013-01-02 03:00:00 +01:00
29,AT,STA.09.BELG,PM10,49.74600218,µg/m3,2013-01-02 04:00:00 +01:00
30,AT,STA.09.BELG,PM10,55.29999922,µg/m3,2013-01-02 05:00:00 +01:00
31,AT,STA.09.BELG,PM10,60.29199981,µg/m3,2013-01-02 06:00:00 +01:00
32,AT,STA.09.BELG,PM10,58.78699874,µg/m3,2013-01-02 07:00:00 +01:00
33,AT,STA.09.BELG,PM10,61.34400176,µg/m3,2013-01-02 08:00:00 +01:00
34,AT,STA.09.BELG,PM10,42.90850067,µg/m3,2013-01-02 09:00:00 +01:00
35,AT,STA.09.BELG,PM10,42.55200194,µg/m3,2013-01-02 10:00:00 +01:00
36,AT,STA.09.BELG,PM10,22.84799956,µg/m3,2013-01-02 11:00:00 +01:00
37,AT,STA.09.BELG,PM10,16.25,µg/m3,2013-01-02 12:00:00 +01:00
38,AT,STA.09.BELG,PM10,20.6175003,µg/m3,2013-01-02 13:00:00 +01:00
39,AT,STA.09.BELG,PM10,19.86000061,µg/m3,2013-01-02 14:00:00 +01:00
40,AT,STA.09.BELG,PM10,19.78000068,µg/m3,2013-01-02 15:00:00 +01:00
41,AT,STA.09.BELG,PM10,18.17300033,µg/m3,2013-01-02 16:00:00 +01:00
42,AT,STA.09.BELG,PM10,16.66250038,µg/m3,2013-01-02 17:00:00 +01:00
43,AT,STA.09.BELG,PM10,17.16250038,µg/m3,2013-01-02 18:00:00 +01:00
44,AT,STA.09.BELG,PM10,17.42749977,µg/m3,2013-01-02 19:00:00 +01:00
45,AT,STA.09.BELG,PM10,18.26049995,µg/m3,2013-01-02 20:00:00 +01:00
46,AT,STA.09.BELG,PM10,16.59150122,µg/m3,2013-01-02 21:00:00 +01:00
47,AT,STA.09.BELG,PM10,16.43050003,µg/m3,2013-01-02 22:00:00 +01:00
48,AT,STA.09.BELG,PM10,15.67550086,µg/m3,2013-01-02 23:00:00 +01:00
49,AT,STA.09.BELG,PM10,16.69750021,µg/m3,2013-01-03 00:00:00 +01:00
50,AT,STA.09.BELG,PM10,17.88549995,µg/m3,2013-01-03 01:00:00 +01:00
51,AT,STA.09.BELG,PM10,17.58599853,µg/m3,2013-01-03 02:00:00 +01:00
52,AT,STA.09.BELG,PM10,16.61249923,µg/m3,2013-01-03 03:00:00 +01:00
53,AT,STA.09.BELG,PM10,15.34899902,µg/m3,2013-01-03 04:00:00 +01:00
54,AT,STA.09.BELG,PM10,15.47999954,µg/m3,2013-01-03 05:00:00 +01:00
55,AT,STA.09.BELG,PM10,19.28750038,µg/m3,2013-01-03 06:00:00 +01:00
56,AT,STA.09.BELG,PM10,18.95249937,µg/m3,2013-01-03 07:00:00 +01:00
57,AT,STA.09.BELG,PM10,22.00149916,µg/m3,2013-01-03 08:00:00 +01:00
58,AT,STA.09.BELG,PM10,20.54750061,µg/m3,2013-01-03 09:00:00 +01:00
59,AT,STA.09.BELG,PM10,20.3430004,µg/m3,2013-01-03 10:00:00 +01:00
60,AT,STA.09.BELG,PM10,13.81349945,µg/m3,2013-01-03 11:00:00 +01:00
61,AT,STA.09.BELG,PM10,9.25185012,µg/m3,2013-01-03 12:00:00 +01:00
62,AT,STA.09.BELG,PM10,6.16139983,µg/m3,2013-01-03 13:00:00 +01:00
63,AT,STA.09.BELG,PM10,4.42325019,µg/m3,2013-01-03 14:00:00 +01:00
64,AT,STA.09.BELG,PM10,3.60004997,µg/m3,2013-01-03 15:00:00 +01:00
65,AT,STA.09.BELG,PM10,3.40910005,µg/m3,2013-01-03 16:00:00 +01:00
66,AT,STA.09.BELG,PM10,4.07345007,µg/m3,2013-01-03 17:00:00 +01:00
67,AT,STA.09.BELG,PM10,3.52680015,µg/m3,2013-01-03 18:00:00 +01:00
68,AT,STA.09.BELG,PM10,4.00425003,µg/m3,2013-01-03 19:00:00 +01:00
69,AT,STA.09.BELG,PM10,4.86299991,µg/m3,2013-01-03 20:00:00 +01:00
70,AT,STA.09.BELG,PM10,4.50069999,µg/m3,2013-01-03 21:00:00 +01:00
71,AT,STA.09.BELG,PM10,5.53495024,µg/m3,2013-01-03 22:00:00 +01:00
72,AT,STA.09.BELG,PM10,6.07084988,µg/m3,2013-01-03 23:00:00 +01:00
73,AT,STA.09.BELG,PM10,4.59794998,µg/m3,2013-01-04 00:00:00 +01:00
74,AT,STA.09.BELG,PM10,6.34494971,µg/m3,2013-01-04 01:00:00 +01:00
75,AT,STA.09.BELG,PM10,6.64569996,µg/m3,2013-01-04 02:00:00 +01:00
76,AT,STA.09.BELG,PM10,8.82054995,µg/m3,2013-01-04 03:00:00 +01:00
77,AT,STA.09.BELG,PM10,8.27404974,µg/m3,2013-01-04 04:00:00 +01:00
78,AT,STA.09.BELG,PM10,8.31295013,µg/m3,2013-01-04 05:00:00 +01:00
79,AT,STA.09.BELG,PM10,7.55585002,µg/m3,2013-01-04 06:00:00 +01:00
80,AT,STA.09.BELG,PM10,5.90910005,µg/m3,2013-01-04 07:00:00 +01:00
81,AT,STA.09.BELG,PM10,7.14804982,µg/m3,2013-01-04 08:00:00 +01:00
82,AT,STA.09.BELG,PM10,8.11714935,µg/m3,2013-01-04 09:00:00 +01:00
83,AT,STA.09.BELG,PM10,9.62274932,µg/m3,2013-01-04 10:00:00 +01:00
84,AT,STA.09.BELG,PM10,12.6300001,µg/m3,2013-01-04 11:00:00 +01:00
85,AT,STA.09.BELG,PM10,12.6875,µg/m3,2013-01-04 12:00:00 +01:00
86,AT,STA.09.BELG,PM10,11.9300003,µg/m3,2013-01-04 13:00:00 +01:00
87,AT,STA.09.BELG,PM10,13.86250019,µg/m3,2013-01-04 14:00:00 +01:00
