Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
DE,STA.DE_DEBE034,PM2.5,55.14999999,µg/m3,2017-01-01 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,18.77,µg/m3,2017-01-02 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,10.02999999,µg/m3,2017-01-03 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,6.45,µg/m3,2017-01-04 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,6.73,µg/m3,2017-01-05 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,9.68999999,µg/m3,2017-01-06 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,17.53,µg/m3,2017-01-07 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,34.32,µg/m3,2017-01-08 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,29.64,µg/m3,2017-01-09 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,24.96999999,µg/m3,2017-01-10 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,22.42,µg/m3,2017-01-11 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,11.19999999,µg/m3,2017-01-12 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,9.08,µg/m3,2017-01-13 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,12.56,µg/m3,2017-01-14 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,7.71999999,µg/m3,2017-01-15 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,10.68,µg/m3,2017-01-16 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,18.48999999,µg/m3,2017-01-17 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,27.64,µg/m3,2017-01-18 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,28.09,µg/m3,2017-01-19 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,36.72999999,µg/m3,2017-01-20 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,28.0,µg/m3,2017-01-21 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,33.32,µg/m3,2017-01-22 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,44.93999999,µg/m3,2017-01-23 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,43.38,µg/m3,2017-01-24 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,41.54999999,µg/m3,2017-01-25 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,33.04999999,µg/m3,2017-01-26 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,36.39999999,µg/m3,2017-01-27 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,47.07,µg/m3,2017-01-28 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,42.74,µg/m3,2017-01-29 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,43.71999999,µg/m3,2017-01-30 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,38.45,µg/m3,2017-01-31 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,63.21,µg/m3,2017-02-01 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,52.67,µg/m3,2017-02-02 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,50.61999999,µg/m3,2017-02-03 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,34.50999999,µg/m3,2017-02-04 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,41.7,µg/m3,2017-02-05 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,31.34,µg/m3,2017-02-06 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,25.21999999,µg/m3,2017-02-07 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,33.50999999,µg/m3,2017-02-08 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,43.59,µg/m3,2017-02-09 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,61.07999999,µg/m3,2017-02-10 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,47.45,µg/m3,2017-02-11 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,52.89,µg/m3,2017-02-12 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,50.75999999,µg/m3,2017-02-13 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,68.51999999,µg/m3,2017-02-14 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,69.37999999,µg/m3,2017-02-15 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,41.82,µg/m3,2017-02-16 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,27.10999999,µg/m3,2017-02-17 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,13.13,µg/m3,2017-02-18 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,20.23,µg/m3,2017-02-19 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,17.73,µg/m3,2017-02-20 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,8.34999999,µg/m3,2017-02-21 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,7.16999999,µg/m3,2017-02-22 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,8.34999999,µg/m3,2017-02-23 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,5.07,µg/m3,2017-02-24 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,10.46,µg/m3,2017-02-25 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,9.94999999,µg/m3,2017-02-26 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,13.11999999,µg/m3,2017-02-27 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,6.86,µg/m3,2017-02-28 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,7.54,µg/m3,2017-03-01 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,7.75999999,µg/m3,2017-03-02 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,12.27,µg/m3,2017-03-03 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,18.41,µg/m3,2017-03-04 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,12.71,µg/m3,2017-03-05 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,13.42,µg/m3,2017-03-06 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,9.5,µg/m3,2017-03-07 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,17.64,µg/m3,2017-03-08 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,14.16,µg/m3,2017-03-09 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,8.77999999,µg/m3,2017-03-10 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,15.32,µg/m3,2017-03-11 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,24.73,µg/m3,2017-03-12 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,27.42,µg/m3,2017-03-13 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,27.39999999,µg/m3,2017-03-14 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,17.76,µg/m3,2017-03-15 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,14.85,µg/m3,2017-03-16 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,21.07,µg/m3,2017-03-17 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,8.3,µg/m3,2017-03-18 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,7.73,µg/m3,2017-03-19 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,8.39,µg/m3,2017-03-20 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,7.98,µg/m3,2017-03-21 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,10.73,µg/m3,2017-03-22 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,18.71999999,µg/m3,2017-03-23 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,12.03999999,µg/m3,2017-03-24 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,13.42,µg/m3,2017-03-25 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,16.57999999,µg/m3,2017-03-26 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,17.23,µg/m3,2017-03-27 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,22.21,µg/m3,2017-03-28 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,20.98999999,µg/m3,2017-03-29 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,19.18,µg/m3,2017-03-30 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,17.18,µg/m3,2017-03-31 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,24.03999999,µg/m3,2017-04-01 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,13.97,µg/m3,2017-04-02 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,12.89,µg/m3,2017-04-03 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,27.68,µg/m3,2017-04-04 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,21.98999999,µg/m3,2017-04-05 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,8.66,µg/m3,2017-04-06 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,10.15,µg/m3,2017-04-07 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,9.66999999,µg/m3,2017-04-08 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,20.94999999,µg/m3,2017-04-09 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,20.78,µg/m3,2017-04-10 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,7.04999999,µg/m3,2017-04-11 00:00:00 +01:00
DE,STA.DE_DEBE034,PM2.5,20.12,µg/m3,2017-04-12 00:00:00 +01:00
