Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
GB,Station_GB0682A,PM2.5,12.83,µg/m3,2017-01-01 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,8.91999999,µg/m3,2017-01-02 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,15.28999999,µg/m3,2017-01-03 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,9.46,µg/m3,2017-01-04 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,18.96,µg/m3,2017-01-05 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,25.57999999,µg/m3,2017-01-06 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,14.58,µg/m3,2017-01-07 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,19.42,µg/m3,2017-01-08 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,14.5,µg/m3,2017-01-09 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,15.63,µg/m3,2017-01-10 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,13.13,µg/m3,2017-01-11 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,12.58,µg/m3,2017-01-12 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,6.45999999,µg/m3,2017-01-13 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,10.46,µg/m3,2017-01-14 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,9.78999999,µg/m3,2017-01-15 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,15.21,µg/m3,2017-01-16 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,23.80999999,µg/m3,2017-01-17 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,30.03999999,µg/m3,2017-01-18 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,30.87999999,µg/m3,2017-01-19 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,19.07999999,µg/m3,2017-01-20 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,28.12999999,µg/m3,2017-01-21 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,69.32999999,µg/m3,2017-01-22 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,92.21999999,µg/m3,2017-01-23 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,48.46,µg/m3,2017-01-24 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,31.62999999,µg/m3,2017-01-25 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,47.40999999,µg/m3,2017-01-26 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,41.67,µg/m3,2017-01-27 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,14.63,µg/m3,2017-01-28 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,9.25,µg/m3,2017-01-29 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,11.63,µg/m3,2017-01-30 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,18.28999999,µg/m3,2017-01-31 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,16.25,µg/m3,2017-02-01 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,15.03999999,µg/m3,2017-02-02 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,12.25,µg/m3,2017-02-03 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,12.92,µg/m3,2017-02-04 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,12.03999999,µg/m3,2017-02-05 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,13.35999999,µg/m3,2017-02-07 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,38.42,µg/m3,2017-02-11 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,33.42,µg/m3,2017-02-12 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,48.67,µg/m3,2017-02-13 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,30.03999999,µg/m3,2017-02-14 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,19.67,µg/m3,2017-02-15 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,16.12999999,µg/m3,2017-02-16 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,19.62999999,µg/m3,2017-02-17 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,22.03999999,µg/m3,2017-02-18 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,15.96,µg/m3,2017-02-19 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,11.75,µg/m3,2017-02-20 00:00:00 +01:00
GB,Station_GB0682A,PM2.5,10.67,µg/m3,2017-02-21 00:00:00 +01:00
