Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
ES,STA_ES1894A,PM2.5,8.0,µg/m3,2015-06-12 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,10.0,µg/m3,2015-07-18 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,15.0,µg/m3,2015-07-15 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,9.0,µg/m3,2015-07-21 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,24.0,µg/m3,2015-08-08 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,20.0,µg/m3,2015-08-11 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,7.0,µg/m3,2015-08-23 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,4.0,µg/m3,2015-08-17 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,8.0,µg/m3,2015-08-29 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,8.0,µg/m3,2015-08-26 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,6.0,µg/m3,2015-09-16 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,8.0,µg/m3,2015-09-10 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,7.0,µg/m3,2015-09-28 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,10.0,µg/m3,2015-10-01 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,9.0,µg/m3,2015-09-25 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,8.0,µg/m3,2015-10-07 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,13.0,µg/m3,2015-10-04 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,11.0,µg/m3,2015-10-10 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,6.0,µg/m3,2015-10-19 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,8.0,µg/m3,2015-10-13 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,24.0,µg/m3,2015-11-06 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,8.0,µg/m3,2015-10-31 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,4.0,µg/m3,2015-10-28 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,9.0,µg/m3,2015-10-25 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,20.0,µg/m3,2015-11-15 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,12.0,µg/m3,2015-11-09 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,20.0,µg/m3,2015-11-12 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,8.0,µg/m3,2015-11-21 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,11.0,µg/m3,2015-12-12 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,20.0,µg/m3,2015-11-30 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,11.0,µg/m3,2015-03-20 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,5.0,µg/m3,2015-03-14 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,17.0,µg/m3,2015-03-11 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,34.0,µg/m3,2015-12-24 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,33.0,µg/m3,2015-12-15 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,12.0,µg/m3,2015-12-27 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,11.0,µg/m3,2015-12-30 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,4.0,µg/m3,2015-01-31 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,10.0,µg/m3,2015-05-28 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,15.0,µg/m3,2015-05-04 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,11.0,µg/m3,2015-05-10 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,24.0,µg/m3,2015-04-25 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,15.0,µg/m3,2015-02-12 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,8.0,µg/m3,2015-06-21 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,8.0,µg/m3,2015-02-21 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,10.0,µg/m3,2015-07-12 00:00:00 +01:00
ES,STA_ES1894A,PM2.5,10.0,µg/m3,2015-03-02 00:00:00 +01:00
