Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
IT,STA.IT0953A,PM2.5,21.0,µg/m3,2019-01-14 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,18.0,µg/m3,2019-01-15 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,27.0,µg/m3,2019-01-16 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,20.0,µg/m3,2019-01-17 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,13.0,µg/m3,2019-01-18 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,20.0,µg/m3,2019-01-19 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,23.0,µg/m3,2019-01-20 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,11.0,µg/m3,2019-01-21 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,8.0,µg/m3,2019-01-22 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,12.0,µg/m3,2019-01-23 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,11.0,µg/m3,2019-01-24 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,9.0,µg/m3,2019-01-25 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,8.0,µg/m3,2019-01-28 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,15.0,µg/m3,2019-01-26 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,22.0,µg/m3,2019-01-27 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,15.0,µg/m3,2019-01-29 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,7.0,µg/m3,2019-02-03 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,9.0,µg/m3,2019-02-04 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,8.0,µg/m3,2019-02-05 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,11.0,µg/m3,2019-02-06 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,9.0,µg/m3,2019-02-11 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,43.0,µg/m3,2019-02-19 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,30.0,µg/m3,2019-02-20 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,27.0,µg/m3,2019-02-21 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,27.0,µg/m3,2019-02-22 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,11.0,µg/m3,2019-02-23 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,7.0,µg/m3,2019-02-24 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,6.0,µg/m3,2019-02-25 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,22.0,µg/m3,2019-02-26 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,18.0,µg/m3,2019-02-27 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,19.0,µg/m3,2019-03-01 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,23.0,µg/m3,2019-03-02 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,19.0,µg/m3,2019-03-03 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,13.0,µg/m3,2019-03-04 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,13.0,µg/m3,2019-03-05 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,16.0,µg/m3,2019-03-06 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,15.0,µg/m3,2019-03-07 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,16.0,µg/m3,2019-03-08 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,10.0,µg/m3,2019-03-09 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,7.0,µg/m3,2019-03-10 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,8.0,µg/m3,2019-03-11 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,6.0,µg/m3,2019-03-12 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,10.0,µg/m3,2019-03-13 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,5.0,µg/m3,2019-03-14 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,11.0,µg/m3,2019-03-15 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,13.0,µg/m3,2019-03-16 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,14.0,µg/m3,2019-03-17 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,8.0,µg/m3,2019-03-18 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,8.0,µg/m3,2019-03-19 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,6.0,µg/m3,2019-03-20 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,12.0,µg/m3,2019-03-21 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,15.0,µg/m3,2019-03-22 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,16.0,µg/m3,2019-03-23 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,22.0,µg/m3,2019-03-24 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,19.0,µg/m3,2019-03-25 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,15.0,µg/m3,2019-03-26 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,6.0,µg/m3,2019-03-27 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,9.0,µg/m3,2019-03-28 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,23.0,µg/m3,2019-04-01 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,17.0,µg/m3,2019-04-02 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,14.0,µg/m3,2019-04-03 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,8.0,µg/m3,2019-04-04 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,5.0,µg/m3,2019-04-05 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,9.0,µg/m3,2019-04-06 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,12.0,µg/m3,2019-04-07 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,6.0,µg/m3,2019-04-08 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,8.0,µg/m3,2019-04-09 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,11.0,µg/m3,2019-04-10 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,10.0,µg/m3,2019-04-11 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,7.0,µg/m3,2019-04-12 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,10.0,µg/m3,2019-04-13 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,8.0,µg/m3,2019-04-14 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,9.0,µg/m3,2019-04-15 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,12.0,µg/m3,2019-04-16 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,15.0,µg/m3,2019-04-17 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,14.0,µg/m3,2019-04-18 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,13.0,µg/m3,2019-04-19 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,16.0,µg/m3,2019-04-20 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,19.0,µg/m3,2019-04-21 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,15.0,µg/m3,2019-04-22 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,10.0,µg/m3,2019-04-23 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,18.0,µg/m3,2019-04-24 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,16.0,µg/m3,2019-04-25 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,15.0,µg/m3,2019-04-26 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,6.0,µg/m3,2019-04-27 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,5.0,µg/m3,2019-04-28 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,4.0,µg/m3,2019-04-29 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,7.0,µg/m3,2019-04-30 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,6.0,µg/m3,2019-05-01 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,7.0,µg/m3,2019-05-02 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,7.0,µg/m3,2019-05-03 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,6.0,µg/m3,2019-05-04 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,7.0,µg/m3,2019-05-05 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,4.0,µg/m3,2019-05-06 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,6.0,µg/m3,2019-05-07 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,8.0,µg/m3,2019-05-08 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,8.0,µg/m3,2019-05-09 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,8.0,µg/m3,2019-05-10 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,12.0,µg/m3,2019-05-11 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,5.0,µg/m3,2019-05-12 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,4.0,µg/m3,2019-05-14 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,4.0,µg/m3,2019-05-15 00:00:00 +01:00
IT,STA.IT0953A,PM2.5,4.0,µg/m3,2019-05-16 00:00:00 +01:00
