,Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
0,IT,STA.IT1836A,PM2.5,13.0,µg/m3,2020-02-13 00:00:00 +01:00
1,IT,STA.IT1836A,PM2.5,8.0,µg/m3,2020-02-14 00:00:00 +01:00
2,IT,STA.IT1836A,PM2.5,17.0,µg/m3,2020-02-15 00:00:00 +01:00
3,IT,STA.IT1836A,PM2.5,27.0,µg/m3,2020-02-16 00:00:00 +01:00
4,IT,STA.IT1836A,PM2.5,24.0,µg/m3,2020-02-17 00:00:00 +01:00
5,IT,STA.IT1836A,PM2.5,18.0,µg/m3,2020-02-18 00:00:00 +01:00
6,IT,STA.IT1836A,PM2.5,19.0,µg/m3,2020-02-19 00:00:00 +01:00
7,IT,STA.IT1836A,PM2.5,13.0,µg/m3,2020-02-20 00:00:00 +01:00
8,IT,STA.IT1836A,PM2.5,16.0,µg/m3,2020-02-21 00:00:00 +01:00
9,IT,STA.IT1836A,PM2.5,23.0,µg/m3,2020-02-22 00:00:00 +01:00
10,IT,STA.IT1836A,PM2.5,25.0,µg/m3,2020-02-23 00:00:00 +01:00
11,IT,STA.IT1836A,PM2.5,18.0,µg/m3,2020-02-24 00:00:00 +01:00
12,IT,STA.IT1836A,PM2.5,3.0,µg/m3,2020-02-25 00:00:00 +01:00
14,IT,STA.IT1836A,PM2.5,2.0,µg/m3,2020-02-27 00:00:00 +01:00
15,IT,STA.IT1836A,PM2.5,7.0,µg/m3,2020-02-28 00:00:00 +01:00
16,IT,STA.IT1836A,PM2.5,12.0,µg/m3,2020-02-29 00:00:00 +01:00
17,IT,STA.IT1836A,PM2.5,9.0,µg/m3,2020-03-01 00:00:00 +01:00
18,IT,STA.IT1836A,PM2.5,5.0,µg/m3,2020-03-02 00:00:00 +01:00
19,IT,STA.IT1836A,PM2.5,4.0,µg/m3,2020-03-03 00:00:00 +01:00
20,IT,STA.IT1836A,PM2.5,7.0,µg/m3,2020-03-04 00:00:00 +01:00
21,IT,STA.IT1836A,PM2.5,9.0,µg/m3,2020-03-05 00:00:00 +01:00
22,IT,STA.IT1836A,PM2.5,7.0,µg/m3,2020-03-06 00:00:00 +01:00
23,IT,STA.IT1836A,PM2.5,10.0,µg/m3,2020-03-07 00:00:00 +01:00
24,IT,STA.IT1836A,PM2.5,7.0,µg/m3,2020-03-08 00:00:00 +01:00
25,IT,STA.IT1836A,PM2.5,11.0,µg/m3,2020-03-09 00:00:00 +01:00
26,IT,STA.IT1836A,PM2.5,18.0,µg/m3,2020-03-10 00:00:00 +01:00
27,IT,STA.IT1836A,PM2.5,19.0,µg/m3,2020-03-11 00:00:00 +01:00
28,IT,STA.IT1836A,PM2.5,12.0,µg/m3,2020-03-12 00:00:00 +01:00
29,IT,STA.IT1836A,PM2.5,18.0,µg/m3,2020-03-13 00:00:00 +01:00
30,IT,STA.IT1836A,PM2.5,11.0,µg/m3,2020-03-14 00:00:00 +01:00
31,IT,STA.IT1836A,PM2.5,1.0,µg/m3,2020-03-15 00:00:00 +01:00
32,IT,STA.IT1836A,PM2.5,15.0,µg/m3,2020-03-16 00:00:00 +01:00
33,IT,STA.IT1836A,PM2.5,21.0,µg/m3,2020-03-17 00:00:00 +01:00
34,IT,STA.IT1836A,PM2.5,26.0,µg/m3,2020-03-18 00:00:00 +01:00
35,IT,STA.IT1836A,PM2.5,26.0,µg/m3,2020-03-19 00:00:00 +01:00
36,IT,STA.IT1836A,PM2.5,22.0,µg/m3,2020-03-20 00:00:00 +01:00
37,IT,STA.IT1836A,PM2.5,23.0,µg/m3,2020-03-21 00:00:00 +01:00
38,IT,STA.IT1836A,PM2.5,24.0,µg/m3,2020-03-22 00:00:00 +01:00
39,IT,STA.IT1836A,PM2.5,8.0,µg/m3,2020-03-23 00:00:00 +01:00
40,IT,STA.IT1836A,PM2.5,8.0,µg/m3,2020-03-24 00:00:00 +01:00
41,IT,STA.IT1836A,PM2.5,4.0,µg/m3,2020-03-25 00:00:00 +01:00
42,IT,STA.IT1836A,PM2.5,2.0,µg/m3,2020-03-26 00:00:00 +01:00
43,IT,STA.IT1836A,PM2.5,2.0,µg/m3,2020-03-27 00:00:00 +01:00
44,IT,STA.IT1836A,PM2.5,11.0,µg/m3,2020-03-28 00:00:00 +01:00
45,IT,STA.IT1836A,PM2.5,19.0,µg/m3,2020-03-29 00:00:00 +01:00
46,IT,STA.IT1836A,PM2.5,21.0,µg/m3,2020-03-30 00:00:00 +01:00
47,IT,STA.IT1836A,PM2.5,11.0,µg/m3,2020-03-31 00:00:00 +01:00
48,IT,STA.IT1836A,PM2.5,8.0,µg/m3,2020-04-01 00:00:00 +01:00
49,IT,STA.IT1836A,PM2.5,12.0,µg/m3,2020-04-02 00:00:00 +01:00
50,IT,STA.IT1836A,PM2.5,17.0,µg/m3,2020-04-03 00:00:00 +01:00
51,IT,STA.IT1836A,PM2.5,14.0,µg/m3,2020-04-04 00:00:00 +01:00
