Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
AT,STA.09.KEND,PM2.5,19.96500015,µg/m3,2020-01-01 00:00:00 +01:00
AT,STA.09.KEND,PM2.5,13.71300029,µg/m3,2020-01-01 01:00:00 +01:00
AT,STA.09.KEND,PM2.5,13.37299919,µg/m3,2020-01-01 02:00:00 +01:00
AT,STA.09.KEND,PM2.5,12.92799949,µg/m3,2020-01-01 03:00:00 +01:00
AT,STA.09.KEND,PM2.5,11.11499977,µg/m3,2020-01-01 04:00:00 +01:00
AT,STA.09.KEND,PM2.5,12.38500022,µg/m3,2020-01-01 05:00:00 +01:00
AT,STA.09.KEND,PM2.5,13.29150009,µg/m3,2020-01-01 06:00:00 +01:00
AT,STA.09.KEND,PM2.5,11.16699981,µg/m3,2020-01-01 07:00:00 +01:00
AT,STA.09.KEND,PM2.5,11.76900005,µg/m3,2020-01-01 08:00:00 +01:00
AT,STA.09.KEND,PM2.5,10.9470005,µg/m3,2020-01-01 09:00:00 +01:00
AT,STA.09.KEND,PM2.5,11.79750061,µg/m3,2020-01-01 10:00:00 +01:00
AT,STA.09.KEND,PM2.5,10.65500068,µg/m3,2020-01-01 11:00:00 +01:00
AT,STA.09.KEND,PM2.5,11.842,µg/m3,2020-01-01 12:00:00 +01:00
AT,STA.09.KEND,PM2.5,13.79300022,µg/m3,2020-01-01 13:00:00 +01:00
AT,STA.09.KEND,PM2.5,12.81400012,µg/m3,2020-01-01 14:00:00 +01:00
AT,STA.09.KEND,PM2.5,12.54150009,µg/m3,2020-01-01 15:00:00 +01:00
AT,STA.09.KEND,PM2.5,14.59950065,µg/m3,2020-01-01 16:00:00 +01:00
AT,STA.09.KEND,PM2.5,18.323999399999998,µg/m3,2020-01-01 17:00:00 +01:00
AT,STA.09.KEND,PM2.5,19.7159996,µg/m3,2020-01-01 18:00:00 +01:00
AT,STA.09.KEND,PM2.5,21.17799949,µg/m3,2020-01-01 20:00:00 +01:00
AT,STA.09.KEND,PM2.5,21.74049949,µg/m3,2020-01-01 21:00:00 +01:00
AT,STA.09.KEND,PM2.5,22.76800155,µg/m3,2020-01-01 22:00:00 +01:00
AT,STA.09.KEND,PM2.5,23.23800086,µg/m3,2020-01-01 23:00:00 +01:00
AT,STA.09.KEND,PM2.5,24.19150161,µg/m3,2020-01-02 00:00:00 +01:00
AT,STA.09.KEND,PM2.5,23.72100067,µg/m3,2020-01-02 01:00:00 +01:00
AT,STA.09.KEND,PM2.5,21.55100059,µg/m3,2020-01-02 02:00:00 +01:00
AT,STA.09.KEND,PM2.5,19.41650009,µg/m3,2020-01-02 03:00:00 +01:00
AT,STA.09.KEND,PM2.5,17.76499938,µg/m3,2020-01-02 04:00:00 +01:00
AT,STA.09.KEND,PM2.5,19.56100082,µg/m3,2020-01-02 05:00:00 +01:00
AT,STA.09.KEND,PM2.5,21.59000015,µg/m3,2020-01-02 06:00:00 +01:00
AT,STA.09.KEND,PM2.5,19.1630001,µg/m3,2020-01-01 19:00:00 +01:00
AT,STA.09.KEND,PM2.5,26.22999954,µg/m3,2020-01-02 07:00:00 +01:00
AT,STA.09.KEND,PM2.5,25.90900039,µg/m3,2020-01-02 08:00:00 +01:00
AT,STA.09.KEND,PM2.5,27.41450119,µg/m3,2020-01-02 09:00:00 +01:00
AT,STA.09.KEND,PM2.5,32.87300109,µg/m3,2020-01-02 10:00:00 +01:00
AT,STA.09.KEND,PM2.5,33.77400207,µg/m3,2020-01-02 11:00:00 +01:00
AT,STA.09.KEND,PM2.5,32.14550018,µg/m3,2020-01-02 12:00:00 +01:00
AT,STA.09.KEND,PM2.5,33.15399932,µg/m3,2020-01-02 13:00:00 +01:00
AT,STA.09.KEND,PM2.5,33.45349884,µg/m3,2020-01-02 14:00:00 +01:00
AT,STA.09.KEND,PM2.5,33.80550003,µg/m3,2020-01-02 15:00:00 +01:00
AT,STA.09.KEND,PM2.5,35.64450073,µg/m3,2020-01-02 16:00:00 +01:00
AT,STA.09.KEND,PM2.5,32.72349929,µg/m3,2020-01-02 17:00:00 +01:00
AT,STA.09.KEND,PM2.5,34.91049957,µg/m3,2020-01-02 18:00:00 +01:00
AT,STA.09.KEND,PM2.5,40.61299896,µg/m3,2020-01-02 20:00:00 +01:00
AT,STA.09.KEND,PM2.5,40.05400085,µg/m3,2020-01-02 21:00:00 +01:00
AT,STA.09.KEND,PM2.5,41.54450225,µg/m3,2020-01-02 22:00:00 +01:00
AT,STA.09.KEND,PM2.5,43.41750335,µg/m3,2020-01-02 23:00:00 +01:00
AT,STA.09.KEND,PM2.5,42.68700027,µg/m3,2020-01-03 00:00:00 +01:00
AT,STA.09.KEND,PM2.5,45.5569992,µg/m3,2020-01-03 01:00:00 +01:00
AT,STA.09.KEND,PM2.5,46.39450073,µg/m3,2020-01-03 02:00:00 +01:00
AT,STA.09.KEND,PM2.5,45.51499938,µg/m3,2020-01-03 03:00:00 +01:00
AT,STA.09.KEND,PM2.5,45.29800033,µg/m3,2020-01-03 04:00:00 +01:00
AT,STA.09.KEND,PM2.5,42.34450149,µg/m3,2020-01-03 05:00:00 +01:00
