Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
AT,AT.0008.20.AQ,NET-AT001A,STA-AT9LIES,,SPO-AT9LIES_00008_100,SPP-AT_A_chemi_horibaAPNA370,SPO_F-AT9LIES_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,14.2980000000,µg/m3,2014-06-25 14:00:00 +01:00,2014-06-25 15:00:00 +01:00,1,1
AT,AT.0008.20.AQ,NET-AT001A,STA-AT9LIES,,SPO-AT9LIES_00008_100,SPP-AT_A_chemi_horibaAPNA370,SPO_F-AT9LIES_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,34.9290000000,µg/m3,2014-06-25 15:00:00 +01:00,2014-06-25 16:00:00 +01:00,1,1
AT,AT.0008.20.AQ,NET-AT001A,STA-AT9LIES,,SPO-AT9LIES_00008_100,SPP-AT_A_chemi_horibaAPNA370,SPO_F-AT9LIES_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,24.1090000000,µg/m3,2014-06-25 10:00:00 +01:00,2014-06-25 11:00:00 +01:00,1,1
AT,AT.0008.20.AQ,NET-AT001A,STA-AT9LIES,,SPO-AT9LIES_00008_100,SPP-AT_A_chemi_horibaAPNA370,SPO_F-AT9LIES_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,66.1590000000,µg/m3,2014-06-25 08:00:00 +01:00,2014-06-25 09:00:00 +01:00,1,1
AT,AT.0008.20.AQ,NET-AT001A,STA-AT9LIES,,SPO-AT9LIES_00008_100,SPP-AT_A_chemi_horibaAPNA370,SPO_F-AT9LIES_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,7.7220000000,µg/m3,2014-06-26 10:00:00 +01:00,2014-06-26 11:00:00 +01:00,1,1
AT,AT.0008.20.AQ,NET-AT001A,STA-AT9LIES,,SPO-AT9LIES_00008_100,SPP-AT_A_chemi_horibaAPNA370,SPO_F-AT9LIES_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,7.1470000000,µg/m3,2014-06-26 09:00:00 +01:00,2014-06-26 10:00:00 +01:00,1,1
AT,AT.0008.20.AQ,NET-AT001A,STA-AT9LIES,,SPO-AT9LIES_00008_100,SPP-AT_A_chemi_horibaAPNA370,SPO_F-AT9LIES_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,36.4950000000,µg/m3,2014-06-25 17:00:00 +01:00,2014-06-25 18:00:00 +01:00,1,1
AT,AT.0008.20.AQ,NET-AT001A,STA-AT9LIES,,SPO-AT9LIES_00008_100,SPP-AT_A_chemi_horibaAPNA370,SPO_F-AT9LIES_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,17.1440000000,µg/m3,2014-06-27 04:00:00 +01:00,2014-06-27 05:00:00 +01:00,1,1
AT,AT.0008.20.AQ,NET-AT001A,STA-AT9LIES,,SPO-AT9LIES_00008_100,SPP-AT_A_chemi_horibaAPNA370,SPO_F-AT9LIES_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,19.1780000000,µg/m3,2014-06-27 01:00:00 +01:00,2014-06-27 02:00:00 +01:00,1,1
AT,AT.0008.20.AQ,NET-AT001A,STA-AT9LIES,,SPO-AT9LIES_00008_100,SPP-AT_A_chemi_horibaAPNA370,SPO_F-AT9LIES_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,21.9120000000,µg/m3,2014-06-26 20:00:00 +01:00,2014-06-26 21:00:00 +01:00,1,1
