Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
FR,FR.LCSQA-INERIS.AQ,NET-FR004A,STA-FR04145,,SPO-FR04145_7,SPP-FR_21_UV-P_undetermined,SAM-FR04145_7,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,16.2500000000,µg/m3,2017-01-01 00:00:00 +01:00,2017-01-01 01:00:00 +01:00,1,1
FR,FR.LCSQA-INERIS.AQ,NET-FR004A,STA-FR04145,,SPO-FR04145_7,SPP-FR_21,SAM-FR04145_7,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,11.0000000000,µg/m3,2017-01-01 01:00:00 +01:00,2017-01-01 02:00:00 +01:00,1,1
FR,FR.LCSQA-INERIS.AQ,NET-FR004A,STA-FR04145,,SPO-FR04145_7,SPP-FR_21,SAM-FR04145_7,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,19.5000000000,µg/m3,2017-01-01 04:00:00 +01:00,2017-01-01 05:00:00 +01:00,1,1
FR,FR.LCSQA-INERIS.AQ,NET-FR004A,STA-FR04145,,SPO-FR04145_7,SPP-FR_21,SAM-FR04145_7,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,19.0000000000,µg/m3,2017-01-01 05:00:00 +01:00,2017-01-01 06:00:00 +01:00,1,1
FR,FR.LCSQA-INERIS.AQ,NET-FR004A,STA-FR04145,,SPO-FR04145_7,SPP-FR_21,SAM-FR04145_7,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,17.5000000000,µg/m3,2017-01-01 06:00:00 +01:00,2017-01-01 07:00:00 +01:00,1,1
FR,FR.LCSQA-INERIS.AQ,NET-FR004A,STA-FR04145,,SPO-FR04145_7,SPP-FR_21,SAM-FR04145_7,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,17.0000000000,µg/m3,2017-01-01 09:00:00 +01:00,2017-01-01 10:00:00 +01:00,1,1
FR,FR.LCSQA-INERIS.AQ,NET-FR004A,STA-FR04145,,SPO-FR04145_7,SPP-FR_21,SAM-FR04145_7,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,25.0000000000,µg/m3,2017-01-01 13:00:00 +01:00,2017-01-01 14:00:00 +01:00,1,1
FR,FR.LCSQA-INERIS.AQ,NET-FR004A,STA-FR04145,,SPO-FR04145_7,SPP-FR_21,SAM-FR04145_7,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,25.0000000000,µg/m3,2017-01-01 14:00:00 +01:00,2017-01-01 15:00:00 +01:00,1,1
FR,FR.LCSQA-INERIS.AQ,NET-FR004A,STA-FR04145,,SPO-FR04145_7,SPP-FR_21,SAM-FR04145_7,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,20.5000000000,µg/m3,2017-01-01 16:00:00 +01:00,2017-01-01 17:00:00 +01:00,1,1
FR,FR.LCSQA-INERIS.AQ,NET-FR004A,STA-FR04145,,SPO-FR04145_7,SPP-FR_21,SAM-FR04145_7,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,16.5000000000,µg/m3,2017-01-01 17:00:00 +01:00,2017-01-01 18:00:00 +01:00,1,1
