Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT112A,STA.IT0953A,IT0953A,SPO.IT0953A_5_BETA_1997-10-01_00:00:00,SPP.IT0953A_5_BETA_1997-10-01_00:00:00,SAM.IT0953A_5_BETA_1997-10-01_00:00:00,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,28.0000000000,µg/m3,2020-02-13 00:00:00 +01:00,2020-02-14 00:00:00 +01:00,1,2
IT,IT.ISPRA.AQD,NET.IT112A,STA.IT0953A,IT0953A,SPO.IT0953A_5_BETA_1997-10-01_00:00:00,SPP.IT0953A_5_BETA_1997-10-01_00:00:00,SAM.IT0953A_5_BETA_1997-10-01_00:00:00,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,14.0000000000,µg/m3,2020-02-14 00:00:00 +01:00,2020-02-15 00:00:00 +01:00,1,2
IT,IT.ISPRA.AQD,NET.IT112A,STA.IT0953A,IT0953A,SPO.IT0953A_5_BETA_1997-10-01_00:00:00,SPP.IT0953A_5_BETA_1997-10-01_00:00:00,SAM.IT0953A_5_BETA_1997-10-01_00:00:00,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,21.0000000000,µg/m3,2020-02-15 00:00:00 +01:00,2020-02-16 00:00:00 +01:00,1,2
IT,IT.ISPRA.AQD,NET.IT112A,STA.IT0953A,IT0953A,SPO.IT0953A_5_BETA_1997-10-01_00:00:00,SPP.IT0953A_5_BETA_1997-10-01_00:00:00,SAM.IT0953A_5_BETA_1997-10-01_00:00:00,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,34.0000000000,µg/m3,2020-02-16 00:00:00 +01:00,2020-02-17 00:00:00 +01:00,1,2
IT,IT.ISPRA.AQD,NET.IT112A,STA.IT0953A,IT0953A,SPO.IT0953A_5_BETA_1997-10-01_00:00:00,SPP.IT0953A_5_BETA_1997-10-01_00:00:00,SAM.IT0953A_5_BETA_1997-10-01_00:00:00,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,31.0000000000,µg/m3,2020-02-17 00:00:00 +01:00,2020-02-18 00:00:00 +01:00,1,2
IT,IT.ISPRA.AQD,NET.IT112A,STA.IT0953A,IT0953A,SPO.IT0953A_5_BETA_1997-10-01_00:00:00,SPP.IT0953A_5_BETA_1997-10-01_00:00:00,SAM.IT0953A_5_BETA_1997-10-01_00:00:00,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,31.0000000000,µg/m3,2020-02-18 00:00:00 +01:00,2020-02-19 00:00:00 +01:00,1,2
IT,IT.ISPRA.AQD,NET.IT112A,STA.IT0953A,IT0953A,SPO.IT0953A_5_BETA_1997-10-01_00:00:00,SPP.IT0953A_5_BETA_1997-10-01_00:00:00,SAM.IT0953A_5_BETA_1997-10-01_00:00:00,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,28.0000000000,µg/m3,2020-02-19 00:00:00 +01:00,2020-02-20 00:00:00 +01:00,1,2
IT,IT.ISPRA.AQD,NET.IT112A,STA.IT0953A,IT0953A,SPO.IT0953A_5_BETA_1997-10-01_00:00:00,SPP.IT0953A_5_BETA_1997-10-01_00:00:00,SAM.IT0953A_5_BETA_1997-10-01_00:00:00,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,13.0000000000,µg/m3,2020-02-20 00:00:00 +01:00,2020-02-21 00:00:00 +01:00,1,2
IT,IT.ISPRA.AQD,NET.IT112A,STA.IT0953A,IT0953A,SPO.IT0953A_5_BETA_1997-10-01_00:00:00,SPP.IT0953A_5_BETA_1997-10-01_00:00:00,SAM.IT0953A_5_BETA_1997-10-01_00:00:00,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,27.0000000000,µg/m3,2020-02-21 00:00:00 +01:00,2020-02-22 00:00:00 +01:00,1,2
IT,IT.ISPRA.AQD,NET.IT112A,STA.IT0953A,IT0953A,SPO.IT0953A_5_BETA_1997-10-01_00:00:00,SPP.IT0953A_5_BETA_1997-10-01_00:00:00,SAM.IT0953A_5_BETA_1997-10-01_00:00:00,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,32.0000000000,µg/m3,2020-02-22 00:00:00 +01:00,2020-02-23 00:00:00 +01:00,1,2
